Layer[0],IN[1],INFER[1-8],OUT[8],TEE[1-8],Layer[9],Layer[10],classifier
0.396492,0.161573,0.623474,0.086883,0.876538,0.001600,0.000384,1.280518
0.401580,0.247271,0.619955,0.071362,0.944124,0.002912,0.000864,1.356584
0.398571,0.158149,0.607186,0.067330,0.837337,0.002432,0.000448,1.243972
0.419404,0.164997,0.609490,0.067554,0.846521,0.001888,0.000672,1.273573
0.401100,0.192838,0.618962,0.070882,0.888378,0.002785,0.000640,1.300775
0.397164,0.166501,0.627219,0.082274,0.880026,0.001984,0.000736,1.284838
0.397068,0.168965,0.612658,0.070306,0.855993,0.002048,0.000576,1.261829
0.396428,0.161701,0.610226,0.066018,0.841945,0.001888,0.000640,1.246181
0.416429,0.159653,0.618226,0.068834,0.850585,0.001888,0.000416,1.274726
0.396780,0.189414,0.609938,0.066658,0.870234,0.001632,0.000448,1.274310
0.396716,0.195718,0.608434,0.068258,0.876570,0.001664,0.000480,1.280742
0.397003,0.162501,0.606162,0.067554,0.840089,0.001536,0.000512,1.244100
0.396524,0.163013,0.606802,0.067650,0.841401,0.001536,0.000384,1.244901
0.397068,0.162789,0.642451,0.083010,0.894554,0.001696,0.000864,1.300390
0.396844,0.187878,0.607506,0.066562,0.866074,0.001664,0.000416,1.269734
0.396108,0.163269,0.606514,0.065922,0.839865,0.001536,0.000672,1.242757
0.415244,0.159205,0.607026,0.068354,0.838681,0.001568,0.000480,1.261765
0.397036,0.156677,0.606866,0.065986,0.834041,0.001536,0.000416,1.238053
0.396268,0.192454,0.624690,0.080291,0.902107,0.001632,0.000512,1.305639
0.396075,0.185349,0.617074,0.068130,0.875129,0.001536,0.000384,1.277862
0.396491,0.163045,0.607570,0.072291,0.847258,0.001568,0.000416,1.250981
0.396876,0.178981,0.611538,0.067938,0.862874,0.001536,0.000416,1.266662
0.396300,0.149701,0.605170,0.065058,0.823929,0.001504,0.000416,1.227429
0.395628,0.190469,0.606546,0.068130,0.869145,0.001441,0.000416,1.271718
0.413741,0.163941,0.614738,0.065954,0.848633,0.001568,0.000480,1.269318
0.397131,0.167492,0.608306,0.068706,0.848761,0.001696,0.000416,1.253669
0.397324,0.162565,0.635538,0.070594,0.872954,0.001664,0.000544,1.278342
0.396780,0.153348,0.603442,0.066498,0.828088,0.001696,0.000448,1.232964
0.397132,0.152165,0.606002,0.064418,0.826713,0.001536,0.000384,1.230245
0.397132,0.184485,0.605362,0.064258,0.858233,0.001440,0.000672,1.262405
0.396428,0.146052,0.602482,0.064770,0.816856,0.001696,0.000384,1.220324
0.395692,0.153124,0.604754,0.063874,0.825272,0.001472,0.000576,1.227332
0.434381,0.180613,0.614386,0.067234,0.865913,0.001504,0.000416,1.306790
0.396140,0.133860,0.601106,0.062946,0.801464,0.001536,0.000320,1.203492
0.396492,0.137092,0.623987,0.070562,0.835481,0.001536,0.000384,1.238949
0.396524,0.161317,0.605650,0.066146,0.836889,0.001536,0.000384,1.240421
0.397964,0.149509,0.605714,0.064482,0.823801,0.001376,0.000576,1.228901
0.395948,0.158309,0.622418,0.082275,0.866938,0.001568,0.000640,1.270438
0.396939,0.184358,0.621074,0.065858,0.875546,0.001440,0.000416,1.279109
0.395724,0.149349,0.606578,0.064642,0.824313,0.001312,0.000416,1.226693
0.419501,0.160549,0.617362,0.066978,0.849113,0.001536,0.000416,1.276326
0.397260,0.160069,0.618098,0.068354,0.850745,0.001440,0.000640,1.254949
0.396172,0.157573,0.641139,0.085794,0.889658,0.001600,0.000384,1.293030
0.397452,0.149252,0.604562,0.066882,0.824696,0.001632,0.000384,1.228932
0.396652,0.150916,0.620083,0.066786,0.841465,0.001536,0.000416,1.245093
0.397611,0.158372,0.622067,0.081250,0.866490,0.001536,0.000416,1.271909
0.395948,0.151972,0.605106,0.068002,0.829368,0.001537,0.000416,1.232613
0.395755,0.184486,0.605682,0.065922,0.860474,0.001632,0.000672,1.263173
0.415436,0.162597,0.616690,0.072098,0.854970,0.001536,0.000384,1.277414
0.396524,0.160805,0.619250,0.066722,0.850489,0.001536,0.000576,1.253477
0.396364,0.165733,0.624466,0.100131,0.896378,0.001728,0.000576,1.301767
0.396364,0.159173,0.605842,0.066370,0.835641,0.001472,0.000704,1.239301
0.396172,0.160069,0.606482,0.066722,0.837209,0.001536,0.000608,1.240325
0.396364,0.168869,0.626610,0.065570,0.864985,0.001536,0.000640,1.268517
0.396172,0.160389,0.603538,0.065858,0.833593,0.001728,0.000352,1.236933
0.397004,0.149189,0.605042,0.066882,0.825657,0.001536,0.000384,1.230181
0.410796,0.157701,0.616338,0.067522,0.845369,0.001472,0.000416,1.262533
0.396620,0.158085,0.606642,0.065698,0.834393,0.001536,0.000384,1.237701
0.395915,0.157285,0.618898,0.072546,0.852922,0.001568,0.000416,1.255525
0.398091,0.158725,0.606258,0.067842,0.836793,0.001440,0.000608,1.241988
0.398028,0.150756,0.603474,0.069442,0.828344,0.001600,0.000480,1.233572
0.398924,0.143748,0.623410,0.084323,0.855513,0.001440,0.000352,1.260869
0.396907,0.183494,0.603890,0.064066,0.855290,0.001344,0.000320,1.258373
0.395756,0.157157,0.607250,0.065986,0.834041,0.001504,0.000416,1.236325
0.415532,0.156549,0.605906,0.067778,0.834233,0.001664,0.000416,1.256453
0.396876,0.159493,0.606866,0.066978,0.837369,0.001632,0.000384,1.241893
0.397452,0.159685,0.625650,0.114852,0.904699,0.001600,0.000416,1.308583
0.396715,0.141796,0.604978,0.064738,0.815352,0.001440,0.000608,1.218788
0.396587,0.157093,0.606098,0.072930,0.840409,0.001344,0.000608,1.244037
0.396556,0.150084,0.621427,0.074082,0.850105,0.001536,0.000416,1.253509
0.397004,0.131588,0.605714,0.073762,0.815192,0.001728,0.000480,1.219204
0.397292,0.161957,0.605074,0.067682,0.839225,0.001664,0.000352,1.243301
0.430445,0.157156,0.614291,0.068194,0.843737,0.001504,0.000416,1.280518
0.396076,0.151013,0.604082,0.065698,0.825209,0.001408,0.000672,1.227749
0.397644,0.147460,0.632467,0.082210,0.866521,0.001600,0.000640,1.271302
0.397228,0.157189,0.607922,0.068354,0.838265,0.001632,0.000480,1.243813
0.396940,0.159621,0.605170,0.065570,0.834681,0.001408,0.000384,1.238117
0.395883,0.151141,0.634003,0.076290,0.865434,0.001440,0.000384,1.267877
0.396171,0.147524,0.603826,0.065026,0.820344,0.001600,0.000384,1.223364
0.396523,0.191653,0.604562,0.066850,0.867161,0.001600,0.000384,1.270693
0.413548,0.155813,0.616402,0.067490,0.844121,0.001376,0.000640,1.263493
0.395691,0.176422,0.613746,0.067234,0.860858,0.001440,0.000384,1.262757
0.396107,0.144805,0.636915,0.073858,0.861274,0.001376,0.000704,1.264837
0.396171,0.154405,0.602866,0.064898,0.825433,0.001472,0.000384,1.227652
0.395980,0.153316,0.602834,0.064546,0.824728,0.001504,0.000352,1.226724
0.397740,0.146948,0.624435,0.070370,0.846073,0.001408,0.000448,1.251493
0.396684,0.143844,0.604082,0.065026,0.816696,0.001248,0.000448,1.220004
0.396812,0.160709,0.604786,0.063746,0.832729,0.001312,0.000416,1.235525
0.416909,0.160805,0.614066,0.074466,0.852633,0.001376,0.000352,1.275558
0.396875,0.158404,0.605330,0.063778,0.831225,0.001408,0.000320,1.234148
0.397164,0.161669,0.607282,0.066114,0.838905,0.001824,0.000352,1.243461
0.396428,0.152260,0.602289,0.062690,0.820952,0.001536,0.000320,1.223012
0.396715,0.175141,0.603922,0.063458,0.846553,0.001312,0.000384,1.248549
0.395596,0.179877,0.622163,0.079682,0.885306,0.001632,0.000448,1.287334
0.395531,0.153220,0.603250,0.065346,0.825464,0.001312,0.000384,1.226820
0.397163,0.164516,0.603857,0.072291,0.844665,0.001536,0.000416,1.250277
0.413580,0.189414,0.620178,0.069442,0.883066,0.001344,0.000416,1.303110
0.396972,0.161797,0.603922,0.066690,0.836665,0.001440,0.000576,1.240357
0.396972,0.167685,0.615506,0.064706,0.851673,0.001280,0.000352,1.253989
0.397100,0.164357,0.607346,0.068034,0.843737,0.001728,0.000416,1.247589
0.396043,0.147332,0.604626,0.066370,0.822776,0.001728,0.000416,1.225060
0.396651,0.160965,0.641491,0.075906,0.882554,0.001472,0.000704,1.286214
0.397548,0.134884,0.615826,0.066082,0.821048,0.001600,0.000448,1.225412
0.395852,0.162245,0.605970,0.067010,0.839193,0.001600,0.000576,1.242149
0.410444,0.161253,0.616242,0.069698,0.851897,0.001472,0.000416,1.269541
0.397708,0.162661,0.605330,0.065634,0.837881,0.001504,0.000384,1.242181
0.396780,0.156357,0.615986,0.065058,0.841593,0.001408,0.000672,1.245349
0.396204,0.187526,0.606354,0.065218,0.863706,0.001568,0.000384,1.266918
0.396588,0.160165,0.607954,0.069090,0.841849,0.001568,0.000416,1.245029
0.397356,0.161957,0.622866,0.070179,0.860186,0.001664,0.000416,1.264966
0.396428,0.163461,0.605522,0.067618,0.840857,0.001408,0.000384,1.243045
0.396620,0.158981,0.617586,0.066658,0.847289,0.001472,0.000416,1.250309
0.413836,0.139492,0.602162,0.064706,0.810168,0.001536,0.000384,1.230308
0.396235,0.157861,0.604658,0.065090,0.831769,0.001664,0.000384,1.234980
0.396875,0.162724,0.605650,0.067906,0.840664,0.001568,0.000448,1.244645
0.396972,0.144548,0.616530,0.066946,0.832376,0.001505,0.000640,1.236581
0.397131,0.193189,0.607538,0.066914,0.871929,0.001344,0.000416,1.275845
0.396268,0.147908,0.622323,0.075586,0.850201,0.001504,0.000384,1.253349
0.396396,0.147396,0.603634,0.063970,0.819384,0.001440,0.000352,1.221892
0.396684,0.147237,0.606002,0.067298,0.825273,0.001568,0.000672,1.230277
0.416173,0.156132,0.607346,0.065538,0.832920,0.001344,0.000384,1.255301
0.397036,0.147364,0.607314,0.064194,0.822552,0.001408,0.000416,1.225668
0.395851,0.153573,0.605074,0.065058,0.827801,0.001376,0.000608,1.229924
0.396876,0.159108,0.604306,0.065698,0.833016,0.001472,0.000416,1.236356
0.396780,0.158821,0.605362,0.068706,0.836889,0.001664,0.000448,1.241573
0.397035,0.169061,0.624530,0.068418,0.866553,0.001440,0.000448,1.271237
0.395820,0.158340,0.604466,0.064162,0.831512,0.001600,0.000672,1.234468
0.396652,0.179685,0.605554,0.066210,0.855641,0.001536,0.000640,1.258981
0.396396,0.176133,0.614418,0.065602,0.860441,0.001408,0.000608,1.263781
0.397228,0.184165,0.605138,0.066914,0.860025,0.001728,0.000480,1.264358
0.396588,0.158213,0.605138,0.065794,0.832857,0.001472,0.000576,1.236069
0.396908,0.152869,0.603601,0.066114,0.826904,0.001537,0.000416,1.230885
0.400236,0.184742,0.608114,0.068482,0.865946,0.001504,0.000448,1.273446
0.396652,0.158533,0.626994,0.089379,0.880954,0.001536,0.000512,1.286150
0.395884,0.156933,0.606290,0.067170,0.834361,0.001568,0.000704,1.238373
0.397227,0.147812,0.606450,0.066562,0.824984,0.001536,0.000384,1.228996
0.419180,0.159461,0.617746,0.066850,0.848217,0.001537,0.000384,1.274534
0.397100,0.159557,0.608914,0.064258,0.836441,0.001472,0.000448,1.240069
0.396939,0.159077,0.605522,0.069986,0.838489,0.001440,0.000608,1.242724
0.397100,0.149028,0.605170,0.064898,0.823032,0.001440,0.000416,1.227012
0.396492,0.159013,0.606865,0.066497,0.835961,0.001376,0.000384,1.239109
0.396460,0.160741,0.619282,0.078530,0.863289,0.001536,0.000448,1.266342
0.396076,0.158405,0.604338,0.064034,0.830425,0.001536,0.000384,1.233061
0.396171,0.152229,0.604370,0.068994,0.829689,0.001504,0.000384,1.232293
0.395884,0.167301,0.619698,0.066210,0.858105,0.001505,0.000416,1.261542
0.396492,0.141828,0.602322,0.064834,0.812568,0.001440,0.000416,1.215812
0.397228,0.182757,0.608466,0.064834,0.860537,0.001568,0.000416,1.264293
0.415885,0.160004,0.606834,0.067426,0.838872,0.001536,0.000480,1.261350
0.396876,0.159557,0.605842,0.065218,0.834521,0.001536,0.000384,1.237797
0.396076,0.152452,0.623058,0.082466,0.862233,0.001537,0.000448,1.265510
0.397676,0.158309,0.607666,0.066434,0.836057,0.001472,0.000640,1.240741
0.398092,0.160869,0.608882,0.066306,0.839961,0.001408,0.000384,1.244421
0.396203,0.182214,0.625938,0.068162,0.880314,0.001536,0.000416,1.283366
0.396652,0.159141,0.602353,0.064417,0.829560,0.001633,0.000384,1.232741
0.397772,0.148837,0.607346,0.065890,0.826073,0.001312,0.000416,1.230693
