Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-5],OUT[5],TEE[4-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.416099,0.017472,0.203425,0.004929,0.120096,0.079649,0.062720,0.265921,0.014497,0.000512,0.001440,0.001056,0.000352,0.932903
0.415394,0.017344,0.203297,0.004928,0.119521,0.081345,0.067072,0.271074,0.015008,0.000416,0.001408,0.001056,0.000352,0.938310
0.434147,0.017504,0.205666,0.005216,0.119937,0.078912,0.067041,0.269058,0.014432,0.000544,0.001472,0.001120,0.000352,0.956551
0.417507,0.017280,0.204033,0.005024,0.110849,0.080001,0.062912,0.256866,0.014752,0.000480,0.001856,0.000960,0.000384,0.925766
0.415811,0.017408,0.203010,0.005216,0.109409,0.080256,0.062657,0.255266,0.014592,0.000416,0.001472,0.001024,0.000352,0.921735
0.416099,0.017376,0.203617,0.004800,0.112385,0.100545,0.073088,0.289602,0.014721,0.000448,0.001472,0.000928,0.000384,0.956583
0.417507,0.017729,0.203009,0.004768,0.117057,0.083776,0.065921,0.270018,0.014432,0.000480,0.001856,0.001024,0.000352,0.938727
0.415363,0.017376,0.202850,0.005056,0.113760,0.083617,0.066689,0.267234,0.014464,0.000512,0.001440,0.000992,0.000384,0.932999
0.415907,0.017377,0.203041,0.005248,0.109665,0.080160,0.061985,0.255106,0.014656,0.000448,0.001408,0.001056,0.000352,0.920967
0.429635,0.017440,0.203169,0.004800,0.108641,0.081153,0.062112,0.255330,0.014464,0.000448,0.001344,0.000992,0.000352,0.934790
0.415875,0.018048,0.203138,0.004896,0.119521,0.084288,0.068673,0.276162,0.014528,0.000544,0.001344,0.000992,0.000352,0.943335
0.415907,0.017504,0.202913,0.004832,0.119297,0.084673,0.067392,0.274978,0.014592,0.000480,0.001472,0.001088,0.000352,0.940774
0.416291,0.017601,0.225665,0.005184,0.118145,0.085953,0.066240,0.274626,0.014784,0.000608,0.001408,0.000992,0.000384,0.964999
0.416995,0.017568,0.202914,0.004832,0.117281,0.082176,0.064705,0.267682,0.014432,0.000512,0.001920,0.001056,0.000352,0.935559
0.416611,0.017504,0.203425,0.005344,0.118849,0.085857,0.068640,0.276898,0.014272,0.000480,0.001568,0.001088,0.000384,0.945094
0.416003,0.017600,0.202690,0.004864,0.113729,0.082304,0.068097,0.267618,0.014624,0.000480,0.001376,0.001056,0.000416,0.934183
0.416643,0.017440,0.202882,0.004960,0.114560,0.083489,0.071297,0.273282,0.014848,0.000544,0.001600,0.001088,0.000416,0.941223
0.416291,0.017696,0.204225,0.004832,0.110369,0.083169,0.065952,0.263042,0.014400,0.000608,0.001824,0.001120,0.000416,0.931302
0.416515,0.018400,0.202754,0.004992,0.119233,0.092064,0.067937,0.282498,0.014464,0.000512,0.001408,0.000960,0.000384,0.949831
0.431075,0.017664,0.203713,0.004864,0.117889,0.086465,0.068704,0.276706,0.014976,0.000449,0.001376,0.001056,0.000352,0.959527
0.416259,0.017345,0.203521,0.004832,0.111713,0.086816,0.067745,0.269570,0.014592,0.000512,0.001440,0.001024,0.000416,0.937127
0.418563,0.017632,0.204738,0.005056,0.117761,0.089216,0.069409,0.280354,0.015296,0.000448,0.001536,0.001248,0.000352,0.952711
0.416483,0.017664,0.223458,0.005152,0.118784,0.082081,0.065888,0.270145,0.015073,0.000512,0.001408,0.001248,0.000352,0.959015
0.416387,0.017537,0.203681,0.004800,0.110753,0.085312,0.067521,0.266722,0.014656,0.000768,0.001472,0.001152,0.000320,0.934343
0.416323,0.017408,0.203490,0.004800,0.121760,0.083073,0.065729,0.273890,0.014592,0.000544,0.001472,0.000992,0.000320,0.941191
0.416611,0.017440,0.204001,0.004768,0.112801,0.084609,0.067616,0.268354,0.014464,0.000544,0.001472,0.001120,0.000384,0.935942
0.416323,0.017696,0.204194,0.005248,0.122017,0.084960,0.069249,0.280354,0.014496,0.000512,0.001440,0.001312,0.000384,0.949639
0.416867,0.017600,0.203169,0.005024,0.116577,0.084801,0.068608,0.273506,0.014849,0.000576,0.001536,0.001536,0.000416,0.942023
0.415555,0.017408,0.203265,0.004992,0.112449,0.081985,0.063840,0.261346,0.014400,0.000480,0.001472,0.001248,0.000352,0.926854
0.431299,0.017760,0.203458,0.004832,0.116321,0.080800,0.062369,0.262402,0.014496,0.000480,0.001440,0.001216,0.000352,0.944359
0.416323,0.017408,0.202913,0.004992,0.109153,0.081921,0.064352,0.258626,0.015488,0.000512,0.001568,0.001088,0.000352,0.927366
0.416195,0.017568,0.203682,0.004992,0.112993,0.083968,0.065857,0.266114,0.014528,0.000448,0.001504,0.001280,0.000416,0.934055
0.416163,0.017312,0.221377,0.005152,0.109825,0.083777,0.070336,0.267266,0.014721,0.000416,0.001536,0.001120,0.000384,0.954055
0.416387,0.017536,0.203522,0.004832,0.121633,0.084256,0.065409,0.274306,0.015264,0.000480,0.001504,0.001120,0.000352,0.941671
0.415683,0.017440,0.203233,0.005184,0.111937,0.083681,0.065568,0.264386,0.014944,0.000480,0.001472,0.001185,0.000384,0.931527
0.416131,0.017312,0.203490,0.004832,0.107777,0.081248,0.063777,0.256130,0.014400,0.000448,0.001440,0.001088,0.000320,0.921415
0.416419,0.017312,0.203457,0.004864,0.116609,0.082849,0.064512,0.266978,0.014592,0.000512,0.001696,0.001248,0.000352,0.936102
0.415619,0.017248,0.204930,0.005280,0.106689,0.079520,0.062625,0.252034,0.014624,0.000480,0.001600,0.000928,0.000416,0.919111
0.414819,0.017376,0.203202,0.004832,0.109889,0.085824,0.063137,0.261954,0.014208,0.000544,0.001408,0.001024,0.000352,0.926279
0.415427,0.017376,0.219169,0.005056,0.103041,0.083073,0.063840,0.252866,0.014272,0.000448,0.001440,0.000864,0.000384,0.933414
0.415491,0.017536,0.203105,0.004897,0.119776,0.082753,0.065440,0.271585,0.014625,0.000320,0.001408,0.001120,0.000320,0.938599
0.415395,0.017472,0.203234,0.004896,0.115009,0.083872,0.064225,0.266434,0.014528,0.000480,0.001376,0.000992,0.000384,0.931815
0.415971,0.017600,0.202785,0.004832,0.138145,0.082081,0.062816,0.286242,0.014464,0.014017,0.002880,0.001120,0.000384,0.966567
0.415811,0.017312,0.202434,0.005280,0.118561,0.088448,0.063585,0.274018,0.014432,0.000512,0.001408,0.000832,0.000320,0.938375
0.415715,0.017216,0.203425,0.004864,0.125857,0.090113,0.064928,0.283842,0.014496,0.000448,0.001408,0.000896,0.000320,0.948518
0.415747,0.017312,0.204546,0.004896,0.115137,0.081408,0.063425,0.262978,0.014208,0.000448,0.001472,0.000928,0.000320,0.929063
0.433955,0.017376,0.203649,0.004800,0.119073,0.090753,0.066848,0.281538,0.014720,0.000512,0.001440,0.001088,0.000352,0.967558
0.415267,0.017440,0.202850,0.005024,0.106176,0.082849,0.063552,0.255617,0.014465,0.000448,0.001472,0.001088,0.000320,0.919655
0.415171,0.017344,0.203457,0.004864,0.113057,0.083328,0.063617,0.263106,0.014400,0.000448,0.001440,0.001248,0.000352,0.928935
0.415203,0.017600,0.203617,0.004864,0.131137,0.081569,0.062592,0.278434,0.014592,0.000416,0.001664,0.001120,0.000352,0.944007
0.415811,0.017345,0.203105,0.005248,0.106305,0.083744,0.064993,0.258242,0.014240,0.000448,0.001472,0.001184,0.000352,0.924359
0.415875,0.017440,0.202945,0.004864,0.112065,0.083681,0.063584,0.262530,0.014272,0.000416,0.001568,0.001120,0.000384,0.927878
0.416067,0.017248,0.203426,0.004864,0.110881,0.085088,0.064641,0.263778,0.014304,0.000480,0.001504,0.001120,0.000352,0.930055
0.431843,0.017472,0.202946,0.004832,0.112480,0.083329,0.063329,0.262370,0.014496,0.000448,0.001440,0.001120,0.000352,0.943815
0.414915,0.017249,0.202977,0.004832,0.114305,0.081600,0.064353,0.263266,0.014304,0.000480,0.001504,0.001120,0.000320,0.927559
0.415491,0.017248,0.202977,0.004864,0.112096,0.082529,0.064704,0.262658,0.014208,0.000416,0.001505,0.001216,0.000352,0.928423
