Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.540405,0.017696,0.211464,0.004929,0.047681,0.000800,0.013505,0.000384,0.001440,0.002592,0.000608,0.849600
0.605847,0.025569,0.291755,0.007297,0.065442,0.001152,0.018881,0.000704,0.002560,0.002816,0.000864,1.038759
0.754845,0.031585,0.397167,0.008928,0.081988,0.001440,0.023552,0.000832,0.002848,0.002944,0.000832,1.321906
0.890721,0.037794,0.433552,0.010112,0.097956,0.001440,0.028225,0.001024,0.003265,0.002752,0.000672,1.522521
0.888801,0.036482,0.432112,0.055426,0.100420,0.001376,0.027681,0.000928,0.003264,0.002816,0.000736,1.565658
0.887554,0.036321,0.433361,0.010080,0.097668,0.001280,0.027809,0.000832,0.003232,0.001984,0.000640,1.515449
0.887905,0.036162,0.432496,0.010176,0.144646,0.001344,0.028417,0.000960,0.003328,0.001952,0.000928,1.564474
0.895266,0.036706,0.437616,0.010497,0.082627,0.001216,0.019457,0.000736,0.002048,0.002848,0.000768,1.505273
0.901570,0.037089,0.440241,0.010368,0.153798,0.001664,0.029025,0.001088,0.003681,0.003872,0.001184,1.602268
0.890658,0.036449,0.436977,0.011040,0.098372,0.001280,0.028737,0.000896,0.003520,0.002912,0.001217,1.528122
0.889729,0.037922,0.471889,0.010497,0.098307,0.001280,0.027969,0.000992,0.003264,0.002272,0.001056,1.560986
0.888673,0.036034,0.432368,0.010400,0.098020,0.001536,0.027873,0.000960,0.003232,0.002048,0.001184,1.517529
0.891393,0.036066,0.471121,0.010753,0.097635,0.001568,0.028417,0.000992,0.003424,0.001920,0.000960,1.563066
0.896801,0.036385,0.431664,0.010241,0.098307,0.001312,0.028545,0.001025,0.002912,0.002048,0.000896,1.523385
0.887393,0.036194,0.481458,0.010944,0.097764,0.001280,0.028385,0.001024,0.003456,0.001889,0.000672,1.567003
0.889313,0.036098,0.432880,0.010560,0.098660,0.001312,0.028097,0.000896,0.003296,0.001664,0.000896,1.516952
0.886913,0.036193,0.431184,0.049250,0.100259,0.001216,0.028514,0.000832,0.003200,0.002272,0.001152,1.556282
0.889314,0.036897,0.434352,0.010081,0.098660,0.001280,0.028417,0.000960,0.003232,0.002016,0.000864,1.519449
0.907490,0.038050,0.488946,0.010560,0.100644,0.001536,0.028801,0.001089,0.003296,0.003936,0.001216,1.605308
0.890241,0.036482,0.432688,0.010336,0.098692,0.001312,0.028705,0.000960,0.003328,0.004001,0.001216,1.523577
0.887393,0.036290,0.475697,0.010625,0.098340,0.001344,0.028257,0.000800,0.003360,0.002432,0.001184,1.562842
0.888225,0.036290,0.432912,0.010464,0.098020,0.001248,0.028353,0.000960,0.003264,0.002176,0.000897,1.516921
0.886849,0.036066,0.478385,0.010720,0.098628,0.001280,0.028513,0.000960,0.003328,0.002368,0.001184,1.564698
0.886370,0.036097,0.431824,0.010209,0.098307,0.001281,0.028353,0.001024,0.003296,0.001856,0.000928,1.514105
0.885409,0.035937,0.432593,0.010592,0.139237,0.001472,0.028257,0.001024,0.003360,0.002112,0.001120,1.556698
0.885890,0.036641,0.430928,0.010497,0.097507,0.001281,0.028577,0.000960,0.003232,0.002272,0.001152,1.513529
0.989669,0.036225,0.472178,0.010816,0.098532,0.001248,0.028385,0.000992,0.003360,0.002304,0.001153,1.659871
0.894849,0.036065,0.431664,0.010592,0.098403,0.001280,0.028449,0.000800,0.003329,0.002016,0.001088,1.522297
0.896258,0.036225,0.480498,0.010689,0.098339,0.001184,0.028290,0.000992,0.003040,0.002112,0.001120,1.573851
0.887041,0.036577,0.430384,0.010368,0.097892,0.001312,0.028385,0.000928,0.003328,0.001856,0.000896,1.514264
0.885889,0.036225,0.432273,0.010240,0.146406,0.001472,0.028769,0.000992,0.003296,0.002080,0.000864,1.565274
0.884865,0.036162,0.432976,0.010208,0.097444,0.001312,0.028129,0.000960,0.003264,0.001760,0.000992,1.512824
0.895937,0.036673,0.437329,0.010528,0.142981,0.001665,0.029313,0.001056,0.003296,0.004064,0.001152,1.584635
0.888993,0.036097,0.433808,0.010336,0.098276,0.001440,0.028769,0.001120,0.003776,0.003392,0.001185,1.523961
0.888641,0.037026,0.479346,0.010528,0.099748,0.001504,0.028449,0.000992,0.003360,0.003233,0.001248,1.574587
0.891937,0.036001,0.433008,0.010528,0.098500,0.001248,0.028545,0.001056,0.003168,0.002272,0.001152,1.524058
0.887105,0.036034,0.471634,0.010752,0.100036,0.001248,0.028385,0.000992,0.003392,0.001696,0.001056,1.560890
0.887873,0.036354,0.433072,0.010432,0.097700,0.001504,0.028321,0.001056,0.003008,0.002081,0.000960,1.517689
0.887713,0.036066,0.431088,0.059106,0.102020,0.001280,0.028449,0.000960,0.003168,0.001984,0.000928,1.570267
0.885505,0.036450,0.431440,0.010336,0.097604,0.001280,0.028065,0.000832,0.003264,0.001856,0.000928,1.511928
0.888321,0.036097,0.431472,0.010721,0.151301,0.001472,0.028289,0.000960,0.003296,0.001824,0.001024,1.573531
0.896737,0.036129,0.432176,0.010753,0.098243,0.001280,0.028418,0.000928,0.003200,0.001792,0.000960,1.526137
0.900514,0.036961,0.440273,0.010816,0.166983,0.001696,0.028673,0.001056,0.003264,0.003616,0.000960,1.615516
0.886977,0.036865,0.434865,0.010336,0.098116,0.001312,0.028225,0.001088,0.003200,0.002944,0.001184,1.521176
0.886145,0.036449,0.478322,0.010848,0.097412,0.001312,0.028289,0.001056,0.003168,0.001889,0.000640,1.562907
0.917666,0.036449,0.458897,0.010401,0.097283,0.001472,0.028289,0.000992,0.003297,0.001952,0.000896,1.573083
0.897601,0.036322,0.488370,0.010593,0.097603,0.001280,0.028033,0.000960,0.003008,0.002144,0.000928,1.584923
0.890274,0.036257,0.433680,0.010561,0.098308,0.001248,0.028001,0.000928,0.003232,0.001760,0.000704,1.520985
0.890626,0.035969,0.486002,0.010753,0.098019,0.001216,0.027969,0.000928,0.003360,0.001888,0.000960,1.575163
0.887457,0.039394,0.432272,0.010528,0.098084,0.001248,0.028257,0.001024,0.003008,0.001921,0.000672,1.518777
0.887649,0.036481,0.433008,0.054018,0.100900,0.001088,0.028097,0.000832,0.002880,0.001697,0.000928,1.564123
0.890337,0.036929,0.432656,0.010400,0.097764,0.001312,0.028129,0.000896,0.002976,0.002048,0.000768,1.519352
0.912354,0.036225,0.436177,0.010528,0.138725,0.001441,0.028097,0.000832,0.003296,0.001760,0.000832,1.587355
0.888801,0.036225,0.433104,0.010081,0.098339,0.001377,0.028321,0.001056,0.003232,0.002304,0.000672,1.519801
0.888961,0.036577,0.433328,0.010337,0.154502,0.001440,0.028673,0.000992,0.003264,0.001952,0.000864,1.579835
0.886274,0.037633,0.431920,0.010369,0.097475,0.001248,0.027841,0.000960,0.003264,0.001696,0.000672,1.512345
0.895329,0.037058,0.440784,0.010369,0.097571,0.001312,0.028033,0.000928,0.003297,0.002144,0.000960,1.579419
0.893409,0.036642,0.435312,0.009952,0.097795,0.001216,0.028129,0.000800,0.002945,0.001984,0.000672,1.524505
0.890625,0.037602,0.434544,0.010208,0.097636,0.001280,0.028193,0.000960,0.002976,0.001888,0.000960,1.522873
0.891202,0.036225,0.439985,0.010464,0.097668,0.001248,0.028257,0.000768,0.003264,0.001792,0.000928,1.528281
0.887425,0.037761,0.434801,0.010336,0.097956,0.001344,0.028353,0.000992,0.003200,0.002336,0.000960,1.521048
0.893761,0.036769,0.435760,0.010209,0.098147,0.001536,0.028481,0.000993,0.003232,0.002720,0.001120,1.530681
0.910658,0.036738,0.438576,0.010465,0.098211,0.001440,0.028417,0.000992,0.052353,0.002816,0.001248,1.599772
0.890914,0.037537,0.433552,0.010273,0.098820,0.001504,0.028129,0.000928,0.003200,0.002336,0.001184,1.525081
0.888802,0.036193,0.435664,0.010497,0.098532,0.001472,0.071746,0.001217,0.003584,0.002656,0.001248,1.570107
0.893762,0.036033,0.438897,0.010272,0.098660,0.001792,0.028257,0.000992,0.003264,0.002528,0.001153,1.533146
0.889154,0.036193,0.434481,0.010496,0.139749,0.001696,0.028193,0.000960,0.003296,0.001728,0.001152,1.564923
0.888033,0.036354,0.434128,0.010496,0.097828,0.001312,0.028385,0.001056,0.003264,0.001760,0.001120,1.520473
0.886177,0.036321,0.433040,0.010145,0.135749,0.001408,0.028577,0.001024,0.003360,0.001952,0.000960,1.556282
0.886113,0.038082,0.432304,0.010144,0.097604,0.001280,0.028225,0.000800,0.002976,0.002496,0.000992,1.516536
0.890530,0.036097,0.433328,0.010497,0.097828,0.001248,0.088419,0.001280,0.003520,0.002176,0.000896,1.583195
0.892673,0.036706,0.438480,0.010433,0.097859,0.001280,0.028097,0.001184,0.003521,0.002368,0.000960,1.529625
1.013766,0.036705,0.438001,0.010144,0.129349,0.001280,0.028225,0.000768,0.003360,0.002369,0.000704,1.681887
0.892065,0.036609,0.432656,0.010401,0.098147,0.001312,0.028321,0.001056,0.003233,0.002112,0.000992,1.522745
0.889185,0.036193,0.433264,0.010497,0.143205,0.001472,0.028449,0.001024,0.003360,0.002017,0.000992,1.566971
0.901026,0.037794,0.439856,0.010624,0.098883,0.001504,0.028545,0.000992,0.003585,0.003904,0.001248,1.546234
0.891810,0.036769,0.478546,0.010689,0.098851,0.001441,0.028449,0.000992,0.003360,0.003264,0.001472,1.573755
