Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-9],Layer[10],classifier
0.415952,0.017569,0.202664,0.004800,0.049762,0.000576,0.013761,0.178599,0.000640,0.891491
0.416945,0.017664,0.202888,0.004768,0.048034,0.000608,0.013601,0.179303,0.000640,0.892003
0.415792,0.017281,0.202472,0.004768,0.048930,0.000576,0.013824,0.179239,0.000640,0.890723
0.433073,0.017281,0.202376,0.004800,0.047810,0.000544,0.013633,0.172966,0.000576,0.899779
0.423312,0.017408,0.202120,0.009217,0.048129,0.000576,0.013472,0.247050,0.000704,0.968902
0.416592,0.017248,0.202248,0.004832,0.048386,0.000576,0.013505,0.179719,0.000672,0.890467
0.417360,0.017249,0.202568,0.004768,0.048482,0.000544,0.013825,0.209960,0.000640,0.922884
0.421233,0.017344,0.203080,0.004897,0.047969,0.000576,0.013505,0.185959,0.000704,0.902819
0.420977,0.017313,0.202151,0.004769,0.048674,0.000576,0.013472,0.183047,0.000832,0.899203
0.417105,0.017504,0.202312,0.004865,0.048321,0.000544,0.013441,0.170471,0.000896,0.882851
0.451697,0.017344,0.203656,0.004864,0.047746,0.000576,0.013601,0.187879,0.000800,0.935972
0.420560,0.017344,0.203112,0.004832,0.048642,0.000576,0.013441,0.173159,0.001088,0.890659
0.416144,0.017505,0.202504,0.004800,0.048930,0.000576,0.013601,0.181991,0.000832,0.894147
0.416656,0.017505,0.220360,0.005057,0.048770,0.000608,0.013824,0.180103,0.001056,0.911427
0.420720,0.017505,0.202280,0.004768,0.049026,0.000544,0.013537,0.183431,0.000640,0.899715
0.416080,0.017665,0.202120,0.004832,0.047586,0.000544,0.013504,0.176711,0.000640,0.886594
0.415920,0.017729,0.202824,0.004928,0.048258,0.000576,0.013537,0.179591,0.000736,0.891939
0.443121,0.017313,0.202120,0.004800,0.049346,0.000576,0.013600,0.181704,0.000608,0.920388
0.416785,0.017504,0.202280,0.004865,0.048257,0.000577,0.013504,0.182727,0.000672,0.894787
