Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],TEE[7-9],Layer[10],classifier
0.432497,0.017473,0.202823,0.005281,0.048642,0.000576,0.013632,0.176327,0.000640,0.905155
0.417617,0.017248,0.202440,0.005280,0.048162,0.000768,0.013697,0.180135,0.000608,0.893155
0.417264,0.017377,0.202056,0.004896,0.047746,0.000832,0.013665,0.181671,0.000608,0.892483
0.417104,0.017345,0.202216,0.005248,0.047618,0.000608,0.013408,0.182664,0.000608,0.893763
0.420689,0.017888,0.202184,0.005217,0.047681,0.000672,0.013632,0.191048,0.000832,0.907044
0.421392,0.017568,0.202600,0.005312,0.048418,0.000544,0.013601,0.173319,0.000640,0.890307
0.418385,0.017568,0.203144,0.004768,0.048386,0.000480,0.013761,0.176519,0.000640,0.890659
0.434417,0.018017,0.203080,0.005184,0.047970,0.000544,0.013664,0.179271,0.000608,0.909796
0.416752,0.017505,0.202280,0.005344,0.049218,0.000544,0.013568,0.177478,0.000705,0.890083
0.416432,0.017793,0.202920,0.005024,0.048578,0.000736,0.013793,0.170982,0.000704,0.884738
0.417104,0.017569,0.202344,0.005216,0.048546,0.000736,0.014145,0.203016,0.000768,0.916900
0.462290,0.017537,0.202152,0.005280,0.048706,0.000576,0.013953,0.176231,0.000736,0.934629
0.416080,0.017793,0.201800,0.005248,0.047874,0.000576,0.013761,0.175527,0.000576,0.886595
0.416240,0.017313,0.202120,0.005312,0.047842,0.000576,0.013761,0.171366,0.000640,0.881410
0.437426,0.017280,0.202664,0.005312,0.047457,0.000768,0.014145,0.174631,0.000544,0.906980
0.418033,0.017473,0.203752,0.005280,0.049602,0.000576,0.013696,0.185640,0.000992,0.902148
0.422321,0.017665,0.203112,0.005248,0.048418,0.000576,0.013600,0.177159,0.000832,0.896003
0.416848,0.017633,0.203560,0.005280,0.048290,0.000832,0.013345,0.199463,0.000672,0.913155
0.417008,0.017697,0.202216,0.005280,0.048130,0.000576,0.013729,0.185255,0.000576,0.897539
0.416369,0.017472,0.202568,0.005249,0.048321,0.000609,0.013760,0.180487,0.000640,0.893027
0.416176,0.017665,0.202664,0.005280,0.048130,0.000768,0.013408,0.167399,0.000640,0.879394
0.433457,0.017472,0.202216,0.005312,0.048002,0.000576,0.013601,0.165318,0.000641,0.893475
0.416721,0.017536,0.202088,0.005248,0.048994,0.000544,0.013889,0.179367,0.000768,0.892387
0.417105,0.017408,0.201992,0.005216,0.047553,0.000576,0.013633,0.183015,0.000704,0.894275
0.416176,0.017568,0.203528,0.005312,0.048290,0.000576,0.013729,0.205480,0.000608,0.918020
0.417552,0.017601,0.203848,0.005248,0.049538,0.000608,0.013665,0.191111,0.000576,0.907491
0.422897,0.017249,0.205320,0.005280,0.047906,0.000576,0.013665,0.186727,0.000672,0.907716
0.417681,0.017536,0.203080,0.005281,0.048673,0.000577,0.013440,0.182855,0.000672,0.897187
0.439441,0.017633,0.202472,0.005248,0.049090,0.000736,0.014113,0.187079,0.000608,0.924068
0.417169,0.017761,0.202632,0.005312,0.048738,0.000832,0.014080,0.178439,0.001024,0.893603
0.421361,0.017504,0.202792,0.005217,0.047522,0.000544,0.013920,0.186471,0.000705,0.903908
0.416368,0.017569,0.202088,0.005312,0.067011,0.000800,0.014017,0.186183,0.000576,0.918020
0.421585,0.017601,0.201896,0.005344,0.048930,0.000768,0.013856,0.174887,0.000640,0.893187
0.416464,0.017505,0.202056,0.005312,0.048866,0.000768,0.013665,0.187303,0.000640,0.899523
0.417040,0.017504,0.202472,0.005344,0.048930,0.000576,0.013697,0.183399,0.000960,0.897283
0.433841,0.017345,0.202376,0.005248,0.048642,0.000576,0.013568,0.179271,0.000960,0.909124
0.417041,0.017440,0.202568,0.005217,0.048193,0.000576,0.013793,0.182183,0.000736,0.895267
0.418256,0.017632,0.201992,0.005312,0.048450,0.000608,0.013729,0.183815,0.000640,0.898051
0.421648,0.017537,0.221801,0.005280,0.047938,0.000608,0.013728,0.182504,0.000640,0.919492
0.416433,0.017536,0.202472,0.005152,0.048226,0.000768,0.014177,0.179943,0.000704,0.893187
0.415825,0.017312,0.202344,0.005217,0.048098,0.000768,0.014528,0.181831,0.000800,0.893827
0.421040,0.017536,0.202280,0.004832,0.047714,0.000608,0.013985,0.182471,0.000992,0.898851
0.431729,0.017600,0.202023,0.005281,0.048866,0.000576,0.013984,0.183207,0.000864,0.912003
0.417009,0.017345,0.202183,0.004833,0.047938,0.000576,0.014048,0.174599,0.000736,0.886627
0.420593,0.017473,0.202216,0.004832,0.048738,0.000608,0.013568,0.183367,0.000864,0.899332
0.415824,0.017473,0.220297,0.005024,0.047970,0.000544,0.013440,0.173735,0.000992,0.902947
0.416208,0.017505,0.202696,0.004800,0.047394,0.000576,0.013728,0.168807,0.000800,0.880130
0.421296,0.017665,0.202152,0.005312,0.047874,0.000800,0.013664,0.182407,0.000704,0.900131
0.416273,0.017729,0.202151,0.005281,0.048450,0.000544,0.013792,0.185607,0.000673,0.898084
0.441266,0.017728,0.202696,0.005280,0.048801,0.000736,0.014177,0.184007,0.000864,0.923140
0.420528,0.017664,0.203848,0.005280,0.048002,0.000768,0.013953,0.172583,0.000576,0.890819
0.416112,0.017697,0.202024,0.005248,0.048162,0.000800,0.013952,0.177830,0.000800,0.889795
0.420593,0.017536,0.221033,0.005280,0.047586,0.000768,0.013697,0.185799,0.000672,0.920484
0.420913,0.017505,0.201672,0.005280,0.048002,0.000768,0.013632,0.185992,0.000768,0.901924
0.420721,0.017409,0.202152,0.005280,0.047746,0.000576,0.013856,0.179463,0.000576,0.895331
0.416497,0.017408,0.202120,0.004865,0.048481,0.000576,0.013824,0.181415,0.000704,0.893123
0.415920,0.017537,0.201896,0.005248,0.048546,0.000576,0.013728,0.181735,0.000672,0.893347
0.419537,0.017697,0.202792,0.004928,0.048066,0.000832,0.014080,0.189672,0.000928,0.907268
0.421073,0.017569,0.202184,0.005344,0.048258,0.000800,0.014016,0.185608,0.000736,0.903236
0.421393,0.035393,0.203304,0.004896,0.048578,0.000800,0.014113,0.177927,0.000800,0.915044
0.415696,0.017537,0.202216,0.005248,0.048002,0.000832,0.013728,0.184648,0.000704,0.896067
0.416752,0.017473,0.201992,0.005280,0.047586,0.000768,0.014400,0.186984,0.000608,0.898819
0.420976,0.017505,0.202248,0.005280,0.048834,0.000544,0.014017,0.180807,0.000800,0.898467
0.416080,0.017793,0.201736,0.005248,0.047970,0.000544,0.013857,0.181479,0.000704,0.892771
0.420784,0.017729,0.202056,0.005376,0.048290,0.000608,0.013889,0.181063,0.000864,0.897795
0.416849,0.017537,0.202344,0.005280,0.047842,0.000768,0.013664,0.182279,0.000672,0.894979
0.435313,0.017825,0.203016,0.005280,0.047650,0.000576,0.013665,0.178823,0.000704,0.910212
0.420176,0.017569,0.202088,0.005472,0.047778,0.000768,0.013696,0.187591,0.000768,0.904195
0.417104,0.017441,0.202344,0.005312,0.049154,0.000736,0.013760,0.188328,0.000800,0.902339
0.416304,0.017728,0.203080,0.005504,0.048034,0.000576,0.013665,0.176391,0.000736,0.906660
0.415568,0.017441,0.202184,0.005248,0.047554,0.000608,0.013953,0.179943,0.000704,0.890147
0.416816,0.017249,0.202472,0.005248,0.048642,0.000608,0.013632,0.178535,0.000608,0.891074
0.415408,0.017537,0.202376,0.004864,0.047458,0.000608,0.013761,0.182599,0.000736,0.892195
0.435857,0.017504,0.203080,0.005217,0.047585,0.000576,0.013728,0.175591,0.000672,0.907843
0.419984,0.017537,0.202152,0.005248,0.047970,0.000800,0.013888,0.182952,0.000864,0.898339
0.417809,0.017600,0.202408,0.005313,0.049250,0.000768,0.013856,0.182759,0.000800,0.897635
0.420817,0.017568,0.203048,0.005249,0.048385,0.000576,0.013665,0.202888,0.000896,0.920420
0.421136,0.017665,0.201864,0.005280,0.048418,0.000800,0.013952,0.178887,0.000672,0.896292
0.416145,0.017729,0.202055,0.005248,0.047874,0.000768,0.014112,0.184935,0.000800,0.897028
0.416784,0.017473,0.202600,0.005376,0.048834,0.000768,0.013825,0.182727,0.000992,0.897219
0.432145,0.017537,0.202408,0.005248,0.048162,0.000800,0.013729,0.177991,0.000960,0.906468
0.420400,0.017440,0.202216,0.005216,0.048706,0.000576,0.013601,0.181543,0.000736,0.898083
0.417008,0.017665,0.202056,0.005248,0.047906,0.000768,0.013728,0.180872,0.001152,0.893571
0.416688,0.017729,0.202120,0.005312,0.048546,0.000736,0.013729,0.208296,0.000768,0.921316
0.415856,0.017953,0.202184,0.005312,0.047298,0.000768,0.013696,0.178183,0.000768,0.889090
0.415857,0.017984,0.203176,0.005249,0.047169,0.000576,0.013601,0.187943,0.000960,0.900067
0.419824,0.017665,0.201928,0.005280,0.047138,0.000736,0.013473,0.180391,0.000800,0.894819
0.448178,0.017793,0.202056,0.005312,0.048130,0.000576,0.013632,0.185160,0.000832,0.929541
0.416880,0.017728,0.202216,0.005280,0.048386,0.000800,0.013793,0.182311,0.000672,0.896003
0.421969,0.017665,0.203048,0.005312,0.049122,0.000576,0.013888,0.185512,0.000864,0.905252
0.416656,0.017536,0.202440,0.005248,0.047906,0.000800,0.013793,0.203240,0.000960,0.916100
0.420304,0.017345,0.201960,0.005280,0.047682,0.000800,0.013664,0.183944,0.000736,0.899331
0.420816,0.017537,0.202312,0.005312,0.048578,0.000576,0.013728,0.182952,0.000640,0.899427
0.421105,0.017409,0.202216,0.005248,0.047458,0.000768,0.013760,0.182632,0.000800,0.898404
0.436337,0.017376,0.202535,0.004833,0.047554,0.001024,0.013632,0.173991,0.000768,0.905731
0.421680,0.017761,0.201896,0.005248,0.047074,0.000576,0.013760,0.178855,0.000608,0.895267
0.420689,0.017760,0.202312,0.005281,0.047201,0.000608,0.013409,0.184039,0.000928,0.899203
0.416753,0.017633,0.202055,0.005249,0.082211,0.000832,0.013537,0.183815,0.000672,0.930469
0.417361,0.017729,0.202664,0.005280,0.047874,0.000576,0.013760,0.178759,0.000800,0.892035
0.416784,0.017729,0.201960,0.005312,0.049442,0.000800,0.013824,0.193255,0.000896,0.907779
0.421073,0.017472,0.201799,0.005281,0.048834,0.000608,0.013952,0.175463,0.000672,0.892291
0.435473,0.017569,0.202408,0.005344,0.047714,0.000576,0.013601,0.190151,0.000608,0.920676
0.416401,0.017568,0.202216,0.005345,0.048353,0.000577,0.013664,0.178311,0.000704,0.890115
0.416336,0.017505,0.202280,0.005216,0.048578,0.000608,0.013953,0.186183,0.000768,0.898307
0.416785,0.017696,0.220168,0.005184,0.048834,0.000576,0.013793,0.185127,0.000800,0.916260
0.420240,0.017729,0.202376,0.005280,0.048290,0.000576,0.013761,0.182599,0.000960,0.899043
0.416752,0.017505,0.201992,0.005248,0.049122,0.000768,0.013793,0.188583,0.000864,0.901923
0.420720,0.017505,0.202152,0.005088,0.047842,0.000832,0.014369,0.192327,0.000768,0.908931
0.416560,0.017601,0.202856,0.005280,0.047522,0.000576,0.013984,0.196904,0.000992,0.909539
0.416912,0.017697,0.202152,0.005248,0.048002,0.000736,0.013888,0.188168,0.000896,0.902531
0.421712,0.017569,0.202184,0.005248,0.048066,0.000544,0.013697,0.182823,0.000640,0.899331
0.439537,0.017633,0.203848,0.005120,0.048130,0.000800,0.013728,0.189224,0.000640,0.926180
0.420656,0.017729,0.202856,0.005056,0.048258,0.000768,0.013857,0.182375,0.000704,0.900195
0.421232,0.017505,0.202312,0.005312,0.048418,0.000768,0.013953,0.188519,0.000672,0.906403
0.415952,0.017537,0.202664,0.005248,0.048898,0.000576,0.013921,0.203623,0.000704,0.916580
0.415760,0.017312,0.202376,0.005312,0.049826,0.000544,0.013889,0.191015,0.000833,0.905892
0.416081,0.017440,0.204136,0.005345,0.048962,0.000800,0.013600,0.182343,0.000800,0.897091
0.421072,0.017697,0.202632,0.005248,0.048546,0.000576,0.013696,0.186407,0.001024,0.904643
0.434257,0.017440,0.202184,0.005440,0.047906,0.000576,0.013793,0.179527,0.000608,0.909924
0.417328,0.017697,0.202184,0.005344,0.048482,0.000544,0.013633,0.184423,0.000768,0.898499
0.417264,0.017345,0.204936,0.005216,0.048322,0.000576,0.013633,0.186983,0.000800,0.901923
0.420848,0.017537,0.201864,0.005216,0.048578,0.000576,0.013889,0.201864,0.000736,0.918660
0.416400,0.017729,0.202248,0.005184,0.047938,0.000576,0.013761,0.182087,0.000672,0.894435
0.416273,0.017345,0.202343,0.005249,0.048098,0.000576,0.013824,0.188328,0.000608,0.900004
0.420464,0.017377,0.201928,0.005312,0.049314,0.000608,0.013665,0.187399,0.000800,0.903683
0.436753,0.017568,0.202088,0.005249,0.048258,0.000576,0.013664,0.176711,0.000928,0.908739
0.415697,0.017312,0.202376,0.005057,0.047905,0.000608,0.013568,0.177383,0.000640,0.887299
0.415952,0.017377,0.202376,0.005312,0.047522,0.000608,0.013536,0.159943,0.000608,0.870402
0.416080,0.017441,0.202440,0.005280,0.047426,0.000608,0.013985,0.198088,0.000832,0.908932
0.415440,0.017473,0.202312,0.005312,0.047618,0.000512,0.013505,0.175847,0.000544,0.884803
0.415696,0.017537,0.202408,0.005216,0.048674,0.000576,0.013760,0.182567,0.000736,0.894147
0.415600,0.017537,0.202216,0.005024,0.048130,0.000768,0.013792,0.182567,0.000864,0.894371
0.434033,0.017345,0.202216,0.005280,0.047394,0.000608,0.013632,0.174343,0.000736,0.902883
0.417296,0.017569,0.201960,0.005248,0.047778,0.000576,0.013568,0.180968,0.000704,0.892867
0.420977,0.017441,0.201864,0.005248,0.048258,0.000576,0.013664,0.179719,0.000736,0.895651
0.420688,0.017441,0.202056,0.005184,0.047490,0.000576,0.013633,0.197927,0.000768,0.913188
0.416592,0.017664,0.202216,0.005280,0.047778,0.000576,0.013697,0.181543,0.000768,0.893379
0.416720,0.017377,0.202664,0.005376,0.048258,0.000800,0.013856,0.187976,0.000672,0.901187
0.416912,0.017537,0.204872,0.005248,0.048290,0.000768,0.014177,0.172358,0.000672,0.888226
0.432881,0.017408,0.202344,0.005281,0.048001,0.000800,0.014240,0.182759,0.000608,0.912355
0.420752,0.017697,0.202248,0.005216,0.048802,0.000768,0.013825,0.177799,0.000768,0.895075
0.421073,0.017793,0.201960,0.005248,0.049890,0.000576,0.013952,0.182248,0.000960,0.900964
0.420753,0.017217,0.201736,0.005280,0.048194,0.000576,0.013824,0.211593,0.000768,0.927493
0.416272,0.017473,0.202440,0.005248,0.048642,0.000544,0.013665,0.171942,0.000800,0.883970
0.420976,0.017633,0.202056,0.005216,0.047682,0.000576,0.013633,0.186407,0.000672,0.902339
0.420112,0.017665,0.201960,0.005312,0.048354,0.000576,0.013441,0.179623,0.000832,0.895299
0.449170,0.017505,0.201864,0.005312,0.048418,0.000800,0.013664,0.179815,0.000672,0.926404
0.417329,0.017792,0.203112,0.005281,0.048545,0.000769,0.013952,0.186151,0.000704,0.901764
0.421776,0.017601,0.202248,0.005248,0.047778,0.000768,0.014240,0.183208,0.000736,0.900547
0.419920,0.017505,0.202216,0.005280,0.068035,0.000800,0.013633,0.183559,0.000768,0.919268
0.420401,0.017249,0.201928,0.005216,0.048322,0.000576,0.013856,0.189640,0.000896,0.905284
0.415504,0.017537,0.202792,0.005248,0.048898,0.000576,0.013856,0.182215,0.001025,0.894947
0.420400,0.017313,0.202216,0.005248,0.048322,0.000544,0.013792,0.190632,0.000576,0.906179
0.438705,0.017313,0.203016,0.005280,0.048386,0.000608,0.013664,0.187719,0.000704,0.922852
0.415953,0.017376,0.201991,0.005217,0.048034,0.000576,0.013696,0.185319,0.000640,0.895779
0.420912,0.017536,0.202120,0.005248,0.048162,0.000576,0.013793,0.184423,0.000704,0.900579
0.421808,0.017377,0.231881,0.005280,0.048002,0.000576,0.013473,0.191047,0.000704,0.938660
0.420464,0.017761,0.203720,0.005280,0.048194,0.000576,0.013825,0.181991,0.000672,0.900803
0.417200,0.017569,0.202728,0.005280,0.048898,0.000800,0.014817,0.181895,0.000800,0.897219
0.420880,0.017761,0.202504,0.005312,0.047394,0.000544,0.014176,0.189159,0.001024,0.906147
0.417169,0.017473,0.202087,0.005281,0.048290,0.000576,0.013760,0.182471,0.000832,0.895299
0.420241,0.017664,0.202568,0.005217,0.048065,0.000608,0.013729,0.182183,0.000704,0.897955
0.420977,0.017472,0.202696,0.005280,0.047937,0.000576,0.013793,0.189927,0.000769,0.906980
0.416176,0.017249,0.215720,0.005441,0.047745,0.000577,0.013824,0.186599,0.000928,0.911684
0.415472,0.017697,0.202312,0.005280,0.048546,0.000576,0.014145,0.181831,0.000928,0.893987
0.415952,0.017665,0.201863,0.005249,0.047938,0.000544,0.013760,0.176455,0.000640,0.887043
0.417169,0.017536,0.202472,0.005216,0.049538,0.000800,0.013761,0.185255,0.000640,0.900163
0.417360,0.017537,0.202184,0.005312,0.048482,0.000768,0.013857,0.188423,0.000640,0.901827
0.415216,0.017569,0.202920,0.005280,0.049282,0.000608,0.014081,0.183783,0.000704,0.898339
0.420592,0.017665,0.202216,0.005248,0.048834,0.000544,0.014017,0.181351,0.000640,0.898755
0.420624,0.041346,0.203912,0.005248,0.049026,0.000608,0.013889,0.182983,0.000768,0.927204
0.422352,0.017249,0.202312,0.005344,0.049346,0.000800,0.013697,0.183079,0.000704,0.901795
0.421008,0.017537,0.202280,0.005280,0.047810,0.000800,0.013793,0.169702,0.000608,0.886947
0.420304,0.017473,0.202120,0.005312,0.047394,0.000800,0.013761,0.190023,0.000832,0.905411
0.421008,0.017473,0.202280,0.004864,0.049570,0.000800,0.013793,0.183719,0.000640,0.902467
0.416208,0.017729,0.202408,0.005280,0.049218,0.000768,0.013792,0.182983,0.000768,0.896388
0.416688,0.017825,0.202344,0.005376,0.049058,0.000800,0.013792,0.185032,0.000640,0.901059
0.434993,0.017569,0.202888,0.005216,0.048258,0.000736,0.013985,0.189159,0.000640,0.920996
0.421425,0.017249,0.202728,0.005056,0.048962,0.000576,0.013984,0.180008,0.000640,0.899236
0.416880,0.017472,0.202248,0.005312,0.048930,0.000576,0.013825,0.183463,0.000640,0.896355
0.417392,0.017249,0.202408,0.005248,0.047970,0.000576,0.013729,0.202888,0.000704,0.916132
0.416657,0.017472,0.203400,0.004961,0.047905,0.000576,0.013856,0.178215,0.000960,0.891043
0.416656,0.017345,0.201928,0.004960,0.047938,0.000576,0.013793,0.181767,0.000992,0.892867
0.421041,0.017313,0.202120,0.005280,0.047458,0.000576,0.013760,0.182344,0.000608,0.897828
0.438385,0.017473,0.202184,0.005184,0.047202,0.000608,0.013761,0.190439,0.000608,0.923492
0.418321,0.017761,0.201896,0.005216,0.047458,0.000544,0.013632,0.180711,0.000672,0.894243
0.416592,0.017600,0.201960,0.005280,0.048674,0.000768,0.013889,0.182599,0.000704,0.895907
0.417008,0.017729,0.202280,0.005280,0.049026,0.000768,0.013760,0.200776,0.000672,0.914819
0.422353,0.017441,0.202056,0.005056,0.048994,0.000736,0.013696,0.178727,0.000576,0.897604
0.416976,0.017345,0.203240,0.005216,0.049090,0.000544,0.014369,0.191527,0.000608,0.906723
0.417008,0.017281,0.202152,0.005248,0.047842,0.000544,0.013824,0.185096,0.001024,0.897539
0.445170,0.017633,0.202311,0.005377,0.048322,0.000608,0.013664,0.175463,0.000576,0.916196
0.415600,0.017409,0.202664,0.005280,0.048258,0.000576,0.013728,0.192903,0.000832,0.905251
0.421904,0.017345,0.203784,0.005280,0.048514,0.000576,0.013633,0.184263,0.000704,0.904675
0.416785,0.017473,0.202791,0.005248,0.048706,0.000768,0.013568,0.202376,0.000704,0.915812
0.416752,0.017537,0.202728,0.005312,0.048706,0.000736,0.013985,0.187495,0.000832,0.901155
0.421489,0.017857,0.203880,0.005248,0.048130,0.000576,0.013568,0.181287,0.000864,0.900163
0.416337,0.017664,0.203815,0.005280,0.048418,0.000544,0.013824,0.181447,0.001024,0.895939
0.431825,0.017569,0.202728,0.004960,0.049122,0.000608,0.013697,0.194983,0.000736,0.923908
0.415600,0.017313,0.203048,0.005280,0.047970,0.000576,0.013665,0.176711,0.000672,0.888067
0.415824,0.017313,0.202408,0.005248,0.048098,0.000544,0.013633,0.178759,0.000704,0.889347
0.416304,0.017569,0.201992,0.005280,0.048994,0.000576,0.013697,0.202983,0.000672,0.914852
0.415504,0.017217,0.202664,0.005248,0.048194,0.000480,0.013664,0.179527,0.000833,0.889891
0.415728,0.017441,0.203432,0.005280,0.047522,0.000480,0.013600,0.177351,0.000672,0.887842
0.415632,0.017441,0.202184,0.005216,0.047586,0.000480,0.013856,0.175015,0.000608,0.884322
0.438194,0.017472,0.202408,0.005313,0.049570,0.000672,0.013728,0.183751,0.000736,0.919044
0.420816,0.017761,0.202920,0.005312,0.047650,0.000800,0.014145,0.180455,0.000768,0.897187
0.417905,0.017569,0.204872,0.005152,0.048354,0.000576,0.013824,0.177543,0.000768,0.894211
0.416560,0.017793,0.202408,0.005280,0.048130,0.000576,0.013696,0.209289,0.000672,0.923364
0.415761,0.017408,0.202312,0.005281,0.049185,0.000577,0.013664,0.174791,0.000768,0.886595
0.416496,0.017441,0.202664,0.005248,0.048130,0.000512,0.013664,0.178951,0.000736,0.891010
0.415888,0.017217,0.202536,0.005024,0.047746,0.000608,0.013792,0.175431,0.000704,0.885890
0.437937,0.017313,0.202407,0.005312,0.048194,0.000576,0.013664,0.178311,0.000864,0.911491
0.415280,0.017473,0.202247,0.005248,0.047490,0.000544,0.013344,0.177095,0.000672,0.885986
0.415473,0.017632,0.202504,0.005409,0.047745,0.000576,0.013601,0.182663,0.000736,0.893987
0.416304,0.017473,0.202088,0.005312,0.048258,0.000544,0.013600,0.179335,0.000704,0.891907
0.416145,0.017440,0.202248,0.005313,0.048514,0.000608,0.013568,0.184359,0.000768,0.896227
0.417072,0.017697,0.203464,0.005312,0.048226,0.000608,0.013921,0.181191,0.000608,0.895171
0.416977,0.017728,0.202600,0.005281,0.047905,0.000577,0.013696,0.169223,0.000672,0.881827
0.437361,0.017760,0.202632,0.005217,0.048161,0.000768,0.013696,0.178087,0.000672,0.910755
0.420657,0.017473,0.203592,0.005248,0.047874,0.000832,0.013856,0.183079,0.000769,0.900388
0.416816,0.017409,0.204168,0.005344,0.048354,0.000768,0.014209,0.190119,0.000608,0.904771
0.420689,0.017632,0.202824,0.005249,0.047041,0.000576,0.013825,0.159718,0.000768,0.875010
0.414640,0.017441,0.202248,0.005280,0.048866,0.000576,0.013697,0.172806,0.000832,0.882850
0.417072,0.017665,0.202824,0.005216,0.047554,0.000512,0.013664,0.174535,0.000704,0.885826
0.421265,0.017441,0.202184,0.005216,0.047842,0.000576,0.013696,0.181672,0.001056,0.898596
0.416624,0.033858,0.203016,0.004896,0.048386,0.000736,0.013600,0.194312,0.000672,0.923972
0.415793,0.017697,0.202471,0.005281,0.048194,0.000800,0.014112,0.181159,0.000672,0.893443
0.422033,0.017409,0.202536,0.005280,0.048322,0.000608,0.014528,0.184744,0.000576,0.904036
0.416944,0.017601,0.202472,0.005312,0.049122,0.000608,0.013824,0.182568,0.000800,0.895939
0.416112,0.017505,0.202024,0.005280,0.048546,0.000576,0.013889,0.179239,0.000608,0.890947
0.416688,0.017473,0.201992,0.005280,0.047522,0.000576,0.013633,0.181607,0.000864,0.892771
0.420368,0.017473,0.202568,0.005280,0.047074,0.000576,0.013729,0.190695,0.000672,0.905603
0.437265,0.017345,0.202312,0.004832,0.047010,0.001024,0.013728,0.180200,0.000576,0.911140
0.420816,0.017569,0.202792,0.005184,0.047394,0.001056,0.013633,0.178567,0.000672,0.894723
0.416912,0.017505,0.202312,0.005312,0.047298,0.000576,0.013664,0.180039,0.000736,0.891107
0.419696,0.017633,0.204648,0.005280,0.048450,0.000800,0.013825,0.221641,0.000768,0.942597
0.421136,0.017633,0.202920,0.005280,0.048098,0.000800,0.013665,0.190823,0.000640,0.908707
0.416176,0.017345,0.202792,0.005312,0.047586,0.000768,0.013697,0.192103,0.000640,0.903939
0.416528,0.017569,0.202440,0.005248,0.048802,0.000768,0.013664,0.189224,0.000736,0.902243
0.439505,0.017537,0.202440,0.005248,0.047458,0.000832,0.013664,0.189416,0.000640,0.924356
0.421008,0.017441,0.202120,0.005216,0.047490,0.001056,0.013664,0.183336,0.000736,0.899171
0.416080,0.017537,0.202696,0.005184,0.047586,0.000576,0.013728,0.181896,0.000800,0.893283
0.416561,0.017792,0.202408,0.005249,0.047233,0.000608,0.013728,0.201448,0.000640,0.913316
0.416145,0.017536,0.202407,0.005249,0.048258,0.000576,0.013632,0.180263,0.000608,0.892099
0.417904,0.017697,0.202408,0.005216,0.048674,0.000864,0.013633,0.176166,0.000704,0.891267
0.416945,0.017953,0.202599,0.005505,0.048514,0.000576,0.013760,0.186472,0.000704,0.901316
0.438193,0.017345,0.202632,0.005344,0.048706,0.000544,0.013729,0.178695,0.000672,0.913540
0.420624,0.017473,0.203080,0.004832,0.048034,0.000768,0.014049,0.176295,0.000736,0.893859
0.416400,0.017505,0.202568,0.005248,0.047906,0.000768,0.013665,0.176935,0.000768,0.888899
0.415984,0.017601,0.202535,0.005312,0.048194,0.000768,0.013600,0.202856,0.000544,0.914084
0.415953,0.017312,0.202568,0.004833,0.048354,0.000576,0.013376,0.172871,0.000640,0.883683
0.415633,0.017504,0.203240,0.005217,0.048002,0.000608,0.013632,0.189192,0.000672,0.900356
0.416145,0.017505,0.202151,0.005313,0.047938,0.000576,0.013664,0.181927,0.000832,0.892963
0.433233,0.017633,0.202056,0.005280,0.047714,0.000544,0.013569,0.192455,0.000704,0.919780
0.416944,0.017505,0.202184,0.005312,0.049634,0.000768,0.013985,0.194151,0.001024,0.910531
0.416465,0.017761,0.202727,0.005345,0.049218,0.000768,0.013952,0.194120,0.000736,0.909604
0.420241,0.017504,0.202120,0.005312,0.067171,0.000832,0.014081,0.181191,0.000640,0.916356
0.416657,0.017280,0.202152,0.005249,0.049217,0.000577,0.014240,0.169831,0.000576,0.882115
0.416273,0.017600,0.201992,0.005280,0.048834,0.000800,0.013761,0.184743,0.000576,0.896355
0.420721,0.017473,0.202343,0.005313,0.048194,0.000576,0.013760,0.177255,0.000736,0.892803
0.436273,0.017312,0.202216,0.005473,0.048289,0.000544,0.013665,0.182023,0.000704,0.912931
0.415761,0.017536,0.202760,0.005248,0.048002,0.000576,0.013633,0.172807,0.000704,0.883619
0.420177,0.017600,0.202600,0.005249,0.048001,0.000577,0.013600,0.207560,0.000640,0.922756
0.415761,0.017601,0.202151,0.005249,0.048162,0.000576,0.029409,0.176583,0.000800,0.903268
0.418352,0.017633,0.203656,0.005312,0.049058,0.000800,0.013696,0.196520,0.000608,0.914051
0.417232,0.017761,0.202952,0.005280,0.049826,0.000576,0.014177,0.176359,0.000736,0.892643
0.421456,0.017761,0.202408,0.005280,0.050050,0.000608,0.013697,0.181735,0.000672,0.900579
0.430225,0.017569,0.202568,0.005216,0.049538,0.000576,0.013664,0.176615,0.000672,0.903108
0.414992,0.017441,0.202248,0.005280,0.049090,0.000576,0.013665,0.182471,0.000704,0.893475
0.415920,0.017249,0.203016,0.005248,0.048706,0.000576,0.013697,0.179015,0.000672,0.890915
0.416241,0.017568,0.202536,0.005249,0.049122,0.000576,0.030561,0.183623,0.000864,0.913348
0.462418,0.017473,0.202120,0.005024,0.049858,0.000576,0.013857,0.178279,0.000768,0.937029
0.416528,0.017409,0.201960,0.005248,0.049314,0.000512,0.013761,0.186983,0.000896,0.899811
0.415345,0.017248,0.202087,0.005057,0.049922,0.000448,0.013728,0.179847,0.000864,0.891235
0.446738,0.017697,0.202472,0.005280,0.049026,0.000768,0.013824,0.189000,0.001056,0.933509
0.417777,0.017601,0.202407,0.005313,0.049890,0.000800,0.014432,0.178151,0.000608,0.894435
0.421296,0.017601,0.202536,0.005280,0.049570,0.000576,0.013921,0.180679,0.000736,0.899107
