Layer[0],Layer[1],Layer[2],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421200,0.017920,0.202344,0.240106,0.014240,0.000480,0.001472,0.000928,0.000384,0.906051
0.417456,0.017697,0.202504,0.243178,0.014496,0.000480,0.001504,0.000960,0.000384,0.906180
0.438737,0.017601,0.202280,0.233481,0.014465,0.000480,0.001440,0.000992,0.000384,0.917252
0.422352,0.017505,0.202056,0.236425,0.014561,0.000448,0.001504,0.001056,0.000416,0.903523
0.420625,0.017696,0.202664,0.240170,0.014144,0.000480,0.001440,0.000896,0.000384,0.905956
0.421553,0.017664,0.202152,0.258059,0.014464,0.000448,0.001408,0.000960,0.000384,0.924132
0.417232,0.017761,0.201960,0.235305,0.014241,0.000512,0.001440,0.001024,0.000352,0.897219
0.416945,0.017728,0.202152,0.229225,0.014369,0.000512,0.001440,0.000992,0.000384,0.892803
0.422960,0.017440,0.202920,0.240490,0.014848,0.000480,0.001504,0.001024,0.000385,0.909636
0.438834,0.017504,0.202376,0.244426,0.014625,0.000512,0.001504,0.000896,0.000352,0.928197
0.420305,0.017377,0.201991,0.240746,0.014625,0.000448,0.001472,0.001056,0.000384,0.905284
0.415729,0.017312,0.202312,0.234890,0.014432,0.000512,0.001536,0.000896,0.000384,0.894979
0.415633,0.017600,0.203496,0.282668,0.014464,0.000448,0.001440,0.000992,0.000384,0.944805
0.420624,0.017601,0.202280,0.239402,0.013952,0.000480,0.001440,0.000928,0.000384,0.904451
0.415824,0.017664,0.202056,0.239562,0.014016,0.000480,0.001504,0.001024,0.000352,0.899619
0.415953,0.017441,0.202183,0.227689,0.014241,0.000448,0.001440,0.000928,0.000416,0.887651
0.434065,0.017601,0.202408,0.218729,0.014272,0.000448,0.001472,0.001056,0.000384,0.898403
0.420177,0.017569,0.201832,0.231273,0.014336,0.000544,0.001505,0.001024,0.000320,0.896708
0.416240,0.017697,0.202152,0.243114,0.014080,0.000480,0.001440,0.001056,0.000352,0.903875
0.417265,0.017313,0.220008,0.236682,0.014528,0.000416,0.001440,0.000992,0.000320,0.916260
0.420017,0.017761,0.202184,0.226216,0.014561,0.000512,0.001472,0.000864,0.000352,0.891043
0.419856,0.017505,0.202024,0.237289,0.014337,0.000480,0.001472,0.000896,0.000320,0.901091
0.416496,0.017249,0.202440,0.234793,0.014273,0.000448,0.001472,0.000960,0.000352,0.895843
0.420464,0.017313,0.202952,0.235529,0.014561,0.000480,0.001440,0.000896,0.000320,0.901059
0.420176,0.017345,0.202120,0.241257,0.014913,0.000448,0.001376,0.000864,0.000352,0.906051
0.415792,0.017728,0.201960,0.242346,0.014368,0.000480,0.001504,0.000864,0.000320,0.902563
0.420817,0.017504,0.220329,0.228585,0.014145,0.000512,0.001408,0.000928,0.000320,0.912772
0.420689,0.017569,0.202056,0.244969,0.014177,0.000480,0.001472,0.001056,0.000352,0.911076
0.420657,0.017761,0.202760,0.236969,0.014240,0.000481,0.001440,0.001056,0.000384,0.903428
0.415921,0.017504,0.202504,0.238730,0.013984,0.000480,0.001472,0.000960,0.000352,0.898916
0.420529,0.017761,0.202632,0.236169,0.014080,0.000544,0.001537,0.000992,0.000640,0.901988
0.420561,0.017537,0.202376,0.239657,0.014433,0.000480,0.001472,0.001024,0.000576,0.905220
0.415824,0.017249,0.202184,0.240681,0.014017,0.000480,0.001568,0.000896,0.000576,0.900259
0.420848,0.017761,0.203144,0.240329,0.014209,0.000448,0.001440,0.001024,0.000352,0.929348
0.420816,0.017728,0.202184,0.227273,0.014145,0.000480,0.001472,0.000928,0.000352,0.892515
0.415760,0.017409,0.202216,0.229801,0.014529,0.000480,0.001504,0.001024,0.000608,0.890371
0.422577,0.017729,0.202664,0.234121,0.014241,0.000448,0.001536,0.001088,0.000640,0.902532
0.420400,0.017441,0.202504,0.248074,0.014368,0.000576,0.001505,0.000960,0.000608,0.914148
0.420977,0.017729,0.202344,0.234569,0.014209,0.000480,0.001440,0.001088,0.001056,0.901476
0.421328,0.017569,0.202600,0.241193,0.013888,0.000480,0.001504,0.000928,0.000352,0.906787
0.436785,0.017537,0.202184,0.239145,0.014561,0.000512,0.001504,0.000992,0.000608,0.921284
0.420945,0.017632,0.202760,0.240138,0.014144,0.000480,0.001505,0.001056,0.000640,0.906852
0.420048,0.017441,0.202376,0.234121,0.013953,0.000448,0.001504,0.000960,0.000352,0.898819
0.420433,0.017473,0.202087,0.257771,0.014176,0.000448,0.001504,0.001024,0.000320,0.921764
0.419505,0.017280,0.201928,0.239306,0.015520,0.000513,0.001472,0.000896,0.000320,0.904100
0.419952,0.017825,0.201864,0.231017,0.014049,0.000384,0.001536,0.000896,0.000320,0.895235
0.419729,0.017697,0.202152,0.241417,0.014273,0.000448,0.001568,0.000992,0.000352,0.906116
0.437361,0.017633,0.202408,0.230697,0.013984,0.000480,0.001472,0.000897,0.000416,0.913188
0.415888,0.017505,0.201992,0.227048,0.013985,0.000448,0.001504,0.000992,0.000384,0.886371
0.415889,0.017569,0.202215,0.235818,0.014112,0.000448,0.001440,0.000864,0.000609,0.895524
0.420816,0.017601,0.201768,0.236873,0.016097,0.000480,0.001440,0.000960,0.000352,0.903843
0.419696,0.017505,0.201864,0.234057,0.014817,0.000384,0.001408,0.000832,0.000416,0.898211
0.415601,0.017697,0.202663,0.243946,0.014049,0.000448,0.001504,0.000928,0.000352,0.904740
0.416048,0.017921,0.202568,0.231881,0.014080,0.000480,0.001537,0.000928,0.000384,0.892899
0.434770,0.018016,0.201800,0.247626,0.014497,0.000480,0.001568,0.000992,0.000384,0.927685
0.416208,0.017280,0.202472,0.234409,0.015969,0.000480,0.001536,0.000896,0.000320,0.896995
0.418128,0.017793,0.202472,0.240297,0.014529,0.000480,0.001600,0.000928,0.000608,0.905187
0.415920,0.017473,0.202344,0.232393,0.014369,0.000512,0.001440,0.000928,0.000384,0.893635
0.419728,0.017504,0.202792,0.229513,0.014593,0.000480,0.001440,0.001088,0.000832,0.896131
0.418960,0.018017,0.203496,0.239497,0.014272,0.000448,0.001472,0.001024,0.000352,0.905411
0.415888,0.017537,0.201832,0.244298,0.014272,0.000384,0.001504,0.000960,0.000352,0.905027
0.435889,0.017857,0.202280,0.247145,0.014561,0.000448,0.001440,0.001056,0.000352,0.928900
0.420016,0.017697,0.202120,0.242665,0.014112,0.000480,0.001472,0.001088,0.000416,0.908035
0.420689,0.017472,0.202664,0.246154,0.014529,0.000448,0.001472,0.000928,0.000608,0.913252
0.421040,0.017760,0.201992,0.265387,0.014304,0.000448,0.001440,0.001056,0.000416,0.931588
0.420336,0.017729,0.201768,0.228713,0.014081,0.000448,0.001376,0.001056,0.000384,0.893571
0.416081,0.017857,0.202632,0.241929,0.014273,0.000480,0.001408,0.000928,0.000384,0.904548
0.420113,0.017825,0.202792,0.246121,0.014305,0.000544,0.001536,0.000896,0.000384,0.912132
0.435698,0.017760,0.202504,0.244202,0.014145,0.000512,0.001440,0.000928,0.000416,0.924901
0.416304,0.017729,0.203048,0.235561,0.014401,0.000544,0.001472,0.001056,0.000416,0.897763
0.420240,0.017921,0.202344,0.247402,0.014080,0.000480,0.001536,0.001056,0.000384,0.912003
0.420848,0.017729,0.202184,0.252746,0.014369,0.000480,0.001440,0.000992,0.000832,0.919396
0.415728,0.017761,0.202184,0.235753,0.014241,0.000448,0.001472,0.001024,0.000320,0.897059
0.416497,0.017696,0.202184,0.248330,0.014145,0.000480,0.001472,0.001088,0.000384,0.909540
0.420465,0.017345,0.202247,0.243210,0.014593,0.000448,0.001472,0.000960,0.000608,0.909476
0.436625,0.017953,0.202280,0.239145,0.014241,0.000448,0.001472,0.000992,0.000416,0.921348
0.421489,0.017696,0.202120,0.234986,0.014272,0.000480,0.001536,0.001120,0.000832,0.903299
0.420464,0.017920,0.202440,0.242826,0.014464,0.000512,0.001728,0.001089,0.000384,0.909636
0.416560,0.017760,0.202664,0.267371,0.014720,0.000448,0.001440,0.001056,0.000384,0.930085
0.416080,0.017473,0.202568,0.245033,0.014656,0.000448,0.001472,0.001056,0.000352,0.906659
0.416945,0.017889,0.204328,0.242889,0.014401,0.000544,0.001600,0.001088,0.000384,0.907876
0.420368,0.017760,0.202856,0.238698,0.014464,0.000448,0.001536,0.000896,0.000384,0.905155
0.429137,0.017761,0.202696,0.248522,0.016832,0.000512,0.001472,0.001024,0.000320,0.927589
0.416656,0.017921,0.203464,0.258026,0.014273,0.000480,0.001504,0.000960,0.000288,0.921860
0.416528,0.017472,0.203752,0.241162,0.014720,0.000448,0.001536,0.001089,0.000384,0.905636
0.420752,0.017537,0.202856,0.274891,0.014784,0.000449,0.001472,0.001056,0.000416,0.942309
0.421201,0.017793,0.203176,0.246121,0.014656,0.000480,0.001536,0.000992,0.000352,0.915300
0.421136,0.018080,0.202888,0.250730,0.016353,0.000480,0.001792,0.001120,0.000384,0.921284
0.421264,0.017504,0.203112,0.245130,0.014464,0.000481,0.001536,0.001024,0.000416,0.912548
0.417041,0.017344,0.202472,0.253898,0.014721,0.000448,0.001856,0.000960,0.000352,0.917668
0.420368,0.017569,0.202216,0.248490,0.014464,0.000448,0.001600,0.001056,0.000608,0.914884
0.420529,0.017601,0.202696,0.248393,0.014241,0.000448,0.001888,0.001024,0.000384,0.915268
0.446290,0.018113,0.202664,0.256426,0.014240,0.000448,0.001633,0.001024,0.000352,0.948486
0.416944,0.017729,0.204712,0.249994,0.014880,0.000512,0.001856,0.000928,0.000384,0.915843
0.421105,0.017921,0.203336,0.246057,0.014656,0.000480,0.001472,0.001088,0.000384,0.914404
0.416656,0.017888,0.202248,0.248586,0.014241,0.000448,0.001504,0.001056,0.000416,0.911140
0.416592,0.017824,0.203112,0.243018,0.014720,0.000480,0.001409,0.001088,0.000384,0.907364
0.418800,0.017601,0.202632,0.250442,0.014464,0.000544,0.001504,0.001089,0.000384,0.915556
0.418577,0.017536,0.203431,0.242633,0.014241,0.000480,0.001440,0.001024,0.000416,0.907396
0.439761,0.017889,0.203624,0.248938,0.014080,0.000448,0.001504,0.001024,0.000384,0.935940
0.417392,0.017537,0.203048,0.232585,0.014688,0.000480,0.001568,0.000992,0.000352,0.896803
0.421233,0.017760,0.202600,0.272203,0.014913,0.000480,0.001408,0.001056,0.000352,0.939909
0.416592,0.017825,0.202728,0.258058,0.014689,0.000480,0.001536,0.000928,0.000384,0.921220
0.421936,0.017633,0.202248,0.248042,0.015168,0.000448,0.001440,0.001088,0.000352,0.917187
0.417072,0.017760,0.202376,0.238090,0.014592,0.000416,0.001472,0.001056,0.000416,0.901411
0.416625,0.017697,0.202215,0.248138,0.014177,0.000448,0.001568,0.000928,0.000384,0.910084
0.431729,0.017600,0.202696,0.246538,0.014689,0.000480,0.001536,0.001088,0.000384,0.926436
0.416368,0.017729,0.202280,0.246730,0.014752,0.000480,0.001568,0.001440,0.000384,0.909187
0.422000,0.017696,0.203112,0.244970,0.016385,0.000480,0.001472,0.001120,0.000416,0.915620
0.422992,0.018017,0.222089,0.238569,0.014113,0.000448,0.001408,0.001024,0.000384,0.927268
0.421073,0.017505,0.202920,0.238377,0.014145,0.000416,0.001440,0.001024,0.000352,0.904964
0.421073,0.017600,0.203208,0.229673,0.014145,0.000448,0.001440,0.001024,0.000384,0.897443
0.418896,0.017697,0.201928,0.235593,0.014433,0.000512,0.001504,0.001120,0.000352,0.900771
0.416080,0.017761,0.201832,0.249386,0.014144,0.000416,0.001472,0.001056,0.000384,0.910532
0.416656,0.017601,0.202056,0.232649,0.014561,0.000416,0.001472,0.001056,0.000352,0.894595
0.416561,0.017761,0.202280,0.246217,0.014305,0.000448,0.001472,0.001024,0.000384,0.908836
0.416497,0.017601,0.223816,0.264299,0.015136,0.000448,0.001568,0.001121,0.000416,0.949126
0.415536,0.017537,0.202184,0.244202,0.014560,0.000512,0.001504,0.000992,0.000384,0.904835
0.418608,0.017697,0.202696,0.242698,0.014112,0.000480,0.001440,0.001600,0.000416,0.906916
0.415920,0.017793,0.202664,0.231593,0.015457,0.000448,0.001440,0.001056,0.000352,0.894467
0.417840,0.017889,0.202696,0.239049,0.014209,0.000512,0.001472,0.001120,0.000352,0.902499
0.415985,0.017760,0.202472,0.249450,0.014241,0.000416,0.001440,0.001120,0.000416,0.911396
0.417456,0.017537,0.202152,0.252490,0.014272,0.000480,0.001440,0.001024,0.000352,0.914852
0.439858,0.018112,0.201928,0.256650,0.014241,0.000480,0.001440,0.001152,0.000384,0.941957
0.416241,0.017504,0.201704,0.254474,0.014337,0.000512,0.001472,0.000928,0.000352,0.914980
0.420913,0.017697,0.201768,0.273386,0.014240,0.000480,0.001536,0.001088,0.000384,0.940069
0.417104,0.017344,0.201864,0.263210,0.014624,0.000448,0.001696,0.001536,0.000320,0.926404
0.416913,0.017888,0.201704,0.246410,0.015297,0.000512,0.001600,0.001152,0.000384,0.909668
0.421616,0.017760,0.204424,0.254890,0.014753,0.000512,0.001664,0.001056,0.000384,0.924324
0.421936,0.018177,0.201896,0.237129,0.014753,0.000448,0.001504,0.001056,0.000384,0.905092
0.433265,0.017536,0.202216,0.251626,0.014433,0.000448,0.001536,0.000928,0.000384,0.930245
0.417360,0.017568,0.202248,0.241226,0.014880,0.000448,0.001472,0.001216,0.000352,0.905507
0.422161,0.017921,0.202472,0.237161,0.014880,0.000481,0.001440,0.001312,0.000384,0.906148
0.419729,0.017697,0.202952,0.272330,0.017409,0.000512,0.001504,0.001120,0.000384,0.941349
0.417424,0.017793,0.202184,0.247049,0.014561,0.000448,0.001472,0.001088,0.000352,0.909859
0.421488,0.017600,0.201960,0.257610,0.015009,0.000448,0.001440,0.000960,0.000384,0.926084
0.418577,0.017696,0.202599,0.261835,0.014624,0.000448,0.001440,0.001217,0.000384,0.927269
0.436305,0.017921,0.202984,0.247561,0.015361,0.000480,0.001472,0.001248,0.000416,0.932004
0.421744,0.017537,0.203144,0.250922,0.014368,0.000512,0.001409,0.001120,0.000384,0.918884
0.417905,0.017472,0.201896,0.244650,0.014432,0.000481,0.001504,0.001088,0.000352,0.907364
0.418352,0.017920,0.216617,0.259274,0.014465,0.000576,0.001504,0.001248,0.000352,0.938565
0.418993,0.017600,0.201960,0.259243,0.014848,0.000384,0.001568,0.001024,0.000384,0.923972
0.416368,0.017921,0.201704,0.247338,0.014528,0.000512,0.001600,0.000896,0.000320,0.908932
0.422161,0.017761,0.201768,0.255178,0.014336,0.000448,0.001473,0.001088,0.000608,0.923077
0.420688,0.017760,0.202568,0.230537,0.014465,0.000480,0.001536,0.001088,0.000352,0.897539
0.421489,0.017569,0.202088,0.268650,0.014721,0.000448,0.001504,0.001152,0.000384,0.936005
0.421137,0.017665,0.202088,0.249066,0.014720,0.000576,0.001440,0.001248,0.000352,0.917124
0.424817,0.017793,0.202887,0.250121,0.014625,0.000480,0.001536,0.001024,0.000384,0.938309
0.421008,0.017601,0.202088,0.241609,0.014785,0.000416,0.001696,0.001024,0.000384,0.909635
0.417520,0.017505,0.202472,0.257066,0.017857,0.000480,0.001568,0.000960,0.000384,0.924356
0.416944,0.017473,0.203144,0.253994,0.014241,0.000448,0.001824,0.000992,0.000384,0.917700
0.417393,0.017793,0.201928,0.235113,0.014304,0.000448,0.001536,0.001056,0.000352,0.898436
0.419920,0.018241,0.201928,0.245098,0.014368,0.000416,0.001472,0.000992,0.000384,0.910820
0.416176,0.017697,0.202824,0.233897,0.015393,0.000416,0.001568,0.000960,0.000352,0.897251
1.323860,0.046370,0.698299,0.321164,0.017121,0.000544,0.001664,0.001088,0.000416,2.420447
0.420784,0.017729,0.202504,0.241065,0.014465,0.000480,0.001504,0.001280,0.000608,0.909476
0.437297,0.018272,0.202952,0.253322,0.014369,0.000448,0.001568,0.000928,0.000832,0.938341
0.420465,0.017696,0.202344,0.272971,0.015841,0.000416,0.001600,0.001152,0.000352,0.940037
0.420240,0.017536,0.202664,0.234793,0.014241,0.000448,0.001504,0.001024,0.000832,0.900835
0.416400,0.017633,0.202472,0.269290,0.014881,0.000448,0.001536,0.000992,0.000352,0.931588
0.416752,0.017697,0.201896,0.243049,0.014497,0.000544,0.001536,0.000992,0.000320,0.904931
0.415984,0.017505,0.202120,0.237897,0.014401,0.000480,0.001536,0.000896,0.000416,0.899779
0.421072,0.017505,0.202440,0.253418,0.014369,0.000576,0.001504,0.001024,0.000384,0.920324
0.434833,0.017537,0.202056,0.252458,0.014080,0.000480,0.001504,0.000864,0.000800,0.932293
0.420017,0.017856,0.202600,0.245450,0.014913,0.000480,0.001472,0.000992,0.000352,0.912292
0.420560,0.017953,0.203080,0.251466,0.014496,0.000545,0.001632,0.000896,0.000352,0.919748
0.420369,0.017952,0.202599,0.257547,0.014560,0.000480,0.001664,0.000992,0.000384,0.924388
0.420720,0.017633,0.202888,0.244425,0.014432,0.000480,0.001536,0.001120,0.000352,0.910723
0.420912,0.017441,0.202984,0.236841,0.017729,0.000448,0.001376,0.000928,0.000384,0.906051
0.420721,0.017696,0.202728,0.247818,0.014849,0.000480,0.001568,0.000928,0.000384,0.913956
0.433425,0.017537,0.201864,0.246985,0.014689,0.000512,0.001632,0.001056,0.000384,0.926372
0.416241,0.017504,0.202024,0.238122,0.014400,0.000512,0.001472,0.001025,0.000320,0.900036
0.416272,0.017569,0.202440,0.245738,0.014272,0.000480,0.001504,0.000992,0.000416,0.907523
0.417296,0.017761,0.219081,0.247689,0.014561,0.000448,0.001536,0.000992,0.000352,0.928196
0.416273,0.017665,0.202344,0.238281,0.017857,0.000544,0.001504,0.000864,0.000320,0.903396
0.420432,0.017729,0.201800,0.238921,0.014177,0.000480,0.001536,0.000992,0.000320,0.905251
0.422192,0.017665,0.202088,0.246954,0.014304,0.000416,0.001440,0.000992,0.000832,0.914979
0.431953,0.017793,0.202023,0.250410,0.014529,0.000448,0.001440,0.001216,0.000384,0.928196
0.420529,0.017793,0.202408,0.250570,0.014880,0.000544,0.001568,0.001024,0.000320,0.917476
0.418672,0.017569,0.202120,0.244745,0.014336,0.000448,0.001504,0.001088,0.000576,0.909091
0.416400,0.017953,0.222217,0.251690,0.014848,0.000480,0.001472,0.001056,0.000352,0.934916
0.420016,0.017793,0.202248,0.236009,0.014209,0.000544,0.001504,0.001088,0.000352,0.901603
0.420624,0.017665,0.201960,0.235241,0.014305,0.000480,0.001568,0.001056,0.000384,0.901027
0.420273,0.017280,0.201896,0.238698,0.014176,0.000512,0.001472,0.000961,0.000384,0.903204
0.417232,0.017665,0.201768,0.247050,0.014464,0.000544,0.001568,0.001024,0.000608,0.910307
0.416081,0.017505,0.202279,0.250698,0.014817,0.000512,0.001568,0.001024,0.000384,0.913188
0.421041,0.017505,0.202056,0.236329,0.014497,0.000448,0.001536,0.000992,0.000384,0.902436
0.416528,0.017889,0.218376,0.252970,0.014977,0.000544,0.001472,0.001088,0.000320,0.933028
0.416464,0.017505,0.201768,0.240713,0.014337,0.000448,0.001600,0.000960,0.000416,0.901187
0.420464,0.017825,0.201800,0.247818,0.014240,0.000512,0.002784,0.001056,0.000416,0.914851
0.416848,0.017761,0.201992,0.251178,0.014240,0.000416,0.001440,0.001024,0.000416,0.912867
0.422065,0.017728,0.201768,0.231785,0.014305,0.000544,0.001600,0.001088,0.000352,0.898883
0.421137,0.017920,0.202056,0.233770,0.014528,0.000448,0.001536,0.000896,0.000416,0.899907
0.416208,0.017920,0.202888,0.232777,0.014593,0.000448,0.001632,0.000928,0.000384,0.894467
0.420144,0.036770,0.203112,0.237545,0.014145,0.000448,0.001472,0.001056,0.000384,0.923076
0.416144,0.017793,0.205384,0.251082,0.014721,0.000448,0.001440,0.000992,0.000384,0.917156
0.416113,0.017728,0.202440,0.250570,0.018113,0.000480,0.001472,0.000992,0.000352,0.916196
0.420016,0.017728,0.201768,0.247466,0.014560,0.000448,0.001600,0.001088,0.000352,0.912388
0.420081,0.017857,0.202248,0.278699,0.014272,0.000480,0.001440,0.001056,0.000384,0.943685
0.420624,0.017569,0.201800,0.248266,0.014496,0.000448,0.001504,0.000960,0.000352,0.913155
0.421040,0.017601,0.202440,0.243977,0.015328,0.000480,0.001568,0.001088,0.000608,0.911683
0.436113,0.017568,0.203176,0.248810,0.014497,0.000544,0.001536,0.001056,0.000384,0.931621
0.420432,0.017537,0.202408,0.249034,0.014849,0.000448,0.001504,0.000864,0.000384,0.915716
0.421008,0.017601,0.202568,0.239626,0.014080,0.000480,0.001568,0.001312,0.000352,0.906051
0.420337,0.017889,0.202440,0.270154,0.014401,0.000544,0.001504,0.001024,0.000320,0.937093
0.421328,0.017729,0.202536,0.264874,0.015585,0.000544,0.001504,0.000896,0.000320,0.934085
0.415952,0.018112,0.202568,0.237290,0.015232,0.000448,0.001632,0.001024,0.000576,0.900675
0.416816,0.017633,0.202504,0.240457,0.014336,0.000448,0.001536,0.001184,0.000384,0.903331
0.450866,0.018017,0.202888,0.251593,0.014369,0.000480,0.001600,0.001088,0.000832,0.949509
0.416016,0.017472,0.202312,0.237674,0.014336,0.000448,0.001600,0.001056,0.000384,0.899427
0.420081,0.017601,0.202503,0.238665,0.014464,0.000416,0.001568,0.001120,0.000352,0.904356
0.416336,0.017665,0.201800,0.268426,0.015105,0.000448,0.001536,0.001152,0.000608,0.930308
0.420241,0.017569,0.202312,0.239657,0.014209,0.000448,0.001600,0.000992,0.000832,0.905348
0.420176,0.018049,0.201928,0.238313,0.014401,0.000448,0.001600,0.001088,0.000384,0.903811
0.420464,0.018273,0.202504,0.270891,0.014720,0.000480,0.001664,0.001216,0.000544,0.939589
0.416433,0.017728,0.202440,0.255402,0.014497,0.000448,0.001568,0.000992,0.000352,0.918980
0.416465,0.017568,0.202024,0.246634,0.014497,0.000448,0.001568,0.001088,0.000320,0.908516
0.416848,0.017760,0.201992,0.248170,0.014753,0.000480,0.001632,0.001024,0.000288,0.910468
0.420689,0.018048,0.222473,0.241834,0.014848,0.000448,0.001600,0.001024,0.000352,0.929029
0.419792,0.017921,0.201928,0.241673,0.014145,0.000480,0.001600,0.001120,0.000832,0.906723
0.419984,0.017568,0.202824,0.246410,0.014497,0.000448,0.001568,0.001024,0.000352,0.912772
0.416496,0.017665,0.201992,0.232617,0.014592,0.000448,0.001568,0.001120,0.000320,0.894979
0.421105,0.017760,0.202216,0.247050,0.014913,0.000480,0.001792,0.001184,0.000576,0.913668
0.416465,0.017761,0.202087,0.240042,0.014528,0.000448,0.001504,0.001024,0.000640,0.902148
0.420241,0.017568,0.202408,0.243306,0.015105,0.000416,0.001504,0.001152,0.000416,0.910724
0.440594,0.017760,0.202088,0.251594,0.014785,0.000512,0.001536,0.001024,0.000608,0.939269
0.416529,0.017921,0.201991,0.238538,0.016577,0.000480,0.001664,0.001152,0.000640,0.904292
0.420305,0.017825,0.202088,0.250889,0.015201,0.000480,0.001600,0.001024,0.000352,0.917476
0.419984,0.017761,0.202088,0.262346,0.014273,0.000512,0.001632,0.001184,0.000352,0.928484
0.420784,0.017793,0.201928,0.242378,0.014752,0.000480,0.001632,0.001024,0.000608,0.909667
0.421105,0.017697,0.202024,0.252777,0.014400,0.000448,0.001888,0.001216,0.000640,0.920228
0.416080,0.017729,0.201928,0.248970,0.014208,0.000512,0.001504,0.001120,0.000576,0.910915
0.438481,0.017825,0.202376,0.245258,0.014624,0.000448,0.001504,0.001152,0.000352,0.930245
0.421040,0.017921,0.201960,0.234121,0.014369,0.000480,0.001696,0.001088,0.000640,0.901251
0.416753,0.017537,0.202440,0.258570,0.014112,0.000416,0.001600,0.001152,0.000608,0.922181
0.420817,0.017441,0.224936,0.259147,0.014880,0.000480,0.001536,0.001376,0.000608,0.950438
0.420848,0.017920,0.202856,0.246666,0.014945,0.000448,0.001504,0.001280,0.000320,0.914468
0.416977,0.017696,0.201928,0.247818,0.014497,0.000448,0.001600,0.001216,0.000352,0.910308
0.420817,0.017920,0.201928,0.240522,0.014528,0.000448,0.001472,0.001184,0.000384,0.906980
0.422256,0.017761,0.202344,0.250538,0.014176,0.000448,0.001504,0.001377,0.000576,0.918820
0.416177,0.017696,0.202504,0.242538,0.014561,0.000448,0.001504,0.000992,0.000352,0.904548
0.420496,0.017761,0.202312,0.240329,0.014753,0.000448,0.001568,0.001120,0.000864,0.907779
0.417360,0.017921,0.221385,0.243081,0.015073,0.000448,0.001472,0.001312,0.000416,0.926276
0.416817,0.017953,0.202312,0.249737,0.014241,0.000512,0.001504,0.001120,0.000320,0.912388
0.416880,0.017537,0.202696,0.244906,0.014848,0.000448,0.001536,0.001088,0.000416,0.909315
0.420593,0.017504,0.202824,0.255498,0.014401,0.000480,0.001504,0.001344,0.000384,0.922692
0.415793,0.017409,0.202535,0.253961,0.014496,0.000480,0.001536,0.001088,0.000320,0.915652
0.421105,0.017664,0.202184,0.246858,0.014849,0.000448,0.001600,0.001152,0.000576,0.914308
0.416688,0.017408,0.202056,0.240554,0.014208,0.000480,0.001504,0.000992,0.000352,0.902563
0.435985,0.017569,0.202408,0.247177,0.014017,0.000416,0.001504,0.001056,0.000352,0.928580
0.419984,0.017472,0.202280,0.234953,0.014240,0.000448,0.001536,0.000960,0.000384,0.900291
0.416081,0.017664,0.201896,0.229289,0.014177,0.000512,0.001536,0.001024,0.000352,0.890051
0.421873,0.017697,0.201928,0.254090,0.016704,0.000448,0.001536,0.001120,0.000416,0.923652
0.415281,0.017536,0.202407,0.233450,0.014592,0.000480,0.001600,0.001088,0.000352,0.894435
0.416273,0.017569,0.202248,0.239753,0.015329,0.000512,0.001568,0.001056,0.000384,0.903620
0.420656,0.017825,0.202248,0.245737,0.014401,0.000448,0.001600,0.001056,0.000384,0.911011
0.438673,0.017473,0.201832,0.238825,0.014305,0.000416,0.001504,0.001088,0.000640,0.922052
0.415984,0.017473,0.202024,0.238921,0.014305,0.000416,0.001472,0.000992,0.000352,0.898915
0.420145,0.017249,0.201960,0.247753,0.016065,0.000384,0.001568,0.000864,0.000352,0.914852
0.420209,0.017472,0.201864,0.235082,0.038177,0.000608,0.001568,0.001408,0.000416,0.926276
0.420017,0.017697,0.201959,0.238826,0.014240,0.000416,0.001504,0.000864,0.000384,0.903140
0.414801,0.017633,0.202120,0.237065,0.014112,0.000448,0.001537,0.001152,0.000416,0.896900
0.420240,0.017601,0.202056,0.242057,0.014272,0.000416,0.001472,0.001056,0.000416,0.907299
0.444338,0.017441,0.202216,0.254986,0.014144,0.000448,0.001440,0.001024,0.000352,0.944165
0.420529,0.017472,0.202856,0.246250,0.014561,0.000480,0.001664,0.001088,0.000416,0.913924
0.421553,0.017792,0.202440,0.246218,0.014593,0.000448,0.001536,0.000928,0.000416,0.912708
0.416336,0.017601,0.202568,0.259594,0.014721,0.000416,0.001632,0.001024,0.000320,0.922084
0.420336,0.017697,0.202216,0.232585,0.014209,0.000448,0.001568,0.000960,0.000384,0.898051
0.420337,0.017824,0.201864,0.241578,0.014208,0.000448,0.001504,0.000960,0.000352,0.906916
0.420305,0.017569,0.201896,0.249225,0.014305,0.000448,0.001600,0.000928,0.000384,0.914276
0.432433,0.017505,0.202056,0.242217,0.014273,0.000480,0.001504,0.000928,0.000384,0.918788
0.422897,0.017568,0.204776,0.227881,0.014593,0.000480,0.001632,0.000992,0.000416,0.898883
0.417392,0.017953,0.203112,0.255658,0.014273,0.000448,0.001536,0.001056,0.000640,0.920356
0.416625,0.017665,0.202600,0.261610,0.014817,0.000448,0.001568,0.001088,0.000384,0.925893
0.416849,0.017505,0.203048,0.254026,0.014432,0.000480,0.001600,0.001152,0.000384,0.918404
0.417040,0.017569,0.203336,0.242218,0.014624,0.000480,0.001664,0.000992,0.000832,0.907203
0.416464,0.017601,0.202408,0.236233,0.014753,0.000480,0.001632,0.001120,0.000320,0.899011
0.456178,0.017856,0.203176,0.250602,0.014561,0.000480,0.001568,0.001088,0.000320,0.954181
