Layer[0],Layer[1],Layer[2],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.430672,0.017664,0.202472,0.246954,0.014273,0.000448,0.001376,0.000864,0.000352,0.921700
0.415664,0.020800,0.201960,0.254858,0.015553,0.000448,0.001344,0.000896,0.000384,0.919716
0.415601,0.017440,0.202024,0.248458,0.014113,0.000416,0.001408,0.000960,0.000384,0.910084
0.415280,0.017313,0.202664,0.224520,0.014177,0.000448,0.001440,0.000928,0.000320,0.884898
0.415248,0.017440,0.202248,0.223305,0.014209,0.000448,0.001376,0.000800,0.000352,0.881731
0.414129,0.017312,0.202152,0.227081,0.014305,0.000512,0.001408,0.000736,0.000352,0.884483
0.414992,0.017504,0.202312,0.231785,0.014305,0.000480,0.001440,0.000864,0.000320,0.891459
0.435537,0.017889,0.203912,0.241417,0.014401,0.000448,0.001600,0.001504,0.000352,0.926404
0.415952,0.017505,0.202536,0.232009,0.014721,0.000480,0.001504,0.000960,0.000416,0.893859
0.415984,0.017537,0.202856,0.241545,0.014945,0.000384,0.001408,0.001056,0.000384,0.903971
0.415633,0.017441,0.202503,0.227528,0.014305,0.000416,0.001440,0.001024,0.000384,0.887171
0.415665,0.017120,0.202504,0.236170,0.014240,0.000448,0.001472,0.000896,0.000352,0.895907
0.420304,0.017281,0.202536,0.250346,0.014592,0.000512,0.001504,0.001024,0.000352,0.918244
0.416113,0.017344,0.202568,0.234378,0.015104,0.000448,0.001472,0.000864,0.000352,0.896451
0.415920,0.017345,0.213288,0.220649,0.016032,0.000480,0.001377,0.000800,0.000384,0.894083
0.415312,0.017345,0.202184,0.251946,0.016993,0.000576,0.001440,0.000960,0.000320,0.914980
0.415792,0.017249,0.201928,0.225737,0.014528,0.000416,0.001441,0.000736,0.000384,0.886307
0.416912,0.017345,0.202248,0.236329,0.014337,0.000448,0.001472,0.000832,0.000352,0.897859
0.415793,0.017536,0.201992,0.224233,0.014401,0.000416,0.001536,0.000864,0.000384,0.884323
0.415889,0.017216,0.201896,0.222793,0.014241,0.000480,0.001472,0.000800,0.000416,0.883107
0.416496,0.017377,0.201768,0.254122,0.014465,0.000448,0.001376,0.000832,0.000384,0.914436
0.415472,0.017281,0.214536,0.251818,0.014369,0.000448,0.001376,0.000800,0.000416,0.923716
0.415665,0.017281,0.201927,0.250249,0.014497,0.000480,0.001568,0.001024,0.000384,0.912004
0.415536,0.017537,0.202408,0.258442,0.014497,0.000448,0.001600,0.000960,0.000352,0.919844
0.415152,0.017473,0.202472,0.235081,0.014592,0.000480,0.001505,0.000800,0.000384,0.894627
0.444306,0.017537,0.201991,0.222537,0.014273,0.000448,0.001440,0.000832,0.000384,0.911204
0.414960,0.017569,0.201832,0.211112,0.014433,0.000448,0.001504,0.000736,0.000384,0.870178
0.415024,0.017889,0.201992,0.217705,0.014368,0.000448,0.001472,0.000800,0.000352,0.876898
0.414800,0.017313,0.201864,0.249481,0.014273,0.000448,0.001504,0.001056,0.000352,0.908163
0.415313,0.017280,0.201928,0.237322,0.014784,0.000448,0.001376,0.000896,0.000384,0.897155
0.415313,0.017504,0.202120,0.235274,0.014400,0.000480,0.001376,0.000896,0.000352,0.894947
0.415153,0.017504,0.202408,0.245162,0.014337,0.000448,0.001472,0.001024,0.000352,0.905924
0.429073,0.017345,0.202728,0.276810,0.014721,0.000320,0.001440,0.000960,0.000384,0.952453
0.415313,0.017728,0.202087,0.234634,0.014336,0.000320,0.001536,0.000960,0.000384,0.895043
0.415856,0.017345,0.202440,0.208616,0.014529,0.000416,0.001472,0.000704,0.000352,0.869058
0.415728,0.017793,0.202376,0.246346,0.014560,0.000448,0.017089,0.000960,0.000352,0.923940
0.415664,0.017729,0.202216,0.227721,0.014752,0.000448,0.001537,0.000832,0.000384,0.888707
0.415248,0.017569,0.201960,0.271082,0.014465,0.000448,0.001536,0.000896,0.000352,0.930724
0.418672,0.017792,0.203688,0.285324,0.016928,0.000704,0.001568,0.001728,0.000384,0.957350
0.430513,0.018240,0.202888,0.237162,0.015008,0.000480,0.001472,0.000928,0.000352,0.914596
0.416048,0.017729,0.202440,0.228873,0.014336,0.000480,0.001536,0.000928,0.000352,0.890467
0.415984,0.017761,0.202088,0.247658,0.014624,0.000512,0.001536,0.000992,0.000384,0.910020
0.416144,0.017761,0.202376,0.254922,0.014657,0.000416,0.001600,0.000896,0.000352,0.917540
0.416304,0.017409,0.202152,0.244458,0.014496,0.000448,0.001408,0.000960,0.000320,0.904963
0.415377,0.017760,0.201800,0.235530,0.015296,0.000416,0.001472,0.000864,0.000320,0.896163
0.416400,0.017729,0.201960,0.246314,0.014496,0.000544,0.001504,0.001152,0.000384,0.908835
0.433713,0.017729,0.202504,0.252170,0.014496,0.000448,0.001536,0.000928,0.000352,0.932676
0.416529,0.017664,0.201800,0.224585,0.014337,0.000512,0.001504,0.000800,0.000352,0.885923
0.415665,0.017344,0.201800,0.240202,0.014560,0.000448,0.001408,0.000832,0.000352,0.900164
0.415504,0.021025,0.202088,0.233609,0.014433,0.000480,0.001536,0.000736,0.000384,0.897443
0.415952,0.017889,0.202024,0.234505,0.015457,0.000448,0.001472,0.000928,0.000384,0.896227
0.415600,0.017920,0.202408,0.260523,0.014720,0.000544,0.001536,0.000928,0.000352,0.922692
0.417169,0.017249,0.202248,0.252969,0.014432,0.000416,0.001472,0.000960,0.000352,0.916100
0.429713,0.017633,0.201992,0.255786,0.014305,0.000512,0.001504,0.000800,0.000352,0.930309
0.416048,0.017313,0.202728,0.242538,0.017632,0.000448,0.001472,0.000832,0.000288,0.907108
0.419985,0.018016,0.201928,0.255242,0.016417,0.000448,0.001472,0.000896,0.000416,0.923172
0.422096,0.018017,0.202152,0.231049,0.014337,0.000480,0.001568,0.000960,0.000352,0.898019
0.415152,0.017760,0.202120,0.249546,0.014529,0.000512,0.001472,0.001056,0.000320,0.909956
0.420465,0.017408,0.202599,0.241162,0.014209,0.000480,0.001472,0.000928,0.000416,0.906244
0.417265,0.018145,0.202344,0.253321,0.014624,0.000576,0.001504,0.001024,0.000416,0.917508
0.434769,0.017953,0.202472,0.245898,0.014432,0.000480,0.001536,0.001056,0.000352,0.927268
0.417872,0.017600,0.202152,0.263050,0.014240,0.000448,0.001472,0.000992,0.000384,0.926564
0.416785,0.017985,0.202087,0.261706,0.014592,0.000480,0.001440,0.001088,0.000384,0.925157
0.417616,0.017825,0.201896,0.277771,0.014881,0.000512,0.001472,0.000960,0.000384,0.940805
0.420688,0.017921,0.202024,0.241225,0.014721,0.000512,0.001536,0.001024,0.000384,0.906723
0.416496,0.017857,0.201832,0.248554,0.015744,0.000416,0.001472,0.000960,0.000352,0.911267
0.416912,0.017505,0.202376,0.245833,0.014337,0.000416,0.001440,0.000864,0.000384,0.907491
0.431633,0.017537,0.201992,0.233257,0.014977,0.000544,0.001504,0.000960,0.000384,0.911044
0.415536,0.017793,0.202344,0.243498,0.014624,0.000448,0.001504,0.000896,0.000416,0.904643
0.416784,0.017697,0.202152,0.250090,0.015520,0.000480,0.001569,0.000992,0.000352,0.914084
0.416656,0.017409,0.201928,0.264746,0.016737,0.000480,0.001696,0.000928,0.000384,0.928964
0.416400,0.017665,0.201992,0.258666,0.014464,0.000544,0.001601,0.001056,0.000352,0.921444
0.417072,0.017601,0.202024,0.252330,0.015136,0.000480,0.001441,0.001248,0.000384,0.916772
0.420176,0.017793,0.202024,0.249450,0.014528,0.000512,0.001536,0.000961,0.000384,0.917028
0.433713,0.017665,0.202088,0.257866,0.014913,0.000480,0.001600,0.001088,0.000352,0.939077
0.416048,0.017729,0.202344,0.242346,0.014528,0.000448,0.001664,0.001088,0.000416,0.904867
0.420785,0.017761,0.203368,0.250185,0.014625,0.000480,0.001568,0.000960,0.000384,0.917828
0.421937,0.017633,0.223081,0.248265,0.014625,0.000448,0.001632,0.001120,0.000384,0.937893
0.420945,0.018465,0.202088,0.253162,0.014912,0.000512,0.001504,0.001120,0.000417,0.922149
0.416081,0.017857,0.201895,0.243210,0.014849,0.000512,0.001600,0.001056,0.000384,0.905092
0.415472,0.018176,0.202408,0.253866,0.014497,0.000448,0.001568,0.001056,0.000384,0.915844
0.415856,0.017472,0.201896,0.245386,0.014208,0.000609,0.001536,0.001088,0.000384,0.907684
0.420944,0.017537,0.202248,0.249162,0.014624,0.000576,0.001664,0.001024,0.000353,0.916676
0.420241,0.017921,0.203048,0.238793,0.014849,0.000512,0.001600,0.001024,0.000416,0.906340
0.416625,0.017729,0.220168,0.246250,0.014528,0.000480,0.001568,0.001056,0.000384,0.926821
0.416080,0.017313,0.202344,0.250409,0.014176,0.000480,0.001600,0.001056,0.000384,0.911363
0.420400,0.017889,0.202184,0.249738,0.015680,0.000448,0.001504,0.000993,0.000384,0.917348
0.420304,0.017921,0.202088,0.258634,0.014369,0.000352,0.001440,0.000928,0.000384,0.925060
0.420113,0.017472,0.202280,0.260331,0.016096,0.000480,0.001440,0.000992,0.000416,0.926756
0.420912,0.017953,0.202376,0.255946,0.014593,0.000544,0.001568,0.001088,0.000384,0.922660
0.419857,0.017537,0.202024,0.247817,0.014497,0.000544,0.001504,0.000992,0.000384,0.912484
0.437841,0.017857,0.202216,0.259306,0.014497,0.000512,0.001472,0.001152,0.000416,0.943717
0.416240,0.017761,0.202152,0.265354,0.014369,0.000480,0.001504,0.001216,0.000384,0.927940
0.420400,0.018049,0.202920,0.249066,0.014753,0.000512,0.001504,0.000960,0.000384,0.916260
