Layer[0],IN[1],INFER[1-2],OUT[2],TEE[1-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.399627,0.165605,0.548880,0.074338,0.792983,0.012256,0.047905,0.000608,0.013568,0.000416,0.001440,0.001184,0.000384,1.278694
0.399532,0.168901,0.530384,0.068034,0.771063,0.005216,0.047905,0.000800,0.013601,0.000480,0.001472,0.001088,0.000384,1.248325
0.399468,0.157861,0.543280,0.070754,0.775767,0.006209,0.048161,0.000992,0.013568,0.000416,0.001472,0.000960,0.000352,1.255174
0.399500,0.169605,0.530544,0.068610,0.772663,0.006464,0.048065,0.000608,0.013537,0.000416,0.001472,0.001120,0.000384,1.251365
0.400172,0.168293,0.545648,0.082274,0.799864,0.010880,0.047777,0.000608,0.013633,0.000416,0.001408,0.001376,0.000352,1.283398
0.400300,0.194694,0.531151,0.070882,0.800279,0.005280,0.047745,0.000608,0.013537,0.000384,0.001472,0.001088,0.000352,1.277734
0.399692,0.186373,0.530224,0.069378,0.789591,0.006240,0.047458,0.000608,0.013504,0.000416,0.001472,0.000960,0.000384,1.267109
0.414253,0.166149,0.546384,0.067426,0.783639,0.006656,0.047489,0.000608,0.013600,0.000416,0.001440,0.001024,0.000384,1.276358
0.399436,0.161093,0.529615,0.067170,0.761335,0.013216,0.047937,0.000576,0.013473,0.000352,0.001472,0.000992,0.000384,1.245829
0.399596,0.154405,0.540496,0.068514,0.766807,0.005280,0.047585,0.000608,0.013537,0.000384,0.001440,0.001120,0.000384,1.244965
0.399020,0.165381,0.528400,0.068098,0.765463,0.005216,0.047554,0.000608,0.013600,0.000352,0.001408,0.001024,0.000320,1.241925
0.399052,0.163044,0.530864,0.069762,0.767062,0.006913,0.047393,0.000800,0.013568,0.000448,0.001409,0.001216,0.000352,1.245029
0.394892,0.167397,0.549744,0.074467,0.795672,0.009760,0.047425,0.000608,0.013697,0.000352,0.001504,0.000960,0.000384,1.273094
0.400012,0.143620,0.529136,0.066562,0.742934,0.005184,0.047362,0.001024,0.013440,0.000416,0.001536,0.000992,0.000352,1.220548
0.399596,0.163877,0.529168,0.069122,0.765719,0.009024,0.047970,0.000608,0.013568,0.000416,0.001440,0.000992,0.000352,1.246565
0.396172,0.203174,0.530544,0.069346,0.806872,0.006880,0.047618,0.000992,0.013536,0.000384,0.001408,0.001056,0.000384,1.282086
0.399083,0.152324,0.530928,0.070082,0.757142,0.006944,0.047298,0.000576,0.013472,0.000384,0.001472,0.000960,0.000384,1.234660
0.399564,0.164933,0.528752,0.066402,0.763671,0.010016,0.047425,0.001056,0.013441,0.000448,0.001440,0.001088,0.000320,1.245221
0.395852,0.174277,0.530032,0.075426,0.783896,0.005152,0.047361,0.000576,0.013409,0.000416,0.001504,0.000992,0.000352,1.257286
0.399275,0.162404,0.530032,0.065954,0.761974,0.005216,0.047426,0.000640,0.013408,0.000416,0.001504,0.001088,0.000320,1.238820
0.396267,0.149125,0.558096,0.076163,0.787640,0.005568,0.047777,0.000608,0.013537,0.000416,0.001440,0.001024,0.000352,1.262053
0.399244,0.164901,0.530415,0.067682,0.766647,0.007136,0.047329,0.000640,0.013569,0.000416,0.001472,0.001312,0.000352,1.245221
0.399371,0.166405,0.528496,0.066914,0.765623,0.006464,0.047586,0.000800,0.013504,0.000416,0.001408,0.001056,0.000384,1.243940
0.399371,0.185317,0.552752,0.074243,0.815960,0.012128,0.047458,0.000576,0.013504,0.000416,0.001472,0.001312,0.000352,1.299334
0.394508,0.157989,0.531439,0.069090,0.762198,0.006497,0.047297,0.000768,0.013601,0.000416,0.001408,0.000992,0.000352,1.235077
0.399628,0.161124,0.532144,0.067522,0.764374,0.012609,0.047297,0.000608,0.013537,0.000416,0.001472,0.001120,0.000384,1.248101
0.395788,0.167845,0.539824,0.068674,0.780119,0.005248,0.047394,0.000608,0.013536,0.000384,0.001472,0.001024,0.000352,1.252741
0.399276,0.165861,0.528816,0.066786,0.765111,0.013024,0.047394,0.000992,0.013600,0.000416,0.001440,0.000992,0.000320,1.248933
0.399436,0.153029,0.546672,0.079170,0.782551,0.007585,0.047521,0.000864,0.013569,0.000416,0.001472,0.001056,0.000352,1.261766
0.395308,0.165797,0.530160,0.068962,0.768503,0.006784,0.047329,0.000768,0.013441,0.000384,0.001344,0.001184,0.000384,1.241637
0.398828,0.164645,0.530672,0.070594,0.769559,0.007392,0.047393,0.001024,0.013601,0.000384,0.001472,0.001056,0.000352,1.247813
0.398924,0.176933,0.541424,0.066306,0.788151,0.006625,0.047425,0.000576,0.013473,0.000384,0.001472,0.001024,0.000352,1.265158
0.400236,0.164773,0.529647,0.066946,0.764758,0.005345,0.048321,0.000800,0.013601,0.000448,0.001472,0.001024,0.000416,1.244293
0.400076,0.150757,0.527951,0.065186,0.747254,0.009120,0.048545,0.000640,0.013600,0.000416,0.001472,0.001057,0.000384,1.229637
0.419117,0.165381,0.542480,0.067874,0.779415,0.012448,0.047906,0.000800,0.013600,0.000384,0.001408,0.001056,0.000448,1.284358
0.399852,0.165541,0.528624,0.068194,0.765911,0.007968,0.047650,0.000768,0.013536,0.000416,0.001440,0.001120,0.000384,1.246661
0.400108,0.164197,0.562640,0.085091,0.816504,0.007648,0.047554,0.000576,0.013600,0.000352,0.001440,0.001056,0.000384,1.296710
0.394891,0.166149,0.530064,0.067458,0.767639,0.012705,0.047457,0.000800,0.013536,0.000384,0.001440,0.000993,0.000352,1.247301
0.399468,0.173573,0.535248,0.068962,0.781879,0.007296,0.047778,0.000608,0.013696,0.000448,0.001504,0.001248,0.000352,1.261925
