IN[0],INFER[0-9],OUT[9],TEE[0-9],Layer[10],classifier
0.150468,1.598736,0.110179,1.866519,0.000672,1.868759
0.124900,1.579311,0.065634,1.776277,0.000672,1.778581
0.151556,1.585839,0.071906,1.817526,0.000736,1.820470
0.148805,1.570542,0.071459,1.797398,0.000704,1.799862
0.136804,1.588367,0.081923,1.814262,0.000768,1.817238
0.147588,1.587151,0.066530,1.807381,0.000768,1.809845
0.145733,1.590863,0.076930,1.820118,0.000672,1.823254
0.148933,1.571246,0.066818,1.793589,0.000672,1.796053
0.127459,1.598543,0.086147,1.819990,0.000704,1.822934
0.153989,1.573934,0.067810,1.802101,0.000736,1.804598
0.151972,1.608848,0.083234,1.851926,0.000896,1.855159
0.137828,1.572815,0.064738,1.781877,0.000800,1.784405
0.153541,1.601775,0.082723,1.846327,0.000832,1.849271
0.153477,1.600687,0.070434,1.832022,0.000800,1.834519
0.146916,1.589711,0.074594,1.817814,0.000800,1.820438
0.156869,1.599823,0.068770,1.832374,0.000832,1.834934
0.136484,1.600111,0.077762,1.822326,0.000736,1.825239
0.152484,1.580175,0.071618,1.811221,0.000736,1.813493
0.145348,1.594031,0.074050,1.820534,0.000928,1.823702
0.136900,1.573167,0.066690,1.783669,0.000704,1.785941
0.135940,1.609360,0.076706,1.829494,0.000736,1.832663
0.150980,1.585007,0.072130,1.815029,0.000704,1.817494
0.155236,1.578319,0.067106,1.808341,0.000832,1.811701
0.146788,1.584175,0.066882,1.804981,0.000736,1.807797
0.136708,1.583439,0.072194,1.799701,0.000704,1.802325
0.144996,1.580303,0.071235,1.803734,0.000928,1.806646
0.151333,1.581903,0.072898,1.812566,0.000768,1.815222
0.152549,1.596943,0.080547,1.837655,0.000832,1.840471
0.146916,1.578127,0.066946,1.798389,0.000736,1.800949
0.139940,1.601136,0.086563,1.834775,0.000800,1.837911
0.124995,1.576975,0.072674,1.781332,0.000961,1.784213
0.136484,1.584271,0.086627,1.815126,0.000768,1.818198
0.148548,1.585135,0.072130,1.812630,0.000704,1.814934
0.148420,1.591407,0.077699,1.826230,0.000864,1.829494
0.152452,1.585648,0.066434,1.811574,0.000768,1.814038
0.151428,1.595376,0.077314,1.831478,0.000800,1.834774
0.135780,1.577647,0.066818,1.787221,0.000768,1.789845
0.138340,1.595184,0.075618,1.816630,0.000896,1.819958
0.151620,1.581326,0.079906,1.820694,0.000960,1.823990
0.131204,1.597583,0.083746,1.819990,0.000832,1.823318
0.152581,1.586095,0.067650,1.814294,0.000768,1.817142
0.153220,1.613360,0.086659,1.861559,0.000832,1.864823
