Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],IN[10],INFER[10-10],OUT[10],TEE[10-10],classifier
0.396491,0.017441,0.209094,0.005312,0.047266,0.000800,0.013472,0.000384,0.001472,0.001216,0.130724,0.039681,0.000032,0.173029,0.873850
0.395884,0.017409,0.191813,0.004865,0.047041,0.000608,0.013568,0.000384,0.001536,0.001152,0.106851,0.035873,0.000064,0.145220,0.826489
0.395532,0.017312,0.191750,0.004928,0.047105,0.000608,0.013473,0.000320,0.001472,0.001184,0.108259,0.036289,0.000032,0.147396,0.827768
0.399532,0.017504,0.191462,0.004864,0.047105,0.000576,0.013537,0.000352,0.001440,0.001024,0.101667,0.035361,0.000064,0.139428,0.823608
0.416236,0.017537,0.192230,0.004896,0.047809,0.000608,0.013569,0.000352,0.001568,0.001344,0.113795,0.034081,0.000064,0.150404,0.853689
0.400748,0.017505,0.191269,0.004864,0.047426,0.000608,0.013568,0.000352,0.001472,0.001152,0.102723,0.030369,0.000064,0.135652,0.821592
0.396684,0.017504,0.191238,0.004864,0.047618,0.000832,0.013536,0.000384,0.001504,0.001024,0.109283,0.032513,0.000064,0.144356,0.826840
0.400427,0.017568,0.191654,0.004864,0.047137,0.000576,0.013473,0.000320,0.001440,0.001152,0.108643,0.034113,0.000032,0.145284,0.830776
0.396331,0.017473,0.191622,0.004896,0.047169,0.000608,0.013473,0.000384,0.001504,0.001152,0.098883,0.031297,0.000064,0.132740,0.814200
0.399756,0.017792,0.191430,0.004864,0.047105,0.000576,0.013505,0.000352,0.001472,0.001088,0.103043,0.030273,0.000064,0.135876,0.820888
0.400396,0.017536,0.191910,0.004864,0.047073,0.000608,0.013505,0.000352,0.001504,0.001120,0.105379,0.034369,0.000064,0.142148,0.827768
0.400588,0.017504,0.191909,0.004896,0.066498,0.000832,0.013761,0.000352,0.001472,0.001216,0.110755,0.035457,0.000032,0.148676,0.856249
0.396395,0.017697,0.191365,0.004865,0.047361,0.000608,0.013440,0.000352,0.001536,0.001184,0.105475,0.030209,0.000064,0.138020,0.819736
0.396652,0.017729,0.191813,0.004864,0.047138,0.000544,0.013408,0.000352,0.001504,0.001120,0.102595,0.034241,0.000032,0.139460,0.821848
