REE[321],TEE[321]
6.253141,9.291484
5.464793,9.391359
4.712225,9.332029
4.709984,9.381119
4.718880,9.282971
4.708800,9.373502
4.715680,9.376350
4.721024,9.314717
4.724352,9.312669
4.720704,9.329309
4.713441,9.292091
4.722400,9.317501
4.713952,9.317693
4.716129,9.363582
4.722625,9.391455
4.714944,9.343070
4.715393,9.322620
4.726625,9.391647
4.711456,9.350686
4.715392,9.315005
4.716736,9.378527
4.712608,9.368126
4.719008,9.293436
4.732833,9.316381
4.723200,9.326237
4.712128,9.362686
4.719616,9.351646
4.717121,9.291740
4.719360,9.306716
4.735169,9.355006
4.715520,9.296411
4.720800,9.355422
4.717248,9.380735
4.714368,9.376831
4.714560,9.315900
4.714336,9.364574
4.717152,9.316605
4.718784,9.307900
4.712480,9.373439
4.717376,9.304253
4.717313,9.291004
4.713825,9.380670
4.717441,9.316445
4.725888,9.313244
4.712033,9.317725
4.714337,9.353566
4.720353,9.318813
4.714976,9.314621
4.712608,9.308637
4.718880,9.320285
4.730113,9.313212
4.715680,9.370110
4.722401,9.378687
4.716128,9.365855
4.721120,9.317436
4.724513,9.381534
4.720192,9.377119
4.711425,9.355966
4.713024,9.362174
4.716320,9.311420
4.720001,9.368223
4.714017,9.367839
4.713376,9.369182
4.721537,9.351389
4.719584,9.370814
4.710784,9.356350
4.721665,9.280732
4.715264,9.378975
4.714016,9.373406
4.716064,9.277819
4.712032,9.363038
4.721600,9.280028
4.733632,9.369887
4.721825,9.374751
4.714112,9.373790
4.721313,9.316796
4.718593,9.370654
4.715360,9.384479
4.721280,9.373022
4.717025,9.297404
4.720192,9.377406
4.732961,9.332637
4.715809,9.279643
4.716032,9.347390
4.712160,9.342622
4.721312,9.292603
4.719616,9.326365
4.715776,9.357854
4.713408,9.309884
4.719329,9.374942
4.713056,9.376127
4.712992,9.315133
4.714528,9.299932
4.720736,9.277179
4.715712,9.325981
4.721024,9.324541
4.720161,9.379871
4.719809,9.345022
4.724769,9.328701
4.715264,9.347901
4.717632,9.324413
4.733185,9.298588
4.718624,9.382271
4.717697,9.329149
4.715584,9.392223
4.725665,9.361630
4.713441,9.289404
4.733601,9.389951
4.722688,9.359678
4.720608,9.367967
4.715808,9.376478
4.712000,9.318237
4.715105,9.348030
4.710560,9.316029
4.714176,9.350589
4.719489,9.336093
4.711680,9.326621
4.718080,9.320573
4.719008,9.282748
4.719105,9.315197
4.719904,9.359102
4.724096,9.326396
4.723776,9.381663
4.715264,9.296956
4.717600,9.321021
4.709824,9.279260
4.714112,9.370302
4.709664,9.349310
4.717152,9.270139
4.719200,9.371582
4.715104,9.377343
4.727008,9.298108
4.715552,9.269723
4.713537,9.327325
4.716512,9.372798
4.713889,9.378399
4.720897,9.398624
4.741345,9.325693
4.746626,9.379550
4.736961,9.320765
4.742689,9.368575
4.746369,9.331613
4.732481,9.309757
4.741377,9.297660
4.737729,9.298300
4.744193,9.354238
4.715328,9.307517
4.718240,9.317724
