Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-10],OUT[10],TEE[8-10],classifier
0.397068,0.017600,0.191718,0.004864,0.049026,0.000576,0.013824,0.000384,0.114148,0.037409,0.063074,0.217959,0.899483
0.394924,0.017761,0.191621,0.004864,0.048994,0.000608,0.013632,0.000352,0.112644,0.044353,0.061762,0.221831,0.900731
0.394507,0.017984,0.191494,0.004864,0.048481,0.000608,0.013665,0.000352,0.114275,0.036641,0.059618,0.213606,0.891834
0.394924,0.035169,0.191974,0.004896,0.048257,0.000801,0.013600,0.000416,0.113699,0.038049,0.061474,0.216550,0.913499
0.394700,0.017856,0.191430,0.005024,0.048610,0.000608,0.013568,0.000352,0.109731,0.045154,0.068802,0.226599,0.904891
0.394955,0.017473,0.191717,0.004896,0.048417,0.000576,0.013473,0.000352,0.114915,0.045217,0.068386,0.231814,0.910106
0.395915,0.017889,0.191878,0.004960,0.048065,0.000608,0.013537,0.000352,0.123843,0.039586,0.069058,0.235975,0.917051
0.395052,0.017696,0.191846,0.004896,0.049153,0.000609,0.013536,0.000352,0.114531,0.038498,0.063329,0.219462,0.899258
0.394604,0.017633,0.191749,0.004833,0.049505,0.000576,0.013632,0.000352,0.112100,0.039841,0.063394,0.218407,0.897275
0.394700,0.017633,0.191589,0.004832,0.048162,0.000576,0.013696,0.000384,0.110468,0.038177,0.060673,0.212583,0.890139
0.417548,0.017441,0.192037,0.004865,0.049569,0.000576,0.013536,0.000352,0.114051,0.038817,0.062050,0.217958,0.920123
0.394668,0.017376,0.192454,0.004832,0.049025,0.000832,0.013632,0.000352,0.112707,0.044450,0.068642,0.228999,0.908411
0.395372,0.017728,0.191526,0.004864,0.048865,0.000832,0.013441,0.000384,0.118883,0.038178,0.060929,0.221542,0.901530
0.395083,0.017793,0.191653,0.004833,0.049089,0.000608,0.013505,0.000384,0.113187,0.038145,0.120036,0.275688,0.955388
0.394987,0.017665,0.191814,0.004864,0.048993,0.000608,0.013473,0.000448,0.108995,0.039169,0.060866,0.212262,0.891354
0.395052,0.017504,0.192038,0.004928,0.047970,0.000608,0.013504,0.000416,0.113699,0.036002,0.060865,0.213862,0.893946
0.394699,0.017632,0.191462,0.004896,0.049153,0.000608,0.013569,0.000384,0.112739,0.044065,0.063489,0.223718,0.902714
0.416236,0.017793,0.191782,0.004864,0.049569,0.000896,0.014305,0.000384,0.116515,0.038369,0.062178,0.220358,0.923803
0.394795,0.017633,0.191622,0.004896,0.049441,0.000832,0.014113,0.000416,0.113571,0.044353,0.063074,0.224422,0.904474
0.394859,0.017472,0.191654,0.004832,0.048961,0.000608,0.013793,0.000384,0.110915,0.038753,0.062114,0.215110,0.894106
0.394988,0.017440,0.191685,0.004960,0.049090,0.000608,0.013632,0.000352,0.131844,0.040545,0.062946,0.238407,0.917819
0.394859,0.017633,0.191782,0.004928,0.048385,0.000576,0.013601,0.000384,0.110787,0.037761,0.061666,0.213350,0.891930
0.394827,0.017441,0.191462,0.004896,0.049249,0.000576,0.013537,0.000384,0.115011,0.044833,0.073187,0.236519,0.915259
0.394731,0.017857,0.191910,0.004928,0.048833,0.000832,0.013569,0.000416,0.115331,0.044033,0.061922,0.224774,0.905018
0.411788,0.017761,0.192262,0.004864,0.048769,0.000800,0.013601,0.000384,0.116931,0.045025,0.063586,0.228934,0.926075
0.395307,0.017793,0.191749,0.005025,0.048577,0.000864,0.013601,0.000416,0.119587,0.040737,0.066626,0.230470,0.910458
0.395019,0.017728,0.191878,0.004960,0.048545,0.000832,0.014113,0.000384,0.112931,0.039457,0.065538,0.221286,0.901306
0.395147,0.017665,0.209446,0.004928,0.049154,0.000832,0.013536,0.000416,0.115652,0.039169,0.065826,0.224071,0.922491
0.395052,0.017440,0.191142,0.004992,0.048194,0.000608,0.013920,0.000384,0.111587,0.038370,0.061217,0.214630,0.893466
0.394508,0.017600,0.191590,0.004832,0.049313,0.000608,0.013729,0.000320,0.112579,0.044546,0.063233,0.223494,0.903003
0.394507,0.017473,0.191878,0.004896,0.049217,0.000608,0.013761,0.000384,0.110371,0.038625,0.061922,0.213926,0.892730
0.395084,0.017536,0.191622,0.004864,0.048865,0.000608,0.013761,0.000352,0.113475,0.038113,0.061922,0.216742,0.896218
0.395564,0.017600,0.192294,0.004864,0.048193,0.000865,0.013536,0.000384,0.114723,0.040226,0.060961,0.219238,0.899258
0.396428,0.017792,0.192166,0.004960,0.049378,0.000576,0.013824,0.000384,0.114948,0.037857,0.064034,0.220551,0.903099
0.406668,0.017888,0.206726,0.004992,0.048482,0.000832,0.013856,0.000384,0.112196,0.037377,0.062018,0.214951,0.921883
0.395179,0.017600,0.192102,0.004864,0.049345,0.000576,0.013697,0.000384,0.116291,0.037762,0.060737,0.218406,0.900058
0.395083,0.017729,0.192422,0.005056,0.049377,0.000832,0.013729,0.000384,0.119907,0.045602,0.063393,0.232134,0.913499
0.395372,0.017632,0.191622,0.004896,0.048226,0.000832,0.013536,0.000384,0.114660,0.044833,0.067746,0.230631,0.909755
0.395499,0.017697,0.191878,0.004832,0.048609,0.000608,0.014529,0.000416,0.111875,0.038305,0.062946,0.216358,0.897018
0.395276,0.017441,0.191685,0.004896,0.049890,0.000576,0.013536,0.000416,0.109316,0.038721,0.061538,0.212967,0.893979
0.394732,0.017696,0.191430,0.004864,0.048802,0.000576,0.013472,0.000384,0.112995,0.045442,0.068866,0.230471,0.908923
0.413484,0.017665,0.191717,0.004865,0.048609,0.000768,0.013472,0.000416,0.110180,0.039073,0.062882,0.215783,0.914235
0.395116,0.017856,0.191462,0.004832,0.048546,0.000608,0.013536,0.000448,0.102019,0.037345,0.059074,0.201382,0.880090
0.395020,0.017537,0.191717,0.004801,0.048385,0.000608,0.013472,0.000352,0.111364,0.037921,0.061890,0.214695,0.893563
0.394763,0.017505,0.191558,0.004864,0.047777,0.000608,0.013537,0.000416,0.101539,0.037473,0.078178,0.220486,0.898362
0.395468,0.017665,0.191429,0.004896,0.048738,0.000832,0.013728,0.000384,0.125124,0.044129,0.069026,0.242055,0.922139
0.396267,0.017696,0.191462,0.005056,0.048545,0.000864,0.014049,0.000416,0.117379,0.039169,0.063489,0.223270,0.904666
0.394924,0.017824,0.191750,0.004864,0.048961,0.000576,0.014081,0.000416,0.112995,0.037345,0.061058,0.214758,0.895066
0.412589,0.017696,0.191910,0.004896,0.048545,0.000832,0.014177,0.000352,0.118147,0.045026,0.073282,0.239623,0.937692
0.395500,0.017600,0.191814,0.004832,0.048546,0.000608,0.013824,0.000384,0.111939,0.039169,0.062594,0.217351,0.897659
0.395563,0.017760,0.191910,0.004864,0.048993,0.000864,0.014497,0.000352,0.114275,0.038625,0.062818,0.218822,0.899866
0.395916,0.017633,0.191749,0.004832,0.049665,0.000832,0.013856,0.000352,0.136420,0.048577,0.070466,0.261320,0.942780
0.394444,0.018049,0.191685,0.004864,0.048450,0.000608,0.013696,0.000384,0.106659,0.042914,0.064674,0.217575,0.896283
0.394540,0.017473,0.191781,0.004864,0.049250,0.000608,0.014784,0.000416,0.112964,0.045441,0.068450,0.230119,0.910875
0.395404,0.017760,0.191590,0.004896,0.048642,0.000800,0.014592,0.000320,0.106851,0.039778,0.060833,0.210470,0.891066
0.412109,0.017856,0.192198,0.004832,0.050369,0.000801,0.014240,0.000416,0.117699,0.044994,0.063970,0.230407,0.930652
0.394411,0.017601,0.191973,0.004897,0.048705,0.000608,0.014049,0.000352,0.113187,0.039521,0.064066,0.220198,0.899514
0.395244,0.017856,0.192134,0.004896,0.049058,0.000640,0.013952,0.000288,0.139364,0.042658,0.066818,0.252232,0.932956
0.395275,0.017889,0.210854,0.005216,0.048770,0.000800,0.013792,0.000384,0.115588,0.038753,0.063906,0.221223,0.921211
0.394636,0.017472,0.191430,0.004864,0.048737,0.000608,0.013473,0.000352,0.109955,0.039137,0.063650,0.216038,0.894234
0.395404,0.017569,0.191525,0.004896,0.049025,0.000576,0.014336,0.000352,0.114980,0.045761,0.067874,0.231751,0.911899
0.395787,0.017569,0.191525,0.004833,0.048577,0.000576,0.014721,0.000320,0.116547,0.038049,0.062786,0.220870,0.901915
0.395276,0.017664,0.191622,0.004992,0.048930,0.000864,0.014272,0.000384,0.112227,0.035873,0.060065,0.211430,0.892122
0.395051,0.017441,0.191813,0.004865,0.048705,0.000544,0.014337,0.000352,0.113123,0.038465,0.061794,0.216742,0.896346
0.396524,0.017793,0.191429,0.004832,0.048546,0.000800,0.013760,0.000384,0.117124,0.044865,0.068866,0.234183,0.914715
0.396236,0.017537,0.223750,0.005120,0.048386,0.000832,0.013952,0.000320,0.116772,0.044385,0.064418,0.228935,0.942716
0.396844,0.017793,0.191589,0.004896,0.049026,0.000832,0.013504,0.000384,0.116932,0.046145,0.070850,0.236999,0.918555
0.395851,0.017537,0.191910,0.004832,0.049697,0.000640,0.013633,0.000384,0.110147,0.037857,0.062242,0.213670,0.894746
0.396364,0.017312,0.192134,0.004960,0.049250,0.000832,0.014016,0.000384,0.111491,0.036449,0.060673,0.211846,0.893882
0.395788,0.017472,0.191334,0.004864,0.049281,0.000832,0.014144,0.000352,0.110115,0.037889,0.060482,0.211622,0.892314
0.395564,0.017504,0.191814,0.004896,0.048130,0.000800,0.014496,0.000416,0.111491,0.039137,0.063682,0.217671,0.897563
0.395883,0.017888,0.191622,0.004896,0.049121,0.000864,0.013857,0.000352,0.112803,0.037825,0.063458,0.217190,0.898618
