Layer[0],Layer[1],IN[2],INFER[2-9],OUT[9],TEE[2-9],Layer[10],classifier
0.396588,0.017792,0.110660,0.586865,0.070210,0.771895,0.000704,1.191427
0.407692,0.017664,0.111940,0.584689,0.064098,0.765079,0.000640,1.195395
0.396876,0.017856,0.127140,0.601298,0.063234,0.795960,0.000736,1.216676
0.396875,0.017505,0.112291,0.597074,0.063074,0.776439,0.000672,1.196323
0.399019,0.017760,0.140356,0.597202,0.064130,0.805848,0.000704,1.227556
0.396428,0.017377,0.112195,0.597682,0.065250,0.779319,0.000672,1.198084
0.396044,0.017889,0.116355,0.599474,0.071458,0.791895,0.000704,1.211396
0.396780,0.017696,0.142469,0.589361,0.065858,0.801912,0.000640,1.222116
0.396236,0.017888,0.125668,0.598130,0.071202,0.799320,0.000704,1.219588
0.397324,0.017664,0.103171,0.620755,0.068194,0.796728,0.000640,1.217092
0.396876,0.017824,0.120131,0.596562,0.062690,0.783416,0.000704,1.203588
0.396844,0.017633,0.120771,0.595922,0.067394,0.788599,0.000640,1.208612
0.411500,0.017505,0.114051,0.597522,0.064194,0.780151,0.000640,1.214692
0.396140,0.017728,0.130179,0.594354,0.062882,0.791447,0.000672,1.210340
0.399532,0.017537,0.114179,0.595506,0.067490,0.781143,0.000640,1.203268
0.396076,0.017729,0.138404,0.594289,0.071107,0.807896,0.000704,1.227269
0.396428,0.017632,0.131076,0.586993,0.067778,0.789943,0.000640,1.209188
0.395755,0.017921,0.127908,0.610354,0.104707,0.847033,0.000704,1.266437
0.396492,0.017441,0.140516,0.591121,0.068834,0.805015,0.000672,1.225732
0.396844,0.017856,0.137380,0.588050,0.072386,0.802104,0.000800,1.222820
0.395691,0.017696,0.130084,0.608626,0.070338,0.814168,0.000800,1.234020
0.396204,0.017601,0.136868,0.589265,0.067170,0.797367,0.000800,1.216932
0.395724,0.017728,0.137572,0.588722,0.065826,0.795672,0.000704,1.214756
0.424844,0.017760,0.128996,0.599762,0.069218,0.802072,0.000640,1.250533
0.396748,0.017568,0.123460,0.587793,0.065026,0.780183,0.000704,1.199939
0.396075,0.017825,0.134660,0.589201,0.065026,0.792631,0.000704,1.211843
0.396364,0.017632,0.132772,0.586642,0.064898,0.788088,0.000704,1.207428
0.396395,0.017633,0.136196,0.591762,0.068386,0.800664,0.000672,1.220836
0.396140,0.017824,0.124164,0.603314,0.075042,0.806904,0.000608,1.226756
0.396460,0.017632,0.133924,0.589522,0.065218,0.792504,0.000640,1.212132
0.396075,0.017728,0.132484,0.587057,0.064706,0.788087,0.000640,1.207011
0.396396,0.017601,0.154116,0.587730,0.068130,0.814360,0.000640,1.234053
0.396716,0.017568,0.135076,0.585618,0.064129,0.788823,0.000672,1.208580
0.395883,0.017696,0.142628,0.583666,0.077794,0.808184,0.000672,1.227140
0.413964,0.017665,0.121283,0.595410,0.066466,0.788439,0.000736,1.226180
0.396459,0.017664,0.135716,0.589586,0.066722,0.796088,0.000864,1.216260
0.396235,0.017857,0.130852,0.587697,0.089827,0.812664,0.000896,1.232324
0.396588,0.017728,0.139460,0.594034,0.066434,0.804024,0.000832,1.225188
0.396204,0.017857,0.125571,0.601778,0.066690,0.798199,0.000640,1.217700
0.396492,0.017857,0.128643,0.602098,0.086755,0.821592,0.000672,1.241349
0.397483,0.017761,0.126916,0.588529,0.065218,0.785143,0.000736,1.206051
0.396396,0.017793,0.130819,0.588081,0.064450,0.787383,0.000736,1.207300
0.434572,0.017728,0.157221,0.601810,0.077250,0.840793,0.001024,1.301158
0.398380,0.017888,0.129636,0.592146,0.069890,0.795992,0.000704,1.218212
0.397548,0.017889,0.136484,0.591665,0.066914,0.799607,0.000672,1.221220
0.397132,0.017728,0.142820,0.590289,0.067426,0.805624,0.001056,1.228836
0.397035,0.017985,0.134148,0.590353,0.067298,0.795831,0.000705,1.215972
0.397388,0.017664,0.132292,0.607698,0.080035,0.825337,0.000736,1.247077
0.396460,0.017824,0.132324,0.601906,0.065890,0.804664,0.000704,1.225668
0.397003,0.017697,0.136868,0.585745,0.065154,0.791671,0.000672,1.213027
0.395980,0.017824,0.144453,0.609554,0.080802,0.838841,0.000704,1.258533
0.396140,0.017729,0.135236,0.588721,0.064674,0.792567,0.000640,1.211492
0.395979,0.017792,0.140100,0.588146,0.066530,0.798584,0.000736,1.218660
0.396780,0.017984,0.124260,0.602290,0.065506,0.796216,0.000672,1.216740
0.397452,0.017664,0.128164,0.588145,0.075075,0.795416,0.000864,1.216164
0.397195,0.017761,0.129380,0.608018,0.088354,0.830424,0.000608,1.251237
0.397580,0.017633,0.135684,0.602226,0.065730,0.807416,0.000672,1.228197
0.396684,0.017728,0.140196,0.589906,0.069314,0.803960,0.000832,1.225188
0.400716,0.017792,0.141828,0.607986,0.070242,0.824217,0.000704,1.249029
0.397324,0.017728,0.124324,0.589970,0.064161,0.782423,0.000672,1.203972
0.396908,0.017664,0.137124,0.603666,0.065634,0.810808,0.000672,1.230948
0.413133,0.017760,0.136356,0.603986,0.068066,0.812536,0.000672,1.248869
