Layer[0],Layer[1],IN[2],INFER[2-9],OUT[9],TEE[2-9],Layer[10],classifier
0.413869,0.017600,0.154245,0.599666,0.070626,0.828729,0.000800,1.267270
0.396396,0.017633,0.139140,0.591537,0.066242,0.800951,0.000704,1.220612
0.396299,0.017856,0.140100,0.600882,0.091331,0.836537,0.000768,1.256677
0.395563,0.017664,0.137348,0.602610,0.068098,0.811768,0.000704,1.230788
0.396460,0.017569,0.134692,0.587633,0.068226,0.794423,0.000896,1.214308
0.395019,0.017697,0.123524,0.609426,0.068354,0.806072,0.000704,1.224420
0.395211,0.017760,0.133252,0.589778,0.063905,0.790775,0.000737,1.209124
0.395147,0.017761,0.133732,0.588241,0.064610,0.790615,0.000864,1.209475
0.414284,0.017920,0.141989,0.602129,0.075171,0.823129,0.000704,1.261285
0.397996,0.017984,0.136228,0.589426,0.065058,0.795000,0.000928,1.216708
0.396332,0.017536,0.143173,0.588401,0.066722,0.802424,0.000704,1.223332
0.396748,0.017824,0.137636,0.590258,0.066946,0.799192,0.000704,1.219780
0.396396,0.017569,0.134084,0.602545,0.066722,0.806871,0.000704,1.226500
0.396396,0.017761,0.136452,0.605362,0.080354,0.826424,0.000704,1.246117
0.398924,0.017920,0.138340,0.594066,0.069186,0.806616,0.000768,1.230372
0.396684,0.017921,0.140676,0.594321,0.068003,0.806968,0.000704,1.228101
0.396428,0.017632,0.158693,0.620947,0.065089,0.849114,0.000736,1.268742
0.396940,0.017824,0.136292,0.597458,0.068034,0.805496,0.001056,1.226276
0.396012,0.017536,0.143429,0.586353,0.067970,0.801912,0.000832,1.221668
0.413037,0.017824,0.145413,0.600177,0.068866,0.818360,0.000672,1.254758
0.398027,0.018080,0.134212,0.590578,0.067746,0.796728,0.000800,1.218788
0.395916,0.017665,0.137348,0.605234,0.077602,0.826072,0.000736,1.246309
0.394828,0.017825,0.127683,0.586546,0.064002,0.782487,0.000832,1.200932
0.394988,0.017344,0.137156,0.587698,0.065314,0.794072,0.000704,1.212452
0.396204,0.017729,0.133508,0.603249,0.077891,0.818904,0.000704,1.238053
0.395532,0.017664,0.131556,0.584914,0.070210,0.790360,0.000736,1.208964
0.394924,0.017504,0.158085,0.585041,0.064034,0.810776,0.000672,1.228740
0.411149,0.017632,0.140868,0.596082,0.066882,0.807768,0.000672,1.242245
0.394700,0.017921,0.133252,0.585009,0.063874,0.786135,0.000704,1.203940
0.395468,0.017792,0.132100,0.589970,0.066274,0.792216,0.000576,1.211652
0.395532,0.017889,0.139588,0.588113,0.066690,0.798583,0.000832,1.218020
0.394603,0.017889,0.134916,0.588209,0.065090,0.792055,0.000640,1.210019
0.396204,0.017793,0.134468,0.603922,0.077250,0.820152,0.000640,1.240005
0.395052,0.017536,0.133380,0.596690,0.066914,0.800984,0.000672,1.218724
0.396236,0.017760,0.128228,0.583857,0.064641,0.780695,0.000704,1.200388
0.394796,0.017761,0.170757,0.612210,0.065250,0.854201,0.000640,1.272326
0.394860,0.017761,0.126947,0.595794,0.073442,0.799799,0.000768,1.218436
0.395723,0.017697,0.134788,0.584849,0.065922,0.789015,0.000672,1.207587
0.411628,0.017664,0.137604,0.596242,0.071810,0.809784,0.000864,1.245285
0.396844,0.017633,0.136100,0.595409,0.068578,0.804535,0.000704,1.225508
0.396139,0.017824,0.129156,0.608850,0.076930,0.819640,0.000704,1.240068
0.395787,0.017761,0.128036,0.588561,0.067298,0.787991,0.000704,1.207395
0.396652,0.017441,0.131140,0.599153,0.071843,0.806104,0.000704,1.226341
0.394924,0.017921,0.130820,0.604049,0.084259,0.823192,0.000640,1.241253
0.396299,0.017856,0.130532,0.586577,0.064738,0.785815,0.000672,1.205603
0.394988,0.017601,0.130852,0.583761,0.063874,0.782519,0.000672,1.200420
0.412140,0.017665,0.142308,0.598482,0.075618,0.820056,0.000736,1.255717
0.396076,0.017760,0.135716,0.585522,0.067298,0.792216,0.000704,1.211556
0.395723,0.017633,0.136260,0.595730,0.072802,0.808952,0.000704,1.227588
0.395308,0.017857,0.141572,0.588369,0.069570,0.803991,0.000865,1.225125
0.395724,0.017856,0.141188,0.590066,0.068898,0.803992,0.000896,1.224580
0.394796,0.017824,0.135748,0.616019,0.076450,0.832633,0.000864,1.251717
0.396108,0.017793,0.138052,0.589009,0.076162,0.807575,0.000736,1.229028
0.395788,0.018144,0.142725,0.588273,0.067234,0.802200,0.000704,1.221764
0.394860,0.017633,0.156164,0.600594,0.073570,0.834840,0.000736,1.253477
0.395660,0.017728,0.134180,0.591922,0.065538,0.795672,0.000704,1.214980
0.398188,0.018336,0.151301,0.595761,0.073826,0.826169,0.001120,1.252005
0.396972,0.018272,0.137092,0.592337,0.067330,0.802040,0.001216,1.225316
0.396043,0.017601,0.136132,0.591986,0.067426,0.800120,0.000704,1.219236
0.397388,0.017856,0.127332,0.608914,0.075362,0.816281,0.000736,1.238213
0.396300,0.017760,0.140196,0.603602,0.068930,0.817048,0.000704,1.237604
0.395915,0.017633,0.131716,0.602130,0.071234,0.809368,0.000960,1.229252
0.395820,0.017856,0.147205,0.596657,0.067330,0.815545,0.000736,1.235429
0.396779,0.017664,0.141764,0.588274,0.065218,0.799512,0.000832,1.219524
0.396172,0.017632,0.137316,0.588049,0.065186,0.794263,0.000768,1.213284
0.429293,0.017761,0.132484,0.600114,0.068962,0.805624,0.000864,1.259526
0.396555,0.017664,0.142308,0.588978,0.067458,0.802648,0.000672,1.222276
0.395660,0.017824,0.173189,0.602673,0.078146,0.858041,0.000672,1.277350
0.395148,0.017664,0.130788,0.589490,0.067234,0.791384,0.000704,1.209572
0.395372,0.017569,0.140036,0.587921,0.072323,0.804792,0.000640,1.224005
0.396044,0.017600,0.131364,0.605522,0.105507,0.847097,0.000672,1.266693
0.396172,0.017825,0.134020,0.591825,0.068642,0.798455,0.000800,1.218308
0.395180,0.017857,0.133060,0.591153,0.073922,0.802135,0.000736,1.221093
0.413869,0.017664,0.134276,0.603154,0.070466,0.811928,0.000736,1.249637
0.397164,0.017665,0.136708,0.591089,0.068258,0.800087,0.000704,1.220580
0.397004,0.017697,0.131652,0.590769,0.101539,0.828440,0.000736,1.249573
0.395755,0.017601,0.100515,0.586033,0.066626,0.757206,0.000704,1.176418
0.396011,0.017601,0.133508,0.591217,0.068130,0.797175,0.000672,1.216579
0.396011,0.017601,0.136356,0.607602,0.080834,0.829144,0.000704,1.249572
0.395724,0.017856,0.138533,0.594961,0.070210,0.807992,0.000768,1.228196
0.396652,0.017792,0.135044,0.594066,0.072098,0.805144,0.000736,1.225412
0.397708,0.035617,0.133444,0.608018,0.070274,0.815832,0.000672,1.255717
0.396684,0.017697,0.133572,0.590449,0.068642,0.797015,0.000704,1.217124
0.395724,0.017665,0.134852,0.590577,0.069794,0.799159,0.000640,1.217924
0.395916,0.017792,0.131108,0.589105,0.073730,0.797944,0.000672,1.217476
0.394891,0.017633,0.137924,0.590034,0.068162,0.800344,0.000672,1.218852
0.395947,0.017760,0.125764,0.605170,0.077058,0.812728,0.000704,1.232324
0.396652,0.017760,0.132004,0.592978,0.069186,0.798616,0.000800,1.219428
0.395851,0.017601,0.132132,0.592625,0.067202,0.795895,0.000673,1.214660
0.397739,0.017856,0.138308,0.615442,0.112195,0.872314,0.000768,1.295334
0.396556,0.017728,0.133540,0.595250,0.068258,0.801048,0.000768,1.220900
0.396524,0.017889,0.135812,0.591793,0.067906,0.799735,0.000768,1.219812
0.412268,0.017697,0.140996,0.602386,0.066690,0.814392,0.000672,1.249413
0.396939,0.017792,0.131204,0.591889,0.067746,0.795064,0.000704,1.215652
0.395564,0.017793,0.130500,0.591409,0.066402,0.792439,0.000736,1.211556
0.396620,0.017728,0.131684,0.603890,0.067650,0.807064,0.000672,1.226916
0.396492,0.017825,0.132100,0.592689,0.074850,0.803575,0.000769,1.224005
0.396076,0.017889,0.133060,0.609234,0.086658,0.833208,0.000896,1.253061
0.396492,0.017889,0.134564,0.593329,0.070082,0.801751,0.000608,1.221764
0.396523,0.017921,0.139652,0.594930,0.072066,0.811096,0.000736,1.232228
0.398444,0.021536,0.133988,0.597618,0.072226,0.808120,0.000768,1.250053
0.397612,0.017697,0.143076,0.590001,0.068930,0.806071,0.000672,1.227332
0.402220,0.017824,0.146277,0.589521,0.069922,0.809880,0.000640,1.235620
0.397644,0.017600,0.141541,0.590833,0.074082,0.810424,0.000704,1.231268
0.395339,0.017633,0.141732,0.601330,0.067938,0.814904,0.000768,1.233572
0.396844,0.017600,0.141125,0.604209,0.080003,0.830073,0.000768,1.250661
0.398092,0.017760,0.142788,0.588177,0.068450,0.803352,0.000672,1.224932
0.397484,0.017729,0.130020,0.588689,0.067138,0.789719,0.000704,1.211012
0.396364,0.017696,0.148037,0.607762,0.073698,0.833785,0.000672,1.254181
0.395916,0.017888,0.135780,0.593490,0.069026,0.802648,0.000672,1.222820
0.397676,0.017825,0.140516,0.595058,0.068514,0.808120,0.000800,1.229829
0.411404,0.017921,0.127779,0.587730,0.067170,0.786807,0.000768,1.222788
0.399212,0.018400,0.158661,0.599794,0.075554,0.838521,0.000928,1.264709
0.398028,0.017857,0.127491,0.613586,0.096194,0.842296,0.000768,1.264197
0.395979,0.017697,0.136708,0.593713,0.069058,0.803416,0.000960,1.223044
0.395659,0.017825,0.136036,0.592210,0.070882,0.803608,0.000768,1.223556
0.394795,0.017825,0.135236,0.604018,0.073794,0.817144,0.000672,1.235460
0.396332,0.017696,0.123140,0.588274,0.066402,0.781624,0.000704,1.200900
0.395147,0.017761,0.138884,0.592433,0.067585,0.803064,0.000832,1.222085
0.412909,0.018208,0.130628,0.600082,0.080194,0.815192,0.000704,1.251941
0.396524,0.017825,0.134308,0.587889,0.069474,0.795415,0.000704,1.215652
0.396044,0.018049,0.130628,0.589329,0.067298,0.791575,0.000704,1.212676
0.396107,0.017664,0.135076,0.585521,0.075619,0.800280,0.000768,1.219492
0.396779,0.017761,0.133636,0.601010,0.072642,0.811448,0.000672,1.231588
0.395692,0.017696,0.126276,0.618354,0.093155,0.842681,0.000704,1.262117
0.395628,0.017664,0.136132,0.600338,0.068834,0.809464,0.000736,1.228324
0.395724,0.017793,0.139396,0.587217,0.071138,0.802744,0.000672,1.221957
0.395980,0.033505,0.132484,0.603633,0.069826,0.811832,0.000704,1.247365
0.396396,0.017761,0.141700,0.590001,0.069186,0.804760,0.000864,1.224741
0.396203,0.017793,0.130404,0.589137,0.071266,0.795031,0.000864,1.215491
0.399596,0.017760,0.135012,0.590674,0.067650,0.797240,0.000832,1.220868
0.395308,0.017824,0.140516,0.589074,0.066402,0.800024,0.000672,1.218692
0.395628,0.017504,0.131524,0.611666,0.103875,0.853305,0.000705,1.272902
0.395564,0.017569,0.140292,0.588177,0.066146,0.798711,0.000704,1.217412
0.396332,0.017633,0.125412,0.600945,0.068674,0.799447,0.000896,1.219524
0.395276,0.017665,0.125635,0.604082,0.086403,0.820984,0.000736,1.239877
0.395340,0.017728,0.134788,0.588146,0.066690,0.793592,0.000704,1.212484
0.395659,0.017761,0.139588,0.589074,0.065218,0.798168,0.000672,1.217316
0.415597,0.017696,0.136484,0.600370,0.067810,0.808952,0.000768,1.248517
0.396044,0.017729,0.134756,0.592049,0.067170,0.798199,0.000704,1.217924
0.395724,0.017888,0.126787,0.587730,0.065698,0.784216,0.000704,1.203204
0.395724,0.017825,0.132068,0.591217,0.065954,0.793303,0.000704,1.212612
0.396396,0.017728,0.132260,0.590098,0.071586,0.798232,0.000736,1.217796
0.395596,0.017889,0.129476,0.604593,0.071971,0.809816,0.000640,1.228613
0.398092,0.017697,0.126852,0.585969,0.071874,0.788919,0.000832,1.210468
0.396076,0.017825,0.143332,0.587025,0.067490,0.801847,0.000640,1.221252
0.395275,0.017761,0.158789,0.614578,0.067906,0.845689,0.000896,1.264965
0.395148,0.017600,0.165573,0.601842,0.065602,0.837337,0.000704,1.256325
0.397964,0.018049,0.146372,0.588881,0.068738,0.808696,0.000704,1.231621
0.412492,0.017633,0.141124,0.598066,0.076770,0.819832,0.000704,1.255941
0.394540,0.017793,0.143108,0.589297,0.065602,0.801975,0.000736,1.220292
0.395244,0.017793,0.128036,0.615314,0.100387,0.848153,0.000704,1.267462
0.395692,0.017888,0.132196,0.585905,0.064386,0.786487,0.000736,1.205315
0.395852,0.018081,0.144196,0.588849,0.072706,0.809816,0.000672,1.228517
0.396492,0.017632,0.127108,0.607666,0.074338,0.813688,0.000768,1.233252
0.397195,0.017665,0.120195,0.588305,0.064738,0.776759,0.000640,1.196835
0.398124,0.017824,0.133796,0.591538,0.066722,0.796088,0.000672,1.217860
0.413324,0.017824,0.136676,0.606610,0.068642,0.816088,0.000736,1.253765
