IN[0],INFER[0-9],OUT[9],TEE[0-9],Layer[10],classifier
0.112577,9.196834,0.068769,9.385540,0.001280,9.389764
0.160130,1.573515,0.067296,1.808813,0.001216,1.812077
0.167553,1.593996,0.069408,1.836941,0.001088,1.840077
0.149953,1.573483,0.069057,1.800237,0.000864,1.802925
0.159713,1.591372,0.090304,1.850861,0.000864,1.854477
0.153761,1.585900,0.072448,1.817837,0.000832,1.820717
0.168353,1.584427,0.070625,1.831405,0.000832,1.833965
0.153825,1.570764,0.064160,1.794125,0.001088,1.797357
0.159553,1.569643,0.063328,1.799372,0.000832,1.802157
0.170721,1.572267,0.068385,1.817517,0.001120,1.820813
0.154817,1.575019,0.066913,1.803469,0.000832,1.806029
0.181985,1.569836,0.065184,1.822413,0.000800,1.825229
0.151905,1.569963,0.064769,1.793453,0.000768,1.796141
0.144289,1.570315,0.084353,1.806189,0.000736,1.809229
0.151393,1.567723,0.065409,1.790637,0.000512,1.792781
0.135553,1.582219,0.071297,1.795565,0.000640,1.797869
0.152129,1.574188,0.066720,1.801805,0.000608,1.804461
0.147777,1.582220,0.066144,1.802637,0.000608,1.805005
0.147233,1.568523,0.064448,1.785964,0.000576,1.788204
0.154497,1.583851,0.067745,1.811501,0.000608,1.813773
0.148513,1.569867,0.064609,1.789837,0.000672,1.792141
0.141697,1.578763,0.068960,1.794701,0.000640,1.796941
0.170977,1.566732,0.066528,1.810797,0.000704,1.813165
0.147521,1.582060,0.067744,1.804013,0.000704,1.806221
0.180642,1.565387,0.066240,1.818381,0.000672,1.820621
0.153090,1.592395,0.075361,1.827470,0.000704,1.829966
0.175905,1.566571,0.064897,1.813453,0.000608,1.816013
0.169921,1.584267,0.065537,1.824877,0.000640,1.827213
0.166529,1.566955,0.068385,1.808109,0.000608,1.810253
0.178369,1.588876,0.073856,1.848461,0.000640,1.851693
0.140289,1.564684,0.063968,1.774797,0.000640,1.777357
0.176929,1.584876,0.081120,1.850029,0.000640,1.852941
0.175521,1.573131,0.066241,1.820205,0.000672,1.822445
0.169729,1.584779,0.067425,1.827853,0.000672,1.830189
0.169089,1.567051,0.064353,1.805453,0.000672,1.808013
0.152674,1.583019,0.066432,1.809549,0.000736,1.812205
0.185442,1.576107,0.071073,1.838990,0.000672,1.841230
0.159137,1.583019,0.067361,1.816109,0.000672,1.818701
0.151938,1.572587,0.065184,1.796109,0.000672,1.798285
0.150817,1.586060,0.068000,1.812045,0.000672,1.814509
0.151873,1.571724,0.065216,1.794797,0.000608,1.797261
0.146177,1.581324,0.066656,1.799597,0.000640,1.802061
0.143809,1.566731,0.066241,1.782189,0.000608,1.784685
0.188930,1.588779,0.064705,1.848334,0.000736,1.851022
0.134017,1.565164,0.062720,1.767149,0.000608,1.769421
0.196385,1.566156,0.064480,1.833901,0.000672,1.836205
0.148481,1.572171,0.064033,1.790925,0.000608,1.793357
0.176481,1.565195,0.063105,1.814061,0.000672,1.816621
0.160129,1.567307,0.065857,1.799917,0.000768,1.802605
0.153249,1.568747,0.066496,1.795820,0.000832,1.798252
0.148993,1.580428,0.084672,1.820301,0.000768,1.822957
0.154529,1.567499,0.075873,1.804141,0.000736,1.806317
0.150433,1.596043,0.069825,1.822797,0.000800,1.825421
0.176034,1.566795,0.064096,1.813742,0.000736,1.816462
0.155041,1.583116,0.066464,1.810381,0.000736,1.813005
0.149825,1.575083,0.065857,1.798093,0.000928,1.800845
0.179138,1.595243,0.068385,1.849006,0.000640,1.851502
0.179810,1.565515,0.065056,1.816493,0.000704,1.819245
0.177761,1.582732,0.068384,1.835277,0.000640,1.837901
0.175073,1.572939,0.064257,1.818957,0.000896,1.821357
0.146753,1.594379,0.067169,1.814157,0.000800,1.816461
0.170817,1.565580,0.063648,1.806445,0.000704,1.808877
0.147841,1.595179,0.066305,1.815021,0.000704,1.817613
0.147457,1.565387,0.063969,1.782477,0.000704,1.785037
0.180258,1.582443,0.066849,1.836046,0.000672,1.838478
0.178689,1.564908,0.066752,1.817421,0.000672,1.819949
0.147585,1.586763,0.067969,1.807981,0.000640,1.810477
0.146241,1.565804,0.064064,1.782157,0.000608,1.784205
0.151489,1.584331,0.067649,1.809357,0.000672,1.812013
0.176193,1.566092,0.065248,1.813773,0.000736,1.816141
0.147841,1.588555,0.067329,1.810125,0.000736,1.812333
0.127169,1.565419,0.063617,1.762253,0.000576,1.764301
0.161441,1.580076,0.068928,1.815469,0.000672,1.817613
0.132545,1.575691,0.067232,1.781420,0.000832,1.784716
0.149089,1.588811,0.066241,1.810157,0.000640,1.812557
0.168769,1.562251,0.063841,1.799725,0.000608,1.801837
0.143233,1.580331,0.065441,1.794637,0.000672,1.797197
0.145409,1.564716,0.063680,1.779021,0.000608,1.781229
0.180386,1.581803,0.075649,1.843854,0.000608,1.846254
0.141729,1.566411,0.061985,1.774765,0.000640,1.777101
0.154753,1.596524,0.071360,1.829741,0.000608,1.832845
0.134145,1.564300,0.063008,1.767373,0.000576,1.769581
0.175266,1.581099,0.067713,1.832398,0.000704,1.834638
0.143809,1.564491,0.064769,1.779565,0.000704,1.782477
0.152609,1.584172,0.085568,1.829645,0.000672,1.831821
0.171330,1.564491,0.065024,1.806349,0.000640,1.808685
0.184577,1.572011,0.065665,1.828717,0.000704,1.831245
0.184354,1.566027,0.065408,1.822445,0.000800,1.825069
0.153313,1.571179,0.067521,1.798541,0.000768,1.801069
0.151425,1.580460,0.070496,1.809069,0.000800,1.811661
0.179585,1.572139,0.068097,1.826093,0.000704,1.828877
0.150497,1.586155,0.072161,1.815597,0.000736,1.818029
0.179905,1.566732,0.067232,1.819853,0.000672,1.822061
0.149857,1.585163,0.071680,1.813101,0.000832,1.815949
0.155649,1.569675,0.068480,1.800300,0.000736,1.803021
0.184481,1.590220,0.077824,1.859533,0.000800,1.862381
0.148129,1.571340,0.073536,1.799725,0.000704,1.802221
0.210785,1.600876,0.076640,1.897037,0.001024,1.900813
0.154593,1.574635,0.069633,1.806189,0.000768,1.809229
0.154433,1.597132,0.081888,1.839917,0.000832,1.842957
