Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-7],OUT[7],TEE[5-7],Layer[8],Layer[9],Layer[10],classifier
0.416483,0.017664,0.202657,0.004960,0.049441,0.118529,0.048640,0.062304,0.232897,0.002144,0.001120,0.000384,0.934566
0.416259,0.017441,0.203265,0.004800,0.048800,0.115745,0.048257,0.061536,0.228706,0.002144,0.001056,0.000384,0.929383
0.419331,0.017184,0.202657,0.004897,0.048064,0.103169,0.047872,0.060032,0.214337,0.002048,0.000864,0.000384,0.916166
0.434243,0.017408,0.202658,0.004896,0.048512,0.112129,0.048128,0.060417,0.223746,0.002240,0.001088,0.000384,0.941735
0.415139,0.017312,0.202241,0.004800,0.049473,0.104960,0.044065,0.060544,0.212673,0.002016,0.000928,0.000416,0.911462
0.419619,0.017664,0.202466,0.004864,0.049408,0.132897,0.051872,0.059489,0.247394,0.001984,0.000992,0.000384,0.951271
0.416227,0.017504,0.202305,0.004800,0.048481,0.124577,0.047264,0.059648,0.234721,0.002400,0.001088,0.000384,0.934214
0.419491,0.017600,0.202594,0.004800,0.048800,0.104417,0.045696,0.060353,0.213506,0.002176,0.001056,0.000416,0.916839
0.420323,0.017344,0.202369,0.004832,0.049345,0.137697,0.049504,0.060288,0.250785,0.001920,0.000992,0.000416,0.954918
0.416451,0.017760,0.202914,0.004864,0.049184,0.114369,0.047488,0.065121,0.230370,0.002208,0.001056,0.000384,0.932359
0.435491,0.018080,0.202946,0.004832,0.049600,0.114561,0.047136,0.060353,0.225250,0.002080,0.001120,0.000384,0.946439
0.419651,0.017504,0.202658,0.004896,0.051008,0.106593,0.045344,0.058273,0.213538,0.001952,0.000928,0.000384,0.918823
0.419459,0.017568,0.202657,0.004800,0.049665,0.111424,0.048193,0.063104,0.225889,0.001984,0.001120,0.000384,0.930182
0.414755,0.017248,0.222242,0.004896,0.049824,0.112289,0.048192,0.060673,0.224034,0.002208,0.001152,0.000416,0.943687
0.419427,0.017216,0.202465,0.004864,0.049313,0.104320,0.043873,0.059616,0.211297,0.002208,0.001056,0.000384,0.914566
0.420099,0.017344,0.202338,0.004864,0.048416,0.110593,0.045536,0.061121,0.220130,0.002112,0.001152,0.000384,0.923015
0.415555,0.017985,0.202849,0.004832,0.047584,0.102241,0.046432,0.062081,0.213666,0.003008,0.000928,0.000416,0.913159
0.420547,0.017632,0.202465,0.004864,0.047969,0.110304,0.045313,0.060832,0.219553,0.002048,0.001248,0.000416,0.923078
0.415107,0.017632,0.202562,0.004896,0.049408,0.105921,0.045152,0.061249,0.215298,0.002016,0.000992,0.000384,0.914695
0.415171,0.017505,0.203073,0.004864,0.048096,0.113185,0.048705,0.063488,0.228482,0.002464,0.001280,0.000384,0.929351
0.436835,0.017664,0.202786,0.004800,0.048096,0.109889,0.047232,0.059777,0.220162,0.001984,0.001088,0.000384,0.940263
