Layer[0],Layer[1],IN[2],INFER[2-10],OUT[10],TEE[2-10],classifier
0.397707,0.017568,0.146788,0.589906,0.064738,0.804984,1.225124
0.395756,0.017568,0.128228,0.589522,0.065186,0.786744,1.204612
0.397516,0.017601,0.129123,0.588754,0.065058,0.786263,1.205828
0.395851,0.017409,0.132932,0.603826,0.067330,0.807992,1.226085
0.395915,0.017376,0.133572,0.584305,0.062530,0.784055,1.201795
0.396236,0.017504,0.123684,0.584785,0.062946,0.775287,1.192739
0.396140,0.017984,0.127268,0.606898,0.090595,0.828377,1.246981
0.396428,0.017696,0.127716,0.588498,0.063618,0.783288,1.202372
0.396684,0.017760,0.131076,0.604914,0.066402,0.806072,1.224964
0.409484,0.017953,0.131556,0.601490,0.066370,0.802968,1.235205
0.395884,0.017696,0.128484,0.590962,0.066882,0.789592,1.207780
0.396428,0.017760,0.132324,0.589201,0.069922,0.795000,1.213604
0.395788,0.017792,0.124900,0.585137,0.067074,0.780759,1.198723
0.396556,0.017921,0.126307,0.601362,0.071202,0.802167,1.221220
0.395467,0.017793,0.124580,0.600113,0.072514,0.800728,1.218532
0.396203,0.017761,0.118755,0.583730,0.065762,0.771703,1.190147
0.396396,0.017985,0.138884,0.586513,0.066882,0.795895,1.215076
0.396716,0.017856,0.140356,0.608306,0.106692,0.859002,1.279302
0.396652,0.017568,0.131811,0.584946,0.066690,0.787128,1.205988
0.395339,0.017665,0.128964,0.587697,0.067394,0.787959,1.205411
0.410316,0.017761,0.134212,0.587025,0.067554,0.792695,1.225636
0.396043,0.017729,0.134084,0.585873,0.066882,0.789943,1.208355
0.397068,0.017984,0.133348,0.585234,0.066722,0.789016,1.209316
0.396107,0.017729,0.132900,0.586961,0.067906,0.791383,1.210083
0.395947,0.017696,0.135940,0.588242,0.072322,0.800120,1.219300
0.396011,0.017920,0.126404,0.602962,0.075682,0.808920,1.227460
0.395884,0.017856,0.128900,0.586897,0.065442,0.784439,1.202499
0.396236,0.017824,0.134884,0.586961,0.068034,0.793464,1.211748
0.397451,0.017857,0.144964,0.587474,0.068514,0.804664,1.224996
0.396523,0.017345,0.159045,0.588209,0.065890,0.816568,1.235076
0.396363,0.017632,0.138116,0.585585,0.066241,0.793304,1.211652
0.410956,0.017889,0.139108,0.585873,0.069474,0.797463,1.230852
0.395820,0.017632,0.138084,0.583506,0.064802,0.790232,1.207556
0.395948,0.017856,0.139333,0.585361,0.067394,0.795672,1.213092
0.396236,0.017920,0.123588,0.583953,0.065442,0.776471,1.194659
0.396012,0.017504,0.149029,0.584689,0.064514,0.801496,1.218788
0.396011,0.017569,0.131908,0.603634,0.089346,0.828536,1.246276
0.396460,0.017408,0.119652,0.599090,0.066882,0.789272,1.207748
0.396139,0.017728,0.124484,0.586673,0.070274,0.784791,1.203395
0.395692,0.017825,0.148996,0.595986,0.071330,0.819960,1.237509
0.396588,0.017889,0.132964,0.587281,0.066466,0.790295,1.209572
0.396907,0.017793,0.135780,0.586193,0.068130,0.793623,1.212515
0.423724,0.017793,0.123876,0.594833,0.065730,0.788311,1.233956
0.396076,0.017760,0.135972,0.585682,0.066882,0.792216,1.210628
0.395820,0.017537,0.130883,0.600433,0.102115,0.838328,1.256677
0.395884,0.017345,0.123939,0.599730,0.067010,0.794327,1.212068
0.395500,0.017569,0.137060,0.583889,0.068002,0.792407,1.209476
0.397067,0.017985,0.128068,0.604466,0.075458,0.812024,1.231844
0.396748,0.017857,0.136580,0.589457,0.067362,0.797367,1.217060
0.397708,0.017729,0.127651,0.603506,0.065410,0.800727,1.221476
0.396268,0.037505,0.137508,0.605778,0.069090,0.816120,1.254085
0.397100,0.017633,0.126435,0.587794,0.066594,0.784503,1.203940
0.396267,0.017441,0.142500,0.587602,0.066594,0.800248,1.218436
0.396939,0.017857,0.143332,0.586738,0.067042,0.800920,1.220068
0.396108,0.017600,0.129443,0.600402,0.067714,0.801015,1.219524
0.395820,0.017600,0.128900,0.603122,0.075490,0.811288,1.229188
0.396268,0.017600,0.125124,0.585361,0.065410,0.779639,1.198211
0.396940,0.017760,0.145893,0.587473,0.069250,0.806392,1.226596
0.396268,0.017632,0.123556,0.604690,0.069122,0.801272,1.220004
0.396075,0.017696,0.130276,0.588945,0.068002,0.790583,1.208803
0.397484,0.017601,0.144068,0.599346,0.070754,0.818808,1.240261
0.414444,0.017569,0.130083,0.599410,0.064194,0.797271,1.233668
0.396939,0.017633,0.142404,0.584497,0.063330,0.793879,1.212259
0.396108,0.017761,0.132259,0.586802,0.066178,0.788951,1.207300
0.397196,0.017824,0.127012,0.583057,0.064034,0.777719,1.197187
0.395787,0.020801,0.124964,0.583089,0.062690,0.774871,1.195811
0.396268,0.017664,0.128772,0.598706,0.072322,0.803832,1.222084
0.399468,0.017825,0.130563,0.586898,0.068738,0.789911,1.212356
0.398476,0.017664,0.130852,0.591282,0.069698,0.795096,1.215972
0.396203,0.017568,0.126372,0.601842,0.072738,0.804952,1.223236
0.396812,0.017536,0.130212,0.591218,0.064706,0.789752,1.208228
0.401964,0.018272,0.186502,0.594386,0.068994,0.854426,1.282438
0.410348,0.017600,0.133924,0.594578,0.067330,0.799992,1.233253
0.396907,0.017504,0.129732,0.590225,0.065538,0.789111,1.208451
0.397868,0.017857,0.127139,0.600498,0.077570,0.809559,1.230020
0.397419,0.017633,0.134308,0.591058,0.065729,0.794808,1.214052
0.396204,0.017792,0.138372,0.586258,0.068674,0.796696,1.215236
0.396747,0.017601,0.129412,0.605074,0.074626,0.813176,1.232740
0.396076,0.017632,0.129316,0.603890,0.065826,0.803160,1.221124
0.396235,0.017633,0.128772,0.587825,0.064354,0.784599,1.203043
0.418668,0.017601,0.124580,0.594545,0.064706,0.787479,1.228164
0.395467,0.017569,0.125252,0.586897,0.067618,0.783319,1.201251
0.396620,0.017632,0.129988,0.589266,0.068514,0.791448,1.210660
0.413164,0.017793,0.138980,0.595954,0.074306,0.812856,1.249029
0.396780,0.017344,0.124196,0.586737,0.063970,0.778359,1.196739
0.395756,0.017728,0.135844,0.604722,0.091075,0.835545,1.254437
0.396204,0.017536,0.134340,0.590642,0.069154,0.797944,1.216228
0.395275,0.017761,0.142436,0.586450,0.064546,0.797080,1.215140
0.396811,0.017633,0.140900,0.601810,0.086178,0.832505,1.252293
0.395435,0.017793,0.138724,0.586065,0.065538,0.794103,1.212131
0.396619,0.017537,0.119811,0.585682,0.063522,0.772247,1.190979
0.426637,0.017601,0.155364,0.605202,0.064962,0.829112,1.278438
0.395659,0.017536,0.130212,0.588785,0.064226,0.787095,1.204419
0.401068,0.018337,0.193349,0.597682,0.100643,0.895706,1.323943
0.396652,0.018016,0.149189,0.590609,0.069922,0.813784,1.233956
0.396043,0.017537,0.136260,0.597106,0.066082,0.803128,1.221188
0.396843,0.017665,0.134948,0.602610,0.078626,0.820280,1.240708
0.399116,0.017632,0.141253,0.585617,0.067266,0.798200,1.220004
0.395244,0.017632,0.140836,0.587601,0.067554,0.799864,1.217572
0.413900,0.017633,0.142628,0.595281,0.065954,0.808055,1.244708
0.397068,0.017504,0.130500,0.602834,0.064610,0.801368,1.220260
0.395243,0.017665,0.133860,0.585041,0.064354,0.787031,1.204227
0.395084,0.017568,0.139076,0.584754,0.064226,0.791512,1.208644
0.395947,0.017857,0.133540,0.599826,0.066626,0.803672,1.222756
0.396140,0.017440,0.139205,0.602161,0.075203,0.819737,1.237317
0.396396,0.017824,0.139941,0.587057,0.065314,0.795832,1.214052
0.396875,0.017729,0.138372,0.586449,0.064450,0.793111,1.212835
0.397036,0.017440,0.119652,0.603346,0.070818,0.798328,1.218212
0.396364,0.017536,0.132420,0.587217,0.064418,0.787671,1.206307
0.395756,0.017568,0.130148,0.584401,0.064738,0.782871,1.200227
