TEE[0-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.643856,0.005313,0.048483,0.000800,0.013857,0.000384,0.001760,0.001376,0.000672,1.724118
1.647408,0.005376,0.049636,0.000576,0.013473,0.000416,0.001408,0.001024,0.000352,1.726485
1.637935,0.005249,0.048995,0.000576,0.013697,0.000384,0.001440,0.000960,0.000288,1.716757
1.668594,0.005312,0.048771,0.000576,0.013505,0.000384,0.001377,0.000896,0.000448,1.745495
1.680818,0.005600,0.048835,0.000832,0.013825,0.000352,0.001409,0.001120,0.000384,1.762968
1.630831,0.005345,0.048323,0.000992,0.013537,0.000384,0.001376,0.000928,0.000352,1.708116
1.642832,0.005536,0.047907,0.000448,0.013665,0.000416,0.001440,0.001184,0.000256,1.720501
1.656753,0.005312,0.048996,0.000736,0.013889,0.000416,0.001536,0.000768,0.000352,1.736470
1.669873,0.005344,0.047907,0.001056,0.013409,0.000384,0.001408,0.000993,0.000384,1.747543
1.683826,0.005185,0.047555,0.000800,0.013633,0.000416,0.001408,0.000960,0.000352,1.760407
1.688626,0.005185,0.047587,0.000832,0.013473,0.000416,0.001472,0.001120,0.000320,1.765527
1.713812,0.005569,0.047555,0.000864,0.013665,0.000352,0.001440,0.000992,0.000384,1.790777
1.662737,0.005280,0.047811,0.000640,0.013857,0.000352,0.001504,0.001184,0.000352,1.741270
1.636367,0.005472,0.047971,0.000801,0.013696,0.000416,0.001408,0.000960,0.000256,1.714004
1.646736,0.005312,0.048292,0.000800,0.013857,0.000416,0.001472,0.001152,0.000384,1.726645
1.682226,0.005184,0.047972,0.000864,0.013473,0.000384,0.001376,0.000992,0.000256,1.759063
1.644208,0.005344,0.047651,0.000833,0.013793,0.000384,0.001344,0.000928,0.000256,1.721141
1.716596,0.005280,0.047715,0.000832,0.014017,0.000384,0.001409,0.000992,0.000384,1.794490
1.685459,0.005248,0.047587,0.000544,0.013441,0.000416,0.001505,0.000736,0.000288,1.762200
1.701876,0.005696,0.047588,0.001024,0.013697,0.000352,0.001440,0.000832,0.000384,1.779321
1.642735,0.005281,0.047811,0.000864,0.013345,0.000416,0.001344,0.000800,0.000352,1.719124
1.708276,0.005281,0.047843,0.000608,0.014145,0.000416,0.001408,0.001184,0.000320,1.785593
1.631406,0.005280,0.047459,0.000544,0.013537,0.000416,0.001376,0.000960,0.000289,1.707828
1.689715,0.005184,0.047555,0.000576,0.013665,0.000384,0.001345,0.001088,0.000352,1.766136
1.673233,0.005344,0.048259,0.000832,0.013985,0.000384,0.001441,0.001120,0.000352,1.753271
1.711188,0.005248,0.047459,0.000577,0.013408,0.000384,0.001376,0.000928,0.000352,1.786841
1.669649,0.005345,0.047779,0.001024,0.013377,0.000384,0.001440,0.000768,0.000384,1.746966
1.684594,0.007073,0.047651,0.000800,0.013665,0.000384,0.001408,0.001088,0.000352,1.764311
1.660017,0.005248,0.047779,0.000608,0.013920,0.000641,0.001376,0.000960,0.000256,1.737686
1.709748,0.005280,0.047492,0.000800,0.013665,0.000384,0.001408,0.000960,0.000352,1.786041
1.668849,0.005345,0.048035,0.000544,0.013569,0.000384,0.001376,0.001152,0.000384,1.746102
1.663089,0.005280,0.048131,0.000577,0.013312,0.000417,0.001408,0.000960,0.000352,1.740118
1.648591,0.005280,0.047363,0.000928,0.013345,0.000352,0.001344,0.000832,0.000256,1.725364
1.690931,0.005249,0.047523,0.000576,0.013345,0.000416,0.001408,0.000928,0.000320,1.767064
1.649360,0.005633,0.047939,0.000640,0.013889,0.000384,0.001472,0.001216,0.000320,1.728566
1.679282,0.005504,0.047747,0.000832,0.013505,0.000384,0.001440,0.001088,0.000256,1.756503
1.701396,0.005184,0.047748,0.000640,0.013985,0.000416,0.001408,0.001056,0.000352,1.780601
1.739606,0.006369,0.047971,0.000832,0.014017,0.000416,0.001728,0.001120,0.000352,1.820956
1.672433,0.005281,0.047779,0.000800,0.013505,0.000448,0.001472,0.001184,0.000352,1.751638
1.690995,0.005312,0.047716,0.000800,0.014113,0.000416,0.001504,0.001056,0.000352,1.769848
1.661137,0.005312,0.050884,0.000800,0.013697,0.000384,0.001472,0.001184,0.000384,1.743254
1.691123,0.005184,0.047844,0.000608,0.013441,0.000384,0.001504,0.001184,0.000384,1.769720
1.695634,0.005184,0.047587,0.000640,0.013761,0.000384,0.001505,0.001184,0.000384,1.775577
1.686290,0.005440,0.047843,0.001025,0.014112,0.000448,0.001536,0.001088,0.000384,1.766136
1.690322,0.005313,0.047971,0.000576,0.013409,0.000480,0.001408,0.001280,0.000384,1.768439
1.707796,0.005216,0.047908,0.000608,0.013729,0.000384,0.001504,0.001152,0.000352,1.786201
1.670321,0.005281,0.049955,0.000640,0.013377,0.000384,0.001408,0.001024,0.000352,1.750326
1.694163,0.005345,0.048003,0.000640,0.013537,0.000416,0.001472,0.001184,0.000384,1.773400
1.715380,0.005344,0.048036,0.000640,0.013473,0.000416,0.001472,0.001120,0.000352,1.793433
1.680242,0.005185,0.047619,0.000576,0.013697,0.000384,0.001504,0.001056,0.000352,1.758167
1.661905,0.005376,0.048036,0.000800,0.013633,0.000416,0.001440,0.001056,0.000384,1.740214
1.687954,0.005184,0.047651,0.000576,0.013601,0.000384,0.001504,0.001088,0.000352,1.766456
1.668657,0.005312,0.047652,0.000640,0.013601,0.000352,0.001472,0.001056,0.000352,1.746838
1.698803,0.005408,0.048388,0.000640,0.013761,0.000448,0.001536,0.001152,0.000352,1.779032
1.716052,0.005472,0.048803,0.000640,0.013697,0.000384,0.001568,0.001281,0.000384,1.794714
1.741941,0.005504,0.049219,0.000576,0.013345,0.000416,0.001441,0.001088,0.000352,1.821819
1.676850,0.005665,0.051299,0.000576,0.014497,0.000448,0.001568,0.001280,0.000352,1.760375
1.687058,0.005568,0.049315,0.000800,0.014017,0.000352,0.001504,0.001024,0.000352,1.767832
1.691570,0.005440,0.050883,0.000832,0.013729,0.000352,0.001537,0.001056,0.000832,1.774040
1.695955,0.005440,0.048963,0.000544,0.013761,0.000576,0.001472,0.001056,0.000576,1.776376
1.661873,0.005472,0.049572,0.000768,0.013729,0.000320,0.001504,0.001184,0.000352,1.742678
1.689874,0.005440,0.050275,0.000801,0.013857,0.000416,0.001472,0.000992,0.000832,1.771288
1.703348,0.005664,0.048867,0.000608,0.013857,0.000416,0.001472,0.000992,0.000352,1.783161
1.685874,0.008001,0.048739,0.000832,0.013921,0.000416,0.001536,0.001313,0.000416,1.770168
1.667025,0.005600,0.049476,0.000768,0.014817,0.000384,0.001536,0.000992,0.000352,1.749078
1.692275,0.005697,0.049731,0.000544,0.013441,0.000384,0.001536,0.001216,0.000352,1.773816
1.669969,0.005281,0.049027,0.000576,0.013409,0.000384,0.001568,0.001280,0.000353,1.750487
1.694995,0.005473,0.050115,0.000576,0.013665,0.000384,0.001536,0.000928,0.000320,1.775992
1.672049,0.005536,0.049060,0.000576,0.014433,0.000416,0.001792,0.001216,0.000384,1.753430
1.721940,0.006497,0.049283,0.000800,0.013825,0.000576,0.001536,0.001088,0.000352,1.804089
1.678033,0.005441,0.049859,0.000832,0.013889,0.000416,0.001600,0.001120,0.000352,1.759286
1.689490,0.006145,0.048771,0.000576,0.013441,0.000384,0.001536,0.001088,0.000352,1.769751
1.666033,0.006529,0.049059,0.000832,0.013633,0.000384,0.001472,0.001152,0.000352,1.747606
1.675121,0.005440,0.049508,0.000736,0.014017,0.000416,0.001440,0.001216,0.000352,1.757111
1.667697,0.005504,0.049604,0.000832,0.014401,0.000384,0.001504,0.001120,0.000352,1.749302
1.667120,0.005376,0.049667,0.000576,0.013985,0.000416,0.001441,0.001152,0.000352,1.748214
1.672913,0.005313,0.049251,0.000640,0.013953,0.000448,0.001504,0.001152,0.000320,1.753943
1.700402,0.005376,0.051523,0.000832,0.013761,0.000416,0.001568,0.001024,0.000384,1.783224
1.676209,0.005345,0.049571,0.000832,0.014241,0.000352,0.001536,0.001120,0.000352,1.757527
1.652816,0.005345,0.048739,0.000608,0.013697,0.000384,0.001472,0.001056,0.000352,1.732277
1.665424,0.005569,0.049475,0.000576,0.013633,0.000352,0.001504,0.001056,0.000352,1.745653
1.701491,0.005408,0.048644,0.000608,0.013377,0.000384,0.001472,0.001184,0.000352,1.781048
1.694803,0.005472,0.049060,0.000992,0.013473,0.000416,0.001440,0.001184,0.000384,1.775192
1.700499,0.005441,0.049411,0.000608,0.013441,0.000352,0.001568,0.001312,0.000384,1.781880
1.680753,0.005568,0.048899,0.000640,0.047684,0.000960,0.002048,0.001280,0.000352,1.797305
1.656080,0.005505,0.048515,0.000640,0.013601,0.000352,0.001504,0.000960,0.000352,1.734357
1.633038,0.005248,0.048995,0.000864,0.013665,0.000384,0.001473,0.001024,0.000352,1.712948
1.628622,0.005376,0.049411,0.000577,0.013600,0.000353,0.001504,0.000704,0.000384,1.707155
1.658992,0.005440,0.049028,0.000864,0.013665,0.000416,0.001408,0.001024,0.000352,1.738453
1.701555,0.005280,0.048899,0.000832,0.013985,0.000384,0.001440,0.001088,0.000384,1.782073
1.643150,0.005216,0.048515,0.001024,0.013793,0.000384,0.001472,0.000992,0.000352,1.722932
1.695922,0.005312,0.048579,0.000608,0.013569,0.000416,0.001504,0.001120,0.000352,1.775928
1.701203,0.005441,0.047875,0.001120,0.014273,0.000416,0.001536,0.001216,0.000320,1.781432
1.660112,0.005408,0.048131,0.000864,0.013665,0.000384,0.001472,0.001056,0.000352,1.738197
1.660528,0.005408,0.048740,0.000608,0.013665,0.000416,0.001536,0.000992,0.000352,1.740437
1.663568,0.005440,0.049188,0.000800,0.013857,0.000448,0.001472,0.001024,0.000384,1.743894
1.676497,0.005345,0.048771,0.000864,0.013569,0.000448,0.001536,0.001024,0.000352,1.756502
1.698035,0.005408,0.048611,0.000832,0.013376,0.000416,0.001472,0.001024,0.000384,1.777240
1.662480,0.005345,0.049347,0.000864,0.013409,0.000384,0.001472,0.000960,0.000384,1.742485
1.670064,0.005313,0.048579,0.000832,0.013505,0.000352,0.001440,0.001024,0.000384,1.749526
1.664976,0.005537,0.048387,0.000576,0.013377,0.000416,0.001568,0.000864,0.000352,1.743637
1.663856,0.005376,0.048420,0.000576,0.013601,0.000384,0.001504,0.000992,0.000384,1.742261
1.694770,0.005408,0.049411,0.000577,0.013728,0.000385,0.001408,0.001184,0.000352,1.776568
1.684881,0.005536,0.048867,0.000832,0.013601,0.000352,0.001440,0.001089,0.000384,1.764759
1.686417,0.005505,0.048803,0.000608,0.013409,0.000384,0.001504,0.001088,0.000448,1.765878
1.670321,0.005440,0.049315,0.000800,0.013569,0.000384,0.001472,0.001280,0.000352,1.751286
1.705843,0.005408,0.048739,0.000576,0.013761,0.000384,0.001440,0.001089,0.000384,1.785561
1.668464,0.005505,0.048739,0.000576,0.013473,0.000352,0.001504,0.001248,0.000352,1.747893
1.662384,0.005313,0.049859,0.000832,0.013889,0.000448,0.001568,0.001152,0.000352,1.743861
1.673104,0.005440,0.048931,0.000832,0.013825,0.000384,0.001473,0.001248,0.000352,1.753430
1.698930,0.005313,0.048291,0.000576,0.013697,0.000384,0.001568,0.001056,0.000352,1.777175
1.669425,0.005440,0.048835,0.000577,0.013408,0.000448,0.001440,0.001216,0.000352,1.748918
1.678833,0.005440,0.048803,0.000800,0.013473,0.000448,0.001568,0.001216,0.000384,1.759670
1.703890,0.005504,0.048451,0.000672,0.013473,0.000352,0.001568,0.001184,0.000352,1.782872
1.657264,0.005440,0.049028,0.000864,0.044291,0.000672,0.001632,0.001088,0.000352,1.769047
1.667824,0.005312,0.050787,0.000833,0.013696,0.000384,0.001472,0.001024,0.000352,1.749398
1.665904,0.005696,0.069701,0.000896,0.013441,0.000608,0.001504,0.001024,0.000384,1.767191
1.659120,0.005313,0.049059,0.000608,0.014017,0.000416,0.001600,0.001056,0.000384,1.739189
1.686833,0.005537,0.065732,0.000832,0.013665,0.000608,0.001505,0.001088,0.000320,1.784088
1.646415,0.005504,0.049059,0.000800,0.013377,0.000384,0.001536,0.001056,0.000352,1.726100
1.655216,0.005184,0.048611,0.000577,0.013376,0.000385,0.001472,0.001152,0.000352,1.734069
1.674096,0.005344,0.049635,0.000576,0.014145,0.000448,0.001441,0.001280,0.000352,1.755030
1.672624,0.005344,0.068485,0.000832,0.013633,0.000640,0.001536,0.001152,0.000416,1.773783
1.672305,0.005697,0.049283,0.000640,0.013537,0.000416,0.001440,0.001216,0.000352,1.752214
1.662448,0.005248,0.065060,0.000864,0.013473,0.000384,0.001440,0.001152,0.000384,1.759031
1.679793,0.005440,0.049252,0.000608,0.014081,0.000416,0.001856,0.001248,0.000384,1.761014
1.644911,0.005376,0.065989,0.000832,0.013921,0.000384,0.001376,0.001312,0.000320,1.742325
1.680721,0.005217,0.049379,0.000832,0.014625,0.000384,0.001824,0.000992,0.000352,1.761814
1.673872,0.020482,0.049955,0.000832,0.013921,0.000352,0.001536,0.001248,0.000353,1.770423
1.674897,0.005696,0.050084,0.000576,0.013857,0.000416,0.001440,0.001088,0.000352,1.756342
1.738197,0.006240,0.048964,0.000800,0.013889,0.000384,0.001760,0.001120,0.000384,1.820922
1.705267,0.005440,0.049027,0.000576,0.013857,0.000384,0.001440,0.001216,0.000352,1.785624
1.705618,0.005729,0.048867,0.000768,0.014081,0.000416,0.001504,0.001249,0.000352,1.787512
1.698418,0.005568,0.049059,0.000576,0.013985,0.000384,0.001537,0.001024,0.000416,1.778808
1.688594,0.005440,0.049059,0.000640,0.013889,0.000416,0.001472,0.001248,0.000384,1.768855
1.679729,0.005728,0.049092,0.000800,0.014113,0.000416,0.001536,0.001216,0.000352,1.761302
1.703411,0.005600,0.050692,0.000832,0.014401,0.000352,0.001536,0.001088,0.000352,1.786168
1.707443,0.005472,0.048708,0.000608,0.013729,0.000384,0.001472,0.001248,0.000352,1.786968
1.684402,0.005312,0.049220,0.000608,0.013633,0.000416,0.001504,0.001120,0.000384,1.764855
1.664496,0.005312,0.048227,0.000800,0.013665,0.000384,0.001505,0.001088,0.000384,1.743349
1.721460,0.005473,0.048195,0.000640,0.014049,0.000416,0.001472,0.001312,0.000352,1.801337
1.662736,0.005440,0.048708,0.001056,0.013633,0.000384,0.001504,0.001184,0.000352,1.742549
1.745909,0.005633,0.048483,0.000832,0.013825,0.000416,0.001408,0.001248,0.000384,1.826522
1.689138,0.005504,0.048740,0.000608,0.013697,0.000416,0.001504,0.001216,0.000352,1.769527
1.729524,0.005664,0.049060,0.000640,0.013601,0.000384,0.001472,0.001152,0.000384,1.810170
1.674545,0.005952,0.049060,0.000576,0.013633,0.000352,0.001536,0.001280,0.000352,1.756086
1.723635,0.005600,0.048899,0.000832,0.014241,0.000416,0.001504,0.001409,0.000320,1.804665
1.693265,0.005568,0.049155,0.000640,0.013793,0.000352,0.001537,0.001184,0.000352,1.773847
1.732788,0.007904,0.048708,0.000608,0.013793,0.000384,0.001664,0.001216,0.000384,1.815802
1.666480,0.005345,0.048419,0.000832,0.013729,0.000416,0.001504,0.001088,0.000352,1.746421
1.702867,0.005440,0.048612,0.000832,0.014401,0.000352,0.001472,0.000992,0.000352,1.783192
1.676081,0.005601,0.048643,0.000608,0.014017,0.000416,0.001504,0.001248,0.000320,1.757430
1.690418,0.005376,0.049092,0.000832,0.013729,0.000384,0.001504,0.001184,0.000352,1.770327
1.722451,0.005249,0.049027,0.000768,0.013505,0.000416,0.001536,0.001216,0.000352,1.802360
1.696081,0.005280,0.049027,0.000608,0.013729,0.000384,0.001505,0.001280,0.000352,1.776631
1.683984,0.005504,0.048803,0.001057,0.013921,0.000416,0.001440,0.001120,0.000384,1.765335
1.689713,0.005473,0.049187,0.000832,0.013473,0.000352,0.001408,0.001312,0.000384,1.770262
1.692689,0.005377,0.049475,0.001024,0.014337,0.000416,0.001408,0.001121,0.000352,1.774103
1.711059,0.005569,0.049059,0.000832,0.014305,0.000416,0.001472,0.001184,0.000352,1.792024
1.664239,0.005472,0.048547,0.000576,0.014273,0.000384,0.001440,0.001024,0.000352,1.744053
1.690065,0.005376,0.048227,0.000768,0.014401,0.000416,0.001472,0.001056,0.000416,1.769751
1.666352,0.005409,0.048963,0.000640,0.014561,0.000416,0.001504,0.001152,0.000352,1.747957
1.739861,0.005280,0.048484,0.000832,0.014785,0.000416,0.001504,0.001024,0.000352,1.819898
1.697137,0.005184,0.050243,0.000576,0.014849,0.000416,0.001376,0.001024,0.000384,1.779063
1.691025,0.005440,0.051172,0.000640,0.014913,0.000416,0.001536,0.001216,0.000352,1.774711
1.689777,0.005504,0.049091,0.000608,0.014529,0.000384,0.001504,0.001056,0.000352,1.770454
1.749621,0.005345,0.048195,0.000608,0.014305,0.000416,0.001472,0.001024,0.000352,1.827610
1.657199,0.005120,0.047971,0.000576,0.014273,0.000384,0.001409,0.000928,0.000320,1.734516
1.713843,0.005280,0.047395,0.000609,0.013632,0.000353,0.001440,0.000992,0.000384,1.790488
1.684081,0.005280,0.047460,0.000640,0.014049,0.000384,0.001472,0.001024,0.000384,1.762390
1.749429,0.005408,0.047428,0.000992,0.013697,0.000352,0.001408,0.001024,0.000352,1.826490
1.681169,0.005568,0.048612,0.000544,0.014209,0.000416,0.001472,0.001184,0.000384,1.762934
1.732084,0.005728,0.049028,0.000832,0.014273,0.000416,0.001568,0.001120,0.000384,1.813049
1.674800,0.005472,0.049443,0.000832,0.014753,0.000608,0.001473,0.001184,0.000352,1.756950
1.689617,0.005664,0.049219,0.000608,0.013857,0.000352,0.001440,0.001216,0.000352,1.770807
1.678257,0.011041,0.049507,0.000768,0.013569,0.000384,0.001728,0.001088,0.000384,1.764599
1.689970,0.005280,0.048867,0.000640,0.014625,0.000385,0.001600,0.001056,0.000384,1.769783
1.660655,0.005313,0.049571,0.000576,0.013825,0.000416,0.001568,0.001056,0.000352,1.740948
1.698162,0.005441,0.049347,0.000576,0.013601,0.000448,0.001568,0.001152,0.000320,1.778871
1.667055,0.005696,0.048963,0.000832,0.013505,0.000352,0.001537,0.001152,0.000320,1.748053
1.739060,0.005504,0.049155,0.000832,0.014081,0.000384,0.001504,0.001024,0.000352,1.819738
1.675472,0.005537,0.051299,0.000608,0.014049,0.000384,0.001600,0.001217,0.000320,1.759734
1.693265,0.005793,0.049123,0.000608,0.013377,0.000352,0.001472,0.001056,0.000352,1.773334
1.697617,0.005504,0.048579,0.000608,0.013505,0.000384,0.001441,0.001184,0.000384,1.777175
1.676368,0.005600,0.048899,0.000800,0.013601,0.000416,0.001441,0.001248,0.000320,1.756758
1.651151,0.005440,0.049092,0.000800,0.013761,0.000384,0.001472,0.001056,0.000352,1.731348
1.697842,0.005536,0.049572,0.000576,0.013537,0.000352,0.001536,0.000864,0.000384,1.776919
1.697745,0.005408,0.048259,0.000576,0.013665,0.000384,0.001568,0.000896,0.000384,1.775703
1.700018,0.005312,0.048836,0.000736,0.014145,0.000416,0.001408,0.001024,0.000352,1.779159
1.676752,0.005504,0.049092,0.000832,0.013537,0.000416,0.001536,0.001152,0.000384,1.757141
1.709331,0.005664,0.049316,0.000576,0.013985,0.000384,0.001408,0.001024,0.000320,1.789656
1.667471,0.005440,0.048803,0.000832,0.013825,0.000416,0.001504,0.001345,0.000384,1.748373
1.743380,0.005344,0.049187,0.000800,0.015233,0.000480,0.001568,0.001184,0.000320,1.825370
1.676944,0.005312,0.049220,0.000800,0.014625,0.000416,0.001536,0.001056,0.000352,1.757941
1.689777,0.005601,0.048899,0.000832,0.014049,0.000384,0.001536,0.001248,0.000352,1.771094
1.664976,0.005664,0.049380,0.000832,0.013921,0.000352,0.001536,0.001216,0.000352,1.745045
1.710547,0.005408,0.049027,0.000641,0.014336,0.000352,0.001504,0.001120,0.000352,1.790328
1.680305,0.005536,0.049091,0.000800,0.014017,0.000416,0.001600,0.001120,0.000352,1.760438
1.687793,0.005600,0.048420,0.000800,0.014049,0.000416,0.001536,0.001024,0.000384,1.766838
1.666223,0.005377,0.048931,0.001024,0.014017,0.000352,0.001440,0.000960,0.000416,1.746516
1.663279,0.005376,0.048707,0.001024,0.013601,0.000416,0.001536,0.001249,0.000352,1.743893
1.713266,0.005472,0.048867,0.001056,0.013537,0.000384,0.001473,0.001152,0.000320,1.793784
1.649870,0.005568,0.049539,0.000577,0.013632,0.000352,0.001504,0.000864,0.000384,1.730452
1.670671,0.008609,0.048835,0.000640,0.013793,0.000352,0.001441,0.001088,0.000352,1.754101
1.658735,0.005601,0.048803,0.001056,0.014049,0.000416,0.001568,0.001152,0.000320,1.740437
1.666063,0.005472,0.048835,0.000576,0.013889,0.000384,0.001536,0.001313,0.000384,1.745877
1.661519,0.005569,0.048547,0.000768,0.013569,0.000352,0.001472,0.001024,0.000352,1.740596
1.667088,0.005568,0.048675,0.000673,0.013536,0.000449,0.001504,0.001056,0.000352,1.746101
1.662927,0.005313,0.052803,0.000800,0.013601,0.000416,0.001536,0.001153,0.000320,1.745749
1.689393,0.005345,0.048931,0.000640,0.013697,0.000384,0.001408,0.001088,0.000384,1.769238
1.673264,0.005441,0.049667,0.000832,0.013633,0.000416,0.001504,0.001120,0.000352,1.754837
1.659311,0.005505,0.048803,0.000832,0.013441,0.000384,0.001472,0.000992,0.000352,1.738836
1.667951,0.005536,0.048835,0.000608,0.013760,0.000384,0.001472,0.001024,0.000384,1.747669
1.709810,0.005473,0.048643,0.000576,0.013441,0.000352,0.001504,0.000992,0.000384,1.789367
1.674672,0.005696,0.049347,0.000672,0.013857,0.000384,0.001568,0.001217,0.000416,1.755894
1.683281,0.005472,0.049028,0.001024,0.013633,0.000384,0.001536,0.001056,0.000320,1.763030
1.697969,0.005505,0.049155,0.000576,0.013665,0.000416,0.001472,0.000992,0.000384,1.776855
1.661327,0.005345,0.048931,0.000672,0.013825,0.000416,0.001568,0.001056,0.000320,1.740628
1.651310,0.005249,0.048451,0.000608,0.013665,0.000352,0.001472,0.001184,0.000320,1.730451
1.660334,0.005312,0.048995,0.000832,0.013505,0.000416,0.001504,0.001281,0.000384,1.740020
1.688337,0.005441,0.048803,0.000608,0.013761,0.000384,0.001472,0.001152,0.000352,1.768886
1.672368,0.005408,0.049380,0.000800,0.013601,0.000384,0.001536,0.001120,0.000352,1.752341
1.648078,0.010177,0.048547,0.000800,0.013537,0.000448,0.001633,0.001152,0.000352,1.732916
1.671215,0.005377,0.048803,0.000800,0.013921,0.000384,0.001504,0.001248,0.000352,1.752213
1.659279,0.005377,0.048899,0.000576,0.014113,0.000384,0.001472,0.001184,0.000320,1.739668
1.665583,0.005409,0.048803,0.000576,0.013569,0.000448,0.001472,0.001152,0.000352,1.745236
1.682096,0.005408,0.048611,0.000800,0.014177,0.000416,0.001472,0.001089,0.000352,1.762070
1.666320,0.005312,0.048451,0.000640,0.014336,0.000417,0.001504,0.000992,0.000384,1.745717
1.668879,0.005377,0.047875,0.000576,0.013441,0.000448,0.001472,0.001120,0.000352,1.747732
1.698193,0.005537,0.048547,0.000576,0.013985,0.000416,0.001472,0.000992,0.000320,1.776950
1.657103,0.005633,0.048451,0.000800,0.014049,0.000384,0.001472,0.001088,0.000352,1.738228
1.678736,0.005249,0.047875,0.000832,0.013505,0.000384,0.001440,0.000992,0.000352,1.755957
1.667215,0.005216,0.047588,0.000800,0.013697,0.000416,0.001440,0.000928,0.000352,1.744116
1.676848,0.006465,0.048739,0.000608,0.013761,0.000448,0.001536,0.001280,0.000384,1.759286
1.658703,0.005536,0.047812,0.000736,0.013441,0.000448,0.001568,0.000928,0.000256,1.736436
1.668719,0.005440,0.047460,0.000576,0.013633,0.000384,0.001536,0.000960,0.000352,1.745684
1.656078,0.005344,0.047939,0.001088,0.013409,0.000384,0.001408,0.000928,0.000352,1.733747
1.645870,0.005376,0.047619,0.000832,0.013665,0.000416,0.001537,0.000960,0.000352,1.723827
1.720147,0.005440,0.047907,0.000576,0.013601,0.000352,0.001696,0.000992,0.000352,1.798552
1.663695,0.005312,0.047716,0.001056,0.013377,0.000384,0.001472,0.000832,0.000352,1.741140
1.727283,0.005313,0.047907,0.000672,0.013985,0.000480,0.001952,0.001184,0.000352,1.807448
1.664047,0.005377,0.048515,0.000832,0.014017,0.000448,0.001792,0.001056,0.000320,1.744437
1.694449,0.005536,0.048100,0.001088,0.014337,0.000544,0.001536,0.001152,0.000384,1.774838
1.676208,0.005313,0.049059,0.000544,0.014337,0.000384,0.001536,0.001280,0.000384,1.757109
1.661518,0.005377,0.048163,0.000544,0.013761,0.000448,0.001472,0.001152,0.000352,1.740755
1.669679,0.005664,0.048835,0.000832,0.013569,0.000384,0.001504,0.001248,0.000352,1.750837
1.674703,0.007072,0.048291,0.000608,0.013505,0.000448,0.001537,0.001152,0.000352,1.756053
1.694225,0.005280,0.047875,0.000576,0.014433,0.000448,0.001472,0.000993,0.000384,1.772022
1.663215,0.005281,0.048003,0.000832,0.013569,0.000448,0.001504,0.001056,0.000320,1.742548
1.676528,0.005473,0.050531,0.000768,0.013729,0.000416,0.001504,0.001184,0.000384,1.759061
1.704433,0.005441,0.049059,0.000576,0.013825,0.000416,0.001472,0.001152,0.000384,1.784534
1.679119,0.005440,0.049475,0.000576,0.014080,0.000416,0.001600,0.001120,0.000320,1.760213
1.675056,0.005440,0.048611,0.000577,0.014048,0.000384,0.001472,0.001120,0.000384,1.754389
1.670704,0.005440,0.048996,0.000832,0.014625,0.000416,0.001504,0.001152,0.000352,1.751957
1.687505,0.005664,0.048932,0.000832,0.014817,0.000384,0.001600,0.001248,0.000384,1.768694
1.665455,0.005568,0.049059,0.000608,0.014145,0.000608,0.001536,0.001216,0.000352,1.746004
1.668175,0.005600,0.049284,0.000576,0.014369,0.000640,0.001504,0.001024,0.000800,1.749172
1.680240,0.005408,0.049572,0.000832,0.013793,0.000384,0.001440,0.001056,0.000352,1.760501
1.654862,0.005344,0.049379,0.000800,0.013889,0.000416,0.001601,0.001120,0.000320,1.734996
1.686160,0.005408,0.049092,0.000832,0.013665,0.000416,0.001792,0.001184,0.000352,1.767797
1.665231,0.005633,0.049059,0.000576,0.014049,0.000384,0.001472,0.001088,0.000352,1.744660
1.672879,0.005505,0.048771,0.000832,0.013537,0.000384,0.001568,0.001152,0.000384,1.752148
1.665582,0.005376,0.048963,0.000832,0.014465,0.000416,0.001537,0.001120,0.000320,1.746036
1.668143,0.005536,0.048292,0.000576,0.013665,0.000416,0.001600,0.001120,0.000320,1.747892
1.667215,0.005376,0.048900,0.000608,0.013825,0.000416,0.001536,0.001056,0.000320,1.746772
1.668143,0.005409,0.050275,0.000832,0.013665,0.000448,0.001440,0.001152,0.000384,1.748853
1.655086,0.005377,0.050723,0.000576,0.014593,0.000384,0.001504,0.001120,0.000384,1.737171
1.665711,0.005504,0.048740,0.000864,0.013633,0.000352,0.001536,0.001152,0.000352,1.744852
1.669999,0.005472,0.049347,0.000800,0.013889,0.000384,0.001504,0.001024,0.000352,1.750612
1.671791,0.005440,0.049636,0.000832,0.014081,0.000416,0.001536,0.001280,0.000384,1.753812
1.671087,0.005248,0.049028,0.000800,0.014177,0.000384,0.001536,0.001120,0.000352,1.750612
1.676335,0.005665,0.049507,0.000832,0.013889,0.000416,0.001472,0.001152,0.000352,1.757108
1.698000,0.005472,0.048675,0.000800,0.013696,0.000384,0.001537,0.001024,0.000384,1.778134
1.698449,0.005633,0.072357,0.000864,0.014273,0.000352,0.001504,0.001216,0.000352,1.805016
1.687088,0.005537,0.048899,0.000576,0.013953,0.000448,0.001440,0.001216,0.000384,1.766933
1.690672,0.005312,0.049379,0.000576,0.013985,0.000416,0.001505,0.000960,0.000320,1.770806
1.689905,0.005568,0.048931,0.000865,0.014209,0.000352,0.001568,0.001056,0.000320,1.769942
1.702066,0.005536,0.049411,0.000800,0.014049,0.000416,0.001792,0.001248,0.000384,1.783639
