Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-8],Layer[9],Layer[10],classifier
0.420592,0.017505,0.203784,0.005024,0.048770,0.000864,0.014337,0.000384,0.172743,0.001632,0.000384,0.894755
0.416592,0.017761,0.203048,0.005088,0.048290,0.000864,0.013985,0.000384,0.170022,0.001824,0.000416,0.886690
0.441297,0.017696,0.204232,0.004929,0.048193,0.000864,0.014049,0.000416,0.178279,0.001504,0.000480,0.921092
0.416496,0.017793,0.203176,0.005248,0.048194,0.000800,0.013792,0.000384,0.173991,0.001568,0.000608,0.890306
0.416688,0.017473,0.204360,0.005280,0.048194,0.000800,0.013729,0.000416,0.174503,0.001440,0.000608,0.891939
0.416976,0.017505,0.202824,0.005120,0.048770,0.000832,0.013921,0.000448,0.203176,0.001536,0.000640,0.920708
0.416849,0.017728,0.203496,0.005089,0.048513,0.000833,0.013728,0.000384,0.180871,0.001728,0.000608,0.899267
0.420273,0.017472,0.202312,0.005344,0.048354,0.000768,0.013697,0.000608,0.167911,0.001440,0.000608,0.887299
0.417361,0.017536,0.203048,0.004832,0.048065,0.000864,0.013793,0.000416,0.179207,0.001600,0.000416,0.895203
0.439921,0.017825,0.203848,0.004800,0.048610,0.000832,0.013793,0.000384,0.174151,0.001440,0.000384,0.915812
0.416592,0.017633,0.202824,0.004800,0.049058,0.000832,0.014337,0.000608,0.172583,0.001600,0.000416,0.888899
0.419696,0.017440,0.202536,0.005056,0.048130,0.000704,0.013697,0.000416,0.169223,0.001376,0.000608,0.886883
0.417072,0.017665,0.203016,0.005184,0.049218,0.000800,0.013921,0.000384,0.201672,0.001568,0.000352,0.918724
0.420208,0.017632,0.203816,0.004992,0.047842,0.000832,0.013697,0.000384,0.175271,0.001440,0.000384,0.895235
0.420977,0.017792,0.204616,0.005089,0.048066,0.000800,0.013696,0.000608,0.171687,0.001472,0.000576,0.893699
0.417584,0.017697,0.203144,0.005088,0.047650,0.000800,0.013665,0.000384,0.178983,0.001376,0.000384,0.896003
0.435441,0.017633,0.202856,0.005280,0.048514,0.000832,0.013665,0.000416,0.176071,0.001440,0.000608,0.911300
0.420624,0.017409,0.201896,0.004864,0.048642,0.000832,0.014177,0.000416,0.170182,0.001504,0.000352,0.889730
0.421136,0.017729,0.202568,0.005056,0.047842,0.000832,0.013889,0.000384,0.175399,0.001600,0.000320,0.895235
0.420304,0.017505,0.203688,0.004832,0.047522,0.000800,0.013728,0.000608,0.207689,0.001664,0.000608,0.927236
0.422129,0.017632,0.202792,0.004769,0.048353,0.000576,0.013792,0.000640,0.167111,0.001408,0.000384,0.886403
0.420337,0.017472,0.202504,0.004833,0.047521,0.000800,0.013633,0.000416,0.166471,0.001504,0.000384,0.883267
0.420465,0.017697,0.203368,0.005312,0.047714,0.000800,0.013664,0.000512,0.164839,0.001408,0.000384,0.884099
0.438002,0.017696,0.203176,0.005121,0.048289,0.000800,0.013697,0.000416,0.174279,0.001568,0.000576,0.912516
0.420016,0.017504,0.204456,0.004800,0.047426,0.000800,0.013697,0.000416,0.180551,0.001472,0.000576,0.899491
0.416241,0.018208,0.202408,0.004833,0.047873,0.000801,0.013664,0.000416,0.172999,0.001568,0.000640,0.887267
0.422160,0.018177,0.203048,0.004800,0.047586,0.000768,0.013761,0.000448,0.198920,0.001536,0.000416,0.921092
0.421585,0.017536,0.203336,0.004865,0.047521,0.000768,0.013665,0.000416,0.161958,0.001440,0.000384,0.881731
0.416209,0.017472,0.203080,0.005153,0.047457,0.000768,0.013889,0.000416,0.164327,0.001600,0.000480,0.879363
0.416720,0.017505,0.202600,0.005248,0.048002,0.000768,0.013729,0.000576,0.170342,0.001472,0.000352,0.886467
0.436305,0.017473,0.202952,0.005088,0.048386,0.000832,0.013601,0.000416,0.178247,0.001344,0.000384,0.914148
0.421072,0.017600,0.203016,0.005056,0.048002,0.000832,0.013697,0.000416,0.164518,0.001440,0.000384,0.885379
0.416400,0.017537,0.202728,0.005056,0.048386,0.000800,0.013665,0.000416,0.160614,0.001632,0.000416,0.875778
0.420240,0.017537,0.202184,0.005216,0.048610,0.000800,0.013728,0.000416,0.170118,0.001408,0.000416,0.889538
0.416337,0.017504,0.202792,0.004897,0.047874,0.000800,0.013696,0.000448,0.176647,0.001280,0.000352,0.890563
0.419760,0.017537,0.202056,0.005088,0.047266,0.000832,0.013920,0.000416,0.175431,0.001440,0.000353,0.893187
0.416080,0.017633,0.202632,0.005152,0.047490,0.000800,0.013664,0.000448,0.165735,0.001536,0.000416,0.879650
0.440562,0.017632,0.203208,0.005345,0.047393,0.000801,0.013664,0.000640,0.177127,0.001696,0.000416,0.919716
0.416016,0.017473,0.202952,0.004864,0.048354,0.000832,0.013664,0.000416,0.174183,0.001472,0.000352,0.889634
0.416464,0.017409,0.202952,0.005312,0.048738,0.000832,0.013889,0.000416,0.180711,0.001792,0.000640,0.899011
0.420209,0.017569,0.202920,0.005088,0.048194,0.000832,0.013824,0.000416,0.191016,0.001536,0.000352,0.909604
0.416753,0.017504,0.202920,0.005441,0.048353,0.000833,0.014208,0.000416,0.159366,0.001632,0.000352,0.876515
0.416496,0.017601,0.202280,0.005120,0.048354,0.000832,0.013761,0.000416,0.175527,0.001408,0.000384,0.889731
0.420753,0.017665,0.202727,0.004800,0.047842,0.000800,0.013728,0.000608,0.181415,0.001536,0.000352,0.901124
0.434513,0.018177,0.202760,0.004832,0.048802,0.000800,0.013920,0.000640,0.178343,0.001440,0.000288,0.911459
0.420144,0.017761,0.203592,0.005024,0.048098,0.000800,0.013633,0.000384,0.184935,0.001408,0.000352,0.904515
0.416656,0.017665,0.203560,0.004992,0.048322,0.000832,0.013665,0.000384,0.191591,0.001472,0.000384,0.909443
0.420688,0.017793,0.202984,0.005024,0.048034,0.000832,0.013857,0.000672,0.175047,0.001632,0.000416,0.897123
0.420976,0.017729,0.203432,0.005088,0.048418,0.000864,0.013633,0.000640,0.171815,0.001536,0.000416,0.892899
0.416176,0.017537,0.202856,0.004992,0.047778,0.000832,0.013600,0.000640,0.181095,0.001568,0.000384,0.896131
0.417072,0.017920,0.202984,0.005280,0.048769,0.000864,0.014049,0.000640,0.179751,0.001472,0.000576,0.898723
0.441330,0.017568,0.203272,0.005185,0.048353,0.000897,0.014144,0.000672,0.183911,0.001633,0.000544,0.927557
0.416208,0.017857,0.202568,0.005056,0.048450,0.000864,0.014305,0.000416,0.180199,0.001472,0.000352,0.896323
0.420721,0.017729,0.202600,0.004864,0.048546,0.000864,0.014112,0.000416,0.170631,0.001536,0.000640,0.891299
0.415377,0.017697,0.202951,0.005249,0.048098,0.000832,0.014016,0.000608,0.222633,0.001504,0.000384,0.938149
0.416529,0.017536,0.203144,0.005345,0.048130,0.000832,0.014432,0.000416,0.211464,0.001632,0.000416,0.929957
0.416048,0.017601,0.202600,0.005088,0.049026,0.000832,0.013921,0.000640,0.176743,0.001536,0.000384,0.893507
0.420721,0.017536,0.202567,0.004993,0.048642,0.000864,0.014400,0.000608,0.188296,0.001664,0.000352,0.910724
