Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],TEE[8-8],Layer[9],Layer[10],classifier
0.420113,0.017408,0.202759,0.005089,0.048738,0.000800,0.013760,0.000416,0.174151,0.001248,0.000608,0.894275
0.420881,0.017472,0.202824,0.004961,0.047905,0.000768,0.013664,0.000416,0.168647,0.001184,0.000608,0.887043
0.452722,0.018273,0.204008,0.005248,0.048322,0.000576,0.013728,0.000416,0.170663,0.001024,0.000608,0.923268
0.416880,0.017665,0.202344,0.004896,0.048322,0.000864,0.013664,0.000384,0.176231,0.001088,0.000384,0.891234
0.420880,0.017537,0.203080,0.005088,0.048450,0.000832,0.013825,0.000640,0.172102,0.001312,0.000384,0.893571
0.421104,0.017216,0.202984,0.005088,0.048066,0.000768,0.013601,0.000608,0.198184,0.001568,0.000608,0.919044
0.420336,0.017697,0.203240,0.004992,0.048194,0.000800,0.013569,0.000608,0.168870,0.001473,0.000576,0.889379
0.420305,0.017472,0.202504,0.004832,0.048546,0.000768,0.013665,0.000416,0.166887,0.001376,0.000608,0.885219
0.415792,0.017473,0.203528,0.004832,0.048546,0.000640,0.013569,0.000416,0.163238,0.001440,0.000576,0.878434
0.439378,0.017728,0.203432,0.005057,0.047585,0.000800,0.013537,0.000448,0.207176,0.001152,0.000384,0.944261
0.416208,0.017504,0.203016,0.004864,0.047298,0.000608,0.013729,0.000736,0.212392,0.001184,0.000352,0.925412
0.421361,0.017665,0.203016,0.004832,0.047586,0.000800,0.013696,0.000416,0.170727,0.001056,0.000576,0.889155
0.417073,0.017504,0.202760,0.004833,0.047617,0.000833,0.013600,0.000416,0.186919,0.001377,0.000384,0.903204
0.419920,0.017921,0.202984,0.005024,0.047010,0.000800,0.013633,0.000448,0.170022,0.001376,0.000608,0.888067
0.416080,0.017985,0.203336,0.004864,0.047426,0.000832,0.013729,0.000640,0.176743,0.001216,0.000384,0.892483
0.420464,0.017889,0.202792,0.004832,0.047618,0.000768,0.013601,0.000384,0.181831,0.001280,0.000384,0.901027
0.435442,0.017728,0.202632,0.005312,0.048098,0.000832,0.013665,0.000608,0.169831,0.001312,0.000576,0.905540
0.416625,0.017537,0.203655,0.004896,0.048386,0.000832,0.013728,0.000416,0.175879,0.001632,0.000384,0.893731
0.416944,0.017729,0.203336,0.004800,0.048066,0.000800,0.013729,0.000640,0.165862,0.001120,0.000416,0.882274
0.420432,0.017761,0.203272,0.004896,0.048450,0.000800,0.013697,0.000416,0.211496,0.001536,0.000384,0.931940
0.420752,0.017537,0.203016,0.005120,0.048098,0.000832,0.013601,0.000416,0.170278,0.001504,0.000416,0.890595
0.421553,0.018240,0.204584,0.005057,0.048386,0.000832,0.013856,0.000608,0.174759,0.001376,0.000416,0.899555
0.416176,0.017793,0.202376,0.005120,0.048066,0.000896,0.013921,0.000416,0.175239,0.001536,0.000384,0.890755
0.434417,0.018081,0.202984,0.005248,0.048258,0.000832,0.013825,0.000448,0.184583,0.001440,0.000416,0.920132
0.418320,0.018080,0.203816,0.005472,0.048482,0.000896,0.014337,0.000640,0.188199,0.001472,0.000608,0.910852
0.416560,0.017921,0.203112,0.005248,0.048290,0.000800,0.014016,0.000640,0.176263,0.001505,0.000384,0.893667
0.421296,0.017568,0.202568,0.005088,0.048450,0.000800,0.013857,0.000416,0.224009,0.001440,0.000608,0.944165
0.416529,0.017664,0.202216,0.005089,0.048417,0.000801,0.014016,0.000416,0.165927,0.001376,0.000416,0.881219
0.416881,0.017888,0.202376,0.005185,0.048353,0.000800,0.014017,0.000416,0.165831,0.001312,0.000352,0.880931
0.420689,0.017729,0.203560,0.005024,0.048194,0.000800,0.013920,0.000448,0.175111,0.001504,0.000352,0.896675
0.435761,0.017633,0.202728,0.005248,0.048418,0.000800,0.014016,0.000417,0.184295,0.001280,0.000576,0.919972
0.416177,0.017728,0.203240,0.005185,0.048385,0.000833,0.013792,0.000672,0.188776,0.001376,0.000576,0.905380
0.420625,0.017632,0.203304,0.005313,0.048098,0.000896,0.013888,0.000480,0.175847,0.001312,0.000352,0.896227
0.416944,0.017825,0.202632,0.005088,0.066115,0.000832,0.013952,0.000608,0.180743,0.001376,0.000384,0.916195
0.416624,0.018016,0.203240,0.005216,0.048674,0.000832,0.013825,0.000640,0.176999,0.001664,0.000608,0.895011
0.420240,0.017600,0.202344,0.004832,0.048386,0.000896,0.014401,0.000640,0.176871,0.001568,0.000352,0.896483
0.422321,0.017601,0.202824,0.005248,0.047746,0.000832,0.014400,0.000384,0.170535,0.001408,0.000640,0.893027
0.432113,0.017537,0.202599,0.005121,0.047970,0.000896,0.013664,0.000416,0.176999,0.001344,0.000608,0.908675
0.415600,0.017473,0.203720,0.005024,0.047778,0.000768,0.013664,0.000640,0.170119,0.001632,0.000672,0.886050
0.420529,0.017888,0.202504,0.004993,0.048033,0.000832,0.013697,0.000704,0.173287,0.001344,0.000352,0.892483
0.415569,0.017472,0.203176,0.005088,0.065827,0.000896,0.013857,0.000608,0.168550,0.001472,0.000384,0.901252
0.420688,0.017600,0.202920,0.005280,0.048322,0.000800,0.013633,0.000448,0.180775,0.001408,0.000384,0.900387
0.416688,0.017441,0.202536,0.005056,0.048354,0.000800,0.013633,0.000416,0.163590,0.001408,0.000608,0.879426
0.420849,0.017536,0.203144,0.004801,0.048449,0.000832,0.013953,0.000448,0.172679,0.001408,0.000384,0.892963
0.434961,0.017633,0.204008,0.005088,0.048578,0.000800,0.013793,0.000640,0.184039,0.001568,0.000416,0.921156
0.416688,0.017729,0.202984,0.004800,0.048706,0.000832,0.013856,0.000416,0.165223,0.001504,0.000352,0.880674
0.420304,0.017697,0.204200,0.005120,0.047586,0.000800,0.013856,0.000640,0.158663,0.001504,0.000352,0.878274
0.419985,0.017792,0.203080,0.005185,0.069954,0.000896,0.013633,0.000640,0.170567,0.001600,0.000576,0.912580
0.415824,0.017473,0.202952,0.005056,0.049186,0.000864,0.013632,0.000416,0.165830,0.001472,0.000384,0.881346
0.416848,0.018081,0.202536,0.005184,0.048034,0.000864,0.013633,0.000416,0.170246,0.001409,0.000352,0.885443
0.416560,0.018433,0.203688,0.005280,0.048194,0.000864,0.013600,0.000640,0.171591,0.001728,0.000384,0.888930
0.461170,0.018369,0.203848,0.005152,0.048642,0.000704,0.013728,0.000448,0.188008,0.001408,0.000576,0.951525
0.420016,0.017504,0.203272,0.005216,0.047842,0.000864,0.014017,0.000448,0.173735,0.001472,0.000352,0.892867
0.420880,0.017889,0.203656,0.005152,0.048354,0.000832,0.013985,0.000640,0.184007,0.001504,0.000352,0.906403
0.420784,0.018049,0.203240,0.005216,0.065091,0.000992,0.014080,0.000416,0.171335,0.001536,0.000352,0.911043
0.416528,0.017633,0.202760,0.005312,0.048962,0.000832,0.013825,0.000416,0.173126,0.001472,0.000384,0.889667
0.416368,0.017537,0.203880,0.005344,0.048258,0.000832,0.013920,0.000416,0.169095,0.001440,0.000352,0.885154
0.420080,0.017537,0.203720,0.005248,0.048002,0.000800,0.013729,0.000384,0.180775,0.001536,0.000608,0.900579
0.437297,0.017792,0.203752,0.005121,0.048194,0.000768,0.013696,0.000416,0.179431,0.001344,0.000416,0.917219
0.415728,0.017569,0.202952,0.005056,0.048738,0.000864,0.013696,0.000416,0.177383,0.001505,0.000384,0.892579
0.416496,0.017761,0.203656,0.004832,0.048066,0.000800,0.013697,0.000640,0.169126,0.001408,0.000352,0.884546
0.416240,0.017729,0.203464,0.005056,0.048226,0.000768,0.045698,0.001056,0.175111,0.001536,0.000416,0.925380
0.420401,0.017536,0.203144,0.004897,0.047873,0.000800,0.013664,0.000416,0.170855,0.001568,0.000448,0.889539
0.415953,0.017696,0.202728,0.005089,0.047905,0.000801,0.013664,0.000384,0.171367,0.001408,0.000608,0.886211
0.419664,0.017793,0.205320,0.005120,0.048546,0.000768,0.014145,0.000384,0.180903,0.001600,0.000384,0.904899
0.437457,0.017601,0.204424,0.004832,0.048546,0.000800,0.013761,0.000640,0.178823,0.001568,0.000640,0.919332
0.421360,0.018113,0.203720,0.005120,0.048130,0.000832,0.013633,0.000640,0.174694,0.001440,0.000576,0.897475
0.421297,0.017825,0.202664,0.005056,0.049090,0.000800,0.013728,0.000448,0.173639,0.001536,0.000576,0.895523
0.422513,0.017888,0.203272,0.005153,0.066818,0.000864,0.013921,0.000384,0.172615,0.001600,0.000608,0.914596
0.421169,0.017505,0.202792,0.005024,0.048514,0.000832,0.013792,0.000640,0.197384,0.001440,0.000352,0.918244
0.420913,0.017729,0.203208,0.005024,0.048994,0.000800,0.013792,0.000416,0.177191,0.001568,0.000448,0.899555
0.420593,0.017697,0.202632,0.005056,0.048386,0.000832,0.013792,0.000416,0.182568,0.001504,0.000384,0.902980
0.441969,0.017857,0.204488,0.005344,0.048610,0.000832,0.013857,0.000576,0.194504,0.001632,0.000352,0.939749
0.416369,0.017952,0.203624,0.005089,0.048354,0.000832,0.013824,0.000448,0.185543,0.001504,0.000576,0.903844
0.416528,0.017985,0.202952,0.005312,0.048642,0.000832,0.014017,0.000416,0.176775,0.001536,0.000640,0.895715
0.421681,0.017761,0.232265,0.005440,0.048386,0.000832,0.013985,0.000416,0.204968,0.001696,0.000416,0.959334
0.421168,0.017921,0.204584,0.005344,0.048898,0.000800,0.013729,0.000608,0.177639,0.001440,0.000384,0.900643
0.417392,0.017505,0.203784,0.005088,0.048226,0.000800,0.014209,0.000384,0.183559,0.001536,0.000352,0.901443
0.416785,0.017473,0.203560,0.004832,0.049570,0.000832,0.014080,0.000608,0.176359,0.001376,0.000608,0.894339
0.421168,0.017601,0.203496,0.005024,0.048994,0.000800,0.014017,0.000608,0.176711,0.001472,0.000608,0.898659
0.416304,0.017729,0.203816,0.004800,0.049058,0.000832,0.013921,0.000384,0.179175,0.001440,0.000640,0.896899
0.416304,0.017665,0.203304,0.004928,0.049762,0.000832,0.013985,0.000384,0.186407,0.001376,0.000352,0.903683
0.436017,0.017537,0.203336,0.004832,0.048258,0.000800,0.013728,0.000448,0.178567,0.001440,0.000385,0.913956
0.416816,0.017633,0.203720,0.004768,0.049250,0.000768,0.013696,0.000608,0.172295,0.001472,0.000384,0.891074
0.415856,0.017857,0.203016,0.004896,0.048962,0.000864,0.013793,0.000416,0.175783,0.001440,0.000576,0.891043
0.420464,0.017537,0.203176,0.004768,0.048514,0.000800,0.013697,0.000352,0.197383,0.001536,0.000384,0.917539
0.420240,0.017793,0.203496,0.005024,0.048034,0.000800,0.013601,0.000384,0.173703,0.001408,0.000416,0.892803
0.421041,0.017665,0.203112,0.004768,0.050370,0.000832,0.013728,0.000417,0.176390,0.001345,0.000608,0.898372
0.420337,0.017664,0.203016,0.004800,0.048033,0.000800,0.013665,0.000672,0.175143,0.001376,0.000576,0.894307
0.437041,0.018017,0.203496,0.005344,0.048322,0.000768,0.013825,0.000608,0.175046,0.001312,0.000352,0.912900
0.417168,0.017665,0.202760,0.004864,0.048194,0.000768,0.013728,0.000640,0.167975,0.001376,0.000352,0.883138
0.420944,0.017537,0.203272,0.004864,0.047714,0.000832,0.013761,0.000640,0.173030,0.001280,0.000576,0.892707
0.420209,0.017473,0.203016,0.004832,0.048994,0.000832,0.013920,0.000416,0.199176,0.001440,0.000576,0.919780
0.417232,0.017793,0.204840,0.005056,0.047938,0.000864,0.013856,0.000416,0.167622,0.001376,0.000416,0.886562
0.420272,0.017505,0.202600,0.004864,0.048706,0.001024,0.013889,0.000704,0.191143,0.001760,0.000640,0.911523
0.420272,0.017568,0.203208,0.005248,0.048130,0.000768,0.013665,0.000384,0.163846,0.001312,0.000577,0.882979
0.438673,0.017569,0.203592,0.005024,0.047938,0.000800,0.013697,0.000416,0.169446,0.001120,0.000608,0.906115
0.420240,0.017569,0.203048,0.005248,0.047970,0.000864,0.013664,0.000416,0.166375,0.001472,0.000384,0.885026
0.420753,0.017345,0.202824,0.004864,0.048482,0.000736,0.013664,0.000640,0.164359,0.001152,0.000576,0.882819
0.420049,0.017632,0.203560,0.004993,0.047169,0.000800,0.013665,0.000416,0.184167,0.001376,0.000672,0.902371
0.420849,0.017409,0.203048,0.005056,0.048066,0.000832,0.013728,0.000416,0.165415,0.001600,0.000384,0.884803
0.421456,0.017665,0.202760,0.004864,0.047746,0.000832,0.013601,0.000448,0.172647,0.001184,0.000384,0.891395
0.416241,0.017729,0.202952,0.004800,0.047810,0.000832,0.013632,0.000640,0.170503,0.001440,0.000352,0.885251
0.434129,0.017537,0.203240,0.005472,0.048578,0.000832,0.013697,0.000416,0.171367,0.001600,0.000416,0.907492
0.419889,0.017600,0.203272,0.005057,0.048130,0.000832,0.013664,0.000416,0.168423,0.001504,0.000448,0.887299
0.415185,0.017856,0.202472,0.004832,0.047873,0.000800,0.013665,0.000384,0.167623,0.001344,0.000384,0.881283
0.416464,0.017473,0.203240,0.005024,0.048002,0.000800,0.013728,0.000416,0.175943,0.001184,0.000384,0.890850
0.419920,0.017697,0.202344,0.004896,0.047874,0.000800,0.013729,0.000416,0.169222,0.001185,0.000384,0.887523
0.415856,0.017665,0.202760,0.004800,0.047234,0.000800,0.013857,0.000384,0.173382,0.001249,0.000384,0.886947
0.420080,0.018177,0.203048,0.005024,0.048482,0.000832,0.013632,0.000641,0.178567,0.001344,0.000384,0.898179
0.416848,0.033761,0.204072,0.005120,0.047490,0.000768,0.013601,0.000416,0.175783,0.001152,0.000384,0.908132
0.420368,0.017345,0.203272,0.004992,0.048162,0.000864,0.013665,0.000416,0.167462,0.001024,0.000352,0.886690
0.416400,0.017569,0.202568,0.005088,0.046978,0.000608,0.013696,0.000416,0.173255,0.001184,0.000384,0.886146
0.420752,0.017921,0.202376,0.004896,0.047490,0.000832,0.013697,0.000416,0.185287,0.001376,0.000384,0.907331
0.420753,0.017697,0.203176,0.005248,0.048546,0.000832,0.013632,0.000384,0.164647,0.001472,0.000320,0.885411
0.415537,0.017760,0.202600,0.005217,0.048449,0.000800,0.013697,0.000384,0.167655,0.001152,0.000352,0.881443
0.418000,0.017760,0.202792,0.005120,0.047650,0.000768,0.013633,0.000640,0.157254,0.001312,0.000384,0.873218
0.416720,0.017473,0.224841,0.005248,0.047170,0.000800,0.013568,0.000416,0.168999,0.001440,0.000448,0.907075
0.416241,0.017728,0.205288,0.005025,0.047361,0.000801,0.013664,0.000384,0.171207,0.001312,0.000416,0.889763
0.421873,0.017889,0.202664,0.004800,0.047970,0.000768,0.013568,0.000608,0.170983,0.001184,0.000384,0.890563
0.420816,0.017505,0.203176,0.005248,0.048578,0.000832,0.013697,0.000352,0.167974,0.001120,0.000384,0.887298
0.418192,0.017889,0.204232,0.005024,0.048866,0.000896,0.013793,0.000416,0.180967,0.001440,0.000384,0.902083
0.417265,0.017633,0.203304,0.004992,0.048578,0.000832,0.013984,0.000448,0.176455,0.001568,0.000640,0.894883
0.420433,0.017825,0.202504,0.005248,0.048642,0.000832,0.014112,0.000416,0.170823,0.001600,0.000640,0.892035
0.417169,0.017793,0.221480,0.005505,0.048737,0.000865,0.013696,0.000608,0.173575,0.001696,0.000416,0.911684
0.419920,0.017825,0.203272,0.005088,0.048322,0.001088,0.014049,0.000416,0.174151,0.001440,0.000608,0.894307
0.417200,0.017600,0.202760,0.005056,0.047874,0.000832,0.013569,0.000384,0.177543,0.001472,0.000576,0.896099
0.416753,0.017760,0.202856,0.005121,0.049954,0.000864,0.013760,0.000640,0.176327,0.001472,0.000608,0.894307
0.420593,0.017761,0.203080,0.005280,0.048258,0.000832,0.013760,0.000640,0.171687,0.001632,0.000576,0.894147
0.416720,0.017569,0.203048,0.004896,0.048546,0.000832,0.013792,0.000384,0.170951,0.001440,0.000640,0.886786
0.420433,0.017696,0.202952,0.004833,0.048162,0.000864,0.013792,0.000384,0.183239,0.001184,0.000416,0.902339
0.416624,0.033378,0.203784,0.004992,0.049122,0.000832,0.013633,0.000416,0.175558,0.001408,0.000416,0.908996
0.416176,0.017953,0.203208,0.005088,0.048098,0.000864,0.013985,0.000384,0.179815,0.001408,0.000384,0.897795
0.416176,0.018049,0.203240,0.005056,0.048066,0.000800,0.013825,0.000384,0.174438,0.001568,0.000384,0.890787
0.416145,0.017601,0.202951,0.005217,0.048290,0.000832,0.013728,0.000576,0.170919,0.001440,0.000576,0.887907
0.420049,0.017824,0.202664,0.004801,0.048129,0.000832,0.013857,0.000416,0.165415,0.001408,0.000544,0.884035
0.416400,0.017825,0.203528,0.005184,0.048098,0.000800,0.013664,0.000608,0.174471,0.001408,0.000576,0.891746
0.420912,0.017825,0.202984,0.005216,0.048258,0.000800,0.013953,0.000384,0.171814,0.001409,0.000608,0.892227
0.448978,0.017953,0.203336,0.005088,0.047842,0.000768,0.013728,0.000608,0.169095,0.001632,0.000576,0.918468
0.416528,0.017729,0.203080,0.005024,0.047810,0.000832,0.013632,0.000640,0.176871,0.001312,0.000608,0.892771
0.418768,0.017537,0.203080,0.005056,0.048258,0.000800,0.013664,0.000416,0.171719,0.001472,0.000576,0.890146
0.420561,0.017792,0.202408,0.005057,0.049377,0.000833,0.013632,0.000416,0.174535,0.001472,0.000384,0.894371
0.416401,0.017824,0.202504,0.004993,0.047841,0.000832,0.013729,0.000384,0.169927,0.001440,0.000576,0.884835
0.415921,0.017600,0.202376,0.005281,0.048257,0.000832,0.013728,0.000416,0.188648,0.001472,0.000384,0.903044
0.420848,0.017473,0.203784,0.005088,0.048322,0.000768,0.013601,0.000416,0.173415,0.001440,0.000384,0.893475
0.437841,0.017729,0.202472,0.005088,0.047874,0.000832,0.013665,0.000640,0.165958,0.001600,0.000608,0.901699
0.420689,0.017440,0.203240,0.005025,0.047425,0.000800,0.013760,0.000448,0.171527,0.001280,0.000384,0.891075
0.420913,0.017473,0.203816,0.004864,0.047298,0.000768,0.013664,0.000416,0.175719,0.001312,0.000640,0.895203
0.420304,0.017761,0.202920,0.004800,0.047266,0.000800,0.013441,0.000384,0.166342,0.001248,0.000608,0.883202
0.420336,0.017760,0.203144,0.005024,0.047202,0.000768,0.013665,0.000384,0.167718,0.001216,0.000608,0.885379
0.416528,0.017473,0.202696,0.004832,0.047074,0.000832,0.013664,0.000416,0.168071,0.001152,0.000576,0.881762
0.419889,0.017569,0.202632,0.004832,0.047202,0.000832,0.013696,0.000416,0.171303,0.001664,0.000672,0.887907
0.416176,0.034145,0.202440,0.005024,0.047682,0.000768,0.013665,0.000384,0.166086,0.001376,0.000416,0.896675
0.416880,0.017697,0.202952,0.005216,0.047682,0.000800,0.013697,0.000416,0.169062,0.001472,0.000608,0.884898
0.419856,0.017696,0.202408,0.005056,0.048098,0.000832,0.013665,0.000448,0.168295,0.001376,0.000704,0.886531
0.415824,0.017249,0.202696,0.004896,0.047554,0.000800,0.013633,0.000448,0.162246,0.001248,0.000384,0.874018
0.415760,0.017345,0.202504,0.004800,0.047554,0.000800,0.013728,0.000384,0.158663,0.001408,0.000416,0.871746
0.416592,0.017761,0.202312,0.005024,0.047170,0.000800,0.013760,0.000416,0.161991,0.001376,0.000416,0.874978
0.416592,0.017569,0.202792,0.004768,0.047042,0.000768,0.013889,0.000416,0.171334,0.001120,0.000320,0.884002
0.417264,0.017665,0.222921,0.005312,0.047554,0.000832,0.014112,0.000416,0.179304,0.001184,0.000416,0.916260
0.421168,0.017761,0.202472,0.004832,0.048226,0.000800,0.013633,0.000384,0.177031,0.001440,0.000352,0.896803
0.421232,0.017697,0.203176,0.004864,0.048034,0.000864,0.013985,0.000448,0.183527,0.001472,0.000384,0.904323
0.417425,0.017792,0.202344,0.004896,0.048418,0.000832,0.013601,0.000448,0.179303,0.001600,0.000640,0.897507
0.416272,0.017825,0.202600,0.004800,0.048002,0.000896,0.013921,0.000448,0.181063,0.001696,0.000544,0.896771
0.417265,0.017568,0.202919,0.005057,0.048738,0.000832,0.014368,0.000576,0.187816,0.001568,0.000576,0.906564
0.415760,0.017921,0.202888,0.005344,0.049634,0.000832,0.013824,0.000608,0.171911,0.001408,0.000352,0.888322
0.422353,0.033793,0.204008,0.005120,0.047906,0.000832,0.013921,0.000704,0.178151,0.001408,0.000608,0.917988
0.417233,0.017985,0.202888,0.004992,0.048322,0.000800,0.013728,0.000352,0.175847,0.001216,0.000384,0.892227
0.420432,0.017633,0.202824,0.005024,0.048418,0.000832,0.014049,0.000384,0.179143,0.001792,0.000608,0.900803
0.420368,0.017536,0.203592,0.005024,0.048258,0.000832,0.013697,0.000384,0.177799,0.001440,0.000384,0.897507
0.416240,0.017697,0.202664,0.004768,0.048482,0.000832,0.014272,0.000609,0.179015,0.001600,0.000672,0.896067
0.420848,0.017761,0.202280,0.004832,0.047938,0.000800,0.013857,0.000416,0.184967,0.001632,0.000416,0.904035
0.422225,0.017857,0.205352,0.004800,0.048226,0.000832,0.013792,0.000384,0.190728,0.001696,0.000416,0.915748
0.435121,0.017888,0.204488,0.005121,0.048098,0.000800,0.014048,0.000608,0.187528,0.001376,0.000608,0.925156
0.420784,0.017697,0.203880,0.004800,0.049026,0.000832,0.013953,0.000384,0.185031,0.001600,0.000448,0.907011
0.420560,0.017856,0.203208,0.004768,0.047938,0.000768,0.014305,0.000384,0.183239,0.001568,0.000352,0.903811
0.415793,0.018016,0.203816,0.004769,0.049602,0.000800,0.013728,0.000416,0.201800,0.001568,0.000352,0.920196
0.421296,0.017632,0.203016,0.005088,0.048354,0.000768,0.013697,0.000384,0.170887,0.001472,0.000320,0.891971
0.421488,0.018337,0.203304,0.004832,0.048290,0.000800,0.013953,0.000448,0.184839,0.001632,0.000384,0.907587
0.420688,0.017761,0.202984,0.004768,0.048802,0.000832,0.013825,0.000384,0.179847,0.001472,0.000352,0.900803
0.439889,0.017537,0.202888,0.004800,0.048258,0.000800,0.013696,0.000416,0.182920,0.001568,0.000416,0.923172
0.420369,0.017505,0.202568,0.005024,0.047810,0.000832,0.013920,0.000448,0.177063,0.001440,0.000352,0.895811
0.420784,0.017920,0.202696,0.004833,0.048481,0.000801,0.013760,0.000416,0.170695,0.001504,0.000416,0.893891
0.416240,0.017665,0.203688,0.004800,0.047810,0.000832,0.013857,0.020032,0.172647,0.001408,0.000320,0.908003
0.421648,0.017441,0.203336,0.005024,0.047714,0.000800,0.014016,0.000417,0.168870,0.001504,0.000384,0.889186
0.419409,0.017537,0.202952,0.004832,0.049154,0.000608,0.013664,0.000640,0.169927,0.001120,0.000352,0.887651
0.418992,0.017505,0.203080,0.004832,0.047618,0.000608,0.013793,0.000384,0.168774,0.001408,0.000352,0.885059
0.439505,0.017665,0.203784,0.004768,0.048418,0.000800,0.013537,0.000672,0.170406,0.001056,0.000320,0.908931
0.416624,0.017473,0.202472,0.004832,0.047458,0.000576,0.013888,0.000384,0.163431,0.001216,0.000448,0.876386
0.421552,0.017376,0.202184,0.004832,0.046914,0.000608,0.013729,0.000384,0.167302,0.000992,0.000416,0.883682
0.416400,0.017633,0.202504,0.004832,0.048642,0.000608,0.013697,0.000416,0.233865,0.001184,0.000384,0.948997
0.417425,0.017664,0.202600,0.005024,0.047585,0.000768,0.013761,0.000416,0.158598,0.001280,0.000576,0.873410
0.420656,0.017473,0.203112,0.004960,0.047362,0.000832,0.013729,0.000672,0.181063,0.001440,0.000352,0.902627
0.420689,0.017473,0.202472,0.004800,0.047586,0.000800,0.013472,0.000416,0.159015,0.001440,0.000416,0.876899
0.436721,0.017536,0.202952,0.004992,0.047586,0.000800,0.013729,0.000608,0.162278,0.001376,0.000352,0.897251
0.418224,0.017633,0.203016,0.004768,0.048386,0.000832,0.013664,0.000384,0.168327,0.001120,0.000384,0.884034
0.415792,0.017601,0.203208,0.004864,0.047906,0.000768,0.013729,0.000416,0.166246,0.001088,0.000352,0.879490
0.420688,0.017729,0.202344,0.004896,0.047650,0.000800,0.013697,0.000384,0.198055,0.001120,0.000384,0.915684
0.416401,0.017472,0.203272,0.004769,0.047521,0.000576,0.014016,0.000416,0.201160,0.001280,0.000416,0.915588
0.417552,0.017569,0.202408,0.004896,0.046946,0.000800,0.013793,0.000384,0.171366,0.001408,0.000384,0.884674
0.421712,0.017345,0.202696,0.004768,0.047554,0.000832,0.013568,0.000609,0.176358,0.001377,0.000384,0.895363
0.432721,0.017761,0.203432,0.004800,0.047042,0.000800,0.013697,0.000416,0.173863,0.001280,0.000384,0.904324
0.421041,0.017473,0.201960,0.004864,0.047010,0.000800,0.013728,0.000448,0.177191,0.001312,0.000352,0.894883
0.416177,0.017472,0.203624,0.004801,0.047650,0.000832,0.013600,0.000416,0.172263,0.001280,0.000384,0.885763
0.417008,0.017537,0.203208,0.004832,0.047426,0.000800,0.013857,0.000384,0.166598,0.001088,0.000352,0.880674
0.418000,0.017729,0.203240,0.004768,0.048322,0.000864,0.013697,0.000416,0.176167,0.000992,0.000416,0.892803
0.422224,0.017665,0.202408,0.004800,0.048322,0.000608,0.013793,0.000416,0.164070,0.001248,0.000352,0.883682
0.421041,0.017184,0.203047,0.005313,0.047650,0.000832,0.013664,0.000384,0.171879,0.001120,0.000320,0.889731
0.421425,0.017249,0.222216,0.005217,0.047137,0.000800,0.013632,0.000416,0.165319,0.001312,0.000384,0.903492
0.420528,0.017441,0.203944,0.004800,0.047330,0.000832,0.013601,0.000416,0.169318,0.001312,0.000352,0.887427
0.416368,0.017217,0.203848,0.005024,0.048162,0.000864,0.013569,0.000416,0.175079,0.001088,0.000384,0.889603
0.416720,0.017729,0.203272,0.004768,0.047554,0.000800,0.013665,0.000448,0.166758,0.001120,0.000385,0.881027
0.418513,0.017697,0.203336,0.004992,0.047650,0.000864,0.013632,0.000480,0.168423,0.001600,0.000416,0.887523
0.417777,0.017665,0.203560,0.005344,0.047490,0.000864,0.013984,0.000448,0.169447,0.001376,0.000352,0.887331
0.421201,0.017569,0.203016,0.004768,0.048674,0.000832,0.013856,0.000416,0.172199,0.001024,0.000352,0.892195
0.420881,0.017505,0.219432,0.005440,0.048162,0.000800,0.013569,0.000416,0.174471,0.001312,0.000416,0.911012
0.419889,0.017408,0.202952,0.004864,0.047810,0.000832,0.013665,0.000416,0.167687,0.001152,0.000352,0.884771
0.422192,0.017281,0.203496,0.004800,0.047490,0.000736,0.013665,0.000384,0.167782,0.000960,0.000352,0.885954
0.420625,0.017184,0.202568,0.004896,0.046978,0.000608,0.013697,0.000416,0.159878,0.001024,0.000352,0.875522
0.445842,0.017536,0.202440,0.005121,0.047041,0.000832,0.013696,0.000640,0.170311,0.001184,0.000384,0.913348
0.417104,0.017537,0.202952,0.005056,0.048066,0.000800,0.013665,0.000384,0.177255,0.001280,0.000384,0.892931
0.420721,0.017601,0.203784,0.004896,0.047298,0.000800,0.013824,0.000416,0.163303,0.001152,0.000384,0.882819
0.420432,0.017537,0.203144,0.004832,0.063683,0.000832,0.013920,0.000384,0.176391,0.001600,0.000480,0.912004
0.417360,0.017633,0.202728,0.004800,0.047426,0.000800,0.013761,0.000416,0.172231,0.001504,0.000352,0.886851
0.418064,0.017441,0.203048,0.005056,0.047586,0.000800,0.013793,0.000608,0.170182,0.001376,0.000352,0.886210
0.416369,0.017472,0.202376,0.004801,0.047009,0.000768,0.013537,0.000448,0.178631,0.001248,0.000352,0.890467
0.429169,0.017505,0.202536,0.005024,0.047810,0.000736,0.013760,0.000416,0.178311,0.001280,0.000352,0.905667
0.421457,0.017665,0.203048,0.004832,0.047362,0.000800,0.013856,0.000736,0.176167,0.001600,0.000352,0.896259
0.421264,0.017633,0.202664,0.004768,0.047810,0.000832,0.013600,0.000417,0.164166,0.001216,0.000576,0.882370
0.421777,0.017536,0.202696,0.004801,0.047617,0.000864,0.013697,0.000416,0.215208,0.001408,0.000352,0.934853
0.420528,0.017537,0.202792,0.004768,0.047906,0.000832,0.013697,0.000448,0.168806,0.001312,0.000384,0.886562
0.421297,0.017953,0.203304,0.004832,0.047490,0.000800,0.013760,0.000608,0.167719,0.001312,0.000352,0.886947
