Layer[0],IN[1],INFER[1-1],OUT[1],TEE[1-1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.507460,0.169185,0.064225,0.063712,0.300802,0.224258,0.005728,0.047296,0.000800,0.013504,0.000416,0.001376,0.010144,0.000608,1.120328
0.418467,0.174946,0.053056,0.064448,0.295842,0.204354,0.005856,0.047424,0.000544,0.013792,0.000352,0.001568,0.001280,0.000352,0.997319
0.417923,0.179393,0.052832,0.064129,0.299874,0.204449,0.005344,0.047937,0.000576,0.014208,0.000384,0.001536,0.001504,0.000384,1.001703
0.418563,0.158497,0.050049,0.060800,0.272450,0.204674,0.005600,0.048096,0.000544,0.031680,0.000416,0.001600,0.000864,0.000384,0.992103
0.416707,0.178273,0.051936,0.063777,0.297442,0.204577,0.005664,0.047873,0.000576,0.013984,0.000384,0.001536,0.001056,0.000352,0.997223
0.416803,0.172961,0.050113,0.061408,0.287714,0.203681,0.005344,0.047553,0.000768,0.013760,0.000384,0.001504,0.000960,0.000352,0.985575
0.416227,0.169825,0.049985,0.071904,0.294786,0.204066,0.005504,0.049952,0.000608,0.013824,0.000352,0.001504,0.000992,0.000352,0.995111
0.434275,0.178754,0.051296,0.062913,0.296739,0.205185,0.005280,0.049696,0.000800,0.013825,0.000384,0.001408,0.000928,0.000640,1.016968
0.420131,0.170593,0.050592,0.062817,0.287778,0.203521,0.005344,0.047841,0.000800,0.013568,0.000320,0.001440,0.000928,0.000384,0.989031
0.416035,0.167201,0.049569,0.065120,0.285058,0.203074,0.005120,0.048128,0.000800,0.013504,0.000320,0.001408,0.000832,0.000352,0.981479
0.436835,0.161441,0.049281,0.060128,0.274690,0.206338,0.005536,0.048416,0.000544,0.013536,0.000352,0.001440,0.000832,0.000384,0.996647
0.416291,0.170498,0.049248,0.059776,0.282722,0.203490,0.005600,0.047552,0.000992,0.013472,0.000352,0.001440,0.001216,0.000448,0.980295
0.420739,0.197602,0.049664,0.060545,0.310915,0.203649,0.005600,0.047424,0.001056,0.013505,0.000352,0.001440,0.001184,0.000416,1.013608
0.415619,0.192705,0.063137,0.063968,0.324450,0.203137,0.005313,0.047520,0.000800,0.013440,0.000352,0.001440,0.000864,0.000384,1.019879
0.420515,0.169825,0.049889,0.062464,0.285026,0.203362,0.005472,0.048320,0.000992,0.013952,0.000384,0.001408,0.000832,0.000352,0.988359
0.416035,0.163937,0.048449,0.060896,0.276514,0.203106,0.005536,0.047584,0.000832,0.013504,0.000352,0.001440,0.000832,0.000256,0.972903
0.416451,0.178082,0.051040,0.062753,0.295171,0.220865,0.005376,0.047873,0.000800,0.013472,0.000384,0.001440,0.001024,0.000384,1.011752
0.420835,0.177409,0.049633,0.061024,0.291650,0.203841,0.005632,0.048096,0.000800,0.013600,0.000384,0.001440,0.001504,0.000352,0.995815
0.416163,0.173793,0.051393,0.062432,0.291074,0.203810,0.005504,0.047488,0.000832,0.013472,0.000352,0.001440,0.000928,0.000384,0.988967
0.420387,0.177122,0.049504,0.064193,0.294275,0.203457,0.005536,0.047872,0.000800,0.013441,0.000352,0.001440,0.000960,0.000352,0.996264
0.420547,0.174625,0.049632,0.060641,0.288322,0.203585,0.005280,0.048193,0.000800,0.013472,0.000384,0.001440,0.000928,0.000384,0.989991
0.420227,0.177985,0.050497,0.064032,0.295714,0.203649,0.012321,0.048832,0.000800,0.014080,0.000384,0.001440,0.000992,0.000384,1.006119
0.415939,0.177601,0.051009,0.063136,0.295362,0.203522,0.005600,0.047712,0.000800,0.013920,0.000352,0.001440,0.000960,0.000416,0.993735
0.433731,0.171937,0.060352,0.061825,0.297314,0.203617,0.005536,0.047873,0.000800,0.013952,0.000384,0.001440,0.000928,0.000320,1.012647
0.416323,0.161249,0.050336,0.061409,0.276098,0.203073,0.005344,0.047841,0.000800,0.013376,0.000352,0.001408,0.000928,0.000384,0.973031
