REE[303],TEE[303]
5.570973,8.300570
5.450681,8.342524
4.196366,8.298522
4.198703,8.301242
4.205423,8.273530
4.202511,8.268761
4.210543,8.294713
4.193838,8.345339
4.201582,8.311738
4.197903,8.344571
4.207374,8.284890
4.208623,8.263897
4.194223,8.268793
4.206127,8.354268
4.204431,8.284121
4.198574,8.347867
4.204399,8.370461
4.192687,8.341755
4.190223,8.298490
4.194606,8.310906
4.199310,8.291769
4.203726,8.357948
4.192430,8.347740
4.209103,8.273593
4.200079,8.287546
4.202415,8.295866
4.205071,8.298714
4.202639,8.273081
4.200815,8.272153
4.198638,8.279161
4.196143,8.317659
4.204047,8.290778
4.204143,8.294042
4.205167,8.352188
4.197391,8.317210
4.191726,8.368508
4.202575,8.293946
4.202383,8.295066
4.206255,8.308955
4.205519,8.296698
4.198159,8.284602
4.192623,8.315130
4.201327,8.276858
4.198319,8.360157
4.200143,8.277658
4.198159,8.305819
4.202415,8.305626
4.202895,8.290266
4.194095,8.290970
4.194639,8.308954
4.212943,8.360860
4.199759,8.269689
4.205167,8.345851
4.195631,8.352284
4.199503,8.291482
4.195342,8.290906
4.199534,8.313082
4.203471,8.280345
4.197647,8.352443
4.202863,8.294106
4.202447,8.303450
4.207343,8.281145
4.203343,8.349532
4.202799,8.355292
4.188943,8.302810
4.205423,8.296922
4.198863,8.287673
4.197070,8.292346
4.213391,8.333595
4.211311,8.270297
4.198223,8.355228
4.208463,8.363292
4.203855,8.299770
4.199791,8.337723
4.197967,8.266745
4.208687,8.291737
4.204847,8.349851
4.199535,8.356284
4.199855,8.307674
4.204878,8.292442
4.192591,8.363708
4.199790,8.343772
4.198350,8.288217
4.196687,8.280057
4.200398,8.362204
4.200911,8.280858
4.201934,8.289146
4.198798,8.302458
4.204686,8.313499
4.207631,8.294394
4.211599,8.288954
4.203599,8.349467
4.202063,8.370268
4.193871,8.301146
4.198159,8.293882
4.196335,8.353820
4.199791,8.353660
4.204975,8.289658
4.200430,8.361052
4.194062,8.276538
4.202767,8.299738
4.200558,8.278713
4.196559,8.269305
4.208847,8.283481
4.197071,8.297754
4.202607,8.296314
4.194766,8.353180
4.202991,8.290873
4.207183,8.340411
4.196655,8.287866
4.202415,8.309850
4.209903,8.312666
4.198863,8.343483
4.200814,8.360988
4.207343,8.281849
4.200687,8.274009
4.196622,8.364668
4.194767,8.298170
4.206351,8.373500
4.208175,8.280634
4.207471,8.363196
4.196431,8.352668
4.200590,8.349339
4.200559,8.260697
4.203119,8.316315
4.205327,8.298074
4.199087,8.348092
4.198958,8.300922
4.199759,8.308122
4.202863,8.268921
4.212079,8.277401
4.213615,8.392061
4.195694,8.302490
4.212367,8.344155
4.197966,8.361596
4.197071,8.275034
4.202447,8.336155
4.206479,8.341435
4.197775,8.293562
4.208175,8.346652
4.206063,8.302746
4.205647,8.300154
4.204751,8.306427
4.197359,8.291737
4.202607,8.299450
4.206255,8.364124
4.202703,8.289882
4.200078,8.283674
4.201743,8.301370
4.201294,8.280057
4.198895,8.290970
4.204463,8.296282
4.201647,8.298618
4.200527,8.275897
4.202863,8.294297
4.197935,8.286938
4.200846,8.334363
4.202319,8.357756
4.194862,8.346747
4.203150,8.270777
4.200463,8.345948
4.197103,8.293882
4.196558,8.305466
4.199759,8.352892
4.208143,8.293498
4.208047,8.295321
4.212879,8.332923
4.208911,8.290969
4.210031,8.286617
4.209167,8.327579
4.208143,8.356028
4.208111,8.345212
4.208655,8.263832
4.211183,8.268921
4.203695,8.303162
4.201550,8.341564
4.206991,8.290330
4.207375,8.275258
4.198671,8.286522
4.198543,8.293273
4.204463,8.343067
4.196910,8.274713
4.200302,8.359804
4.203759,8.290362
4.207855,8.352284
4.193295,8.327227
4.202319,8.346299
4.197679,8.298522
4.200878,8.298074
4.210191,8.364956
4.213903,8.310875
4.204527,8.298746
4.211727,8.271673
4.206383,8.355420
4.206094,8.281338
4.199663,8.286585
4.202511,8.313915
4.202703,8.289018
4.198799,8.340284
4.197870,8.284538
4.200847,8.293209
4.215567,8.403806
4.199951,8.295929
4.206575,8.268505
4.201134,8.279929
4.203439,8.358588
4.199727,8.296346
4.192079,8.288890
4.197038,8.302298
4.200078,8.318778
4.200014,8.282266
4.202255,8.292601
4.191214,8.313178
4.203534,8.352060
4.198318,8.340763
4.198351,8.357212
4.200175,8.353180
4.203727,8.295642
4.205519,8.273081
4.208751,8.262073
4.202511,8.308058
4.196366,8.309338
4.196878,8.293529
4.201295,8.301786
