Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.417584,0.017505,0.203624,0.005248,0.048578,0.185863,0.014625,0.000736,0.001632,0.000992,0.000416,0.905571
0.418640,0.017569,0.203816,0.004896,0.048642,0.172871,0.015201,0.000736,0.001632,0.000960,0.000352,0.894275
0.430993,0.017537,0.203688,0.005024,0.047970,0.179559,0.014689,0.000736,0.001408,0.001024,0.000384,0.912068
0.420976,0.017537,0.203976,0.004896,0.047874,0.182151,0.014529,0.000704,0.001600,0.001056,0.000352,0.905251
0.420848,0.017665,0.203656,0.005280,0.047490,0.170663,0.014400,0.000736,0.001569,0.000960,0.000384,0.893795
0.420785,0.017569,0.222088,0.005376,0.047714,0.188712,0.014688,0.000672,0.001761,0.000960,0.000416,0.930405
0.416560,0.017505,0.202856,0.005088,0.047458,0.170439,0.015008,0.000768,0.001633,0.001088,0.000416,0.888643
0.417744,0.017697,0.202760,0.005280,0.048354,0.166470,0.015264,0.000544,0.001504,0.001088,0.000352,0.885538
0.416592,0.017825,0.203176,0.005152,0.048674,0.180295,0.014689,0.000768,0.001472,0.001056,0.000416,0.899747
0.427344,0.017568,0.204072,0.005249,0.048097,0.183816,0.015232,0.000672,0.001440,0.001216,0.000352,0.913987
0.416304,0.017761,0.203560,0.005344,0.048162,0.174471,0.015329,0.000736,0.001536,0.001344,0.000384,0.894723
0.416945,0.017569,0.203496,0.005088,0.048418,0.170342,0.014657,0.000768,0.001440,0.000928,0.000384,0.888547
0.418097,0.017505,0.214952,0.005376,0.048578,0.168551,0.014496,0.000448,0.001504,0.000961,0.000384,0.899716
0.419281,0.017664,0.203816,0.005281,0.048194,0.181287,0.014560,0.000480,0.001600,0.001056,0.000384,0.903460
0.424784,0.017664,0.205128,0.005344,0.049634,0.178055,0.014689,0.000736,0.001536,0.001088,0.000416,0.909187
0.417168,0.017633,0.203080,0.005312,0.048034,0.163910,0.014785,0.000640,0.001504,0.001120,0.000384,0.882498
0.430737,0.017696,0.204008,0.005313,0.048930,0.179079,0.015648,0.000672,0.001504,0.001056,0.000609,0.914724
0.417808,0.017697,0.202888,0.005344,0.048002,0.181223,0.016065,0.000672,0.001600,0.001216,0.000608,0.902371
0.420912,0.017569,0.202280,0.005248,0.047554,0.184199,0.015329,0.000672,0.001536,0.001088,0.000352,0.905827
0.420592,0.017345,0.241289,0.005473,0.048353,0.185992,0.014656,0.000704,0.001504,0.001025,0.000640,0.947397
0.415920,0.017345,0.202248,0.005024,0.048866,0.169351,0.019168,0.000512,0.001504,0.000992,0.000384,0.889603
0.417040,0.020513,0.202696,0.005280,0.049250,0.172935,0.015169,0.000480,0.001536,0.000960,0.000384,0.894755
0.416656,0.017217,0.202376,0.004864,0.048450,0.162758,0.015137,0.000480,0.001568,0.000800,0.000352,0.878210
0.437713,0.017569,0.202952,0.005056,0.047874,0.164199,0.014880,0.000640,0.001536,0.000960,0.000352,0.901411
0.416753,0.017345,0.202407,0.004865,0.047266,0.161990,0.015105,0.000736,0.001504,0.000960,0.000384,0.878211
0.417328,0.017473,0.203432,0.004832,0.047298,0.158758,0.014721,0.000544,0.001504,0.001056,0.000256,0.875362
0.416273,0.017472,0.202568,0.005281,0.047553,0.186504,0.015008,0.000480,0.001441,0.000864,0.000384,0.902628
0.417072,0.017473,0.202472,0.005120,0.048674,0.168967,0.014720,0.000704,0.001504,0.000928,0.000352,0.886242
0.416624,0.017664,0.202728,0.004800,0.048898,0.161383,0.014176,0.000736,0.001440,0.000928,0.000384,0.876962
0.418480,0.017409,0.203080,0.004864,0.049122,0.157574,0.014657,0.000672,0.001472,0.000992,0.000352,0.876514
0.432561,0.017824,0.202760,0.004801,0.048193,0.172326,0.014017,0.000704,0.001440,0.001152,0.000352,0.904003
0.417616,0.018145,0.202088,0.004832,0.047522,0.164902,0.014017,0.000448,0.001408,0.000832,0.000352,0.880226
0.416656,0.017473,0.202792,0.005056,0.047234,0.163431,0.014368,0.000448,0.001408,0.000896,0.000384,0.878274
0.417297,0.017632,0.201991,0.005313,0.047169,0.190215,0.013793,0.000512,0.001408,0.000832,0.000320,0.904420
0.419345,0.017441,0.202792,0.005280,0.047106,0.162854,0.014561,0.000480,0.001440,0.000864,0.000352,0.880291
0.417552,0.017441,0.202248,0.005280,0.046914,0.163878,0.014848,0.000480,0.001600,0.001152,0.000384,0.881378
0.417745,0.017536,0.203432,0.005089,0.047073,0.163303,0.014656,0.000705,0.001696,0.000960,0.000416,0.880035
0.417073,0.017633,0.216744,0.005440,0.046882,0.169223,0.014688,0.000640,0.001409,0.001024,0.000320,0.898756
0.416145,0.017728,0.203592,0.005057,0.046785,0.155623,0.014240,0.000704,0.001568,0.000960,0.000320,0.871042
0.415537,0.017440,0.202344,0.005024,0.047202,0.168199,0.014080,0.000513,0.001696,0.000832,0.000352,0.880419
0.416305,0.017280,0.203208,0.004832,0.047105,0.169799,0.014241,0.000512,0.001376,0.000800,0.000320,0.883203
0.429840,0.017665,0.203016,0.004832,0.046978,0.169767,0.014208,0.000673,0.001376,0.000800,0.000320,0.897443
0.416241,0.017633,0.203176,0.005280,0.047170,0.158534,0.014144,0.000704,0.001409,0.000928,0.000416,0.873603
0.420848,0.017472,0.202856,0.004832,0.046914,0.179623,0.014049,0.000480,0.001440,0.000864,0.000352,0.898147
0.417392,0.017536,0.203144,0.005248,0.047810,0.186792,0.014784,0.000736,0.001536,0.000928,0.000416,0.904452
0.417488,0.017505,0.203752,0.005472,0.047490,0.165766,0.014657,0.000736,0.001440,0.000992,0.000384,0.884642
0.417713,0.017313,0.203496,0.005248,0.048578,0.156294,0.014592,0.000513,0.001504,0.000832,0.000384,0.875203
0.418129,0.017440,0.202248,0.005281,0.047650,0.183047,0.017984,0.000672,0.001376,0.000864,0.000320,0.902596
0.415312,0.031553,0.203432,0.005056,0.047842,0.172903,0.014592,0.000448,0.001408,0.000864,0.000352,0.901987
0.416272,0.017665,0.203560,0.005280,0.047074,0.161542,0.014145,0.000704,0.001408,0.000928,0.000352,0.876514
0.422096,0.017601,0.204040,0.005056,0.046914,0.173031,0.014401,0.000512,0.001408,0.000992,0.000352,0.894307
0.416177,0.017248,0.202120,0.004832,0.046850,0.159559,0.014080,0.000480,0.001376,0.000928,0.000352,0.871266
0.431441,0.017729,0.202088,0.005120,0.047618,0.170150,0.014625,0.000704,0.001504,0.000896,0.000320,0.900739
0.417456,0.017601,0.203144,0.005088,0.047362,0.151814,0.014401,0.000736,0.001376,0.000832,0.000320,0.867586
0.417520,0.017505,0.202216,0.005248,0.047138,0.192968,0.014400,0.000512,0.001440,0.001024,0.000384,0.908291
0.417009,0.017760,0.203080,0.005089,0.047841,0.196711,0.014817,0.000672,0.001536,0.000992,0.000288,0.914756
0.416080,0.017792,0.202152,0.005280,0.047586,0.198760,0.014497,0.000704,0.001408,0.000800,0.000352,0.913156
0.417648,0.017600,0.203688,0.004832,0.047042,0.182311,0.015041,0.000448,0.001504,0.000864,0.000320,0.899203
0.416624,0.017473,0.202376,0.004800,0.047074,0.176039,0.014432,0.000672,0.001408,0.000993,0.000320,0.889827
0.429553,0.017377,0.202408,0.004896,0.046946,0.166790,0.014240,0.000448,0.001344,0.000896,0.000352,0.893667
0.418224,0.017473,0.202376,0.004768,0.046978,0.180871,0.015041,0.000704,0.001440,0.000864,0.000352,0.897155
0.417968,0.017440,0.203656,0.004896,0.046914,0.169799,0.014529,0.000480,0.001536,0.000864,0.000416,0.886947
0.421457,0.018688,0.203880,0.005569,0.047105,0.170471,0.014401,0.000512,0.001472,0.001024,0.000352,0.892675
0.416464,0.017665,0.202056,0.004832,0.046946,0.173894,0.014113,0.000672,0.001440,0.001120,0.000352,0.888131
0.418481,0.017408,0.202184,0.004833,0.047041,0.166919,0.014369,0.000704,0.001440,0.000896,0.000352,0.882307
0.421936,0.018369,0.202344,0.005312,0.047426,0.164294,0.014112,0.000512,0.001440,0.000832,0.000384,0.886818
0.416944,0.017569,0.216936,0.005024,0.047010,0.161031,0.014432,0.000480,0.001440,0.000928,0.000384,0.890658
0.416784,0.017504,0.201992,0.004864,0.047042,0.151654,0.014369,0.000736,0.001408,0.000800,0.000416,0.865666
0.415920,0.017505,0.202280,0.004800,0.046914,0.179815,0.014177,0.000512,0.001408,0.001024,0.000352,0.892675
0.416817,0.017537,0.202504,0.005088,0.046914,0.154214,0.014144,0.000704,0.001472,0.001056,0.000320,0.868674
0.433041,0.017473,0.202184,0.005344,0.047394,0.162086,0.014081,0.000448,0.001504,0.000864,0.000384,0.892515
0.415568,0.017601,0.203112,0.005088,0.047042,0.191943,0.014208,0.000448,0.001376,0.000800,0.000352,0.905315
0.418865,0.017665,0.203400,0.005056,0.046978,0.171942,0.014145,0.000512,0.001440,0.001120,0.000352,0.889091
0.416144,0.017697,0.203368,0.004864,0.046850,0.183015,0.014113,0.000480,0.001408,0.000896,0.000416,0.898115
0.416721,0.017537,0.202375,0.005025,0.046754,0.165606,0.014945,0.000416,0.001408,0.000768,0.000352,0.880547
0.416400,0.017697,0.201736,0.005280,0.046914,0.156902,0.014753,0.000704,0.001408,0.001024,0.000384,0.872162
0.415312,0.017473,0.202984,0.004864,0.046786,0.161926,0.013985,0.000736,0.001408,0.000928,0.000416,0.874562
0.432113,0.017473,0.202344,0.004800,0.046914,0.157990,0.017985,0.000480,0.001408,0.000928,0.000352,0.890435
0.415057,0.017408,0.203144,0.004833,0.046881,0.171271,0.018049,0.000480,0.001376,0.000896,0.000352,0.887619
0.415376,0.017377,0.202056,0.004832,0.046914,0.163910,0.014049,0.000960,0.001440,0.001056,0.000320,0.877922
0.415633,0.017536,0.202152,0.004897,0.046881,0.156230,0.014080,0.000704,0.001440,0.000736,0.000320,0.869314
0.414704,0.017665,0.202184,0.004864,0.046882,0.170695,0.014016,0.000480,0.001440,0.000992,0.000320,0.881378
0.415313,0.017536,0.201896,0.005024,0.046882,0.165511,0.013984,0.000448,0.001377,0.000992,0.000352,0.876675
0.415249,0.017760,0.202535,0.004897,0.046785,0.162566,0.014464,0.000672,0.001408,0.000928,0.000352,0.876867
0.416080,0.017665,0.202376,0.004928,0.046850,0.178599,0.014144,0.000704,0.001376,0.000928,0.000320,0.892067
0.415121,0.017472,0.202440,0.005281,0.046945,0.163623,0.014401,0.000512,0.001504,0.000928,0.000352,0.877827
0.415696,0.017665,0.202088,0.004896,0.046978,0.165862,0.014337,0.000672,0.001376,0.000864,0.000320,0.878754
0.416945,0.017409,0.202568,0.005056,0.046786,0.158534,0.014080,0.000480,0.001376,0.000864,0.000384,0.871683
0.444786,0.018305,0.201992,0.004832,0.046754,0.164838,0.014113,0.000448,0.001376,0.000992,0.000320,0.907428
0.419761,0.017537,0.202504,0.005248,0.046754,0.175238,0.013952,0.000416,0.001408,0.000960,0.000320,0.892323
0.415312,0.017633,0.201736,0.004800,0.046978,0.157894,0.014144,0.000480,0.001377,0.000992,0.000352,0.870562
0.415280,0.017313,0.201928,0.004896,0.047074,0.170630,0.014113,0.000448,0.001408,0.001056,0.000352,0.882946
0.415441,0.017473,0.202663,0.004864,0.047010,0.158790,0.014144,0.000480,0.001376,0.000992,0.000352,0.872291
0.415408,0.017345,0.202248,0.004832,0.047106,0.162054,0.014369,0.000416,0.001376,0.000960,0.000352,0.874978
0.415344,0.017505,0.202984,0.004832,0.046850,0.144294,0.014624,0.000480,0.001376,0.000864,0.000352,0.857121
0.415728,0.017697,0.216265,0.005216,0.047298,0.161670,0.014337,0.000512,0.001376,0.000928,0.000352,0.890659
0.415344,0.017153,0.201960,0.004896,0.046850,0.166598,0.014401,0.000480,0.001376,0.000960,0.000352,0.877730
0.415920,0.017376,0.202184,0.004864,0.046786,0.150598,0.014337,0.000448,0.001376,0.001088,0.000352,0.862626
0.415888,0.017505,0.202024,0.004832,0.046786,0.181255,0.014209,0.000416,0.001408,0.000864,0.000320,0.892803
0.431409,0.017377,0.202440,0.005248,0.046818,0.179303,0.014144,0.000480,0.001440,0.001056,0.000384,0.908868
0.419824,0.017537,0.203816,0.004864,0.046978,0.179303,0.014560,0.000705,0.001376,0.001088,0.000384,0.899364
0.420208,0.017761,0.201960,0.005280,0.047074,0.187943,0.014113,0.000768,0.001472,0.000992,0.000384,0.906979
0.415633,0.017504,0.202408,0.005025,0.046945,0.201032,0.014177,0.000480,0.001504,0.000992,0.000384,0.914724
0.420176,0.017696,0.202120,0.005344,0.046946,0.184679,0.014336,0.000480,0.001472,0.000992,0.000384,0.903651
0.416784,0.017793,0.202152,0.005184,0.047010,0.186119,0.014337,0.000416,0.001440,0.001120,0.000608,0.901603
0.421617,0.017473,0.202376,0.005120,0.047138,0.171750,0.014369,0.000672,0.001472,0.001184,0.000416,0.893027
0.436657,0.017792,0.201992,0.005248,0.046946,0.174471,0.014689,0.000480,0.001440,0.000928,0.000352,0.910084
0.419857,0.017312,0.201928,0.004896,0.047170,0.179271,0.014337,0.000736,0.001472,0.001120,0.000352,0.897059
0.420433,0.017664,0.202248,0.004993,0.046785,0.176455,0.014337,0.000480,0.001408,0.000960,0.000384,0.894851
0.420656,0.017377,0.201800,0.004928,0.046914,0.231817,0.014145,0.000480,0.001440,0.000992,0.000352,0.949669
0.419473,0.017377,0.202728,0.004864,0.046946,0.171430,0.014369,0.000512,0.001408,0.000928,0.000384,0.888899
0.415600,0.017441,0.202312,0.004928,0.047394,0.169767,0.014304,0.000512,0.001440,0.000992,0.000352,0.883586
0.420496,0.017601,0.202248,0.005312,0.047522,0.179815,0.014369,0.000544,0.001440,0.000992,0.000320,0.900355
0.434961,0.017409,0.202472,0.005088,0.047010,0.172903,0.014336,0.000736,0.001504,0.001056,0.000352,0.907491
0.420145,0.017537,0.202376,0.004864,0.047010,0.174182,0.014209,0.000640,0.001440,0.001024,0.000352,0.892259
0.420337,0.017697,0.202024,0.005312,0.047266,0.181191,0.014464,0.000480,0.001505,0.001152,0.000320,0.901220
0.416208,0.017601,0.203688,0.005216,0.067139,0.179079,0.014336,0.000576,0.001473,0.001088,0.000352,0.916132
0.420529,0.017728,0.202088,0.005313,0.046817,0.172647,0.014081,0.000992,0.001536,0.000960,0.000352,0.891267
0.420368,0.017504,0.202984,0.005216,0.047009,0.178183,0.014177,0.000800,0.001440,0.000960,0.000352,0.898563
0.420433,0.017760,0.202408,0.005281,0.049506,0.198023,0.015265,0.000704,0.001376,0.001024,0.000352,0.921732
0.431345,0.017793,0.202696,0.005312,0.049634,0.178951,0.014689,0.000768,0.001408,0.001344,0.000608,0.913188
0.420017,0.017376,0.202312,0.005280,0.048385,0.185736,0.015200,0.000736,0.001376,0.000960,0.000384,0.905732
0.420080,0.017761,0.202024,0.005248,0.049858,0.173287,0.014496,0.000864,0.001504,0.001120,0.000384,0.894947
0.420304,0.017537,0.221737,0.005408,0.048386,0.166854,0.014208,0.000768,0.001536,0.000960,0.000608,0.908003
0.415792,0.017313,0.203272,0.005280,0.047938,0.173479,0.014305,0.000736,0.001440,0.001056,0.000320,0.889507
0.421008,0.017601,0.203080,0.005248,0.047842,0.185031,0.014369,0.000512,0.001376,0.001088,0.000384,0.906883
0.420240,0.017728,0.202600,0.005312,0.047426,0.179079,0.014401,0.000704,0.001472,0.001152,0.000608,0.899395
0.416272,0.017569,0.202920,0.005248,0.048066,0.169863,0.014464,0.000736,0.001504,0.001056,0.000576,0.887298
0.416912,0.017504,0.202696,0.005312,0.048002,0.180839,0.014657,0.000960,0.001440,0.001152,0.000576,0.899427
0.420816,0.017633,0.202760,0.005312,0.047298,0.185671,0.014593,0.000672,0.001440,0.001024,0.000608,0.907139
0.416080,0.017601,0.219881,0.005440,0.047330,0.178727,0.014848,0.000896,0.001472,0.001057,0.000384,0.913412
0.420688,0.017537,0.202952,0.005280,0.047138,0.176199,0.014560,0.000704,0.001505,0.001024,0.000608,0.897219
0.416240,0.017633,0.203272,0.005280,0.048130,0.172135,0.014753,0.000736,0.001408,0.001024,0.000576,0.890339
0.421424,0.017761,0.203624,0.005248,0.048066,0.195400,0.014561,0.000992,0.001504,0.001248,0.000384,0.920900
0.432305,0.017793,0.203272,0.005312,0.048802,0.181863,0.015489,0.000736,0.001376,0.000896,0.000320,0.917796
0.421745,0.017537,0.202632,0.005216,0.047906,0.188103,0.015265,0.000736,0.001536,0.001152,0.000416,0.912644
0.416593,0.017569,0.202375,0.005312,0.047938,0.185287,0.014753,0.000736,0.001600,0.001024,0.000384,0.903044
0.454129,0.017537,0.203240,0.005280,0.048194,0.184744,0.014560,0.000480,0.001536,0.001024,0.000352,0.940484
0.420752,0.017761,0.202792,0.005280,0.049218,0.179591,0.014689,0.000768,0.001568,0.001152,0.000352,0.903075
0.420785,0.017728,0.202215,0.005217,0.048578,0.186855,0.014913,0.000704,0.001440,0.001120,0.000608,0.909412
0.416176,0.017793,0.202024,0.005280,0.048194,0.210024,0.014369,0.000672,0.001504,0.001056,0.000448,0.927812
0.421264,0.017537,0.202408,0.005280,0.048354,0.182183,0.014433,0.000672,0.001504,0.001120,0.000640,0.904803
0.420592,0.017601,0.201960,0.005280,0.049698,0.181671,0.014465,0.000480,0.001600,0.001120,0.000448,0.904099
0.421552,0.017728,0.202408,0.005248,0.048482,0.182823,0.014496,0.000768,0.001568,0.001152,0.000288,0.905891
0.436498,0.018048,0.202664,0.005441,0.048097,0.181000,0.014656,0.000704,0.001600,0.000992,0.000608,0.920804
0.416048,0.017696,0.202248,0.005216,0.048418,0.176679,0.015105,0.000704,0.001472,0.001024,0.000576,0.894755
0.420433,0.017761,0.202504,0.005280,0.047810,0.174823,0.015104,0.000800,0.001536,0.000992,0.000384,0.896708
0.416816,0.017761,0.205128,0.005280,0.049314,0.259626,0.016257,0.000512,0.001504,0.000992,0.000384,0.982630
0.419920,0.017825,0.202120,0.005312,0.048450,0.179079,0.014337,0.000704,0.001536,0.001056,0.000608,0.900259
0.420784,0.017633,0.202248,0.005280,0.047970,0.180711,0.014497,0.000544,0.001440,0.001024,0.000384,0.901827
0.420305,0.017505,0.202440,0.005280,0.047362,0.186023,0.014305,0.000480,0.001504,0.001248,0.000608,0.905988
0.435665,0.017473,0.202152,0.005120,0.047842,0.167943,0.014464,0.000704,0.001504,0.001088,0.000352,0.903524
0.423312,0.017697,0.205032,0.005312,0.047106,0.184199,0.015041,0.000768,0.001664,0.001184,0.000416,0.911875
0.422672,0.017569,0.204168,0.004832,0.047298,0.190024,0.014528,0.000960,0.001600,0.000992,0.000384,0.914564
0.418448,0.017696,0.219433,0.005376,0.047682,0.182247,0.014081,0.000736,0.001632,0.001120,0.000640,0.920004
0.422000,0.017537,0.202376,0.004992,0.046946,0.175367,0.014209,0.000704,0.001472,0.001120,0.000384,0.895875
0.418384,0.017985,0.202728,0.005312,0.047106,0.176103,0.014465,0.000736,0.001536,0.000960,0.000384,0.894435
0.420144,0.017633,0.202344,0.005248,0.047746,0.173863,0.015360,0.000672,0.001601,0.001120,0.000384,0.894883
0.416209,0.017856,0.202375,0.005345,0.048450,0.173414,0.016801,0.000704,0.001632,0.001184,0.000384,0.893411
0.420688,0.017665,0.203496,0.005120,0.047778,0.179559,0.014625,0.000704,0.001568,0.001088,0.000384,0.901827
0.421073,0.017728,0.202279,0.005249,0.048130,0.169414,0.014881,0.000704,0.001568,0.001056,0.000384,0.891939
0.420912,0.017600,0.221289,0.005440,0.047842,0.168295,0.024833,0.000768,0.001536,0.001088,0.000320,0.919492
0.422257,0.017825,0.201928,0.005120,0.049410,0.185831,0.015041,0.000672,0.001632,0.001408,0.000416,0.911396
0.415952,0.017377,0.202312,0.005344,0.048258,0.175975,0.015649,0.000736,0.001664,0.001280,0.000608,0.894307
0.415760,0.017792,0.202472,0.005184,0.048002,0.171207,0.015457,0.000736,0.001632,0.001344,0.000352,0.889795
0.421296,0.017729,0.202344,0.005472,0.048002,0.174855,0.015232,0.000672,0.001601,0.001440,0.000416,0.898371
0.416880,0.017697,0.202504,0.005344,0.048354,0.184263,0.014529,0.000960,0.001536,0.001216,0.000320,0.902787
0.421297,0.017537,0.202792,0.005280,0.048130,0.180007,0.014400,0.000576,0.001568,0.001345,0.000352,0.902532
0.417328,0.035905,0.202536,0.005281,0.048033,0.184488,0.014464,0.000704,0.001536,0.001088,0.000320,0.921637
0.421424,0.017633,0.203496,0.005312,0.048290,0.178119,0.014497,0.000768,0.001472,0.001280,0.000384,0.901091
0.420305,0.017569,0.202344,0.005216,0.048194,0.177159,0.014848,0.000672,0.001472,0.001376,0.000385,0.898628
0.420689,0.017601,0.202760,0.005216,0.048162,0.164870,0.014401,0.000960,0.001504,0.001376,0.000384,0.886947
0.417680,0.017696,0.202088,0.005280,0.048738,0.188040,0.014560,0.000704,0.001408,0.001504,0.000320,0.907300
0.421233,0.017568,0.202408,0.005153,0.048258,0.180519,0.014528,0.000736,0.001440,0.001120,0.000384,0.901987
0.421456,0.017569,0.202216,0.005312,0.048802,0.182183,0.014721,0.000704,0.001408,0.001056,0.000640,0.905859
0.438577,0.017888,0.203016,0.005312,0.048002,0.172679,0.014657,0.000672,0.001440,0.001088,0.000384,0.913124
0.420816,0.017665,0.203240,0.005120,0.048674,0.183271,0.014529,0.000960,0.001568,0.001088,0.000384,0.906019
0.421521,0.017632,0.202440,0.005217,0.049282,0.174598,0.014465,0.000480,0.001376,0.001152,0.000352,0.897795
0.420528,0.017825,0.202920,0.005120,0.048290,0.179943,0.014753,0.000704,0.001440,0.001024,0.000320,0.901923
0.422961,0.017600,0.202696,0.005345,0.047906,0.183751,0.014496,0.000960,0.001472,0.001089,0.000352,0.907940
0.421904,0.017729,0.202248,0.005184,0.047234,0.184903,0.014401,0.000704,0.001472,0.001088,0.000352,0.906435
0.421201,0.017505,0.202919,0.005025,0.047810,0.166790,0.014305,0.000704,0.001472,0.001120,0.000352,0.887971
0.439441,0.017665,0.202728,0.005216,0.047202,0.175847,0.014945,0.000736,0.001440,0.000992,0.000352,0.916100
0.422257,0.017568,0.202664,0.005121,0.047777,0.182824,0.014816,0.000704,0.001440,0.001056,0.000416,0.904643
0.418864,0.017761,0.202792,0.005280,0.048578,0.186279,0.014561,0.000704,0.001504,0.001088,0.000384,0.908003
0.417456,0.017633,0.203240,0.005312,0.048322,0.204264,0.015456,0.000769,0.001536,0.001024,0.000448,0.924420
0.421585,0.017665,0.203080,0.005280,0.048802,0.166086,0.014721,0.000672,0.001568,0.001120,0.000352,0.889923
0.417520,0.017537,0.203304,0.005280,0.048034,0.186983,0.014529,0.000736,0.001504,0.001152,0.000352,0.905603
0.419441,0.017824,0.204040,0.005153,0.047745,0.171174,0.014817,0.000672,0.001408,0.001024,0.000384,0.892323
0.435025,0.017953,0.202920,0.005184,0.048962,0.166375,0.014432,0.000672,0.001408,0.001184,0.000384,0.903235
0.419792,0.017729,0.206536,0.005344,0.047810,0.192392,0.014752,0.000768,0.001472,0.001184,0.000608,0.917251
0.417488,0.017729,0.204616,0.004864,0.048130,0.176359,0.014497,0.000768,0.001536,0.001056,0.000608,0.897123
0.417393,0.017728,0.203528,0.005313,0.048513,0.194087,0.014849,0.000704,0.001440,0.001280,0.000320,0.913988
0.417681,0.017568,0.203304,0.005089,0.048450,0.180391,0.014656,0.000704,0.001472,0.001216,0.000608,0.900356
0.420592,0.017601,0.204712,0.005216,0.049474,0.164839,0.014528,0.000768,0.001505,0.001248,0.000576,0.890147
0.416304,0.017601,0.202248,0.004896,0.048098,0.177927,0.014657,0.000672,0.001472,0.001248,0.000608,0.894467
0.435665,0.017729,0.202376,0.005280,0.047554,0.169479,0.014976,0.000736,0.001600,0.001153,0.000352,0.905444
0.415408,0.017601,0.203208,0.005280,0.047554,0.168166,0.014369,0.000800,0.001504,0.001120,0.000384,0.884386
0.416912,0.017761,0.202248,0.005248,0.047106,0.174503,0.014496,0.000800,0.001376,0.001024,0.000352,0.890115
0.422160,0.017569,0.204072,0.004864,0.047010,0.196904,0.014241,0.000736,0.001504,0.001248,0.000352,0.921028
0.421136,0.017600,0.203336,0.004896,0.047170,0.170887,0.014465,0.000704,0.001408,0.001376,0.000384,0.892035
0.421616,0.017601,0.202344,0.005280,0.047234,0.176327,0.015137,0.000768,0.001536,0.001152,0.000576,0.899107
0.416624,0.017761,0.202792,0.005184,0.046914,0.173383,0.014689,0.000704,0.001568,0.001280,0.000416,0.890211
0.434129,0.017568,0.202408,0.005280,0.048385,0.180167,0.015296,0.000768,0.001664,0.001056,0.000320,0.916099
0.420432,0.017536,0.202664,0.005248,0.049122,0.173959,0.014465,0.000736,0.001536,0.001120,0.000352,0.896227
0.417777,0.017537,0.203496,0.005248,0.048034,0.177863,0.014688,0.000480,0.001536,0.001120,0.000320,0.897444
0.417616,0.017728,0.236810,0.005440,0.048226,0.176967,0.014816,0.000736,0.001472,0.001024,0.000320,0.930245
0.420081,0.017761,0.203016,0.005248,0.048098,0.173639,0.014304,0.000768,0.001440,0.001152,0.000640,0.894883
0.420625,0.017601,0.202024,0.005312,0.047874,0.175335,0.014400,0.000992,0.001504,0.001152,0.000416,0.895747
0.416208,0.017537,0.202440,0.005376,0.047170,0.176039,0.014465,0.000512,0.001472,0.001088,0.000352,0.891523
0.421584,0.017729,0.202280,0.005312,0.047042,0.169799,0.014816,0.000672,0.001504,0.001184,0.000352,0.891074
0.416240,0.017505,0.201992,0.005280,0.046978,0.180455,0.014176,0.000737,0.001568,0.000992,0.000320,0.895235
0.417072,0.017793,0.202312,0.005280,0.047426,0.172679,0.014688,0.000768,0.001536,0.001185,0.000576,0.890499
0.420401,0.018017,0.221768,0.005377,0.048066,0.180327,0.014432,0.000832,0.001696,0.001248,0.000384,0.922276
0.420240,0.017729,0.202152,0.005280,0.048226,0.174183,0.014720,0.000672,0.001536,0.000992,0.000609,0.894915
0.417873,0.017568,0.202152,0.005313,0.048257,0.173031,0.014689,0.000800,0.001600,0.001120,0.000352,0.891459
0.416240,0.017345,0.203432,0.005312,0.048066,0.166951,0.014336,0.000704,0.001536,0.000992,0.000320,0.883426
0.416305,0.017280,0.202024,0.004832,0.048866,0.204136,0.014305,0.000704,0.001408,0.000992,0.000320,0.919684
0.420240,0.017537,0.202792,0.005216,0.048226,0.169159,0.014336,0.000736,0.001537,0.001056,0.000416,0.889347
0.415473,0.017216,0.202088,0.004897,0.048034,0.153030,0.014336,0.000704,0.001408,0.000960,0.000384,0.866786
0.415248,0.017568,0.218441,0.005440,0.047778,0.155814,0.014145,0.000736,0.001504,0.000896,0.000608,0.886179
0.414736,0.017633,0.202376,0.005440,0.047234,0.158406,0.014337,0.000768,0.001440,0.000864,0.000416,0.872162
0.416816,0.017569,0.202408,0.005216,0.047394,0.172679,0.014784,0.000768,0.001568,0.001120,0.000384,0.889090
0.415696,0.017409,0.202024,0.005280,0.047298,0.174919,0.014688,0.000801,0.001472,0.000928,0.000416,0.887971
0.428592,0.017825,0.201960,0.004832,0.047170,0.171207,0.014016,0.000960,0.001440,0.000928,0.000352,0.897443
0.421296,0.017761,0.202792,0.004896,0.046850,0.161094,0.014113,0.000640,0.001440,0.000896,0.000384,0.879842
0.415120,0.017473,0.202344,0.004832,0.047106,0.161670,0.014369,0.000736,0.001504,0.000928,0.000608,0.874082
0.415120,0.017633,0.201735,0.005248,0.046882,0.160038,0.031841,0.000736,0.001664,0.000992,0.000384,0.890946
0.415121,0.017760,0.201928,0.005088,0.046882,0.175815,0.014465,0.000768,0.001472,0.000896,0.000384,0.887363
0.415440,0.017569,0.202184,0.004896,0.046850,0.156038,0.014017,0.000704,0.001440,0.000896,0.000352,0.868194
0.415312,0.017409,0.202376,0.004992,0.046786,0.163526,0.014049,0.000512,0.001472,0.000960,0.000576,0.874818
0.415152,0.017377,0.215624,0.004897,0.046977,0.167175,0.014177,0.000480,0.001440,0.000896,0.000640,0.892483
