Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415120,0.017537,0.202056,0.004768,0.047010,0.144390,0.013984,0.000416,0.001376,0.000800,0.000352,0.856065
0.415536,0.017217,0.202312,0.004832,0.047170,0.165318,0.014209,0.000480,0.001440,0.000864,0.000352,0.877890
0.415408,0.017312,0.203432,0.005281,0.047233,0.174343,0.014177,0.000416,0.001440,0.001024,0.000352,0.890115
0.415985,0.017440,0.202184,0.004864,0.046977,0.151206,0.013953,0.000480,0.001408,0.001024,0.000352,0.863938
0.415504,0.017377,0.215400,0.004960,0.047361,0.166119,0.014048,0.000481,0.001376,0.000896,0.000352,0.892131
0.415408,0.017345,0.202056,0.004832,0.046818,0.151750,0.014017,0.000480,0.001344,0.000736,0.000352,0.862690
0.420272,0.017377,0.201864,0.004864,0.047298,0.151174,0.014048,0.000448,0.001376,0.000896,0.000321,0.867426
0.415088,0.017505,0.202120,0.004864,0.047042,0.165190,0.014305,0.000480,0.001344,0.000992,0.000352,0.877634
0.428273,0.017249,0.202184,0.004800,0.047138,0.140998,0.014112,0.000448,0.001376,0.000832,0.000320,0.865218
0.414736,0.017985,0.202568,0.004768,0.046978,0.148390,0.013824,0.000512,0.001376,0.000832,0.000320,0.859393
0.414384,0.017537,0.202056,0.004800,0.047010,0.149862,0.013825,0.000480,0.001440,0.000864,0.000352,0.860162
0.415249,0.017440,0.202248,0.004801,0.046913,0.156263,0.013952,0.000512,0.001440,0.000896,0.000320,0.868290
0.417904,0.017729,0.207496,0.004896,0.047106,0.177127,0.014209,0.000448,0.001536,0.001024,0.000352,0.900067
0.416112,0.017345,0.203784,0.005408,0.046946,0.172007,0.014208,0.000480,0.001536,0.000929,0.000352,0.888419
0.416145,0.017856,0.204776,0.004865,0.047010,0.168710,0.014113,0.000480,0.001472,0.000896,0.000352,0.884963
0.416112,0.017409,0.237289,0.005088,0.047234,0.198952,0.014337,0.000544,0.001440,0.000992,0.000320,0.947973
0.415952,0.017472,0.203048,0.005216,0.047042,0.170055,0.014177,0.000480,0.001440,0.000928,0.000352,0.883619
0.415376,0.017313,0.202824,0.004928,0.046882,0.157158,0.014273,0.000480,0.001408,0.000896,0.000384,0.869954
0.414993,0.017504,0.202792,0.005249,0.046977,0.164327,0.014208,0.000480,0.001408,0.000896,0.000320,0.877027
0.416336,0.017281,0.202792,0.004832,0.046850,0.161062,0.014113,0.000480,0.001440,0.000896,0.000288,0.874434
0.415344,0.017601,0.202920,0.005248,0.046978,0.172743,0.014240,0.000512,0.001472,0.001088,0.000320,0.886370
0.415856,0.017505,0.203208,0.004832,0.047138,0.164743,0.013984,0.000512,0.001440,0.000960,0.000352,0.878530
0.416241,0.017632,0.222537,0.005184,0.047650,0.174151,0.014433,0.000480,0.001440,0.001056,0.000352,0.911524
0.415888,0.017985,0.203368,0.004864,0.046978,0.165862,0.014017,0.000480,0.001504,0.001120,0.000352,0.880066
0.416496,0.017313,0.203368,0.004800,0.046850,0.165062,0.014081,0.000480,0.001376,0.000960,0.000320,0.879650
0.416560,0.017505,0.202600,0.005312,0.046914,0.167175,0.014048,0.000480,0.001504,0.000992,0.000352,0.881474
0.431953,0.017697,0.202792,0.005312,0.046978,0.167654,0.014368,0.000512,0.001408,0.000864,0.000352,0.898435
0.415984,0.017569,0.202760,0.005152,0.047010,0.171463,0.014240,0.000480,0.001472,0.001056,0.000384,0.886370
0.416433,0.017440,0.203112,0.005281,0.046849,0.169671,0.014305,0.000480,0.001504,0.000896,0.000320,0.884067
0.419952,0.017409,0.202856,0.005120,0.047266,0.196360,0.014400,0.000512,0.001472,0.000992,0.000352,0.915588
0.416016,0.017505,0.202536,0.005088,0.047106,0.175047,0.014433,0.000448,0.001408,0.001152,0.000352,0.889411
0.416721,0.017728,0.202728,0.005025,0.047297,0.166406,0.014497,0.000448,0.001472,0.000992,0.000384,0.883107
0.416784,0.017345,0.204104,0.005248,0.046914,0.176231,0.014272,0.000480,0.001504,0.001120,0.000384,0.894339
0.432721,0.017473,0.203496,0.005248,0.047074,0.170566,0.014305,0.000480,0.001440,0.001120,0.000352,0.902403
0.416368,0.017921,0.202792,0.005024,0.046978,0.171463,0.014240,0.000480,0.001408,0.000960,0.000384,0.886242
0.416752,0.017345,0.204104,0.004832,0.046946,0.163782,0.014272,0.000480,0.001408,0.000928,0.000352,0.879522
0.420849,0.017313,0.203816,0.004800,0.046978,0.190631,0.014081,0.000480,0.001440,0.000928,0.000352,0.909572
0.416337,0.017536,0.203144,0.005057,0.047169,0.171815,0.014177,0.000512,0.001440,0.000864,0.000320,0.886883
0.416656,0.017377,0.203720,0.004800,0.047042,0.172903,0.014112,0.000448,0.001408,0.000864,0.000352,0.887938
0.416208,0.017440,0.203656,0.004864,0.046786,0.166055,0.013952,0.000480,0.001472,0.000928,0.000352,0.880099
0.438097,0.017568,0.204424,0.004864,0.047042,0.172679,0.013921,0.000480,0.001472,0.000896,0.000352,0.911844
0.415056,0.017505,0.203176,0.004768,0.047010,0.168710,0.014049,0.000512,0.001440,0.000864,0.000352,0.881922
0.416977,0.017664,0.205192,0.005281,0.047010,0.169318,0.014241,0.000480,0.001440,0.001280,0.000320,0.888771
0.416817,0.017536,0.203272,0.004993,0.047137,0.167207,0.014209,0.000448,0.019552,0.001313,0.000352,0.900996
0.417200,0.017665,0.203816,0.004992,0.046882,0.164102,0.014273,0.000448,0.001408,0.000960,0.000384,0.879778
0.415376,0.017793,0.202760,0.005056,0.047010,0.164774,0.014017,0.000448,0.001408,0.000896,0.000352,0.878370
0.416337,0.017568,0.203304,0.004865,0.046785,0.163783,0.014176,0.000480,0.001472,0.000928,0.000352,0.878595
0.432720,0.017792,0.203624,0.004865,0.046945,0.178215,0.014177,0.000480,0.001440,0.000928,0.000320,0.910467
