Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-9],OUT[9],TEE[7-9],Layer[10],classifier
0.396236,0.017633,0.192485,0.004864,0.048450,0.000800,0.014496,0.115364,0.039457,0.062210,0.221159,0.000704,0.905403
0.396684,0.017889,0.191973,0.005217,0.047297,0.000832,0.014048,0.115268,0.037345,0.072450,0.228711,0.000768,0.910555
0.396780,0.017728,0.191878,0.004928,0.048834,0.000864,0.014208,0.109059,0.039490,0.060833,0.212710,0.000672,0.895483
0.395724,0.017408,0.192262,0.004832,0.048641,0.000608,0.014401,0.108739,0.039457,0.062114,0.213606,0.000704,0.895130
0.396044,0.017697,0.191749,0.004833,0.048833,0.000736,0.014624,0.108612,0.036929,0.060514,0.209351,0.000672,0.892347
0.410572,0.017697,0.191973,0.004864,0.048674,0.000768,0.014208,0.113188,0.042689,0.063970,0.222951,0.000640,0.918907
0.396076,0.017792,0.192198,0.004864,0.048353,0.000736,0.014464,0.110979,0.039137,0.062018,0.215654,0.000704,0.898810
0.395756,0.017665,0.191589,0.004896,0.048226,0.000800,0.014208,0.107235,0.040546,0.061698,0.212583,0.000704,0.893083
0.395787,0.017792,0.191942,0.004864,0.049185,0.000640,0.014273,0.110819,0.038529,0.082147,0.234855,0.000768,0.917243
0.396043,0.017345,0.191846,0.004832,0.048705,0.000768,0.014497,0.109699,0.038049,0.060450,0.211238,0.000736,0.892538
0.395852,0.017280,0.192742,0.004864,0.048130,0.000640,0.014368,0.110115,0.038914,0.059169,0.211238,0.000640,0.893050
0.396428,0.017888,0.192230,0.004864,0.049921,0.000833,0.015104,0.112355,0.038561,0.061377,0.215558,0.000704,0.900378
0.415852,0.017793,0.191589,0.004993,0.047329,0.000800,0.014944,0.112067,0.043841,0.059874,0.218951,0.000768,0.921819
0.395531,0.017824,0.192326,0.004896,0.048065,0.000800,0.014337,0.110851,0.039969,0.061154,0.215462,0.000704,0.897562
0.395851,0.017569,0.191718,0.004864,0.047617,0.000800,0.014113,0.112643,0.038177,0.063650,0.217734,0.000736,0.899162
0.400396,0.017569,0.192133,0.004928,0.048546,0.000800,0.014176,0.110180,0.057089,0.077539,0.249000,0.000800,0.935932
0.396524,0.017728,0.192006,0.004864,0.047938,0.000800,0.014432,0.104835,0.039842,0.062081,0.210598,0.000704,0.893403
0.396172,0.017536,0.191622,0.004960,0.048482,0.000864,0.014656,0.106787,0.036577,0.063970,0.210790,0.000672,0.892666
0.398155,0.017728,0.191526,0.004960,0.048161,0.000800,0.014529,0.113987,0.040321,0.075587,0.232935,0.000608,0.919067
0.410092,0.017697,0.191718,0.004992,0.047841,0.000800,0.014145,0.107267,0.036993,0.058946,0.206662,0.000736,0.900955
0.396107,0.017728,0.191974,0.004864,0.049153,0.000800,0.014337,0.111491,0.039553,0.058690,0.212838,0.000960,0.896858
0.400779,0.017824,0.191750,0.004832,0.047521,0.000576,0.014785,0.113315,0.038145,0.058850,0.213446,0.000704,0.898970
