Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-8],OUT[8],TEE[5-8],Layer[9],Layer[10],classifier
0.486926,0.017921,0.195910,0.004832,0.047521,0.083107,0.050657,0.059170,0.196550,0.003008,0.000544,0.960796
0.399051,0.017632,0.194342,0.004864,0.048001,0.090115,0.050178,0.057121,0.201158,0.001312,0.000448,0.873433
0.397100,0.017504,0.192902,0.005120,0.048961,0.113220,0.070626,0.073602,0.261736,0.001536,0.000352,0.934075
0.397036,0.017633,0.192101,0.004833,0.050209,0.105187,0.049634,0.058753,0.216934,0.001184,0.000480,0.886267
0.396363,0.017281,0.192133,0.004896,0.048673,0.092547,0.053793,0.057825,0.207622,0.001312,0.000320,0.874105
0.397132,0.017376,0.192166,0.004832,0.048194,0.091426,0.063554,0.056834,0.215078,0.001312,0.000288,0.882298
0.411628,0.017697,0.192390,0.004960,0.048321,0.111203,0.061346,0.061634,0.237767,0.001504,0.000352,0.921467
0.396268,0.017441,0.192037,0.004832,0.048674,0.104131,0.048097,0.057474,0.212902,0.001376,0.000384,0.880858
0.395756,0.017632,0.192102,0.004960,0.047906,0.092898,0.047394,0.057090,0.201190,0.001376,0.000352,0.868122
0.396108,0.017313,0.191621,0.004896,0.047714,0.094883,0.053377,0.062690,0.214502,0.001248,0.000352,0.879962
0.395915,0.017537,0.192486,0.004864,0.047425,0.101155,0.065250,0.059394,0.229799,0.001440,0.000544,0.896986
0.395435,0.017376,0.192262,0.004864,0.049057,0.094467,0.052930,0.057089,0.208295,0.001248,0.000352,0.875386
0.396108,0.017409,0.191973,0.004897,0.048097,0.109379,0.068418,0.058914,0.240103,0.001440,0.000448,0.907835
0.395211,0.017440,0.204454,0.005056,0.049570,0.099651,0.050177,0.056898,0.210342,0.001280,0.000384,0.890298
0.396139,0.017409,0.191494,0.004832,0.049345,0.088963,0.050081,0.057186,0.200070,0.001184,0.000320,0.867001
0.399468,0.017665,0.194661,0.004865,0.048385,0.113603,0.051298,0.060962,0.229383,0.001440,0.000384,0.904155
0.396524,0.018273,0.192581,0.004929,0.047809,0.110819,0.051842,0.060354,0.226631,0.001472,0.000384,0.895643
0.396587,0.017952,0.192390,0.005024,0.049025,0.112260,0.051585,0.062146,0.229671,0.001600,0.000416,0.899994
0.396651,0.017664,0.192166,0.005088,0.048609,0.111300,0.051233,0.060962,0.226983,0.001504,0.000416,0.895258
0.396331,0.017568,0.191494,0.005088,0.048353,0.110180,0.051745,0.063650,0.228903,0.001600,0.000416,0.895962
0.397003,0.017664,0.211110,0.005153,0.048833,0.110019,0.047586,0.058369,0.219174,0.001505,0.000384,0.907579
0.396236,0.017472,0.191686,0.004864,0.048162,0.105859,0.052353,0.061250,0.223078,0.001504,0.000416,0.889114
0.397164,0.017696,0.191846,0.004896,0.049153,0.111875,0.062082,0.067426,0.245224,0.001536,0.000448,0.914747
0.397260,0.017665,0.191717,0.005056,0.049026,0.107555,0.052162,0.061057,0.224263,0.001760,0.000416,0.893435
0.412684,0.017345,0.191621,0.005121,0.048865,0.111811,0.062338,0.061570,0.239399,0.001632,0.000416,0.924219
0.396204,0.017633,0.191781,0.005025,0.049249,0.108547,0.051074,0.081666,0.244711,0.001376,0.000384,0.912379
