Layer[0],Layer[1],Layer[2],IN[3],INFER[3-8],OUT[8],TEE[3-8],Layer[9],Layer[10],classifier
0.396908,0.017376,0.192102,0.141444,0.103971,0.064450,0.313801,0.001376,0.000384,0.927547
0.412684,0.017536,0.192326,0.138244,0.110915,0.074146,0.326410,0.001440,0.000352,0.957084
0.395788,0.017632,0.191846,0.127172,0.110595,0.062434,0.303657,0.001312,0.000384,0.916347
0.395980,0.017601,0.192037,0.126116,0.102659,0.062274,0.294793,0.001440,0.000384,0.908251
0.396492,0.017376,0.192102,0.146564,0.125348,0.111587,0.388555,0.001472,0.000352,1.003069
0.396331,0.017440,0.191878,0.132580,0.122147,0.062562,0.320777,0.001472,0.000416,0.934427
0.396267,0.017632,0.192038,0.144708,0.110179,0.066658,0.325225,0.001344,0.000480,0.939356
0.395851,0.017504,0.191974,0.136612,0.105987,0.063426,0.309769,0.001344,0.000416,0.922619
0.413996,0.017536,0.192422,0.139620,0.111459,0.064930,0.319881,0.001472,0.000384,0.952252
0.396139,0.017761,0.192134,0.128035,0.110819,0.065346,0.307689,0.001312,0.000480,0.921467
0.396716,0.017344,0.191942,0.124804,0.106947,0.062210,0.297513,0.001408,0.000416,0.911163
0.397964,0.017409,0.211302,0.136868,0.122116,0.064386,0.327082,0.001376,0.000320,0.962269
0.395947,0.017728,0.191718,0.137124,0.121443,0.062562,0.324809,0.001408,0.000320,0.937563
0.396139,0.017345,0.191878,0.135748,0.112771,0.064258,0.316425,0.001376,0.000416,0.929083
0.395980,0.017441,0.192005,0.139653,0.115235,0.079490,0.338122,0.001536,0.000321,0.951005
0.396107,0.017601,0.191621,0.141924,0.105699,0.065954,0.317321,0.001472,0.000416,0.930459
0.396556,0.017473,0.191845,0.135076,0.106179,0.063234,0.308201,0.001408,0.000320,0.922011
0.395980,0.017600,0.191750,0.136580,0.105379,0.065122,0.310633,0.001344,0.000352,0.923323
0.411853,0.017664,0.192006,0.176997,0.121508,0.068194,0.370923,0.001312,0.000384,1.000766
0.396043,0.017345,0.191653,0.137348,0.111523,0.064610,0.317226,0.001440,0.000416,0.930267
0.396620,0.017665,0.191909,0.135652,0.105443,0.062849,0.307753,0.001472,0.000352,0.921500
0.396076,0.017376,0.208327,0.139812,0.111907,0.063074,0.318473,0.001376,0.000384,0.948220
0.396076,0.017601,0.191845,0.135140,0.103076,0.067138,0.308746,0.001376,0.000416,0.921564
0.395915,0.017505,0.191974,0.127203,0.104035,0.064897,0.299432,0.001313,0.000448,0.912219
0.396172,0.017473,0.191941,0.139365,0.102627,0.064194,0.309802,0.001376,0.000416,0.922684
0.396076,0.017792,0.192070,0.137636,0.106435,0.068610,0.316393,0.001248,0.000416,0.929915
0.396748,0.017632,0.192678,0.136484,0.109667,0.067202,0.317097,0.001408,0.000384,0.932219
0.397099,0.017345,0.191558,0.127011,0.104867,0.066593,0.302344,0.001248,0.000480,0.915515
0.417228,0.017761,0.193189,0.148421,0.116739,0.067394,0.336650,0.001408,0.000384,0.973276
0.396812,0.017473,0.192165,0.129508,0.105059,0.065410,0.303433,0.001312,0.000448,0.916987
0.395979,0.017569,0.191622,0.129315,0.106371,0.065090,0.304233,0.001248,0.000416,0.916731
0.397740,0.017600,0.191942,0.182501,0.110244,0.069410,0.365515,0.001280,0.000416,0.980029
0.397068,0.017569,0.191781,0.147781,0.106819,0.065410,0.323626,0.001472,0.000448,0.937916
0.395627,0.017568,0.191942,0.126692,0.102403,0.072130,0.304905,0.001408,0.000480,0.916955
0.396940,0.017376,0.191750,0.142660,0.115588,0.067586,0.329514,0.001248,0.000320,0.943036
0.408844,0.017472,0.192006,0.164005,0.104579,0.065570,0.337930,0.001280,0.000416,0.963292
0.396076,0.017440,0.192006,0.136804,0.103043,0.064770,0.308425,0.001312,0.000384,0.921403
0.396844,0.017504,0.192230,0.131140,0.102115,0.062466,0.299209,0.001280,0.000352,0.913435
0.396332,0.017473,0.209478,0.128548,0.112291,0.065442,0.310025,0.001184,0.000352,0.941244
0.396300,0.017536,0.192070,0.133476,0.106339,0.065698,0.309097,0.001344,0.000352,0.922619
