Layer[0],IN[1],INFER[1-10],OUT[10],TEE[1-10],classifier
0.395628,0.163588,0.608210,0.070754,0.846553,1.245957
0.395083,0.160453,0.635091,0.078338,0.878234,1.278181
0.396908,0.162693,0.608530,0.069922,0.845721,1.247493
0.395532,0.162276,0.605841,0.067202,0.839352,1.238981
0.419372,0.160805,0.615858,0.071074,0.852185,1.275909
0.395116,0.181477,0.607954,0.067778,0.861337,1.260549
0.396492,0.171621,0.610258,0.070690,0.856857,1.257797
0.395084,0.190790,0.607378,0.069442,0.871642,1.270758
0.394860,0.160324,0.606258,0.067810,0.838616,1.238052
0.394668,0.159397,0.622610,0.070786,0.857017,1.255941
0.396300,0.156517,0.606002,0.067746,0.834649,1.234821
0.394380,0.167781,0.607666,0.068002,0.847609,1.246757
0.408140,0.162117,0.619762,0.069602,0.855417,1.267845
0.395531,0.159077,0.608562,0.068450,0.840185,1.239620
0.398380,0.214758,0.619027,0.080322,0.919355,1.324007
0.396716,0.162021,0.609074,0.067170,0.842841,1.243717
0.395723,0.186790,0.608370,0.069026,0.868506,1.269413
0.395948,0.180997,0.628242,0.127428,0.940892,1.340968
0.395179,0.157924,0.606194,0.074498,0.842713,1.242117
0.395948,0.161157,0.609010,0.069538,0.844377,1.244581
0.409900,0.166597,0.622355,0.071298,0.864154,1.278790
0.399019,0.165733,0.612978,0.071746,0.855193,1.260069
0.396716,0.170565,0.626931,0.090595,0.893659,1.294951
0.396716,0.182790,0.609778,0.068930,0.865658,1.266374
0.395916,0.193158,0.611122,0.066786,0.875642,1.276006
0.396556,0.195334,0.628978,0.069826,0.898714,1.299462
0.396300,0.170021,0.611026,0.069955,0.855866,1.256646
0.396683,0.169061,0.610866,0.069410,0.853882,1.254757
0.395467,0.202054,0.619155,0.080962,0.906459,1.306086
0.396012,0.166981,0.610738,0.070690,0.852537,1.252741
0.396300,0.168133,0.626131,0.075522,0.875354,1.276038
0.395628,0.169381,0.620722,0.070786,0.864953,1.265221
0.394731,0.168453,0.610226,0.075810,0.858681,1.257509
