Layer[0],IN[1],INFER[1-10],OUT[10],TEE[1-10],classifier
0.397227,0.160612,0.636339,0.084227,0.884890,1.286822
0.397228,0.166917,0.610642,0.070146,0.851513,1.252773
0.396395,0.162725,0.621651,0.073506,0.862106,1.263845
0.414445,0.161828,0.625107,0.071362,0.862265,1.281350
0.396939,0.166661,0.620371,0.069762,0.860762,1.261509
0.396588,0.165637,0.624819,0.099331,0.894363,1.295111
0.396300,0.167973,0.624050,0.073987,0.870202,1.270854
0.396588,0.158405,0.634930,0.069538,0.867033,1.267429
0.396364,0.165413,0.624338,0.108707,0.902810,1.303110
0.396939,0.189317,0.610386,0.069954,0.873529,1.274629
0.397292,0.159013,0.605842,0.068834,0.837817,1.239173
0.409644,0.165029,0.606962,0.070274,0.846329,1.260645
0.396396,0.161957,0.609618,0.071490,0.847449,1.248293
0.397932,0.187589,0.627283,0.100259,0.919739,1.322407
0.395660,0.168709,0.610194,0.069730,0.852665,1.252357
0.396843,0.166501,0.609650,0.070082,0.849913,1.250725
0.398508,0.213510,0.625299,0.076130,0.919803,1.323271
0.398379,0.158917,0.610898,0.068738,0.842585,1.245380
0.397131,0.168069,0.610290,0.072450,0.854777,1.256165
0.399948,0.169285,0.618674,0.072130,0.864185,1.268133
0.396524,0.168485,0.610290,0.070114,0.853017,1.253829
0.396620,0.164101,0.626258,0.096803,0.891322,1.292646
0.396107,0.167652,0.609042,0.068834,0.850105,1.250629
0.397164,0.187046,0.608690,0.070018,0.870106,1.270918
0.397900,0.214054,0.616338,0.074147,0.909083,1.311239
0.396172,0.173317,0.607698,0.069730,0.854489,1.254821
0.397196,0.168005,0.609490,0.070498,0.851897,1.253125
0.397163,0.185926,0.607794,0.067234,0.865210,1.266373
0.395820,0.152452,0.618450,0.079490,0.854329,1.253957
0.396811,0.147013,0.628754,0.074531,0.854522,1.254725
0.397324,0.157637,0.617906,0.067650,0.847545,1.249093
0.396140,0.169765,0.616690,0.079266,0.869914,1.269926
0.396171,0.174053,0.635058,0.068162,0.881339,1.281670
0.396523,0.188550,0.621618,0.069282,0.883482,1.283237
0.397707,0.189733,0.607890,0.070658,0.872345,1.273925
0.408556,0.140645,0.607922,0.067778,0.820537,1.232869
0.396620,0.162661,0.620818,0.071426,0.859225,1.259205
0.397131,0.152100,0.620434,0.078787,0.855162,1.256453
0.397516,0.148068,0.619090,0.069602,0.841273,1.242949
0.396331,0.146757,0.619602,0.069218,0.840089,1.240164
