Layer[0],IN[1],INFER[1-6],OUT[6],TEE[1-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.491342,0.165189,8.022862,0.077826,8.269877,0.000960,0.002528,0.013825,0.000608,8.786084
0.398475,0.166340,0.610259,0.068514,0.849401,0.000736,0.003392,0.001664,0.000576,1.261733
0.396876,0.206694,0.608146,0.064322,0.883834,0.000672,0.002720,0.001216,0.000576,1.291558
0.397196,0.185157,0.604498,0.062658,0.855929,0.000672,0.002016,0.001280,0.000576,1.263013
0.395628,0.160549,0.619986,0.068290,0.852505,0.000704,0.002081,0.001344,0.000576,1.258342
0.397036,0.165381,0.619026,0.062658,0.850841,0.000704,0.002048,0.001024,0.000576,1.258245
0.396684,0.159620,0.602162,0.065666,0.831128,0.000672,0.001920,0.001024,0.000288,1.236868
0.395532,0.160837,0.620306,0.078530,0.863577,0.000705,0.002688,0.001248,0.000384,1.270214
0.395980,0.166853,0.603922,0.063234,0.837945,0.000704,0.002208,0.000992,0.000352,1.243397
0.395660,0.165989,0.601649,0.064578,0.835672,0.000672,0.002304,0.000993,0.000384,1.240421
0.395659,0.169989,0.617491,0.064290,0.855738,0.000608,0.002208,0.001152,0.000576,1.261989
0.395884,0.171013,0.605682,0.068706,0.849753,0.000736,0.002496,0.001216,0.000416,1.256773
0.397036,0.170277,0.619347,0.063681,0.857433,0.000736,0.002400,0.001184,0.000352,1.264582
0.396363,0.163909,0.618963,0.064930,0.851770,0.000704,0.002304,0.000960,0.000576,1.257957
0.396235,0.188230,0.604050,0.066562,0.862714,0.001024,0.002528,0.001184,0.000608,1.269829
0.396108,0.167749,0.633107,0.073282,0.879930,0.000768,0.002816,0.001056,0.000608,1.287686
0.396812,0.196678,0.600530,0.066306,0.867162,0.000736,0.002592,0.001216,0.000608,1.275014
0.396652,0.203846,0.605618,0.066274,0.879866,0.000896,0.002816,0.001184,0.000608,1.288902
0.415853,0.165701,0.606738,0.067010,0.843257,0.000864,0.002304,0.001120,0.000576,1.269670
0.396460,0.148900,0.605170,0.070338,0.828120,0.000800,0.002400,0.001248,0.000608,1.234852
0.401324,0.165541,0.630898,0.087490,0.889338,0.001472,0.003520,0.002400,0.000800,1.311110
0.396172,0.190342,0.605938,0.066306,0.866330,0.000704,0.002624,0.001088,0.000384,1.273478
0.396396,0.152709,0.622290,0.065250,0.844313,0.000736,0.002528,0.001088,0.000576,1.250981
0.396588,0.223047,0.640819,0.067426,0.935356,0.000768,0.002368,0.001024,0.000640,1.342280
0.396811,0.168101,0.603761,0.064545,0.840280,0.000769,0.002432,0.001120,0.000352,1.248421
0.396523,0.164229,0.604978,0.065282,0.837913,0.000736,0.002496,0.001184,0.000864,1.245412
0.396332,0.171205,0.605330,0.067234,0.847545,0.000800,0.002464,0.001216,0.000608,1.254021
0.397644,0.170981,0.621778,0.067778,0.864793,0.000864,0.002528,0.001056,0.000576,1.273637
0.396747,0.170469,0.625874,0.082147,0.883258,0.000800,0.002496,0.001056,0.000640,1.291334
0.396747,0.196421,0.623635,0.066690,0.890842,0.000736,0.002464,0.001152,0.000576,1.298566
0.396396,0.166629,0.604850,0.067842,0.844185,0.000896,0.002592,0.001216,0.000704,1.252741
0.414828,0.171653,0.616338,0.067554,0.859833,0.000672,0.002560,0.001120,0.000320,1.285158
0.395404,0.195814,0.606578,0.066146,0.872890,0.000800,0.002656,0.001216,0.000384,1.279366
0.396524,0.164965,0.605394,0.126275,0.901082,0.000672,0.002113,0.001440,0.000672,1.308359
0.395915,0.162917,0.619539,0.065954,0.852698,0.000832,0.002688,0.001184,0.000384,1.260037
0.395372,0.167237,0.604594,0.065442,0.841561,0.000672,0.002112,0.000960,0.000416,1.246725
0.396780,0.209862,0.612946,0.067138,0.893946,0.000640,0.002272,0.001024,0.000448,1.300582
0.398252,0.191141,0.606642,0.068610,0.870745,0.000769,0.002688,0.001056,0.000800,1.280262
0.396428,0.168837,0.604434,0.067202,0.845305,0.000800,0.002336,0.001121,0.000352,1.252486
0.411309,0.165669,0.613938,0.066210,0.851545,0.000736,0.002720,0.001152,0.000864,1.273702
0.396779,0.167237,0.606610,0.068194,0.846297,0.000800,0.002432,0.001248,0.000576,1.254405
0.396332,0.170789,0.635027,0.073666,0.883866,0.000736,0.002720,0.001216,0.000576,1.291110
0.396683,0.194309,0.604498,0.070786,0.873786,0.000800,0.002656,0.001024,0.000576,1.280838
0.395468,0.169605,0.603314,0.065986,0.843097,0.000736,0.002720,0.001408,0.000384,1.250117
0.410861,0.167461,0.604722,0.065282,0.841433,0.000736,0.002624,0.001088,0.000320,1.262534
0.395756,0.168037,0.605650,0.065346,0.842937,0.000704,0.002688,0.001184,0.000608,1.249701
0.396363,0.169157,0.605106,0.067330,0.846201,0.000736,0.002656,0.001184,0.000576,1.253477
0.395500,0.187366,0.603121,0.064898,0.859449,0.000704,0.002433,0.000960,0.000576,1.265222
0.396491,0.155269,0.605074,0.065698,0.830457,0.000736,0.002272,0.001056,0.000544,1.237988
0.395884,0.166789,0.625747,0.079394,0.876666,0.000832,0.002784,0.001184,0.000640,1.284550
0.396940,0.167045,0.606642,0.067138,0.845497,0.000832,0.002528,0.001152,0.000416,1.253253
0.396268,0.169061,0.620691,0.065858,0.860154,0.000736,0.002368,0.001088,0.000544,1.266566
0.412812,0.169061,0.614738,0.066338,0.854297,0.000672,0.002848,0.001088,0.000384,1.277733
0.395660,0.166181,0.606226,0.067554,0.845113,0.000704,0.002752,0.001216,0.000480,1.253349
0.395916,0.176677,0.622290,0.102787,0.906043,0.000832,0.002432,0.001184,0.000672,1.313063
0.395628,0.188678,0.602258,0.065698,0.860506,0.000768,0.002688,0.001056,0.000416,1.267174
0.395980,0.164645,0.602802,0.068290,0.839833,0.000864,0.002784,0.001184,0.000416,1.247301
0.396364,0.147780,0.621011,0.079138,0.852217,0.000864,0.003008,0.001184,0.000832,1.260453
0.395820,0.167653,0.619410,0.065602,0.856633,0.000704,0.002560,0.001120,0.000544,1.262598
0.397131,0.169637,0.604433,0.065633,0.843705,0.000768,0.002336,0.001408,0.000448,1.252293
0.411436,0.162085,0.615154,0.068354,0.850553,0.000672,0.002496,0.001184,0.000480,1.272965
0.397100,0.170693,0.619858,0.069218,0.864249,0.000736,0.002656,0.001344,0.000416,1.273893
0.396300,0.168677,0.632211,0.084802,0.890459,0.000736,0.002720,0.001120,0.000640,1.297863
0.396300,0.189862,0.604946,0.068354,0.867130,0.000672,0.002784,0.001184,0.000864,1.275878
0.395372,0.196837,0.606097,0.065729,0.872922,0.000768,0.002368,0.001088,0.000384,1.278694
0.414284,0.195238,0.603154,0.068546,0.870906,0.001088,0.002464,0.001056,0.000672,1.297222
0.395659,0.169349,0.614291,0.070722,0.859194,0.001088,0.002560,0.001152,0.000416,1.267462
0.396396,0.159237,0.613490,0.087682,0.866105,0.000736,0.002720,0.001024,0.000416,1.274758
0.396204,0.178597,0.606482,0.067298,0.856473,0.000736,0.002336,0.001152,0.000384,1.262694
0.396171,0.168133,0.620531,0.066498,0.859130,0.000704,0.002496,0.001120,0.000608,1.266213
0.398828,0.166853,0.624338,0.077955,0.874138,0.000800,0.002688,0.001504,0.000672,1.285350
0.396524,0.149956,0.617619,0.066562,0.838361,0.000736,0.002688,0.001248,0.000384,1.245893
0.397324,0.167781,0.606258,0.067330,0.845401,0.000672,0.002656,0.001120,0.000416,1.253957
0.416428,0.160773,0.615570,0.064610,0.844793,0.000640,0.002688,0.001216,0.000384,1.272293
0.396300,0.200294,0.602354,0.065282,0.871898,0.000704,0.002368,0.001248,0.000576,1.278694
