Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-9],Layer[10],classifier
0.417137,0.017664,0.202856,0.005281,0.048130,0.000768,0.229129,0.000608,0.929509
0.415857,0.017568,0.202888,0.004801,0.048322,0.000800,0.196807,0.000640,0.894627
0.437521,0.017313,0.202504,0.004800,0.047874,0.000832,0.212808,0.000608,0.931940
0.422064,0.017665,0.202664,0.005248,0.048610,0.000768,0.210889,0.000768,0.915460
0.420144,0.017217,0.202792,0.004800,0.048514,0.000800,0.212009,0.000608,0.913732
0.417072,0.017505,0.203112,0.004864,0.068387,0.000864,0.212744,0.000768,0.933604
0.422385,0.017568,0.202568,0.004769,0.049377,0.000801,0.198759,0.000832,0.904515
0.416593,0.017697,0.203144,0.005056,0.048258,0.000800,0.211784,0.000768,0.913476
0.421712,0.017697,0.203176,0.004864,0.047938,0.000768,0.193448,0.001088,0.898307
0.416848,0.017569,0.202952,0.005120,0.048354,0.000832,0.202408,0.000800,0.902339
0.415952,0.017345,0.202600,0.004800,0.048546,0.000832,0.197352,0.001056,0.896003
0.417264,0.017729,0.202856,0.004864,0.048098,0.000800,0.193256,0.000928,0.893251
0.417521,0.018273,0.218824,0.005312,0.047778,0.000800,0.198728,0.000640,0.915972
0.422000,0.017473,0.202248,0.005024,0.048034,0.000832,0.190887,0.000704,0.894691
0.423761,0.017761,0.204520,0.005056,0.049346,0.000800,0.253514,0.001088,0.967462
0.416464,0.017569,0.203592,0.005056,0.048450,0.000832,0.215017,0.000768,0.915972
0.422449,0.017569,0.202792,0.005280,0.049058,0.000832,0.249514,0.001248,0.961830
0.417360,0.017569,0.203176,0.005280,0.049026,0.000832,0.230921,0.001088,0.934276
0.423089,0.017760,0.203624,0.005409,0.048866,0.000832,0.214984,0.000736,0.923140
0.435729,0.017665,0.203400,0.004864,0.049378,0.000768,0.210024,0.000960,0.931141
0.420592,0.017824,0.203400,0.005024,0.049090,0.000800,0.201640,0.000960,0.908132
0.417425,0.017760,0.203784,0.005217,0.048833,0.000801,0.197927,0.000896,0.900355
0.417296,0.017761,0.220425,0.005216,0.048450,0.000832,0.243753,0.000576,0.962437
0.416848,0.017249,0.203048,0.005056,0.049218,0.000800,0.197032,0.000928,0.897475
0.417360,0.017505,0.204424,0.004896,0.048674,0.000832,0.198152,0.000640,0.899267
0.418609,0.017664,0.203112,0.004801,0.048866,0.000800,0.197927,0.000672,0.900163
0.417168,0.017249,0.202568,0.005248,0.048386,0.000832,0.186023,0.000608,0.885282
0.418512,0.020609,0.203592,0.005312,0.048866,0.000800,0.206024,0.000992,0.913860
0.416401,0.017441,0.202855,0.004960,0.048738,0.000832,0.222952,0.000705,0.922821
0.421329,0.039074,0.203496,0.004992,0.048098,0.000800,0.194247,0.000896,0.921284
0.420048,0.017601,0.202824,0.005312,0.048770,0.000832,0.200488,0.000672,0.905027
0.421745,0.017664,0.203208,0.005441,0.048386,0.000864,0.204200,0.000832,0.909508
0.417840,0.017761,0.203080,0.004992,0.048642,0.000800,0.216488,0.000608,0.917635
0.422000,0.017633,0.202280,0.005248,0.049858,0.000832,0.212265,0.000800,0.919108
0.416976,0.017473,0.202696,0.004768,0.048194,0.000800,0.195847,0.000609,0.895396
0.421297,0.017281,0.202280,0.004832,0.048834,0.000800,0.199368,0.000704,0.902308
0.432593,0.017953,0.202535,0.004897,0.048802,0.000800,0.194919,0.000640,0.910947
0.421008,0.017473,0.202248,0.005024,0.047746,0.000832,0.204264,0.001056,0.907395
0.420368,0.017440,0.202120,0.005184,0.048802,0.000800,0.188200,0.000576,0.890787
0.420593,0.017249,0.202408,0.004800,0.047298,0.000768,0.224488,0.000832,0.926725
0.420240,0.017569,0.202696,0.004800,0.048258,0.000800,0.196040,0.000672,0.898563
0.421072,0.017377,0.204328,0.004832,0.048994,0.000832,0.220137,0.000576,0.925540
0.421041,0.017697,0.202408,0.005216,0.047554,0.000800,0.199080,0.000736,0.901700
0.433265,0.017633,0.202856,0.004768,0.047810,0.000768,0.206152,0.000576,0.921988
0.421585,0.017504,0.203464,0.005056,0.050210,0.000800,0.198567,0.000864,0.904995
0.420113,0.017472,0.202664,0.005249,0.048706,0.000736,0.195207,0.000672,0.898723
0.415792,0.017409,0.203080,0.005280,0.049058,0.000800,0.216233,0.000704,0.916452
0.421552,0.017632,0.202504,0.005248,0.048418,0.000800,0.215625,0.000800,0.920516
0.416688,0.017601,0.202152,0.004800,0.048802,0.000832,0.209352,0.000576,0.908163
0.417680,0.017248,0.203112,0.005024,0.048354,0.000832,0.206504,0.000896,0.907012
0.434993,0.017345,0.202568,0.005248,0.048674,0.000800,0.214089,0.000800,0.932357
0.420785,0.017568,0.202152,0.004897,0.049026,0.000832,0.204968,0.000576,0.907812
0.420913,0.017888,0.202408,0.005024,0.048354,0.000800,0.208521,0.000608,0.912004
0.418032,0.017665,0.221160,0.005313,0.048513,0.000864,0.229673,0.000800,0.950245
0.422001,0.017281,0.202632,0.005184,0.048322,0.000800,0.199880,0.000576,0.904804
0.417104,0.017345,0.202152,0.004768,0.048290,0.000768,0.211208,0.000768,0.910435
0.417137,0.017536,0.203848,0.005345,0.048866,0.000800,0.205032,0.000768,0.907780
0.416465,0.017792,0.202696,0.005249,0.048577,0.000800,0.224808,0.000736,0.925092
0.420241,0.017536,0.203143,0.004897,0.048738,0.000768,0.212072,0.000640,0.915172
0.417968,0.017537,0.202280,0.004832,0.048130,0.000896,0.209064,0.000640,0.908643
0.439954,0.017536,0.202888,0.005025,0.048865,0.000800,0.212713,0.000864,0.936357
0.416945,0.017504,0.203240,0.005249,0.048386,0.000800,0.211688,0.000832,0.911780
0.422353,0.017504,0.202920,0.004864,0.048449,0.000800,0.198664,0.000768,0.903651
0.420049,0.017600,0.202312,0.004897,0.048033,0.000769,0.240201,0.000800,0.943141
0.415536,0.017537,0.201960,0.004800,0.047138,0.000800,0.207240,0.000704,0.902755
