Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-9],Layer[10],classifier
0.421904,0.017697,0.205800,0.005216,0.048706,0.000832,0.202568,0.000576,0.910787
0.420176,0.017697,0.202824,0.005280,0.049218,0.000768,0.201960,0.000608,0.905891
0.421520,0.017505,0.202248,0.005152,0.049122,0.000800,0.246218,0.000736,0.951525
0.421201,0.017569,0.203496,0.004832,0.048738,0.000960,0.192551,0.000577,0.897316
0.420849,0.017664,0.202024,0.004993,0.048065,0.000865,0.195687,0.000608,0.898371
0.421489,0.017664,0.202824,0.005121,0.048834,0.000576,0.192359,0.000736,0.896867
0.435153,0.017569,0.202440,0.005024,0.048770,0.000832,0.196360,0.000640,0.914308
0.416816,0.017601,0.202504,0.005312,0.048674,0.000992,0.194183,0.000640,0.894019
0.420401,0.017633,0.202696,0.005024,0.048674,0.000832,0.213352,0.000544,0.916900
0.421969,0.017472,0.202664,0.005249,0.069986,0.000864,0.191720,0.000544,0.918084
0.420400,0.017281,0.202376,0.005248,0.048674,0.000800,0.197160,0.000544,0.899619
0.422001,0.017537,0.202664,0.004864,0.048802,0.000800,0.207688,0.000640,0.912772
0.423728,0.017696,0.202184,0.004992,0.048770,0.000832,0.198696,0.000576,0.905219
0.437329,0.017697,0.202792,0.005024,0.047874,0.000800,0.211560,0.000801,0.931269
0.420528,0.017569,0.203304,0.004832,0.048610,0.000800,0.197896,0.000608,0.901251
0.416944,0.017505,0.202888,0.004896,0.049922,0.000800,0.204872,0.000576,0.905732
0.416016,0.017793,0.223881,0.005152,0.048770,0.000832,0.194344,0.000608,0.915748
0.420241,0.017761,0.202280,0.005024,0.047970,0.000800,0.202824,0.000832,0.904996
0.422000,0.017825,0.202408,0.005056,0.048674,0.000768,0.196552,0.000576,0.901443
0.416944,0.017985,0.202920,0.004768,0.048546,0.000768,0.187047,0.000576,0.886498
0.420208,0.017665,0.202184,0.005248,0.048642,0.000768,0.193832,0.000576,0.896611
0.420689,0.020929,0.202088,0.005312,0.048578,0.000768,0.234825,0.000832,0.941285
0.420401,0.017568,0.202344,0.004865,0.048641,0.000768,0.214792,0.000928,0.918404
0.417552,0.017569,0.202696,0.005056,0.048322,0.000832,0.209800,0.000992,0.930084
0.416240,0.017505,0.202504,0.005280,0.048450,0.000800,0.207752,0.000608,0.906467
0.421520,0.017441,0.201960,0.005248,0.048898,0.000800,0.198344,0.000992,0.902019
0.415824,0.017441,0.203208,0.005056,0.048802,0.000608,0.210536,0.000928,0.909155
0.420689,0.017537,0.203016,0.005248,0.049154,0.000800,0.223497,0.000992,0.927813
0.421104,0.017729,0.203016,0.005248,0.048770,0.000800,0.201256,0.000672,0.905763
0.415504,0.017281,0.202696,0.005184,0.048834,0.000832,0.208872,0.000577,0.906532
0.440209,0.017473,0.202472,0.005184,0.048674,0.000800,0.189511,0.000737,0.911844
0.416720,0.017408,0.202344,0.004896,0.048098,0.000800,0.193608,0.000576,0.890979
0.420624,0.017345,0.202120,0.004832,0.047458,0.000608,0.201192,0.000544,0.901507
0.420561,0.017504,0.202376,0.005025,0.047425,0.000576,0.218345,0.000608,0.919076
0.416272,0.017761,0.202440,0.004832,0.047522,0.000768,0.197800,0.000544,0.894947
0.420753,0.017312,0.202312,0.004865,0.047105,0.000800,0.193992,0.000576,0.894691
0.420656,0.017409,0.203368,0.004768,0.047330,0.000832,0.226441,0.000608,0.927844
0.439345,0.017760,0.202663,0.004897,0.047618,0.000896,0.197255,0.000672,0.918372
0.422352,0.017409,0.202344,0.005024,0.047394,0.000800,0.195720,0.000576,0.898307
0.420849,0.017472,0.201863,0.004833,0.047393,0.000801,0.190087,0.000640,0.890627
0.421041,0.017537,0.203240,0.004832,0.047650,0.001024,0.219784,0.000672,0.922789
0.416816,0.017473,0.201992,0.005248,0.048002,0.000736,0.196648,0.000576,0.894467
0.416177,0.017440,0.202152,0.005025,0.047393,0.000800,0.207560,0.000608,0.903876
0.415408,0.017632,0.202344,0.004864,0.047426,0.000832,0.211081,0.000576,0.906404
0.447057,0.017217,0.202536,0.004832,0.047458,0.000736,0.185127,0.000928,0.912483
0.415345,0.017216,0.202376,0.004768,0.047298,0.000832,0.193128,0.000640,0.887683
0.420304,0.017249,0.201928,0.005056,0.046850,0.000800,0.197671,0.000672,0.896547
0.415632,0.017217,0.202952,0.005248,0.047330,0.001024,0.215848,0.000608,0.913315
0.415569,0.017344,0.202663,0.004801,0.047170,0.000832,0.208904,0.000544,0.904644
0.420144,0.017184,0.202952,0.004864,0.047426,0.000800,0.225705,0.000544,0.925796
0.415409,0.017216,0.203048,0.004801,0.047425,0.000768,0.183271,0.000512,0.879363
0.434033,0.017537,0.202376,0.004832,0.047490,0.000832,0.181351,0.000512,0.895683
0.415856,0.017217,0.202216,0.004800,0.047330,0.000800,0.181991,0.000512,0.876962
0.415248,0.017313,0.202184,0.004768,0.046978,0.000800,0.195144,0.000672,0.889219
0.419664,0.017696,0.202760,0.004832,0.047010,0.000768,0.210857,0.000832,0.911204
0.419888,0.017537,0.202920,0.004800,0.047170,0.000800,0.185255,0.000608,0.886018
0.417104,0.017281,0.202280,0.004992,0.046914,0.000800,0.184135,0.000672,0.881442
0.420337,0.017281,0.202216,0.004832,0.047970,0.000768,0.196007,0.000608,0.897988
0.434929,0.017536,0.205192,0.005089,0.048226,0.000800,0.202184,0.000672,0.921732
0.415504,0.017665,0.202952,0.005088,0.048578,0.000800,0.201000,0.000608,0.901955
0.415792,0.017281,0.202600,0.005120,0.048418,0.000800,0.201064,0.000672,0.898691
0.416304,0.017345,0.202952,0.005024,0.048322,0.000800,0.213992,0.000736,0.912675
0.422225,0.017281,0.202376,0.005024,0.048450,0.000832,0.199336,0.000768,0.904036
0.420816,0.017345,0.202728,0.004832,0.050402,0.000768,0.184231,0.000576,0.888866
0.415280,0.017505,0.202472,0.005312,0.049666,0.000800,0.188808,0.000608,0.887587
0.433361,0.017505,0.202152,0.005280,0.048610,0.000768,0.190856,0.000736,0.908484
0.420144,0.017441,0.202664,0.004992,0.047522,0.000800,0.176519,0.000736,0.878082
0.420432,0.017441,0.202472,0.004992,0.048258,0.000832,0.197000,0.000576,0.900163
0.420209,0.017280,0.202248,0.005024,0.048354,0.000800,0.190056,0.000608,0.891459
0.423088,0.017345,0.205096,0.005088,0.048642,0.000832,0.210793,0.000608,0.919652
0.418257,0.017537,0.204328,0.004832,0.048322,0.000800,0.195079,0.000896,0.897636
0.415952,0.017472,0.203720,0.005088,0.048226,0.000800,0.207209,0.000608,0.906916
0.436401,0.017697,0.203592,0.005248,0.048450,0.000768,0.200424,0.000704,0.920612
0.420017,0.017696,0.203144,0.005057,0.048673,0.000800,0.200231,0.000704,0.903396
0.420368,0.017568,0.202216,0.005248,0.048578,0.000832,0.210409,0.000672,0.913412
0.415793,0.017632,0.202056,0.005057,0.048065,0.000800,0.234634,0.000768,0.932293
0.415793,0.017472,0.202472,0.004769,0.049217,0.000768,0.185159,0.000704,0.883683
0.420720,0.017473,0.202600,0.005248,0.048098,0.000800,0.210952,0.000608,0.914756
0.420689,0.017664,0.202920,0.005281,0.048161,0.000769,0.197287,0.000768,0.900995
0.438578,0.017696,0.201736,0.004993,0.048641,0.000801,0.211688,0.000864,0.932997
0.416944,0.017441,0.201896,0.004800,0.048258,0.000800,0.226377,0.000576,0.924548
0.420272,0.017249,0.202184,0.005024,0.048674,0.000800,0.212009,0.000576,0.913732
0.416176,0.017697,0.202056,0.005248,0.048642,0.000832,0.229641,0.000736,0.928740
0.421264,0.017505,0.202120,0.005280,0.048578,0.000800,0.177799,0.000768,0.881218
0.420176,0.017152,0.202248,0.005024,0.048866,0.000800,0.192072,0.000576,0.893859
0.415984,0.017537,0.202760,0.005024,0.048482,0.000768,0.209704,0.000640,0.908483
0.437265,0.017441,0.202376,0.004800,0.047874,0.000832,0.198120,0.000672,0.916516
0.420209,0.017568,0.202151,0.005057,0.049186,0.000832,0.219400,0.000608,0.923428
0.416689,0.017344,0.202183,0.005153,0.048354,0.000832,0.194471,0.000672,0.893059
0.416016,0.017313,0.202856,0.004800,0.048258,0.000832,0.230153,0.000736,0.927684
0.420337,0.017344,0.202120,0.005025,0.049634,0.000800,0.201095,0.000832,0.904292
0.420528,0.017505,0.202696,0.005248,0.048674,0.000800,0.207944,0.000576,0.911236
0.420848,0.017985,0.202472,0.005056,0.048546,0.000800,0.192552,0.000704,0.895715
0.430865,0.017697,0.202600,0.004832,0.048706,0.000768,0.223016,0.000832,0.936741
0.417200,0.017473,0.202568,0.005248,0.048418,0.000960,0.217736,0.000800,0.917347
0.420528,0.017472,0.202120,0.005024,0.048290,0.000832,0.211689,0.000960,0.914308
0.420336,0.017185,0.203592,0.005248,0.048930,0.000800,0.189895,0.000705,0.894019
0.421264,0.017569,0.203368,0.005024,0.048770,0.000768,0.207624,0.000704,0.912131
0.421072,0.021153,0.203208,0.005056,0.048802,0.000832,0.210953,0.000640,0.918372
0.421520,0.017697,0.202792,0.004832,0.048546,0.000768,0.186728,0.000544,0.890883
0.439345,0.017473,0.202888,0.005024,0.048866,0.000768,0.207976,0.000640,0.929508
0.421649,0.017729,0.202664,0.005056,0.048770,0.000832,0.184711,0.000864,0.889283
0.415697,0.017728,0.202696,0.004993,0.048226,0.000800,0.193031,0.000640,0.890275
0.420753,0.017536,0.203240,0.005025,0.048706,0.000800,0.215624,0.000608,0.919684
0.420080,0.017537,0.202024,0.004864,0.048482,0.000832,0.196264,0.000704,0.897987
0.420080,0.017729,0.201896,0.004800,0.048802,0.000768,0.188648,0.000544,0.890275
0.420592,0.017600,0.202152,0.005024,0.048834,0.000800,0.215017,0.000544,0.918244
0.434993,0.017729,0.203592,0.005056,0.048418,0.000736,0.210568,0.000577,0.929157
0.419889,0.017633,0.202023,0.005281,0.049026,0.000800,0.199720,0.000576,0.901380
0.415536,0.017409,0.202312,0.004800,0.048482,0.000960,0.204712,0.000768,0.901123
0.420049,0.017536,0.203528,0.004864,0.048609,0.000800,0.224361,0.000608,0.927364
0.415409,0.017376,0.202472,0.005088,0.048290,0.000800,0.211657,0.000608,0.908324
0.416432,0.017249,0.202984,0.004832,0.048706,0.000768,0.193032,0.000608,0.891491
0.420080,0.017313,0.202792,0.005152,0.048098,0.000800,0.195239,0.000640,0.897059
0.438609,0.017281,0.202152,0.005024,0.048642,0.000832,0.197512,0.000544,0.918084
0.418097,0.017504,0.205289,0.005088,0.049026,0.000800,0.221736,0.000800,0.925957
0.420625,0.017441,0.203752,0.005120,0.048546,0.000896,0.196360,0.000672,0.900740
0.415120,0.017409,0.202216,0.005216,0.067043,0.000896,0.215432,0.000672,0.932069
0.415984,0.017473,0.202312,0.004800,0.048546,0.000832,0.209576,0.000672,0.906851
0.420433,0.017504,0.202567,0.005057,0.048642,0.000864,0.213704,0.000896,0.916292
0.416144,0.017441,0.202792,0.005280,0.048674,0.000800,0.206824,0.000768,0.905827
0.438482,0.017280,0.203432,0.004865,0.048737,0.000801,0.249065,0.000544,0.970630
0.420305,0.017601,0.203080,0.005024,0.049410,0.000800,0.213992,0.000544,0.918052
0.415632,0.017601,0.202728,0.005056,0.048834,0.000800,0.209608,0.000736,0.907619
0.419376,0.017601,0.222376,0.005185,0.048642,0.000800,0.211880,0.000736,0.934788
0.420720,0.017697,0.203272,0.005088,0.048706,0.000832,0.216136,0.000768,0.920261
0.416272,0.017473,0.202792,0.005024,0.048738,0.000800,0.219209,0.000704,0.919492
0.416849,0.017761,0.203656,0.004800,0.048706,0.000800,0.212456,0.000608,0.913412
0.420432,0.017537,0.202440,0.005024,0.048514,0.000832,0.207688,0.000673,0.909764
0.416688,0.017217,0.201992,0.004992,0.049122,0.000800,0.205288,0.000896,0.903555
0.420144,0.017313,0.202120,0.004928,0.047906,0.000832,0.196520,0.000736,0.897603
0.419952,0.017249,0.218729,0.005088,0.047298,0.000864,0.199367,0.000704,0.916708
0.420912,0.017345,0.201832,0.004832,0.047298,0.000768,0.191751,0.000576,0.891715
0.420465,0.017217,0.201799,0.004801,0.047361,0.000800,0.214920,0.000960,0.915236
0.420176,0.017345,0.201864,0.004800,0.047458,0.000768,0.192456,0.000672,0.892355
0.419985,0.017280,0.202152,0.005281,0.047265,0.000800,0.244425,0.000800,0.945157
0.415568,0.017473,0.202728,0.005184,0.047714,0.000768,0.204840,0.000544,0.902819
0.416464,0.017537,0.202440,0.004800,0.047202,0.000768,0.208520,0.000512,0.905411
0.420112,0.017473,0.219625,0.005312,0.047298,0.000800,0.196839,0.000640,0.914852
0.415537,0.017216,0.202792,0.005025,0.047521,0.000768,0.210121,0.000576,0.906276
0.421137,0.017280,0.202728,0.004769,0.047489,0.000736,0.215368,0.000640,0.917220
0.421905,0.017185,0.202440,0.004800,0.048834,0.000768,0.202664,0.000576,0.906180
0.420401,0.017440,0.201960,0.004833,0.049473,0.000833,0.224456,0.000704,0.927108
0.415824,0.017473,0.201864,0.004864,0.047970,0.000768,0.189223,0.000704,0.885282
0.415312,0.017632,0.201864,0.005024,0.047394,0.000768,0.204360,0.000544,0.899587
0.419761,0.017601,0.221160,0.005089,0.047169,0.000800,0.235274,0.000544,0.954662
0.419792,0.017665,0.202600,0.004896,0.047522,0.000768,0.212456,0.000544,0.913603
0.419856,0.017473,0.201704,0.004992,0.048770,0.001024,0.215048,0.000576,0.916995
0.415024,0.017601,0.202760,0.004768,0.049122,0.000800,0.191367,0.000544,0.888515
0.421136,0.017569,0.203912,0.004864,0.048482,0.000768,0.207304,0.000608,0.913475
0.416048,0.017505,0.203880,0.004928,0.048578,0.000832,0.193896,0.000544,0.893091
0.420977,0.017696,0.203112,0.004897,0.048482,0.000736,0.208872,0.000544,0.912260
0.421104,0.017440,0.217897,0.005312,0.049122,0.000800,0.210984,0.000672,0.930916
0.417392,0.017313,0.202664,0.004832,0.048610,0.000992,0.215017,0.000576,0.915748
0.416657,0.017728,0.202984,0.004833,0.048897,0.000737,0.196359,0.000608,0.898371
0.420848,0.017409,0.202728,0.005280,0.049922,0.000800,0.189640,0.000960,0.895235
0.415665,0.017568,0.203144,0.005153,0.049154,0.000800,0.206984,0.000608,0.908196
0.419824,0.017537,0.203944,0.005120,0.048514,0.000800,0.202760,0.000608,0.905955
0.417553,0.017601,0.202375,0.005024,0.048642,0.000800,0.208712,0.000960,0.908836
0.420208,0.035266,0.202280,0.005120,0.048674,0.000800,0.214632,0.000576,0.935716
0.416241,0.017664,0.203112,0.004993,0.048674,0.000800,0.207048,0.000800,0.906884
0.421553,0.017440,0.202216,0.005056,0.048450,0.000800,0.231177,0.000576,0.934501
0.421648,0.017729,0.202440,0.005088,0.049058,0.000800,0.219081,0.000640,0.942052
0.420336,0.017505,0.203048,0.004832,0.049058,0.000800,0.208840,0.000544,0.911747
0.416657,0.017313,0.203303,0.005313,0.048962,0.000832,0.203144,0.000576,0.903876
0.416080,0.017473,0.203304,0.004992,0.049250,0.000832,0.192104,0.000672,0.891395
0.441713,0.017601,0.202600,0.004864,0.048194,0.000800,0.217513,0.000512,0.941573
0.415696,0.017505,0.202760,0.005056,0.048834,0.000800,0.199400,0.000608,0.897507
0.419696,0.017473,0.202472,0.004800,0.048994,0.000800,0.207176,0.000736,0.909059
0.420689,0.017665,0.202312,0.004832,0.049602,0.000832,0.215272,0.000896,0.918564
0.415952,0.017601,0.202696,0.004800,0.047810,0.000832,0.209704,0.000672,0.907076
0.421008,0.017441,0.203688,0.004864,0.049282,0.000992,0.205160,0.000672,0.909635
0.420496,0.017537,0.202472,0.004864,0.049314,0.000832,0.189608,0.000992,0.892803
0.445105,0.017409,0.203464,0.005024,0.047938,0.000800,0.192712,0.000576,0.919460
0.416401,0.018176,0.202888,0.004801,0.047681,0.000800,0.199591,0.000800,0.899140
0.421008,0.017569,0.202056,0.005280,0.048610,0.000800,0.199048,0.000576,0.901763
0.416912,0.017761,0.203208,0.005088,0.049186,0.000800,0.221481,0.000672,0.924228
0.415825,0.017600,0.203432,0.005089,0.048929,0.000833,0.208616,0.000672,0.907716
0.420721,0.017505,0.202951,0.005121,0.048514,0.000800,0.205352,0.000704,0.908644
0.420240,0.017633,0.203144,0.005248,0.048706,0.000800,0.191047,0.000673,0.894179
0.436753,0.017665,0.204520,0.005088,0.048674,0.000832,0.201512,0.000576,0.923300
0.415632,0.017537,0.202344,0.005024,0.048546,0.000800,0.192392,0.000576,0.889539
0.418833,0.017249,0.201864,0.005216,0.048706,0.000832,0.206248,0.000608,0.906916
0.420304,0.017697,0.202280,0.004864,0.048610,0.000800,0.245866,0.000640,0.947973
0.416785,0.017472,0.202215,0.005057,0.048418,0.000768,0.228873,0.000544,0.927749
0.419952,0.017249,0.203048,0.004864,0.048770,0.000832,0.208008,0.000640,0.910307
0.420433,0.017697,0.203208,0.005248,0.048290,0.000832,0.205800,0.000608,0.909604
0.439761,0.017248,0.202536,0.005120,0.048834,0.000800,0.190216,0.000672,0.912580
0.420432,0.017248,0.202504,0.004800,0.048386,0.000832,0.192584,0.000576,0.894435
0.421072,0.017569,0.203144,0.004864,0.049154,0.000800,0.197960,0.000736,0.902019
0.416017,0.017664,0.203752,0.005121,0.048738,0.000832,0.224712,0.000672,0.924581
0.420593,0.017889,0.202504,0.004832,0.048450,0.000800,0.191623,0.000832,0.894531
0.422256,0.017569,0.205192,0.004928,0.048482,0.000800,0.190024,0.000576,0.898051
0.420273,0.017633,0.204584,0.004864,0.048450,0.000768,0.215176,0.000576,0.919428
0.439281,0.017601,0.203784,0.004896,0.048610,0.000800,0.214473,0.000640,0.938341
0.417776,0.017312,0.203368,0.005120,0.048194,0.000832,0.236042,0.000576,0.936133
0.421105,0.017472,0.203112,0.005217,0.048674,0.000832,0.207720,0.000704,0.912900
0.416240,0.017601,0.202856,0.004992,0.049186,0.001024,0.215241,0.000640,0.915076
0.416464,0.017249,0.202312,0.005056,0.048578,0.000768,0.214921,0.000608,0.913156
0.415568,0.018177,0.202504,0.005248,0.048482,0.000768,0.209736,0.000640,0.907651
0.416112,0.017249,0.202152,0.004992,0.048674,0.000768,0.218921,0.000640,0.917060
0.432593,0.018177,0.202440,0.005120,0.048642,0.000768,0.207432,0.000768,0.923525
0.416977,0.017569,0.202375,0.005025,0.048066,0.000800,0.188679,0.000576,0.887715
0.416880,0.017665,0.203240,0.005280,0.048642,0.000736,0.197640,0.000544,0.897251
0.415793,0.017569,0.202535,0.004800,0.068322,0.000832,0.197064,0.000928,0.915140
0.420016,0.017857,0.202632,0.005280,0.049602,0.000768,0.197224,0.000640,0.900995
0.417137,0.017600,0.202856,0.005025,0.048738,0.000832,0.189767,0.000608,0.890083
0.415921,0.017728,0.202664,0.005025,0.048930,0.000800,0.204392,0.000608,0.903204
0.439889,0.017697,0.203272,0.004800,0.048994,0.000832,0.210600,0.000672,0.933828
0.415665,0.017473,0.203144,0.005024,0.048738,0.001024,0.210888,0.000576,0.910148
0.415280,0.017473,0.203464,0.005056,0.048962,0.000800,0.210184,0.000736,0.909571
0.420945,0.017633,0.203112,0.005088,0.050114,0.000800,0.198919,0.000768,0.922117
0.420080,0.017409,0.203176,0.005024,0.048514,0.000768,0.197736,0.000576,0.900515
0.421552,0.017920,0.203208,0.004800,0.048961,0.000960,0.201128,0.000608,0.907683
0.420977,0.017504,0.202984,0.004833,0.048546,0.000800,0.208296,0.000672,0.912996
0.439665,0.017696,0.202664,0.004896,0.048290,0.000832,0.213961,0.000544,0.936389
0.415536,0.017760,0.203112,0.004832,0.048930,0.000800,0.217545,0.000672,0.916548
0.420593,0.017632,0.204232,0.005025,0.048610,0.000800,0.229641,0.000640,0.934117
0.419472,0.017440,0.219817,0.005056,0.047522,0.000768,0.199048,0.000544,0.918372
0.416112,0.017473,0.202120,0.004832,0.048674,0.000832,0.212681,0.000640,0.910340
0.420592,0.017665,0.202920,0.005056,0.048674,0.000832,0.216872,0.000576,0.920324
0.415248,0.017505,0.202536,0.005024,0.048450,0.000832,0.194632,0.000736,0.892675
0.420144,0.017249,0.202216,0.005056,0.048610,0.000832,0.207752,0.000704,0.910115
0.420017,0.017504,0.202696,0.005024,0.048866,0.000832,0.203496,0.000609,0.905636
0.421873,0.017473,0.204712,0.004768,0.048610,0.000800,0.202088,0.000704,0.908548
0.417776,0.017665,0.223561,0.005568,0.048738,0.000768,0.209768,0.000736,0.933956
0.416208,0.017761,0.203176,0.005120,0.048418,0.000832,0.207400,0.000576,0.907139
0.415760,0.017633,0.203592,0.004864,0.048738,0.000832,0.193896,0.000704,0.892419
0.416336,0.017408,0.202152,0.004800,0.048354,0.000864,0.205800,0.000672,0.902756
0.420721,0.017537,0.202087,0.004993,0.048642,0.000768,0.197159,0.000672,0.899331
0.416017,0.017248,0.202376,0.004832,0.047842,0.000576,0.205736,0.000512,0.901539
0.417968,0.017281,0.203880,0.004832,0.047458,0.001024,0.188423,0.000576,0.888419
0.445425,0.017601,0.203112,0.004992,0.046914,0.000800,0.200616,0.000544,0.927556
0.415024,0.017409,0.202888,0.004800,0.047330,0.000800,0.202536,0.000544,0.897955
0.420369,0.017377,0.202280,0.004768,0.047426,0.000768,0.184231,0.000608,0.884803
0.415633,0.017441,0.202375,0.004865,0.047586,0.000800,0.192935,0.000672,0.889987
0.419761,0.017216,0.202408,0.004769,0.047489,0.000768,0.195239,0.000576,0.895075
0.415697,0.017376,0.203208,0.004993,0.047554,0.000960,0.207624,0.000704,0.904260
0.419792,0.017249,0.202728,0.004832,0.047394,0.000800,0.184999,0.000544,0.885058
0.415824,0.017441,0.222889,0.005152,0.047618,0.000832,0.213288,0.000704,0.930436
0.419824,0.017665,0.202120,0.004896,0.047170,0.000832,0.192552,0.000512,0.891843
0.419856,0.017217,0.202056,0.004896,0.047202,0.000768,0.204360,0.000576,0.903395
0.421008,0.017409,0.202280,0.004800,0.047042,0.000800,0.222793,0.000512,0.922884
0.420657,0.017632,0.202056,0.004769,0.047809,0.000736,0.200488,0.000544,0.901699
0.420017,0.017505,0.203080,0.004864,0.047042,0.000832,0.202856,0.000544,0.903172
0.420176,0.017441,0.201960,0.005024,0.047746,0.001024,0.207112,0.000608,0.908355
0.415312,0.017505,0.221224,0.005120,0.047266,0.000768,0.206024,0.000577,0.920772
0.420592,0.017505,0.201992,0.004832,0.047554,0.000832,0.225417,0.000608,0.925892
0.419856,0.017409,0.202952,0.004800,0.047138,0.000800,0.208200,0.000544,0.908611
0.420081,0.017313,0.202407,0.004832,0.047266,0.000832,0.195719,0.000544,0.894915
0.415472,0.017441,0.202056,0.005280,0.046914,0.000768,0.239593,0.000480,0.934085
0.415824,0.017313,0.201992,0.005024,0.047490,0.000832,0.211336,0.000576,0.906659
0.417425,0.017793,0.203655,0.004768,0.047138,0.000800,0.206248,0.000768,0.906372
0.441329,0.017601,0.203080,0.005088,0.047138,0.000800,0.224489,0.000672,0.948229
0.416080,0.017281,0.202568,0.005248,0.047298,0.000768,0.203464,0.000832,0.901155
0.421681,0.017825,0.202376,0.005024,0.047746,0.000800,0.209576,0.000704,0.914372
0.422224,0.017505,0.203464,0.005248,0.048770,0.000800,0.235049,0.000961,0.941893
0.421040,0.017633,0.203464,0.005440,0.048514,0.000800,0.221001,0.000736,0.927396
0.420145,0.017536,0.203080,0.005249,0.048642,0.000864,0.221960,0.000640,0.925796
0.420433,0.017761,0.202408,0.005024,0.048674,0.000800,0.222984,0.000800,0.925989
0.431345,0.017537,0.202440,0.004800,0.048482,0.000800,0.218121,0.000544,0.931333
0.417297,0.017600,0.203176,0.004865,0.048737,0.000833,0.237001,0.000640,0.937893
0.417169,0.017536,0.203527,0.005249,0.048290,0.000896,0.218216,0.000640,0.919396
0.421232,0.017441,0.222793,0.005120,0.047938,0.000832,0.212264,0.000576,0.936324
0.416720,0.017761,0.204936,0.005056,0.048450,0.000768,0.212616,0.000577,0.914180
0.422449,0.017792,0.203112,0.005249,0.048578,0.000832,0.211144,0.000672,0.917508
0.417808,0.017345,0.202888,0.005344,0.048930,0.000768,0.203560,0.000704,0.904611
0.421360,0.017473,0.203144,0.004896,0.048610,0.000832,0.207400,0.000704,0.911619
0.421776,0.017760,0.202952,0.005216,0.049122,0.000800,0.212041,0.000736,0.917892
0.421521,0.017569,0.203272,0.004800,0.049058,0.000832,0.202504,0.000832,0.908228
0.434129,0.018017,0.203720,0.005280,0.049122,0.000800,0.223593,0.000736,0.943301
0.421744,0.017601,0.204296,0.005216,0.048578,0.000800,0.230601,0.000704,0.937924
0.423184,0.017664,0.203016,0.005248,0.048802,0.000800,0.201032,0.000640,0.907907
0.418864,0.017601,0.202504,0.004832,0.048386,0.000800,0.238570,0.000736,0.940389
0.420272,0.017696,0.202408,0.004864,0.048898,0.000768,0.207017,0.000576,0.910852
0.420496,0.018081,0.202024,0.004800,0.049250,0.000800,0.232265,0.000576,0.935812
0.419856,0.017217,0.201992,0.005440,0.048290,0.000832,0.206440,0.000544,0.907427
0.437201,0.017536,0.203591,0.004833,0.048514,0.000800,0.252010,0.000736,0.974086
0.421040,0.017408,0.202344,0.004992,0.049506,0.000800,0.204200,0.000544,0.907780
0.419985,0.017728,0.202600,0.005057,0.048322,0.000832,0.210248,0.000640,0.913220
0.415888,0.017793,0.224713,0.005216,0.048450,0.000832,0.205224,0.000640,0.926564
0.416304,0.017409,0.202376,0.005088,0.048738,0.000800,0.205448,0.000608,0.905091
0.420336,0.017473,0.202440,0.004800,0.050114,0.000800,0.220873,0.000704,0.925284
0.419729,0.018016,0.202376,0.004833,0.048865,0.000800,0.210888,0.000608,0.914756
0.439217,0.017728,0.201832,0.004864,0.048802,0.000864,0.211241,0.000640,0.932805
0.419441,0.017536,0.202952,0.004865,0.048417,0.000800,0.199879,0.000576,0.903171
0.420848,0.017473,0.202856,0.005344,0.048834,0.000992,0.213289,0.000704,0.917156
0.420337,0.017537,0.221864,0.005089,0.048641,0.000800,0.194599,0.000640,0.918308
0.421329,0.017697,0.202375,0.005056,0.048514,0.000832,0.205224,0.000576,0.909412
0.415536,0.017313,0.202760,0.005056,0.048258,0.000800,0.204840,0.000864,0.902371
0.417265,0.017697,0.202279,0.004833,0.048066,0.000800,0.206824,0.000832,0.905316
0.420049,0.017472,0.204008,0.005185,0.048386,0.000832,0.211752,0.000800,0.915524
0.419857,0.017600,0.203304,0.004833,0.049762,0.000800,0.214152,0.000832,0.918404
0.416240,0.017473,0.203560,0.004832,0.048290,0.000832,0.205352,0.000608,0.904099
0.421424,0.017377,0.224265,0.005088,0.047426,0.000800,0.217609,0.000800,0.943077
0.420721,0.017376,0.202344,0.004865,0.048417,0.000768,0.235274,0.000672,0.938053
0.421264,0.017600,0.202504,0.005216,0.047906,0.000864,0.194920,0.000576,0.897635
0.419888,0.017697,0.202280,0.004896,0.048514,0.000832,0.191272,0.000736,0.894307
0.421104,0.017761,0.202376,0.004864,0.048290,0.000800,0.206856,0.000768,0.910403
0.416336,0.017825,0.201960,0.004832,0.049154,0.000800,0.196168,0.000768,0.895715
0.420560,0.017761,0.202952,0.004992,0.048322,0.000800,0.215561,0.000768,0.919652
0.416593,0.048386,0.203432,0.005120,0.048642,0.000800,0.221737,0.000800,0.955206
0.421361,0.017409,0.202600,0.005024,0.048930,0.000800,0.196807,0.000704,0.901284
0.415600,0.017601,0.202760,0.005024,0.048322,0.000800,0.191016,0.000640,0.889859
0.420560,0.018145,0.203976,0.005024,0.048290,0.000800,0.194792,0.000704,0.900259
0.420049,0.018272,0.202472,0.004800,0.048417,0.000832,0.214025,0.000608,0.917028
0.420081,0.017536,0.203336,0.005152,0.048641,0.000832,0.209545,0.000576,0.912836
0.415856,0.017729,0.202952,0.005056,0.048418,0.000800,0.194568,0.000544,0.892707
0.439890,0.017856,0.202952,0.004865,0.047874,0.000864,0.202824,0.000576,0.925093
