Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-8],Layer[9],Layer[10],classifier
0.415632,0.017793,0.202696,0.005088,0.047586,0.000576,0.187655,0.001248,0.000384,0.886083
0.417329,0.017440,0.202376,0.004833,0.047233,0.000577,0.190279,0.001184,0.000384,0.888195
0.415408,0.017505,0.202055,0.005057,0.048546,0.000640,0.230985,0.001152,0.000416,0.929028
0.417392,0.017792,0.202664,0.005024,0.047842,0.000576,0.194408,0.001280,0.000416,0.895139
0.420112,0.017857,0.202696,0.005280,0.047682,0.000576,0.183399,0.001312,0.000352,0.886338
0.420465,0.018017,0.202440,0.004864,0.048226,0.000576,0.192455,0.001184,0.000416,0.895363
0.437394,0.017984,0.202952,0.004801,0.048897,0.000608,0.193319,0.001280,0.000416,0.914308
0.415280,0.017504,0.202152,0.005024,0.048322,0.000576,0.177959,0.001280,0.000384,0.875554
0.420305,0.017568,0.202183,0.005057,0.048258,0.000576,0.191623,0.001344,0.000384,0.895747
0.419696,0.017185,0.202408,0.004992,0.048258,0.000576,0.225641,0.001344,0.000448,0.927940
0.415888,0.017632,0.202632,0.004864,0.047746,0.000576,0.190568,0.001408,0.000384,0.889155
0.414928,0.017249,0.203144,0.004928,0.047618,0.000576,0.205128,0.001184,0.000384,0.901859
0.420273,0.017377,0.202056,0.004832,0.047202,0.000576,0.183495,0.001376,0.000352,0.884515
0.437649,0.017536,0.202408,0.005056,0.047298,0.000576,0.208361,0.001408,0.000384,0.930917
0.415728,0.017536,0.202952,0.005216,0.047842,0.000608,0.177191,0.001344,0.000384,0.876323
0.416945,0.017504,0.202408,0.005088,0.047682,0.000576,0.207368,0.001152,0.000384,0.905604
0.420016,0.017600,0.202760,0.004768,0.047746,0.000544,0.224425,0.001376,0.000384,0.926276
0.416049,0.017664,0.202631,0.005217,0.048354,0.000576,0.210792,0.001312,0.000416,0.909828
0.416912,0.017760,0.202056,0.005056,0.047426,0.000576,0.202408,0.001312,0.000416,0.900579
0.420017,0.017889,0.202087,0.005088,0.046978,0.000608,0.189991,0.001248,0.000416,0.890595
0.438801,0.017697,0.202216,0.004992,0.047234,0.000576,0.215624,0.001248,0.000384,0.935620
0.419825,0.017569,0.202888,0.004896,0.047490,0.000576,0.186535,0.001248,0.000384,0.888035
0.415088,0.017632,0.202536,0.004864,0.046818,0.000576,0.193352,0.001248,0.000320,0.889475
0.417617,0.017856,0.202856,0.005281,0.047329,0.000609,0.226568,0.001409,0.000416,0.927749
0.419921,0.017760,0.202632,0.004896,0.047874,0.000576,0.201416,0.001376,0.000384,0.904387
0.419921,0.017632,0.202344,0.005280,0.047778,0.000608,0.204040,0.001248,0.000385,0.906468
0.419601,0.017632,0.202984,0.005024,0.048450,0.000576,0.191720,0.001120,0.000384,0.894563
0.431217,0.017473,0.203368,0.005024,0.047586,0.000544,0.201544,0.001472,0.000352,0.916964
0.420304,0.017537,0.202216,0.005056,0.048450,0.000544,0.184967,0.001312,0.000385,0.888323
0.415121,0.017792,0.202600,0.004896,0.048290,0.000576,0.226985,0.001344,0.000448,0.925476
0.415664,0.017697,0.202280,0.004896,0.048642,0.000576,0.213288,0.001184,0.000384,0.911908
0.420208,0.017857,0.202408,0.005024,0.048930,0.000576,0.188999,0.001249,0.000352,0.892995
0.421745,0.017696,0.202408,0.005088,0.047970,0.000608,0.183080,0.001408,0.000384,0.887075
0.420401,0.017632,0.202248,0.005025,0.047937,0.000544,0.192264,0.001408,0.000416,0.895907
0.436337,0.017697,0.202248,0.005024,0.048962,0.000832,0.190727,0.001344,0.000448,0.911331
0.420144,0.017505,0.202248,0.005056,0.049314,0.000576,0.193799,0.001184,0.000416,0.896963
0.419792,0.017537,0.202568,0.005024,0.048802,0.000608,0.191752,0.001312,0.000352,0.894627
0.419729,0.017440,0.201864,0.005025,0.048834,0.000576,0.211560,0.001312,0.000384,0.915812
0.422353,0.017632,0.202023,0.005121,0.047650,0.000576,0.187079,0.001280,0.000352,0.890403
0.419888,0.017697,0.203816,0.005024,0.048098,0.000544,0.200808,0.001312,0.000352,0.904227
0.419633,0.017472,0.202056,0.005025,0.048097,0.000769,0.243817,0.001408,0.000448,0.945733
0.439537,0.017569,0.202472,0.005056,0.047362,0.000576,0.194727,0.001376,0.000448,0.918084
0.419569,0.017440,0.201992,0.004865,0.047265,0.000576,0.204520,0.001248,0.000416,0.904580
0.420336,0.017633,0.203048,0.005056,0.048386,0.000608,0.209448,0.001280,0.000384,0.915044
0.420432,0.017440,0.202088,0.004832,0.047906,0.000576,0.207880,0.001408,0.000384,0.911524
0.420240,0.017665,0.201992,0.005120,0.047522,0.000576,0.187912,0.001312,0.000384,0.889699
0.415569,0.017504,0.202024,0.005024,0.048450,0.000576,0.189960,0.001312,0.000480,0.888003
0.420304,0.017409,0.201832,0.005088,0.048066,0.000576,0.179591,0.001472,0.000448,0.883970
0.435953,0.017536,0.202151,0.005089,0.047714,0.000576,0.190695,0.001088,0.000384,0.908067
0.415921,0.017408,0.202343,0.005121,0.048034,0.000576,0.234857,0.001472,0.000416,0.934949
0.420977,0.017409,0.202184,0.004896,0.048578,0.000544,0.191239,0.001088,0.000320,0.893603
0.420112,0.017504,0.201864,0.004896,0.048546,0.000576,0.204392,0.001312,0.000384,0.907364
0.416784,0.017857,0.202920,0.005056,0.047746,0.000544,0.202632,0.001504,0.000416,0.904163
0.417681,0.017536,0.203496,0.004897,0.048162,0.000608,0.194567,0.001408,0.000352,0.896899
0.420432,0.017665,0.202760,0.005024,0.048098,0.000576,0.193960,0.001216,0.000352,0.897251
0.433169,0.017313,0.203016,0.004928,0.048962,0.000576,0.198248,0.001280,0.000352,0.915620
0.419696,0.017633,0.202536,0.004992,0.048354,0.000576,0.193576,0.001280,0.000352,0.896195
0.418673,0.017472,0.202951,0.004833,0.047682,0.000544,0.185447,0.001248,0.000384,0.887075
0.420368,0.017505,0.202344,0.004800,0.047682,0.000608,0.208136,0.001376,0.000384,0.910563
0.415408,0.017665,0.203048,0.004832,0.048802,0.000608,0.191048,0.001248,0.000384,0.891043
0.415408,0.017473,0.202344,0.004864,0.048802,0.000576,0.187528,0.001216,0.000352,0.886627
0.415120,0.017440,0.202120,0.004864,0.047394,0.000576,0.191336,0.001216,0.000384,0.887747
0.431889,0.017792,0.204904,0.005120,0.048161,0.000576,0.205608,0.001312,0.000384,0.925477
0.416400,0.017537,0.203016,0.005024,0.048162,0.000576,0.191239,0.001280,0.000384,0.892099
0.416625,0.017632,0.203112,0.004896,0.047489,0.000608,0.183752,0.001344,0.000384,0.883043
0.420465,0.017504,0.202696,0.004865,0.047969,0.000576,0.219497,0.001312,0.000384,0.922884
0.421137,0.017408,0.202984,0.005121,0.048514,0.000640,0.190919,0.001312,0.000288,0.895907
0.419152,0.017409,0.203176,0.005024,0.047970,0.000576,0.195720,0.001216,0.000384,0.897923
0.420881,0.017536,0.202536,0.005056,0.048641,0.000576,0.183720,0.001344,0.000384,0.887043
0.437329,0.017537,0.202344,0.005056,0.048354,0.000800,0.210760,0.001409,0.000448,0.932101
0.420496,0.017537,0.202824,0.005024,0.048802,0.000608,0.190920,0.001472,0.000384,0.894627
0.420177,0.017888,0.201864,0.005056,0.047394,0.000576,0.183016,0.001248,0.000384,0.884163
0.417392,0.017760,0.204776,0.005184,0.047169,0.000576,0.221833,0.001664,0.000416,0.925668
0.416240,0.017920,0.202792,0.004961,0.048353,0.000576,0.176487,0.001216,0.000384,0.878563
0.420337,0.017632,0.202280,0.005344,0.047586,0.000544,0.185000,0.001248,0.000384,0.886851
0.419633,0.017408,0.202632,0.004992,0.048610,0.000576,0.195880,0.001248,0.000352,0.898627
0.433073,0.017472,0.202472,0.005152,0.047938,0.000576,0.201448,0.001280,0.000352,0.916740
0.416368,0.017409,0.202440,0.005024,0.048674,0.000576,0.186919,0.001280,0.000352,0.886754
0.415728,0.017921,0.202119,0.005056,0.048450,0.000768,0.203368,0.001280,0.000384,0.901988
0.416304,0.017472,0.202024,0.005056,0.048290,0.000640,0.228649,0.001440,0.000320,0.927236
0.415856,0.017665,0.201992,0.005248,0.048418,0.000576,0.195848,0.001248,0.000352,0.894499
0.419376,0.017345,0.202536,0.005120,0.048802,0.000576,0.204936,0.001120,0.000384,0.907363
0.417424,0.017569,0.203944,0.005088,0.048578,0.000576,0.193640,0.001472,0.000416,0.897059
0.440401,0.017761,0.203816,0.005088,0.047906,0.000544,0.205992,0.001536,0.000416,0.931524
0.420624,0.017537,0.202696,0.005120,0.047842,0.000800,0.192904,0.001408,0.000416,0.897251
0.420433,0.017696,0.201927,0.004897,0.048130,0.000576,0.187591,0.001184,0.000320,0.890051
0.420337,0.017408,0.202504,0.005089,0.047521,0.000800,0.208104,0.001440,0.000352,0.910052
0.420689,0.017472,0.202600,0.005057,0.048065,0.000544,0.194472,0.001184,0.000384,0.897923
0.420784,0.017601,0.203176,0.005024,0.048386,0.000608,0.181799,0.001440,0.000320,0.886754
0.420464,0.017441,0.203208,0.004896,0.048450,0.000576,0.180327,0.001376,0.000448,0.884098
0.439505,0.017857,0.202535,0.004897,0.048610,0.000576,0.180551,0.001344,0.000352,0.903299
0.419889,0.017633,0.202824,0.004896,0.047554,0.000608,0.197703,0.001281,0.000384,0.899780
0.416368,0.017345,0.202088,0.004864,0.047170,0.000576,0.184775,0.001280,0.000384,0.883234
0.420689,0.017440,0.202856,0.005025,0.048129,0.000577,0.229032,0.001568,0.000416,0.933829
0.416144,0.017473,0.202472,0.004896,0.047778,0.000576,0.185415,0.001216,0.000384,0.883074
0.420497,0.017473,0.202024,0.004832,0.048194,0.000576,0.186247,0.001408,0.000416,0.890563
0.415984,0.017537,0.202408,0.005024,0.047906,0.000608,0.195879,0.001440,0.000448,0.895395
0.436433,0.017761,0.202600,0.005056,0.048066,0.000576,0.194568,0.001120,0.000416,0.913348
0.420176,0.017473,0.202152,0.005152,0.048866,0.000576,0.186632,0.001472,0.000384,0.890179
0.420016,0.017569,0.203336,0.004928,0.047842,0.000576,0.201992,0.001280,0.000384,0.905187
0.420113,0.018144,0.202376,0.004960,0.048450,0.000544,0.234378,0.001280,0.000512,0.937413
0.416560,0.017889,0.202472,0.004864,0.047714,0.000576,0.188840,0.001248,0.000352,0.889027
0.418769,0.017953,0.202504,0.004896,0.048322,0.000608,0.202312,0.001280,0.000416,0.905636
0.419888,0.017633,0.202824,0.004864,0.047362,0.000608,0.176871,0.001152,0.000384,0.878690
0.438481,0.017633,0.203304,0.005024,0.048162,0.000576,0.193096,0.001280,0.000384,0.915556
0.415792,0.017505,0.201992,0.005088,0.048194,0.000576,0.182887,0.001152,0.000384,0.880483
0.415664,0.017761,0.202088,0.005024,0.047650,0.000576,0.202376,0.001440,0.000416,0.900803
0.419792,0.017729,0.202952,0.005120,0.047554,0.000576,0.206792,0.001248,0.000384,0.909283
0.416177,0.017505,0.202247,0.004897,0.048034,0.000576,0.223464,0.001312,0.000352,0.921957
0.420241,0.017504,0.202696,0.004865,0.047969,0.000576,0.189383,0.001536,0.000512,0.893475
0.416368,0.017729,0.203208,0.005088,0.048226,0.000576,0.194023,0.001376,0.000384,0.893763
0.445874,0.017632,0.202311,0.005121,0.048162,0.000544,0.219816,0.001440,0.000480,0.948325
0.417713,0.017569,0.204008,0.005120,0.048418,0.000576,0.193287,0.001376,0.000416,0.897955
0.415697,0.017408,0.203272,0.005057,0.048290,0.000576,0.189927,0.001120,0.000384,0.889123
0.420944,0.017441,0.202952,0.005024,0.048066,0.000576,0.211688,0.001440,0.000416,0.915748
0.420336,0.017441,0.202472,0.004864,0.047874,0.000576,0.193640,0.001120,0.000384,0.895715
0.415760,0.017856,0.202504,0.005120,0.048130,0.000576,0.197800,0.001472,0.000416,0.897155
0.415568,0.017697,0.202536,0.005056,0.048162,0.000576,0.188551,0.001280,0.000352,0.886882
0.437745,0.017665,0.202216,0.004928,0.047970,0.000576,0.200232,0.001248,0.000416,0.921892
0.415344,0.017664,0.202472,0.004896,0.048354,0.000608,0.185608,0.001344,0.000352,0.885859
0.415728,0.017665,0.202408,0.004832,0.049730,0.000608,0.198344,0.001440,0.000416,0.900963
0.420689,0.017665,0.202824,0.005056,0.049474,0.000576,0.233737,0.001248,0.000384,0.942405
0.416273,0.017664,0.202344,0.005024,0.048322,0.000576,0.197288,0.001280,0.000384,0.897283
0.415824,0.018017,0.202472,0.004832,0.048386,0.000576,0.194792,0.001472,0.000384,0.896835
0.420432,0.017600,0.202984,0.005152,0.049282,0.000576,0.190184,0.001504,0.000416,0.896739
0.434993,0.017665,0.203624,0.005024,0.047170,0.000576,0.202376,0.001312,0.000416,0.922052
0.416368,0.017505,0.202472,0.004832,0.048514,0.000576,0.198664,0.001408,0.000416,0.900259
0.420561,0.017729,0.202280,0.004864,0.048482,0.000576,0.197735,0.001408,0.000416,0.902340
0.419856,0.017505,0.220713,0.005280,0.048482,0.000576,0.197672,0.001376,0.000320,0.921956
0.419984,0.017345,0.202504,0.004832,0.049218,0.000576,0.183655,0.001280,0.000384,0.888355
0.420592,0.017601,0.203016,0.005056,0.047810,0.000544,0.189767,0.001377,0.000352,0.894435
0.421872,0.017537,0.203816,0.005120,0.048802,0.000576,0.194248,0.001344,0.000352,0.902531
0.417200,0.017633,0.204008,0.005056,0.048546,0.000608,0.199848,0.001440,0.000384,0.905635
0.416368,0.017537,0.202472,0.005024,0.048706,0.000576,0.197064,0.001344,0.000384,0.896771
0.415888,0.017697,0.202472,0.005024,0.047970,0.000576,0.195240,0.001376,0.000352,0.895779
0.420177,0.017536,0.217736,0.005184,0.048802,0.000576,0.195656,0.001344,0.000416,0.915332
0.415408,0.017697,0.202632,0.005056,0.048706,0.000544,0.204392,0.001536,0.000384,0.905955
0.421072,0.017793,0.202504,0.005024,0.048290,0.000576,0.192968,0.001344,0.000352,0.897315
0.415088,0.017728,0.202408,0.004992,0.048834,0.000544,0.182856,0.001504,0.000384,0.882211
0.415632,0.017569,0.202920,0.004992,0.048194,0.000576,0.194599,0.001408,0.000448,0.894275
0.420657,0.017473,0.202439,0.005089,0.048674,0.000576,0.197703,0.001568,0.000352,0.902916
0.416080,0.017761,0.203752,0.005088,0.048738,0.000800,0.194023,0.001312,0.000384,0.895203
0.449713,0.017953,0.202632,0.005088,0.048322,0.000608,0.220809,0.001504,0.000416,0.957669
0.420881,0.017632,0.202760,0.005057,0.049153,0.000608,0.200775,0.001377,0.000320,0.907012
0.420464,0.017505,0.202312,0.005056,0.047682,0.000608,0.212008,0.001408,0.000480,0.915939
0.419985,0.017664,0.202151,0.005121,0.048258,0.000544,0.214696,0.001344,0.000416,0.917668
0.416080,0.017601,0.202856,0.005216,0.048610,0.000576,0.196616,0.001504,0.000384,0.897507
0.420112,0.017697,0.202664,0.005024,0.047522,0.000576,0.194408,0.001312,0.000320,0.896707
0.416464,0.017473,0.202344,0.005056,0.048162,0.000544,0.199016,0.001376,0.000352,0.898403
0.435473,0.017505,0.202248,0.005120,0.049058,0.000576,0.196743,0.001408,0.000416,0.917860
0.419952,0.018017,0.202632,0.005248,0.048290,0.000576,0.194856,0.001344,0.000384,0.899395
0.416208,0.017601,0.202216,0.004800,0.048898,0.000576,0.199240,0.001600,0.000416,0.900035
0.421617,0.017729,0.202151,0.005057,0.048706,0.000608,0.219720,0.001472,0.000384,0.925060
0.420721,0.017696,0.202216,0.005025,0.048098,0.000576,0.212008,0.001472,0.000416,0.915652
0.421072,0.017760,0.202184,0.005120,0.048194,0.000608,0.195784,0.001472,0.000416,0.900995
0.415600,0.017697,0.202376,0.005056,0.048322,0.000576,0.199816,0.001536,0.000384,0.898627
0.440210,0.017824,0.202056,0.004896,0.048706,0.000544,0.194920,0.001344,0.000352,0.919428
0.420176,0.017601,0.202600,0.005184,0.049474,0.000576,0.195080,0.001344,0.000384,0.901315
0.415568,0.017889,0.202312,0.005120,0.048514,0.000544,0.221481,0.001312,0.000352,0.921316
0.420208,0.017697,0.220425,0.005216,0.048258,0.000576,0.200616,0.001376,0.000352,0.922948
0.415953,0.017760,0.202184,0.004865,0.048385,0.000544,0.189576,0.001376,0.000416,0.888515
0.415824,0.017537,0.202984,0.005152,0.047650,0.000544,0.218793,0.001504,0.000480,0.920836
0.420945,0.017504,0.202184,0.005057,0.048385,0.000577,0.184647,0.001344,0.000352,0.888867
0.415953,0.017537,0.201927,0.005025,0.048610,0.000576,0.189127,0.001472,0.000416,0.889571
0.415793,0.017600,0.203240,0.005185,0.047777,0.000608,0.197800,0.001248,0.000352,0.897187
0.415920,0.017473,0.202088,0.005024,0.047970,0.000576,0.191783,0.001408,0.000384,0.889858
0.415792,0.017729,0.220904,0.005216,0.048258,0.000544,0.193992,0.001376,0.000384,0.912387
0.415376,0.017729,0.204200,0.004864,0.048962,0.000544,0.187047,0.001408,0.000352,0.887907
0.419824,0.017601,0.202248,0.005280,0.047970,0.000576,0.191431,0.001472,0.000448,0.895075
0.416880,0.017921,0.202984,0.004960,0.048386,0.000576,0.205768,0.001568,0.000352,0.906564
0.419985,0.017600,0.202312,0.004897,0.048353,0.000577,0.198567,0.001440,0.000384,0.901475
0.415344,0.017633,0.203496,0.005056,0.048194,0.000544,0.188999,0.001440,0.000448,0.889571
0.420080,0.017825,0.202408,0.005024,0.048290,0.000576,0.181799,0.001312,0.000352,0.885122
0.415280,0.017505,0.224872,0.005248,0.047970,0.000544,0.190599,0.001248,0.000416,0.911747
0.419760,0.017793,0.202280,0.004992,0.049122,0.000544,0.188679,0.001248,0.000384,0.891490
0.415760,0.017601,0.202504,0.005024,0.047650,0.000544,0.198472,0.001408,0.000416,0.896931
0.420369,0.017408,0.202216,0.005056,0.046914,0.000608,0.201864,0.001216,0.000352,0.902723
0.415568,0.017569,0.201992,0.005024,0.047554,0.000544,0.189063,0.001440,0.000384,0.887683
0.420144,0.017441,0.202312,0.005088,0.046882,0.000608,0.206120,0.001184,0.000320,0.907715
0.420240,0.017441,0.202376,0.005056,0.047330,0.000576,0.218953,0.001312,0.000352,0.921060
0.414897,0.017472,0.233706,0.004992,0.046850,0.000544,0.197127,0.001248,0.000384,0.924293
0.416017,0.017665,0.202695,0.005089,0.046818,0.000576,0.197319,0.001472,0.000448,0.895651
0.420305,0.017664,0.202536,0.005056,0.047041,0.000608,0.181768,0.001408,0.000320,0.883683
0.421744,0.017729,0.202568,0.005184,0.047106,0.000576,0.232393,0.001152,0.000352,0.935492
0.420912,0.017537,0.201864,0.004896,0.046850,0.000576,0.187847,0.001312,0.000416,0.889442
0.415792,0.017505,0.202120,0.005184,0.047074,0.000576,0.195240,0.001472,0.000384,0.892419
0.415409,0.017696,0.202248,0.005088,0.046818,0.000608,0.191208,0.001120,0.000384,0.887171
0.421329,0.017632,0.222601,0.005312,0.046914,0.000544,0.223337,0.001344,0.000416,0.948261
0.420081,0.017249,0.202216,0.005056,0.046850,0.000576,0.189191,0.001312,0.000384,0.889571
0.419728,0.017473,0.201928,0.005120,0.046946,0.000768,0.180359,0.001248,0.000352,0.879842
0.419729,0.017441,0.202599,0.004961,0.046818,0.000576,0.178919,0.001344,0.000448,0.879619
0.416017,0.017793,0.202375,0.005057,0.046882,0.000576,0.179335,0.001504,0.000416,0.877667
0.420272,0.017569,0.202440,0.005024,0.047074,0.000608,0.187271,0.001280,0.000384,0.888835
0.415568,0.017633,0.202376,0.005056,0.046946,0.000576,0.185543,0.001184,0.000352,0.881730
0.420336,0.017633,0.222409,0.005024,0.046914,0.000576,0.184039,0.001376,0.000384,0.907459
0.415505,0.017440,0.202120,0.005121,0.047265,0.000577,0.184999,0.001280,0.000352,0.882179
0.415312,0.017569,0.202600,0.005248,0.047778,0.000576,0.206024,0.001152,0.000352,0.902819
0.414928,0.017665,0.202280,0.004864,0.047490,0.000576,0.178151,0.001152,0.000352,0.875074
0.428464,0.017824,0.201992,0.004832,0.047298,0.000800,0.191784,0.001280,0.000352,0.901187
0.416017,0.017472,0.202888,0.004865,0.047745,0.000576,0.194728,0.001408,0.000256,0.893731
0.415600,0.017569,0.202088,0.004736,0.047330,0.000544,0.218696,0.001120,0.000352,0.916131
0.420465,0.017473,0.202760,0.005088,0.065538,0.000832,0.189735,0.001408,0.000384,0.913412
0.422097,0.017665,0.203176,0.005120,0.047746,0.000576,0.208360,0.001312,0.000384,0.914372
0.415281,0.018336,0.202152,0.004929,0.048289,0.000608,0.216552,0.001248,0.000384,0.915204
0.415056,0.017889,0.202376,0.005120,0.047906,0.000544,0.179911,0.001600,0.000384,0.879458
0.433393,0.017697,0.203336,0.005120,0.048930,0.000544,0.205608,0.001473,0.000448,0.926725
0.420272,0.017537,0.203528,0.005088,0.049922,0.000832,0.194440,0.001408,0.000352,0.901347
0.420273,0.017729,0.203304,0.005024,0.047970,0.000512,0.202696,0.001280,0.000384,0.906692
0.415952,0.017569,0.220809,0.005248,0.048610,0.000608,0.196488,0.001440,0.000384,0.915524
0.420432,0.017729,0.202184,0.005344,0.048354,0.000576,0.200616,0.001344,0.000384,0.904259
0.415537,0.017632,0.202088,0.005057,0.048226,0.000544,0.239593,0.001504,0.000384,0.939397
0.417104,0.017761,0.202664,0.005056,0.047970,0.000832,0.202664,0.001440,0.000352,0.904003
0.420305,0.017729,0.202472,0.005088,0.048162,0.000544,0.195495,0.001409,0.000352,0.899108
0.420209,0.017408,0.202248,0.005025,0.048737,0.000545,0.197703,0.001408,0.000320,0.901123
0.419985,0.017793,0.202632,0.005152,0.047842,0.000672,0.201096,0.001312,0.000384,0.904228
0.416336,0.033922,0.203400,0.005152,0.048482,0.000576,0.199464,0.001440,0.000416,0.917636
0.421713,0.017729,0.204008,0.004992,0.049346,0.000544,0.194183,0.001345,0.000352,0.901668
0.416593,0.017664,0.202792,0.005089,0.049026,0.000576,0.195559,0.001312,0.000416,0.896387
0.420720,0.017536,0.201928,0.005056,0.049314,0.000608,0.193896,0.001408,0.000416,0.898787
0.425201,0.017697,0.206760,0.005248,0.049730,0.001024,0.232841,0.001952,0.000416,0.952357
0.423025,0.017792,0.203752,0.005057,0.047906,0.000928,0.229737,0.002144,0.000480,0.940933
0.423984,0.017793,0.205160,0.005376,0.049314,0.001024,0.270411,0.003008,0.000608,0.990150
0.416656,0.017952,0.204520,0.005281,0.048321,0.000832,0.199464,0.001696,0.000481,0.904772
0.420272,0.017921,0.203944,0.005184,0.048002,0.000576,0.185223,0.001824,0.000481,0.891875
0.422065,0.017792,0.202952,0.005601,0.048002,0.000544,0.180839,0.001824,0.000448,0.887331
0.416049,0.017825,0.223560,0.005441,0.048161,0.000576,0.206409,0.001472,0.000448,0.928453
0.420529,0.017504,0.202535,0.005057,0.047842,0.000608,0.188199,0.001280,0.000384,0.891139
0.416528,0.017633,0.203080,0.005056,0.047970,0.000768,0.195816,0.001472,0.000704,0.896547
0.415952,0.017729,0.203176,0.005248,0.048194,0.000544,0.192871,0.001216,0.000608,0.892706
0.415697,0.017408,0.202344,0.005089,0.048385,0.000737,0.188999,0.001184,0.000640,0.888483
0.420848,0.017441,0.202664,0.005216,0.048802,0.000576,0.188904,0.001344,0.000608,0.893315
0.416048,0.017664,0.204104,0.005216,0.048674,0.000768,0.200072,0.001248,0.000384,0.902307
0.416752,0.017633,0.217192,0.005153,0.048417,0.000576,0.193479,0.001344,0.000352,0.907843
0.415248,0.017441,0.202280,0.004928,0.047714,0.000544,0.192423,0.001504,0.000416,0.889058
0.420368,0.017633,0.203016,0.004928,0.047650,0.000576,0.188903,0.001216,0.000608,0.891523
0.416464,0.017761,0.202280,0.004960,0.047394,0.000576,0.202120,0.001376,0.000416,0.900483
0.416273,0.017408,0.202664,0.005504,0.047681,0.000544,0.211113,0.001472,0.000480,0.910116
0.415632,0.017664,0.202280,0.004928,0.047042,0.000544,0.223305,0.001184,0.000416,0.919620
0.416432,0.017537,0.202472,0.005024,0.046850,0.000576,0.229097,0.001376,0.000448,0.926276
0.420944,0.017409,0.223657,0.005440,0.047010,0.000576,0.208840,0.001344,0.000576,0.933156
0.415537,0.017472,0.202632,0.005120,0.046850,0.000576,0.197800,0.001472,0.000416,0.894307
0.417296,0.017729,0.203528,0.005120,0.047170,0.000736,0.194152,0.001440,0.000480,0.895587
0.416400,0.017504,0.202760,0.004992,0.047330,0.000576,0.190728,0.001472,0.000672,0.889539
0.420433,0.017921,0.202183,0.004928,0.046882,0.000608,0.187303,0.001248,0.000416,0.888131
0.420689,0.017505,0.202599,0.005120,0.047074,0.000768,0.214600,0.001472,0.000640,0.919556
0.415728,0.017697,0.202440,0.005120,0.048034,0.000800,0.188680,0.001408,0.000384,0.887171
0.420081,0.017536,0.224489,0.005184,0.047842,0.000544,0.237610,0.001280,0.000384,0.962054
0.415344,0.017569,0.202344,0.004928,0.047330,0.000640,0.183847,0.001248,0.000384,0.880226
0.415504,0.017473,0.202919,0.005056,0.047042,0.000800,0.205800,0.001216,0.000416,0.903012
0.415057,0.017568,0.202184,0.004897,0.046785,0.000576,0.207337,0.001088,0.000384,0.902564
0.420240,0.017825,0.202632,0.005344,0.048290,0.000832,0.200680,0.001408,0.000480,0.905379
0.416400,0.017761,0.203112,0.005120,0.047682,0.000736,0.190184,0.001184,0.000320,0.889123
0.420464,0.017696,0.202504,0.005024,0.047554,0.000576,0.193352,0.001248,0.000608,0.895779
0.416241,0.017408,0.222569,0.005216,0.047650,0.000576,0.213641,0.001248,0.000384,0.931813
0.420656,0.017441,0.202312,0.004992,0.047650,0.000576,0.219401,0.001280,0.000384,0.921700
0.414864,0.017665,0.201896,0.004800,0.047042,0.000576,0.185543,0.001472,0.000448,0.882019
0.420337,0.017600,0.202664,0.004800,0.046818,0.000576,0.185576,0.001472,0.000448,0.888547
0.415568,0.017665,0.202984,0.005120,0.046722,0.000576,0.204488,0.001408,0.000480,0.903523
0.415920,0.017665,0.203368,0.004928,0.046850,0.000768,0.195687,0.001280,0.000384,0.893539
0.420176,0.017281,0.203080,0.004832,0.046818,0.000544,0.186599,0.001376,0.000608,0.888130
0.416752,0.017377,0.217928,0.005409,0.046977,0.000576,0.186504,0.001344,0.000384,0.901475
0.421360,0.017601,0.202536,0.005312,0.047874,0.000576,0.196104,0.001344,0.000384,0.899683
0.420177,0.017281,0.202728,0.005056,0.047938,0.000576,0.186727,0.001184,0.000384,0.888611
0.420049,0.017249,0.202023,0.005089,0.047554,0.000608,0.188647,0.001312,0.000416,0.890147
0.417072,0.017505,0.202440,0.005344,0.047170,0.000544,0.185703,0.001408,0.000448,0.884643
0.415664,0.017505,0.202408,0.005024,0.046722,0.000800,0.187976,0.001312,0.000416,0.884643
0.420496,0.017377,0.203144,0.005056,0.046850,0.000576,0.223209,0.001280,0.000608,0.925636
0.416272,0.017569,0.225769,0.005216,0.046850,0.000544,0.187495,0.001217,0.000384,0.909156
0.420176,0.017377,0.202440,0.005120,0.046754,0.000576,0.189799,0.001216,0.000385,0.890595
0.415824,0.017185,0.202472,0.004832,0.046786,0.000544,0.183751,0.001376,0.000448,0.879586
0.418832,0.017473,0.202824,0.005280,0.046850,0.000576,0.189511,0.001312,0.000384,0.890722
0.433937,0.017473,0.202120,0.004800,0.046882,0.000576,0.192200,0.001216,0.000384,0.906596
0.415664,0.017665,0.202312,0.005120,0.046978,0.000768,0.185863,0.001281,0.000640,0.882819
0.415216,0.017409,0.202152,0.004864,0.046786,0.000608,0.208904,0.001280,0.000416,0.904419
0.416144,0.017313,0.220296,0.005408,0.047617,0.000736,0.182536,0.001440,0.000640,0.899747
0.415920,0.017217,0.202664,0.005088,0.046882,0.000480,0.201512,0.001440,0.000480,0.898467
0.420081,0.017441,0.202535,0.004833,0.046786,0.000576,0.218344,0.001408,0.000672,0.919556
0.415600,0.017569,0.203752,0.005024,0.046914,0.000576,0.198984,0.001248,0.000384,0.896707
