Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],TEE[6-8],Layer[9],Layer[10],classifier
0.420848,0.017921,0.202696,0.005056,0.046914,0.000576,0.197960,0.001280,0.000384,0.900643
0.416113,0.017889,0.202119,0.005057,0.046785,0.000544,0.185511,0.001312,0.000384,0.882531
0.432465,0.017888,0.202280,0.005088,0.046946,0.000608,0.239434,0.001408,0.000384,0.953029
0.420689,0.017696,0.202216,0.005025,0.047649,0.000577,0.200455,0.001248,0.000384,0.902852
0.421137,0.017504,0.202152,0.005056,0.047010,0.000576,0.194696,0.001312,0.000352,0.896835
0.415856,0.017505,0.219592,0.005120,0.047105,0.000544,0.201640,0.001408,0.000352,0.917283
0.415729,0.017568,0.202152,0.005184,0.047362,0.000576,0.196840,0.001408,0.000384,0.894339
0.421424,0.017569,0.202056,0.005088,0.047330,0.000576,0.196520,0.001408,0.000416,0.899363
0.421296,0.017889,0.202024,0.005056,0.046850,0.000576,0.186823,0.001408,0.000416,0.889379
0.416369,0.017504,0.202376,0.005024,0.047010,0.000544,0.197256,0.001408,0.000384,0.894979
0.415664,0.017728,0.202824,0.005056,0.047426,0.000576,0.201000,0.001440,0.000352,0.899299
0.421201,0.017729,0.202375,0.005185,0.046946,0.000544,0.193767,0.001216,0.000384,0.896131
0.420304,0.017473,0.220073,0.005088,0.046946,0.000608,0.219144,0.001312,0.000416,0.938821
1.184910,0.017665,0.381359,0.005024,0.086596,0.000608,0.315500,0.001408,0.000416,2.001038
0.420112,0.017665,0.204136,0.004896,0.047330,0.000544,0.210696,0.001473,0.000448,0.916004
0.420176,0.017633,0.202984,0.004864,0.047490,0.000768,0.192616,0.001248,0.000352,0.895107
0.420433,0.018464,0.202312,0.005025,0.047233,0.000544,0.200104,0.001504,0.000448,0.904324
0.420208,0.017921,0.202600,0.005056,0.048866,0.000576,0.198856,0.001312,0.000384,0.903043
0.438417,0.017825,0.202120,0.004896,0.048610,0.000576,0.194247,0.001345,0.000416,0.915556
0.419793,0.017664,0.202312,0.004928,0.048642,0.000576,0.197032,0.001408,0.000480,0.900259
0.420401,0.017792,0.202664,0.005281,0.048034,0.000576,0.187239,0.001280,0.000352,0.891747
0.421073,0.017601,0.202375,0.005057,0.047234,0.000576,0.220808,0.001344,0.000384,0.923684
0.416496,0.017633,0.202152,0.004992,0.047554,0.000608,0.213448,0.001280,0.000352,0.911491
0.420048,0.017633,0.202312,0.005088,0.046818,0.000608,0.194696,0.001248,0.000352,0.895555
0.420049,0.017665,0.202600,0.004768,0.047074,0.000576,0.191367,0.001248,0.000384,0.892899
0.437585,0.017601,0.202248,0.004832,0.047138,0.000608,0.196616,0.001248,0.000384,0.915620
0.416145,0.017920,0.202215,0.005025,0.047522,0.000576,0.196999,0.001312,0.000384,0.895971
0.420625,0.017537,0.202472,0.004928,0.048674,0.000640,0.193831,0.001345,0.000416,0.897636
0.416080,0.017857,0.202504,0.004992,0.068098,0.000833,0.190503,0.001344,0.000416,0.909795
0.415889,0.017664,0.201992,0.004928,0.048417,0.000576,0.203624,0.001217,0.000352,0.901284
0.415313,0.017472,0.202408,0.005024,0.047937,0.000608,0.191784,0.001408,0.000416,0.889635
0.415792,0.017441,0.201960,0.004864,0.048642,0.000608,0.188552,0.001280,0.000416,0.886755
0.439954,0.017472,0.202184,0.005057,0.048097,0.000576,0.197447,0.001312,0.000416,0.919524
0.415984,0.017633,0.202184,0.005216,0.047618,0.000576,0.189127,0.001280,0.000416,0.886722
0.420528,0.017665,0.202344,0.005088,0.046722,0.000544,0.203720,0.001216,0.000384,0.905315
0.415920,0.017473,0.202152,0.005056,0.064610,0.000897,0.226472,0.001441,0.000480,0.943781
0.420016,0.017953,0.203048,0.005056,0.046818,0.000608,0.195752,0.001504,0.000416,0.898915
0.419953,0.017760,0.202248,0.004897,0.047073,0.000576,0.193576,0.001280,0.000384,0.894819
0.420433,0.017888,0.202056,0.004897,0.046881,0.000608,0.189224,0.001280,0.000352,0.890563
0.438897,0.017248,0.202088,0.004897,0.048834,0.000576,0.186247,0.001248,0.000352,0.907555
0.420496,0.017633,0.202312,0.005088,0.048194,0.000544,0.198280,0.001312,0.000416,0.901763
0.420336,0.017377,0.202248,0.005152,0.048002,0.000576,0.193960,0.001312,0.000320,0.896483
0.419921,0.017537,0.220968,0.005024,0.047106,0.000608,0.187816,0.001248,0.000352,0.907844
0.420177,0.017376,0.202824,0.004864,0.047170,0.000576,0.228393,0.001280,0.000352,0.929796
0.416528,0.017281,0.202248,0.004896,0.046978,0.000544,0.182247,0.001376,0.000384,0.879458
0.419921,0.017408,0.202472,0.004896,0.046850,0.000608,0.193096,0.001344,0.000448,0.894499
0.440689,0.017505,0.202984,0.004960,0.047746,0.000608,0.191591,0.001312,0.000417,0.915940
0.420272,0.017825,0.202024,0.005024,0.048418,0.000576,0.199176,0.001216,0.000416,0.901987
0.420401,0.018465,0.202024,0.004864,0.047874,0.000576,0.193959,0.001408,0.000448,0.897283
