Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-8],OUT[8],TEE[7-8],Layer[9],Layer[10],classifier
0.416450,0.017441,0.202369,0.004800,0.047648,0.000608,0.013473,0.105184,0.043681,0.061536,0.213569,0.001312,0.000384,0.924679
0.417283,0.017472,0.202722,0.004768,0.047552,0.000576,0.013472,0.107809,0.040704,0.063457,0.215202,0.001152,0.000384,0.927623
0.433763,0.017952,0.202529,0.004992,0.047648,0.000576,0.013441,0.110368,0.035105,0.058016,0.206721,0.001344,0.000480,0.936039
0.416195,0.017280,0.202785,0.004832,0.047265,0.000608,0.013440,0.142721,0.048320,0.058273,0.252770,0.001440,0.000448,0.963687
0.416323,0.017280,0.202177,0.004864,0.048353,0.000800,0.013408,0.108000,0.036193,0.058272,0.205441,0.001312,0.000480,0.916966
0.417251,0.017376,0.221602,0.004960,0.049312,0.000736,0.013472,0.106977,0.036128,0.059393,0.205634,0.001344,0.000352,0.939047
0.417699,0.017216,0.203234,0.004768,0.047648,0.000576,0.013408,0.105089,0.041056,0.064033,0.213250,0.001248,0.000352,0.925991
0.417058,0.017376,0.202657,0.004832,0.047200,0.000736,0.013409,0.104768,0.034113,0.057792,0.199585,0.001152,0.000576,0.911014
0.417187,0.017440,0.202721,0.004800,0.046849,0.000544,0.013408,0.104224,0.035904,0.058880,0.202081,0.001120,0.000384,0.912998
0.416675,0.017184,0.202274,0.004864,0.047072,0.000576,0.013504,0.102561,0.033056,0.056512,0.195009,0.001152,0.000384,0.904870
0.416387,0.017280,0.202466,0.004768,0.046848,0.000608,0.013440,0.105953,0.040640,0.059553,0.209026,0.001152,0.000480,0.918695
0.417091,0.017313,0.202721,0.004864,0.046880,0.000576,0.013376,0.108161,0.045185,0.059840,0.216354,0.001056,0.000384,0.926919
0.416419,0.017984,0.221377,0.005248,0.047457,0.000640,0.013344,0.111361,0.036096,0.058912,0.209473,0.001312,0.000416,0.940838
0.418563,0.017408,0.203138,0.004800,0.047040,0.000576,0.013408,0.107297,0.035968,0.057409,0.203874,0.001280,0.000608,0.917063
0.416290,0.017409,0.203137,0.004832,0.046976,0.000544,0.013473,0.104928,0.040737,0.059488,0.208193,0.001280,0.000416,0.918822
0.416835,0.017184,0.202305,0.004768,0.047105,0.000544,0.013344,0.103265,0.032576,0.056768,0.195937,0.001120,0.000352,0.905926
0.416387,0.017632,0.203362,0.004800,0.047040,0.000768,0.013312,0.105697,0.035840,0.059169,0.204098,0.001216,0.000384,0.915527
0.416195,0.017857,0.202689,0.004864,0.046880,0.000608,0.013376,0.104161,0.036352,0.059681,0.203362,0.001184,0.000384,0.913735
0.415939,0.017568,0.202913,0.004800,0.046785,0.000768,0.013344,0.105664,0.042337,0.060416,0.211745,0.001216,0.000384,0.922022
0.416387,0.017216,0.217986,0.005248,0.047136,0.000576,0.013440,0.108129,0.035904,0.058208,0.205249,0.001248,0.000352,0.931687
0.415939,0.017408,0.202594,0.004896,0.047200,0.000576,0.013376,0.106305,0.033504,0.056737,0.199586,0.001120,0.000384,0.908871
0.416003,0.017216,0.202625,0.004768,0.047009,0.000544,0.013408,0.102528,0.033088,0.062432,0.201025,0.001184,0.000320,0.910438
