TEE[0-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
1.727934,0.015136,0.000768,0.001409,0.001216,0.000448,1.753312
1.730686,0.014785,0.000704,0.001536,0.001248,0.000352,1.755519
1.727390,0.014912,0.000736,0.001441,0.001216,0.000384,1.752544
1.755392,0.033122,0.001024,0.001824,0.001312,0.000384,1.800290
1.721310,0.015105,0.000928,0.001408,0.001120,0.000448,1.746495
1.755167,0.014753,0.000736,0.001376,0.001120,0.000352,1.780225
1.721886,0.015041,0.000704,0.001408,0.001216,0.000353,1.747968
1.782978,0.016577,0.000928,0.001504,0.001152,0.000416,1.810755
1.771168,0.014849,0.000768,0.001376,0.001152,0.000416,1.797282
1.762785,0.015201,0.000768,0.001376,0.001184,0.000384,1.788770
1.729982,0.014912,0.000704,0.001377,0.001152,0.000384,1.755456
1.737343,0.016129,0.000736,0.001504,0.001152,0.000384,1.764352
1.727774,0.015009,0.000768,0.001440,0.001216,0.000352,1.753472
1.787329,0.015104,0.000736,0.001568,0.001120,0.000416,1.812899
1.726847,0.015329,0.000672,0.001536,0.001184,0.000384,1.752416
1.770400,0.015969,0.000800,0.001536,0.001376,0.000416,1.796898
1.766017,0.015233,0.000736,0.001408,0.001344,0.000384,1.792066
1.782753,0.016608,0.000769,0.001440,0.001216,0.000384,1.810755
1.765408,0.015809,0.000992,0.001536,0.001248,0.000352,1.792802
1.741567,0.015745,0.000704,0.001504,0.001248,0.000448,1.768800
1.735743,0.016641,0.000736,0.001536,0.001184,0.000352,1.763520
1.768545,0.016161,0.000736,0.001440,0.001152,0.000352,1.795906
1.730399,0.015201,0.000736,0.001472,0.001248,0.000384,1.756640
1.790818,0.016257,0.000736,0.001536,0.001312,0.000384,1.818083
1.729566,0.014881,0.000704,0.001440,0.001248,0.000288,1.755327
1.741023,0.015777,0.000768,0.001504,0.001376,0.000352,1.767680
1.739199,0.014849,0.000704,0.001536,0.001280,0.000320,1.765088
1.757056,0.015809,0.000704,0.001440,0.001152,0.000352,1.783937
1.740639,0.015329,0.000736,0.001536,0.001248,0.000352,1.767233
1.775009,0.017281,0.000736,0.001568,0.001217,0.000384,1.803843
1.725726,0.015521,0.000800,0.001408,0.001248,0.000352,1.752159
1.795906,0.015681,0.000768,0.001504,0.001088,0.000384,1.821763
1.734751,0.015585,0.000736,0.001696,0.001024,0.000384,1.761280
1.753919,0.016737,0.000768,0.001472,0.001088,0.000416,1.782273
1.727070,0.015937,0.000736,0.001440,0.001312,0.000320,1.754463
1.799906,0.016993,0.000736,0.001568,0.001152,0.000384,1.828100
1.723742,0.015649,0.000768,0.001408,0.001184,0.000384,1.751199
1.792962,0.017377,0.000736,0.001472,0.001344,0.000352,1.821380
1.739327,0.015809,0.000768,0.001696,0.001184,0.000416,1.766528
1.741151,0.015361,0.000768,0.001792,0.001216,0.000352,1.768032
1.745407,0.015105,0.000704,0.001792,0.001216,0.000384,1.771456
1.740862,0.016224,0.000704,0.001504,0.001216,0.000416,1.767776
1.731358,0.014656,0.000705,0.001472,0.001152,0.000384,1.756768
1.782497,0.017217,0.000640,0.001473,0.001120,0.000352,1.810755
1.715198,0.015809,0.000704,0.001504,0.001312,0.000384,1.741791
1.759264,0.015073,0.000928,0.001568,0.001120,0.000384,1.785089
1.761728,0.015489,0.000704,0.001504,0.001216,0.000384,1.787905
1.783361,0.016033,0.000736,0.001440,0.001280,0.000416,1.810626
1.742494,0.015713,0.000448,0.001536,0.001216,0.000384,1.769152
1.753951,0.015809,0.000768,0.001696,0.001024,0.000352,1.780481
1.722302,0.016065,0.000736,0.001792,0.001120,0.000384,1.749183
1.758464,0.015553,0.000672,0.001696,0.001089,0.000256,1.784642
1.733727,0.015329,0.000832,0.001536,0.001216,0.000352,1.760480
1.727582,0.016161,0.000704,0.001504,0.001216,0.000416,1.754175
1.724926,0.015808,0.001056,0.001761,0.001088,0.000384,1.751712
1.794850,0.016289,0.000736,0.001696,0.001120,0.000352,1.822308
1.758783,0.015713,0.000704,0.001536,0.001216,0.000384,1.785761
1.741151,0.016001,0.000736,0.001472,0.001088,0.000384,1.767872
1.722782,0.016289,0.000704,0.001472,0.001280,0.000352,1.750015
1.746591,0.015361,0.000704,0.001760,0.001248,0.000416,1.772992
1.717917,0.015585,0.000704,0.001504,0.001376,0.000416,1.744383
1.741183,0.015777,0.000704,0.001504,0.001024,0.000384,1.767808
1.740927,0.015233,0.000736,0.001408,0.001440,0.000416,1.767104
1.765216,0.015841,0.000736,0.001696,0.001120,0.000352,1.791393
1.735134,0.015297,0.000704,0.001472,0.001184,0.000384,1.761439
1.758303,0.015521,0.000736,0.001440,0.000992,0.000352,1.784513
1.762144,0.015841,0.000704,0.001824,0.001088,0.000352,1.788834
1.734270,0.015617,0.000704,0.001472,0.001120,0.000384,1.760703
1.743455,0.015169,0.000736,0.001376,0.001088,0.000352,1.769088
1.732318,0.015264,0.000993,0.001440,0.001216,0.000352,1.758240
1.735294,0.032482,0.000800,0.001632,0.001216,0.000352,1.779296
1.736158,0.015777,0.000704,0.001441,0.001088,0.000384,1.762176
1.799906,0.015137,0.000768,0.001408,0.001152,0.000416,1.825859
1.735614,0.015329,0.000704,0.001504,0.001248,0.000416,1.761631
1.749727,0.015617,0.000736,0.001408,0.001120,0.000384,1.775872
1.745119,0.015521,0.000704,0.001440,0.001120,0.000320,1.770976
1.748511,0.015489,0.000736,0.001472,0.000960,0.000416,1.774880
1.758880,0.015329,0.000736,0.001504,0.001120,0.000352,1.784897
1.782145,0.015489,0.000704,0.001504,0.000960,0.000352,1.807874
1.733918,0.015809,0.000704,0.001408,0.001120,0.000384,1.759935
1.743614,0.015104,0.000736,0.001409,0.001280,0.000416,1.769344
1.739999,0.015713,0.000768,0.001504,0.001184,0.000448,1.764608
1.789857,0.014977,0.000768,0.001472,0.001120,0.000352,1.814914
1.728446,0.015041,0.000704,0.001408,0.001152,0.000352,1.753791
1.765536,0.014721,0.000736,0.001408,0.001216,0.000416,1.790690
1.766752,0.014817,0.000736,0.001472,0.001248,0.000448,1.792417
1.813635,0.014881,0.000960,0.001408,0.001056,0.000416,1.839236
1.728606,0.015297,0.000736,0.001440,0.001248,0.000416,1.754527
1.747519,0.017409,0.000961,0.001536,0.001248,0.000384,1.776577
1.758464,0.014977,0.000704,0.001408,0.001088,0.000384,1.783905
1.767872,0.015264,0.000768,0.001441,0.000960,0.000416,1.793218
1.732894,0.015360,0.000736,0.001792,0.001216,0.000384,1.758912
1.799106,0.016449,0.000736,0.001728,0.001152,0.000352,1.827299
1.727742,0.016033,0.000736,0.001536,0.001216,0.000384,1.754496
1.754079,0.016033,0.000704,0.001600,0.001152,0.000416,1.780609
1.737535,0.015233,0.000672,0.001600,0.001024,0.000352,1.764352
1.833187,0.017057,0.000672,0.001568,0.001376,0.000576,1.863365
1.730590,0.015808,0.000704,0.001536,0.001280,0.000320,1.758400
1.757920,0.015713,0.000768,0.001600,0.001152,0.000320,1.784353
1.750527,0.016544,0.000993,0.001600,0.001312,0.000352,1.778433
1.781537,0.015297,0.000800,0.001568,0.001056,0.000352,1.806594
1.735166,0.015712,0.000736,0.001472,0.001344,0.000352,1.760672
1.781344,0.015488,0.000736,0.001537,0.001216,0.000352,1.807202
1.721341,0.015169,0.000800,0.001536,0.001121,0.000416,1.747295
1.791873,0.014625,0.000704,0.001440,0.001089,0.000384,1.817315
1.754367,0.015105,0.000736,0.001408,0.001056,0.000384,1.780865
1.781633,0.016417,0.000704,0.001440,0.001088,0.000416,1.808802
1.753920,0.014593,0.000704,0.001440,0.001120,0.000384,1.779169
1.752031,0.015041,0.000864,0.001504,0.001152,0.000384,1.778048
1.759584,0.014977,0.000928,0.001440,0.001056,0.000384,1.784961
1.782241,0.014817,0.000672,0.001440,0.001120,0.000384,1.807682
1.751615,0.014592,0.000704,0.001472,0.001088,0.000352,1.776833
1.749918,0.014689,0.000704,0.001472,0.000992,0.000384,1.775104
1.725149,0.014625,0.000736,0.001440,0.001056,0.000384,1.750015
1.786465,0.014817,0.000736,0.001440,0.001024,0.000384,1.811554
1.752223,0.014753,0.000704,0.001440,0.001216,0.000352,1.777760
1.737150,0.015297,0.000704,0.001472,0.001056,0.000352,1.762559
1.733598,0.015232,0.000704,0.001440,0.001216,0.000384,1.759168
1.727454,0.014625,0.000544,0.001408,0.001184,0.000416,1.752319
1.732734,0.014945,0.000736,0.001472,0.001088,0.000384,1.757663
1.761855,0.014913,0.000704,0.001600,0.001184,0.000353,1.787137
1.727134,0.014721,0.000736,0.001408,0.001184,0.000352,1.752191
1.748063,0.015553,0.000736,0.001536,0.001313,0.000384,1.775361
1.735550,0.014848,0.000736,0.001537,0.001152,0.000416,1.761920
1.773472,0.016097,0.000736,0.001664,0.001472,0.000320,1.801633
1.758304,0.015553,0.000704,0.001568,0.001088,0.000320,1.785153
1.722781,0.015201,0.000736,0.001568,0.001153,0.000320,1.749055
1.790049,0.016705,0.000768,0.001632,0.001152,0.000576,1.818466
1.764992,0.015425,0.000736,0.001664,0.001216,0.000352,1.792001
1.732894,0.015201,0.000768,0.001568,0.001184,0.000448,1.758879
1.722814,0.015681,0.000768,0.001568,0.001280,0.000352,1.749855
1.741406,0.015425,0.000992,0.001536,0.001280,0.000384,1.768255
1.757343,0.015169,0.000800,0.001568,0.001280,0.000384,1.783648
1.782721,0.015169,0.000992,0.001664,0.001184,0.000416,1.809186
1.758911,0.015169,0.000960,0.001536,0.001248,0.000384,1.785505
1.766656,0.015233,0.000736,0.001504,0.001248,0.000416,1.793250
1.770048,0.014881,0.000736,0.001504,0.001313,0.000384,1.796098
1.762239,0.016160,0.000768,0.001537,0.001280,0.000416,1.789281
1.754783,0.015329,0.000704,0.001536,0.001152,0.000384,1.780929
1.789953,0.014625,0.000736,0.001504,0.001120,0.000384,1.815427
1.736959,0.015617,0.000736,0.001600,0.001152,0.000352,1.763488
1.797026,0.015713,0.000672,0.001536,0.001152,0.000384,1.823747
1.731038,0.015553,0.000768,0.001568,0.001216,0.000384,1.757311
1.757087,0.015328,0.000480,0.001537,0.001184,0.000384,1.783105
1.737694,0.015329,0.000704,0.001536,0.001248,0.000352,1.764447
1.802849,0.015169,0.000768,0.001536,0.001120,0.000416,1.828771
1.767967,0.014880,0.000736,0.001504,0.001184,0.000416,1.794017
1.753823,0.014785,0.000768,0.001536,0.001280,0.000320,1.779840
1.716125,0.015809,0.000768,0.001472,0.001184,0.000385,1.742751
1.789089,0.015329,0.000768,0.001537,0.001152,0.000352,1.815299
1.725981,0.015328,0.000736,0.001569,0.001344,0.000384,1.751967
1.745086,0.015393,0.000736,0.001536,0.001408,0.000384,1.771616
1.759903,0.015009,0.000704,0.001600,0.001088,0.000352,1.785536
1.789921,0.014881,0.000736,0.001536,0.001152,0.000416,1.815362
1.737950,0.014785,0.001184,0.001504,0.001184,0.000384,1.764191
1.777664,0.016545,0.000800,0.001504,0.001088,0.000352,1.805633
1.729214,0.015009,0.000736,0.001600,0.001216,0.000576,1.755647
1.758367,0.015329,0.000800,0.001600,0.001344,0.000576,1.785088
1.725950,0.015201,0.000768,0.001472,0.001120,0.000352,1.751871
1.738718,0.015329,0.000800,0.001504,0.001408,0.000576,1.765312
1.713789,0.015265,0.000736,0.001568,0.001216,0.000448,1.739838
1.777792,0.015137,0.000704,0.001568,0.001280,0.000384,1.803905
1.739070,0.014593,0.000704,0.001536,0.001088,0.000352,1.764671
1.750302,0.015233,0.000992,0.001536,0.001088,0.000384,1.776512
1.722205,0.015104,0.000672,0.001536,0.001152,0.000384,1.748703
1.763200,0.015521,0.000736,0.001472,0.001056,0.000384,1.789985
1.750111,0.014657,0.000704,0.001440,0.001120,0.000384,1.775424
1.723293,0.015169,0.000736,0.001536,0.001088,0.000384,1.749182
1.722749,0.015712,0.000512,0.001473,0.001056,0.000352,1.748831
1.718269,0.015456,0.000736,0.001633,0.001184,0.000416,1.744415
1.718685,0.015105,0.000576,0.001504,0.001120,0.000384,1.744254
1.727165,0.014625,0.000960,0.001408,0.001153,0.000416,1.752447
1.719325,0.015009,0.000672,0.001440,0.001216,0.000416,1.744734
1.744318,0.015137,0.000896,0.001472,0.001152,0.000384,1.770783
1.725373,0.014657,0.000704,0.001440,0.001088,0.000384,1.750558
1.720605,0.015713,0.000768,0.001504,0.001152,0.000352,1.746814
1.715964,0.014656,0.000960,0.001409,0.001056,0.000416,1.741182
1.732446,0.015297,0.000960,0.001536,0.001088,0.000384,1.758879
1.718461,0.015232,0.000704,0.001408,0.001056,0.000384,1.744031
1.719997,0.015168,0.000929,0.001536,0.001184,0.000416,1.745823
1.743326,0.015712,0.000768,0.001472,0.001120,0.000416,1.768992
1.716477,0.014689,0.000704,0.001536,0.001216,0.000384,1.741726
1.718236,0.015168,0.000768,0.001440,0.001216,0.000352,1.744254
1.719325,0.014465,0.000672,0.001472,0.001121,0.000416,1.745951
1.708604,0.014945,0.000704,0.001472,0.001152,0.000352,1.734302
1.724701,0.015009,0.000736,0.001504,0.001185,0.000416,1.750495
1.745438,0.015201,0.000928,0.001440,0.001216,0.000416,1.771424
1.728509,0.014688,0.000704,0.001441,0.001088,0.000416,1.752959
1.739806,0.015009,0.000544,0.001408,0.001217,0.000384,1.764928
1.752575,0.015009,0.000512,0.001440,0.001088,0.000384,1.777408
1.743742,0.014816,0.000928,0.001441,0.001120,0.000416,1.769216
1.709756,0.014593,0.000736,0.001440,0.000992,0.000416,1.734141
1.710044,0.014721,0.000704,0.001472,0.001217,0.000384,1.735262
1.762495,0.014785,0.000704,0.001440,0.001088,0.000352,1.788225
1.699612,0.015169,0.000704,0.001536,0.001120,0.000416,1.724893
1.727998,0.015041,0.000704,0.001536,0.001056,0.000352,1.753343
1.728509,0.015328,0.000704,0.001440,0.001088,0.000384,1.754047
1.693979,0.014720,0.000736,0.001472,0.001152,0.000384,1.719037
1.722781,0.014624,0.000480,0.001409,0.001152,0.000384,1.747487
1.717565,0.014689,0.000704,0.001536,0.001248,0.000352,1.742846
1.718525,0.014657,0.000704,0.001504,0.001248,0.000416,1.743454
1.744734,0.015105,0.000704,0.001440,0.001280,0.000384,1.771168
1.722397,0.014721,0.000736,0.001536,0.001152,0.000384,1.747582
1.725853,0.014944,0.000704,0.001664,0.001216,0.000352,1.752703
1.749055,0.014721,0.000704,0.001472,0.001216,0.000352,1.774592
1.732989,0.015360,0.000736,0.001441,0.001216,0.000416,1.760063
1.766687,0.014720,0.000704,0.001473,0.001152,0.000384,1.791393
1.698523,0.015041,0.000704,0.001440,0.001185,0.000384,1.724701
1.746943,0.015713,0.000768,0.001472,0.001024,0.000352,1.772768
1.750142,0.014689,0.000736,0.001440,0.001120,0.000416,1.775328
1.746878,0.015265,0.000736,0.001440,0.001088,0.000416,1.772575
1.714812,0.016736,0.000768,0.001440,0.001376,0.000576,1.745246
1.767936,0.017185,0.000768,0.001568,0.001472,0.000416,1.797665
1.727933,0.015296,0.000736,0.001409,0.001184,0.000416,1.755103
1.790209,0.016321,0.000768,0.001472,0.001216,0.000384,1.817698
1.728094,0.015361,0.000768,0.001440,0.001408,0.000352,1.754655
1.749214,0.016513,0.000704,0.001472,0.001025,0.000320,1.776448
1.728445,0.015233,0.000736,0.001568,0.001152,0.000384,1.754463
1.746846,0.015072,0.000705,0.001504,0.001248,0.000384,1.772512
1.692955,0.014977,0.000704,0.001472,0.001152,0.000385,1.718269
1.766207,0.015489,0.000704,0.001440,0.001184,0.000417,1.792033
1.760223,0.014977,0.000928,0.001440,0.001216,0.000416,1.786272
1.744766,0.015745,0.000992,0.001440,0.001152,0.000384,1.771296
1.722013,0.014817,0.000736,0.001440,0.001184,0.000384,1.747742
1.741245,0.014784,0.000736,0.001505,0.001312,0.000384,1.766399
1.747742,0.015553,0.000736,0.001440,0.001120,0.000384,1.773344
1.757567,0.015585,0.000480,0.001440,0.001120,0.000608,1.783776
1.731165,0.015361,0.000928,0.001664,0.001120,0.000576,1.757599
1.755231,0.016225,0.000704,0.001440,0.001184,0.000608,1.782624
1.698075,0.014848,0.000736,0.001473,0.001152,0.000576,1.723933
1.750750,0.014849,0.000736,0.001440,0.001120,0.000384,1.776032
1.757247,0.015073,0.000704,0.001536,0.001248,0.000352,1.782944
1.771744,0.015585,0.000960,0.001568,0.001024,0.000416,1.798401
1.770495,0.015649,0.000704,0.001408,0.001089,0.000384,1.795777
1.746750,0.014944,0.000768,0.001472,0.001184,0.000416,1.772960
1.726333,0.014689,0.000736,0.001472,0.001184,0.000416,1.751742
1.754270,0.014657,0.000704,0.001376,0.001152,0.000352,1.779520
1.746302,0.014977,0.000672,0.001440,0.001184,0.000416,1.771775
1.756831,0.015009,0.000896,0.001472,0.001248,0.000384,1.782432
1.721532,0.014784,0.000737,0.001504,0.001088,0.000352,1.746430
1.731997,0.014657,0.000736,0.001440,0.001184,0.000416,1.757278
1.728925,0.014945,0.000928,0.001408,0.001024,0.000384,1.754238
1.768639,0.015265,0.000992,0.001472,0.001056,0.000352,1.794752
1.732541,0.014721,0.000704,0.001472,0.001184,0.000384,1.758367
1.764991,0.014817,0.000960,0.001504,0.001120,0.000384,1.790720
1.727581,0.016993,0.000736,0.001536,0.001313,0.000320,1.756031
1.733373,0.015553,0.000736,0.001632,0.001120,0.000416,1.759678
1.756479,0.015041,0.000736,0.001600,0.001120,0.000416,1.782240
1.779520,0.016193,0.000736,0.001536,0.001152,0.000384,1.806721
1.753758,0.014624,0.000928,0.001504,0.001088,0.000352,1.779456
1.749951,0.014977,0.000704,0.001440,0.001152,0.000320,1.775456
1.728349,0.014945,0.000928,0.001536,0.001088,0.000320,1.754494
1.788800,0.015777,0.000736,0.001536,0.001216,0.000416,1.816194
1.763839,0.014785,0.000672,0.001504,0.001120,0.000385,1.788961
1.775104,0.015777,0.000896,0.001408,0.001120,0.000384,1.802049
1.743229,0.016385,0.000736,0.001408,0.001088,0.000384,1.770559
1.777664,0.015809,0.000704,0.001568,0.001152,0.000352,1.804450
1.772863,0.014785,0.000704,0.001792,0.001121,0.000416,1.798689
1.782176,0.016609,0.000896,0.001504,0.001184,0.000320,1.809825
1.735678,0.015105,0.000960,0.001568,0.001216,0.000352,1.761183
1.779935,0.016736,0.000896,0.001472,0.001184,0.000352,1.807649
1.759582,0.014689,0.000736,0.001408,0.001184,0.000385,1.784832
1.733181,0.014849,0.000928,0.001472,0.001152,0.000352,1.759039
1.730813,0.015329,0.000640,0.001440,0.001216,0.000384,1.757374
1.748318,0.016897,0.000736,0.001504,0.001473,0.000608,1.777280
1.738237,0.015552,0.000992,0.001792,0.001280,0.000320,1.765695
1.758494,0.015713,0.000736,0.001665,0.001184,0.000352,1.785344
1.735485,0.039650,0.000768,0.001792,0.001440,0.000384,1.787040
1.748766,0.015297,0.000736,0.001472,0.001216,0.000384,1.774911
1.758591,0.015201,0.000832,0.001536,0.001216,0.000384,1.784576
1.748094,0.015361,0.000480,0.001536,0.001248,0.000384,1.773823
1.755743,0.014977,0.000704,0.001472,0.001120,0.000384,1.781120
1.717084,0.015265,0.000928,0.001440,0.001216,0.000352,1.743646
1.753086,0.015169,0.000736,0.001440,0.001152,0.000416,1.778879
1.758494,0.015168,0.000737,0.001504,0.001312,0.000416,1.784704
1.753662,0.015617,0.000736,0.001504,0.001376,0.000417,1.779936
1.710940,0.014817,0.000704,0.001472,0.001376,0.000416,1.736413
1.751070,0.015233,0.000672,0.001536,0.001216,0.000352,1.776575
1.741310,0.015905,0.000704,0.001504,0.001216,0.000352,1.767999
1.769728,0.015201,0.000736,0.001504,0.001120,0.000640,1.794849
1.720092,0.015681,0.000704,0.001664,0.001088,0.000385,1.746238
1.744894,0.015297,0.000960,0.001504,0.001024,0.000384,1.771647
1.731165,0.015009,0.000704,0.001408,0.001216,0.000384,1.756894
1.740062,0.015937,0.000736,0.001472,0.001312,0.000416,1.767807
1.732125,0.015553,0.000736,0.001472,0.001120,0.000416,1.758558
1.805185,0.016577,0.000512,0.001504,0.001056,0.000416,1.832387
1.756351,0.014561,0.000928,0.001472,0.001184,0.000416,1.781760
1.746494,0.014625,0.000704,0.001472,0.001312,0.000384,1.771999
1.727805,0.014497,0.000928,0.001504,0.001184,0.000416,1.753086
1.798785,0.014721,0.000928,0.001408,0.000992,0.000416,1.824002
1.711740,0.015233,0.000896,0.001504,0.001120,0.000352,1.737629
1.775807,0.015201,0.000704,0.001440,0.001120,0.000384,1.801633
1.726237,0.014721,0.000736,0.001408,0.001152,0.000416,1.750942
1.780704,0.014849,0.000736,0.001504,0.001120,0.000416,1.806081
1.764991,0.015073,0.000736,0.001440,0.001153,0.000416,1.790785
1.747230,0.014625,0.000928,0.001408,0.001056,0.000416,1.771999
1.729469,0.014625,0.000736,0.001408,0.001120,0.000384,1.754686
1.746270,0.014945,0.000704,0.001472,0.001184,0.000352,1.771647
1.755231,0.014913,0.000512,0.001472,0.001056,0.000384,1.780288
1.817217,0.015712,0.000704,0.001601,0.001088,0.000384,1.843555
1.770079,0.015329,0.000480,0.001408,0.001056,0.000352,1.795328
1.762783,0.015073,0.000704,0.001472,0.001216,0.000384,1.789632
1.745502,0.014977,0.000768,0.001504,0.001088,0.000384,1.770783
1.766495,0.015169,0.000704,0.001504,0.001152,0.000352,1.792608
1.730429,0.015297,0.000704,0.001440,0.001089,0.000384,1.755935
1.724157,0.015457,0.000928,0.001504,0.001024,0.000352,1.750078
1.741885,0.014688,0.000704,0.001441,0.001216,0.000384,1.766751
1.732925,0.014593,0.000704,0.001536,0.000992,0.000384,1.757822
1.723228,0.015457,0.000704,0.001472,0.001312,0.000384,1.749501
1.791041,0.015457,0.000960,0.001632,0.001216,0.000416,1.817826
1.733949,0.015393,0.000704,0.001536,0.001248,0.000352,1.760094
1.807137,0.016321,0.000928,0.001536,0.001281,0.000320,1.834851
1.731068,0.015105,0.000800,0.001632,0.001248,0.000416,1.757182
1.748094,0.016385,0.000704,0.001569,0.001088,0.000352,1.775904
1.732509,0.015745,0.000704,0.001600,0.001312,0.000384,1.759326
1.750333,0.016385,0.000704,0.001472,0.001248,0.000384,1.778015
1.738557,0.015105,0.000736,0.001536,0.001152,0.000417,1.764895
1.781600,0.016353,0.001024,0.001536,0.001184,0.000416,1.809569
1.723069,0.014977,0.000736,0.001536,0.001216,0.000384,1.749118
1.800065,0.014849,0.000992,0.001504,0.001152,0.000352,1.826210
1.726109,0.015521,0.000704,0.001536,0.001152,0.000384,1.752670
1.769183,0.014721,0.000768,0.001600,0.001312,0.000416,1.795648
1.728989,0.014977,0.000768,0.001472,0.001280,0.000416,1.755102
1.726397,0.015585,0.000704,0.001504,0.001280,0.000352,1.752830
1.738398,0.014913,0.000736,0.001536,0.001216,0.000416,1.764479
1.733309,0.014945,0.000768,0.001440,0.001280,0.000384,1.758974
1.757950,0.014657,0.000672,0.001568,0.001248,0.000416,1.783743
1.740446,0.014945,0.000704,0.001504,0.001152,0.000576,1.766623
1.750941,0.037314,0.000800,0.001664,0.001376,0.000384,1.802336
1.726973,0.015233,0.000704,0.001504,0.001248,0.000384,1.752990
1.770975,0.014785,0.000704,0.001856,0.001152,0.000417,1.797185
1.735869,0.015233,0.000736,0.001824,0.001248,0.000384,1.762334
1.775295,0.015617,0.000992,0.001568,0.001313,0.000416,1.803649
1.717724,0.015905,0.000832,0.001536,0.001280,0.000416,1.744605
1.744637,0.016705,0.000704,0.001504,0.001184,0.000384,1.772319
1.753246,0.014625,0.000672,0.001440,0.001280,0.000352,1.778527
1.755390,0.016416,0.000801,0.001760,0.001344,0.000384,1.783520
1.772255,0.016161,0.000736,0.001472,0.001248,0.000352,1.799456
1.776607,0.015457,0.000768,0.001472,0.001248,0.000416,1.802944
1.726044,0.014849,0.000896,0.001472,0.001248,0.000416,1.751421
1.783872,0.015489,0.000768,0.001504,0.001248,0.000416,1.810817
1.741214,0.015425,0.000960,0.001440,0.000832,0.000384,1.767231
1.741982,0.015617,0.000704,0.001504,0.000960,0.000352,1.768351
1.729213,0.015041,0.000736,0.001600,0.000896,0.000384,1.754718
1.771551,0.014977,0.000768,0.001440,0.001408,0.000416,1.796192
1.721980,0.014912,0.000736,0.001472,0.001121,0.000384,1.747390
1.741982,0.015265,0.000736,0.001472,0.001280,0.000416,1.768095
1.723293,0.014688,0.000736,0.001472,0.001248,0.000384,1.748030
1.779968,0.016513,0.000928,0.001504,0.001120,0.000384,1.807457
1.721788,0.014784,0.000960,0.001505,0.001184,0.000352,1.746974
1.764926,0.014912,0.000769,0.001472,0.001216,0.000416,1.791872
1.719388,0.014784,0.000768,0.001505,0.001248,0.000352,1.744254
1.772831,0.016001,0.000768,0.001440,0.001120,0.000384,1.800384
1.724541,0.015649,0.000768,0.001504,0.001344,0.000384,1.751006
1.741533,0.015105,0.000704,0.001504,0.001216,0.000384,1.767742
1.752062,0.014785,0.000736,0.001472,0.001088,0.000384,1.776735
1.729277,0.015073,0.000672,0.001472,0.001088,0.000384,1.754910
1.726077,0.014529,0.000928,0.001472,0.001152,0.000384,1.750846
1.746942,0.015009,0.000736,0.001536,0.001216,0.000384,1.772319
1.718236,0.014656,0.000736,0.001473,0.001088,0.000384,1.743326
1.775263,0.016193,0.000736,0.001504,0.001120,0.000352,1.802816
1.725533,0.014913,0.000704,0.001504,0.001088,0.000384,1.750878
1.778368,0.015201,0.000768,0.001504,0.001248,0.000352,1.804417
1.750941,0.014721,0.000736,0.001504,0.001025,0.000384,1.775743
1.745758,0.015105,0.000768,0.001472,0.001280,0.000416,1.771391
1.722876,0.015041,0.000672,0.001440,0.001152,0.000416,1.748253
1.775071,0.015136,0.000928,0.001473,0.001056,0.000416,1.801089
1.708827,0.014881,0.000736,0.001408,0.001120,0.000384,1.734269
1.768062,0.014625,0.000704,0.001408,0.001280,0.000416,1.792831
1.726044,0.014817,0.000992,0.001472,0.001025,0.000416,1.751422
1.797728,0.014657,0.000704,0.001504,0.001056,0.000416,1.823457
1.755358,0.014689,0.000736,0.001408,0.001056,0.000384,1.781183
1.805025,0.014657,0.000928,0.001440,0.001184,0.000352,1.830114
1.723388,0.014913,0.000960,0.001568,0.001024,0.000416,1.748637
1.770366,0.015265,0.000736,0.001472,0.001088,0.000417,1.795680
1.725148,0.015201,0.000736,0.001504,0.001120,0.000320,1.750910
1.775327,0.016193,0.000992,0.001408,0.001216,0.000416,1.802624
1.733532,0.015200,0.000768,0.001728,0.001280,0.000416,1.759582
1.754014,0.015873,0.000736,0.001536,0.001216,0.000416,1.780447
1.720892,0.015104,0.000704,0.001473,0.001120,0.000416,1.746942
1.786944,0.014529,0.000928,0.001408,0.001088,0.000384,1.812353
1.758110,0.014657,0.000736,0.001440,0.001184,0.000384,1.783263
1.778591,0.015265,0.000736,0.001632,0.001024,0.000384,1.805024
1.724892,0.014848,0.000960,0.001472,0.001120,0.000384,1.751006
1.791679,0.014721,0.000736,0.001536,0.001057,0.000352,1.816482
1.732957,0.014625,0.000704,0.001376,0.001152,0.000384,1.757054
1.786111,0.014720,0.000800,0.001632,0.001184,0.000416,1.811361
1.776959,0.016001,0.000704,0.001504,0.001120,0.000384,1.803616
1.745405,0.014720,0.000928,0.001505,0.001088,0.000384,1.770655
1.748894,0.014689,0.000896,0.001440,0.001152,0.000320,1.774623
1.742301,0.014625,0.000480,0.001408,0.001088,0.000384,1.767006
1.751902,0.014881,0.000736,0.001472,0.001216,0.000416,1.777503
1.747422,0.014625,0.000704,0.001536,0.001120,0.000384,1.772447
1.703099,0.015137,0.000992,0.001440,0.000992,0.000384,1.728764
1.738045,0.014593,0.000704,0.001376,0.001088,0.000416,1.762622
1.731325,0.014977,0.000928,0.001376,0.001088,0.000416,1.756958
1.742301,0.015073,0.000960,0.001440,0.001152,0.000384,1.767679
1.715100,0.014945,0.000736,0.001440,0.001152,0.000384,1.741213
