Layer[0],Layer[1],Layer[2],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415824,0.017281,0.202440,0.264490,0.000800,0.002016,0.001088,0.000352,0.911331
0.416369,0.017280,0.202280,0.259819,0.000736,0.001984,0.001056,0.000384,0.906820
0.434353,0.017697,0.202504,0.262570,0.000736,0.002080,0.000960,0.000416,0.929700
0.416625,0.017312,0.202536,0.257194,0.000736,0.001984,0.001216,0.000384,0.906020
0.416753,0.017312,0.202152,0.257547,0.000800,0.002080,0.001056,0.000384,0.905348
0.416112,0.017537,0.202152,0.265194,0.001120,0.003361,0.001216,0.000416,0.914212
0.416016,0.017953,0.202792,0.252298,0.000768,0.002208,0.001024,0.000352,0.900995
0.419889,0.017473,0.201768,0.248713,0.000672,0.002048,0.001217,0.000384,0.898948
0.416401,0.017281,0.202087,0.250218,0.000736,0.002049,0.001024,0.000416,0.897732
0.434961,0.017504,0.202344,0.246890,0.000768,0.002048,0.001056,0.000384,0.913412
0.415345,0.017760,0.201992,0.262187,0.000672,0.002912,0.001152,0.000352,0.909092
0.420688,0.017760,0.201736,0.257546,0.000672,0.002016,0.000993,0.000416,0.908772
0.420273,0.017888,0.205417,0.306892,0.000864,0.002752,0.001312,0.000384,0.964742
0.416368,0.017600,0.203400,0.257258,0.000768,0.002881,0.001280,0.000352,0.909316
0.422672,0.017537,0.202344,0.261514,0.000832,0.002401,0.001120,0.000416,0.916612
0.420273,0.017664,0.202184,0.258346,0.000736,0.003200,0.001216,0.000352,0.911556
0.438609,0.017665,0.202472,0.258826,0.000640,0.002176,0.001024,0.000576,0.929829
0.421136,0.017473,0.202088,0.287435,0.000768,0.002016,0.001088,0.000352,0.939108
0.420848,0.017697,0.201928,0.256842,0.000768,0.002080,0.001152,0.000608,0.909859
0.416624,0.017537,0.221257,0.270538,0.000736,0.002145,0.001184,0.000608,0.938757
0.416080,0.017761,0.202536,0.260938,0.000768,0.002208,0.001217,0.000352,0.909252
0.420752,0.017472,0.202312,0.260074,0.000800,0.002080,0.001280,0.000384,0.913604
0.420945,0.017792,0.202120,0.280683,0.000704,0.002145,0.001216,0.000608,0.934437
0.416656,0.018081,0.202824,0.279467,0.000832,0.002112,0.001280,0.000608,0.930692
0.420592,0.017792,0.202408,0.288428,0.000800,0.002240,0.001248,0.000608,0.942469
0.416849,0.017824,0.201928,0.257674,0.000769,0.002368,0.001120,0.000384,0.906884
0.439537,0.017569,0.202344,0.260554,0.000736,0.002304,0.001281,0.000576,0.932997
0.420400,0.017537,0.202344,0.268362,0.000736,0.002145,0.001152,0.000384,0.919812
0.416624,0.017441,0.202376,0.264042,0.000736,0.002176,0.001216,0.000352,0.913283
0.415888,0.017601,0.202664,0.282987,0.000768,0.002240,0.001216,0.000416,0.931332
0.420561,0.017537,0.202119,0.250153,0.000768,0.002208,0.001248,0.000640,0.903172
0.420464,0.017601,0.202344,0.259978,0.000704,0.002144,0.001184,0.000352,0.912195
0.420497,0.017729,0.202024,0.271946,0.000800,0.002400,0.001152,0.000352,0.925061
0.435697,0.017504,0.205288,0.265035,0.000800,0.002400,0.001312,0.000384,0.936933
0.417360,0.017729,0.202632,0.257930,0.000832,0.002240,0.001088,0.000416,0.907811
0.416432,0.017729,0.202504,0.258794,0.000800,0.002368,0.001248,0.000384,0.907651
0.416753,0.017633,0.202184,0.294891,0.000800,0.002432,0.001216,0.000640,0.944901
0.415984,0.017569,0.202280,0.257674,0.000704,0.002400,0.001152,0.000352,0.906852
0.420560,0.017600,0.202440,0.265195,0.000704,0.002880,0.001152,0.000384,0.918756
0.422193,0.017473,0.202344,0.273642,0.000672,0.002304,0.001120,0.000384,0.928069
0.432145,0.017728,0.202312,0.261898,0.000736,0.002272,0.001184,0.000640,0.926405
0.420209,0.017569,0.202440,0.265098,0.000640,0.002368,0.001216,0.000384,0.916932
0.420464,0.017697,0.202152,0.267050,0.000769,0.002368,0.000992,0.000384,0.920420
0.422032,0.018112,0.222441,0.264810,0.000801,0.002656,0.001376,0.000384,0.941797
0.416561,0.017761,0.225576,0.270346,0.000736,0.002208,0.001152,0.000640,0.943237
0.416176,0.017537,0.201960,0.248650,0.000672,0.002176,0.001248,0.000640,0.896963
0.416336,0.018145,0.201896,0.262218,0.000672,0.003360,0.001216,0.000352,0.912292
0.415920,0.017665,0.201928,0.261354,0.000736,0.002400,0.001216,0.000352,0.909091
0.416656,0.017729,0.201960,0.266730,0.000864,0.002304,0.001152,0.000384,0.915332
0.415760,0.017697,0.202792,0.262602,0.000768,0.003200,0.001056,0.000416,0.912291
0.445361,0.017697,0.202728,0.258954,0.000832,0.002336,0.001120,0.000608,0.937476
0.420656,0.017473,0.202248,0.256106,0.000928,0.002176,0.001184,0.000640,0.909187
0.420432,0.017761,0.202440,0.269514,0.000833,0.002368,0.001248,0.000608,0.923428
0.421552,0.018177,0.202920,0.298156,0.000832,0.002496,0.001184,0.000608,0.955109
0.416433,0.017664,0.203624,0.262155,0.000736,0.002336,0.001216,0.000416,0.912260
0.417360,0.017761,0.201896,0.265354,0.000736,0.002272,0.001057,0.000672,0.916036
0.420049,0.017504,0.202056,0.267979,0.000896,0.002112,0.001152,0.000576,0.919940
0.435249,0.017824,0.202184,0.277227,0.000800,0.002400,0.001121,0.000416,0.944165
0.416048,0.017665,0.202120,0.258314,0.000896,0.002240,0.001088,0.000416,0.906339
0.416912,0.017697,0.202216,0.263018,0.000736,0.002208,0.000992,0.000384,0.911491
0.416240,0.017824,0.215785,0.270890,0.000705,0.002144,0.001184,0.000384,0.933157
0.415665,0.017536,0.202120,0.257930,0.000865,0.002432,0.001088,0.000384,0.905252
0.439730,0.018016,0.209672,0.269578,0.000864,0.002529,0.001184,0.000416,0.951590
0.415792,0.017825,0.202120,0.275851,0.000800,0.002816,0.001280,0.000640,0.925956
0.420912,0.017889,0.201928,0.268843,0.000832,0.002336,0.001216,0.000608,0.922404
0.416624,0.017633,0.202280,0.270763,0.000832,0.002368,0.001120,0.000384,0.920388
0.420336,0.017665,0.201896,0.258474,0.000928,0.002240,0.001216,0.000608,0.910979
0.433169,0.017665,0.202536,0.271402,0.000832,0.002240,0.001281,0.000416,0.937765
0.420048,0.017953,0.201928,0.258026,0.000768,0.002048,0.001280,0.000352,0.910020
0.415888,0.017569,0.202088,0.268554,0.000832,0.001984,0.001248,0.000640,0.916260
0.415792,0.017665,0.201896,0.285355,0.000800,0.002144,0.001088,0.000576,0.933412
0.415889,0.017632,0.202247,0.252714,0.000928,0.002369,0.001184,0.000384,0.901860
0.420433,0.017600,0.202376,0.259339,0.000928,0.002144,0.001248,0.000416,0.912772
0.420208,0.017792,0.201864,0.298764,0.000832,0.002144,0.001280,0.000352,0.951205
0.453170,0.017536,0.202280,0.293260,0.001120,0.003200,0.001344,0.000576,0.981062
0.415824,0.017825,0.202120,0.272810,0.000768,0.002208,0.001152,0.000640,0.921188
0.416529,0.017569,0.202024,0.271018,0.000800,0.002144,0.001280,0.000640,0.920517
0.420176,0.017665,0.219305,0.266314,0.000704,0.002176,0.001344,0.000576,0.936516
0.416337,0.017728,0.202088,0.256810,0.000800,0.002656,0.001312,0.000608,0.906372
0.415697,0.018273,0.202216,0.259434,0.000704,0.002080,0.001312,0.000608,0.907940
0.416944,0.017697,0.202056,0.274347,0.000768,0.002176,0.001248,0.000352,0.923780
0.420721,0.017697,0.202120,0.264234,0.000704,0.003264,0.001248,0.000384,0.918756
0.416336,0.017793,0.202376,0.259082,0.000928,0.002240,0.001248,0.000416,0.908835
0.415920,0.017697,0.203304,0.259818,0.000736,0.002113,0.001280,0.000416,0.909316
0.438769,0.017312,0.202632,0.263563,0.000832,0.002272,0.001344,0.000416,0.935109
0.416016,0.017697,0.202344,0.265546,0.000704,0.002337,0.001152,0.000608,0.914148
0.431697,0.017537,0.202056,0.261354,0.000672,0.002336,0.001248,0.000384,0.925348
0.415376,0.018113,0.202088,0.275307,0.000832,0.002272,0.001088,0.000416,0.923204
0.415761,0.018144,0.202087,0.261227,0.001152,0.003392,0.001152,0.000352,0.911396
0.420465,0.017729,0.201959,0.262955,0.000768,0.003232,0.001120,0.000352,0.915940
0.420753,0.017441,0.202120,0.254634,0.000832,0.002272,0.001120,0.000384,0.906756
0.434065,0.017569,0.202120,0.275147,0.000800,0.003104,0.001120,0.000384,0.942373
0.420657,0.017504,0.201832,0.257130,0.000832,0.002336,0.001184,0.000416,0.910468
0.416528,0.017537,0.202184,0.270347,0.000832,0.003200,0.001216,0.000448,0.919908
0.416400,0.017889,0.202184,0.283979,0.000832,0.002240,0.001120,0.000416,0.932868
0.420881,0.017344,0.202088,0.274731,0.000704,0.002272,0.001152,0.000416,0.927428
0.420593,0.017633,0.202216,0.271786,0.000736,0.003073,0.001184,0.000384,0.925189
0.421392,0.017633,0.202088,0.269163,0.000736,0.003072,0.001056,0.000608,0.923588
0.420080,0.017312,0.202440,0.270795,0.000768,0.002176,0.001152,0.000416,0.922916
0.417008,0.017472,0.202248,0.267435,0.000704,0.002912,0.001152,0.000448,0.916708
0.417361,0.017472,0.202407,0.273899,0.000704,0.002240,0.001120,0.000384,0.923044
0.420944,0.017760,0.218537,0.272523,0.000736,0.002112,0.001216,0.000352,0.941381
0.420368,0.017665,0.202504,0.263018,0.000704,0.002304,0.001088,0.000416,0.915844
0.420401,0.017760,0.203496,0.265355,0.000960,0.002336,0.000960,0.000384,0.919748
0.420432,0.017696,0.202024,0.270219,0.000736,0.002176,0.000864,0.000544,0.922852
0.420656,0.017536,0.202824,0.274955,0.000896,0.002304,0.001088,0.000608,0.928772
0.416816,0.017697,0.202856,0.261930,0.000832,0.002240,0.001056,0.000416,0.912068
0.416912,0.017536,0.202728,0.276363,0.000800,0.002368,0.001152,0.000320,0.924676
0.440689,0.017569,0.202984,0.280075,0.000832,0.002272,0.001088,0.000416,0.954341
0.416144,0.017537,0.202312,0.270186,0.000769,0.002240,0.001248,0.000416,0.918756
0.416177,0.017600,0.202184,0.256010,0.000800,0.002433,0.001216,0.000352,0.904484
0.420272,0.018401,0.202216,0.295468,0.000832,0.002400,0.001120,0.000384,0.949445
0.417360,0.017473,0.203688,0.272875,0.000832,0.002304,0.001152,0.000384,0.924740
0.423024,0.017889,0.204680,0.321965,0.001312,0.003456,0.002560,0.000608,0.989350
0.416112,0.017537,0.203016,0.252010,0.000832,0.002656,0.001056,0.000832,0.902851
0.421008,0.017601,0.203336,0.290539,0.000961,0.002400,0.002048,0.000576,0.950405
0.416432,0.017761,0.202184,0.272650,0.000960,0.002433,0.001568,0.000352,0.922724
0.420176,0.017696,0.202216,0.262282,0.000736,0.002400,0.001408,0.000672,0.914916
0.434929,0.017600,0.203080,0.281387,0.000864,0.002465,0.000960,0.000352,0.949382
0.415472,0.017665,0.202504,0.274731,0.000864,0.002176,0.001024,0.000416,0.922468
0.420817,0.017728,0.202248,0.259178,0.000704,0.002016,0.001184,0.000384,0.912260
0.415792,0.017473,0.202216,0.290571,0.000736,0.002272,0.001152,0.000384,0.939269
0.420080,0.017729,0.202088,0.267051,0.000864,0.002336,0.001280,0.000352,0.920036
0.420145,0.017729,0.202344,0.272330,0.000768,0.002144,0.001057,0.000384,0.924901
0.416144,0.017665,0.202696,0.254858,0.000832,0.002368,0.001376,0.000416,0.904035
0.433489,0.017761,0.202216,0.310156,0.000800,0.002336,0.001089,0.000384,0.976007
0.419952,0.017537,0.202280,0.271627,0.000768,0.002304,0.001152,0.000384,0.923812
0.421328,0.017568,0.202088,0.261834,0.000833,0.002272,0.001024,0.000608,0.914980
0.415440,0.017761,0.221929,0.283307,0.000768,0.002304,0.001120,0.000416,0.950245
0.420369,0.017760,0.204072,0.268075,0.000704,0.003104,0.001056,0.000608,0.923492
0.415792,0.017921,0.202568,0.273579,0.000768,0.002080,0.001216,0.000576,0.922372
0.416305,0.017760,0.202184,0.257866,0.000705,0.002144,0.001120,0.000640,0.906724
0.416240,0.017761,0.203272,0.279723,0.000832,0.002752,0.001184,0.000384,0.930308
0.416080,0.017697,0.202600,0.270698,0.000992,0.002209,0.001056,0.000320,0.919748
0.415984,0.017729,0.202920,0.256938,0.000800,0.003008,0.001184,0.000352,0.906627
0.438130,0.017600,0.203016,0.295916,0.000736,0.002080,0.001152,0.000352,0.967046
0.414673,0.017632,0.202408,0.262027,0.000768,0.002112,0.001152,0.000416,0.908804
0.415792,0.017345,0.202440,0.273611,0.000832,0.002048,0.001024,0.000416,0.921348
0.420305,0.017761,0.202376,0.293771,0.000800,0.002144,0.001056,0.000576,0.946246
0.415728,0.017824,0.202056,0.270891,0.000800,0.002784,0.001152,0.000384,0.918852
0.420689,0.017408,0.201960,0.270859,0.000832,0.002016,0.001056,0.000416,0.922308
0.420401,0.017728,0.202088,0.255914,0.000960,0.002080,0.001056,0.000384,0.908484
0.437554,0.017728,0.203016,0.276171,0.000832,0.002272,0.001313,0.000384,0.947526
0.416144,0.017633,0.202248,0.276298,0.000832,0.002368,0.001024,0.000384,0.924324
0.420688,0.017728,0.202152,0.269963,0.000800,0.002080,0.001152,0.000576,0.922468
0.415729,0.017696,0.202184,0.286476,0.000736,0.002016,0.001248,0.000384,0.934021
0.419793,0.017473,0.201960,0.280075,0.000800,0.002208,0.001120,0.000384,0.931205
0.419824,0.017569,0.202408,0.282891,0.000864,0.002208,0.001024,0.000416,0.934628
0.415760,0.017600,0.202696,0.267627,0.000832,0.002272,0.001216,0.000640,0.915684
0.438674,0.017792,0.202151,0.280523,0.000833,0.002816,0.001120,0.000384,0.951558
0.420112,0.017985,0.202664,0.266507,0.000832,0.002112,0.001088,0.000352,0.918532
0.420464,0.018017,0.203688,0.266570,0.000864,0.001985,0.001216,0.000384,0.920804
0.420080,0.018049,0.219817,0.278699,0.000832,0.002144,0.001216,0.000448,0.950085
0.420176,0.017761,0.202760,0.259274,0.000768,0.002112,0.001088,0.000384,0.911364
0.420016,0.017761,0.202184,0.263050,0.000768,0.002081,0.001120,0.000448,0.914532
0.421104,0.017505,0.202344,0.263018,0.000800,0.002624,0.001089,0.000384,0.916612
0.420816,0.017633,0.202088,0.260970,0.000832,0.002080,0.001120,0.000384,0.913891
0.420049,0.017633,0.202440,0.265098,0.000736,0.002720,0.001184,0.000416,0.917668
0.416369,0.017249,0.202120,0.277290,0.000897,0.002304,0.000928,0.000640,0.925349
0.435025,0.017505,0.202376,0.261962,0.000768,0.002944,0.001056,0.000448,0.929252
0.420528,0.017729,0.202088,0.277643,0.000832,0.002272,0.001088,0.000608,0.930756
0.415824,0.017953,0.202856,0.295531,0.000993,0.002304,0.001184,0.000608,0.944645
0.416433,0.017728,0.202824,0.289964,0.001088,0.002976,0.001248,0.000352,0.943045
0.421201,0.017697,0.202408,0.258218,0.000896,0.002176,0.001120,0.000384,0.912644
0.420881,0.017729,0.202376,0.262762,0.000832,0.002144,0.001248,0.000384,0.916292
0.420401,0.017697,0.202216,0.262026,0.000736,0.002112,0.001120,0.000352,0.914692
0.438161,0.017601,0.202344,0.265738,0.000736,0.002112,0.001153,0.000608,0.936389
0.415953,0.017921,0.201863,0.263370,0.000832,0.002304,0.000992,0.000352,0.910756
0.415824,0.017729,0.202184,0.262762,0.000960,0.002336,0.000960,0.000384,0.910115
0.415888,0.017664,0.201800,0.299340,0.001088,0.003072,0.001024,0.000384,0.948677
0.415984,0.017729,0.202216,0.248522,0.000960,0.002848,0.001216,0.000384,0.896803
0.416817,0.017761,0.202407,0.260874,0.000736,0.002336,0.001216,0.000384,0.910980
0.416145,0.017728,0.201960,0.257674,0.000736,0.002208,0.001088,0.000384,0.905892
0.429200,0.017761,0.202312,0.247562,0.000768,0.002752,0.001120,0.000384,0.908740
0.415984,0.017953,0.202312,0.240233,0.000736,0.002112,0.000960,0.000384,0.887650
0.420880,0.017729,0.203240,0.265323,0.000672,0.002464,0.001088,0.000416,0.918820
0.415920,0.017985,0.202472,0.298700,0.000736,0.002304,0.001120,0.000352,0.946981
0.416721,0.017665,0.203240,0.249449,0.000864,0.002337,0.001024,0.000416,0.898628
0.415984,0.017473,0.202536,0.246154,0.000736,0.002144,0.000896,0.000416,0.892867
0.415568,0.017441,0.202088,0.257994,0.000640,0.002144,0.000992,0.000608,0.903843
0.428048,0.017793,0.202056,0.281003,0.000800,0.002176,0.000960,0.000352,0.939844
0.417680,0.017696,0.202184,0.262218,0.000896,0.002208,0.001152,0.000608,0.913124
0.415280,0.017825,0.202248,0.255818,0.000800,0.002976,0.001024,0.000352,0.903619
0.416881,0.017856,0.201864,0.298412,0.000832,0.002304,0.001024,0.000384,0.946981
0.415889,0.017729,0.201959,0.269771,0.000864,0.002144,0.001024,0.000384,0.917252
0.415792,0.017697,0.202088,0.243562,0.000736,0.002336,0.000960,0.000352,0.890115
0.415920,0.017664,0.202280,0.247882,0.000736,0.002112,0.000864,0.000416,0.895491
0.427569,0.017920,0.202247,0.273451,0.000704,0.002048,0.000928,0.000576,0.932548
0.415664,0.017729,0.202664,0.253578,0.000768,0.002144,0.000896,0.000352,0.900387
0.420625,0.017504,0.201960,0.244490,0.000736,0.002496,0.001024,0.000384,0.897027
0.415441,0.017600,0.201864,0.280203,0.000736,0.002817,0.001056,0.000352,0.928229
0.418609,0.017985,0.202248,0.263690,0.000832,0.002688,0.001280,0.000416,0.916612
0.416881,0.017857,0.201959,0.274123,0.000800,0.002368,0.001152,0.000448,0.923365
0.416720,0.017537,0.201800,0.234601,0.001088,0.002624,0.001120,0.000384,0.883330
0.429393,0.018017,0.202152,0.251113,0.000864,0.002208,0.001056,0.000384,0.912132
0.415760,0.017729,0.202184,0.292332,0.000864,0.002336,0.000992,0.000416,0.940517
0.415825,0.017409,0.202471,0.247849,0.000896,0.002688,0.001057,0.000448,0.896932
0.416304,0.017665,0.201992,0.301932,0.000832,0.002304,0.001056,0.000352,0.950693
0.415632,0.017953,0.201928,0.232649,0.000800,0.002080,0.001056,0.000384,0.879586
0.416048,0.017601,0.201768,0.303596,0.000768,0.002240,0.000896,0.000384,0.949413
0.415665,0.017408,0.201896,0.300460,0.000800,0.002304,0.000960,0.000352,0.946757
0.432977,0.017761,0.202312,0.258954,0.000704,0.003200,0.001408,0.000608,0.926436
0.416208,0.018177,0.201544,0.262442,0.001024,0.003009,0.000960,0.000352,0.911492
0.415920,0.017761,0.201832,0.264714,0.000800,0.002240,0.000961,0.000384,0.910852
0.415472,0.017473,0.201736,0.278986,0.001088,0.002112,0.000992,0.000384,0.925156
0.415665,0.017920,0.201928,0.281867,0.000768,0.002176,0.000928,0.000384,0.927813
0.415537,0.017504,0.201576,0.235754,0.000736,0.002144,0.000896,0.000384,0.880483
0.416240,0.017473,0.201864,0.255914,0.000832,0.002592,0.001024,0.000352,0.903459
0.430320,0.017888,0.201928,0.250314,0.000800,0.002272,0.000960,0.000384,0.911459
0.414833,0.017408,0.202151,0.232682,0.000736,0.001952,0.000960,0.000416,0.877123
0.416401,0.017697,0.201864,0.235817,0.000832,0.002048,0.000896,0.000384,0.883331
0.416913,0.018048,0.202919,0.266379,0.000736,0.001952,0.001056,0.000384,0.916100
0.415376,0.017889,0.203464,0.268522,0.000800,0.002112,0.000992,0.000385,0.918244
0.415792,0.017345,0.203432,0.241161,0.000768,0.001856,0.000928,0.000288,0.887555
0.415344,0.017825,0.202376,0.260234,0.000768,0.001920,0.000800,0.000352,0.905923
0.430897,0.017569,0.201960,0.266378,0.000736,0.001793,0.000992,0.000384,0.927301
0.414288,0.017281,0.201832,0.231401,0.000736,0.001952,0.000960,0.000576,0.875298
0.415728,0.017505,0.202248,0.243466,0.001056,0.004928,0.000832,0.000416,0.892611
0.415312,0.017217,0.202248,0.234025,0.000672,0.001856,0.000736,0.000416,0.878210
0.415921,0.017728,0.203240,0.233450,0.001024,0.002240,0.001024,0.000352,0.881475
0.416528,0.017473,0.202024,0.238249,0.000608,0.001952,0.000864,0.000352,0.885027
0.416977,0.017824,0.206697,0.286955,0.000704,0.002016,0.001152,0.000384,0.941125
0.415760,0.017857,0.235369,0.257386,0.000800,0.001920,0.000928,0.000416,0.937508
0.415856,0.017536,0.201960,0.246506,0.000672,0.001952,0.001024,0.000704,0.893507
0.414480,0.017857,0.201800,0.248073,0.000673,0.002048,0.001024,0.000416,0.893795
0.420721,0.017472,0.201640,0.244106,0.000672,0.001920,0.001088,0.000352,0.894659
0.416081,0.017472,0.201991,0.250250,0.001120,0.002912,0.001024,0.000384,0.901284
0.416944,0.017697,0.202312,0.267978,0.000768,0.002177,0.001216,0.000512,0.916932
0.415728,0.017889,0.202280,0.245802,0.000768,0.001824,0.000960,0.000416,0.891395
0.415664,0.017441,0.219017,0.292171,0.000640,0.001888,0.000992,0.000416,0.954150
0.416144,0.017633,0.201896,0.242505,0.000704,0.002144,0.001056,0.000416,0.889346
0.417073,0.017856,0.203816,0.254986,0.000704,0.002369,0.001248,0.000384,0.906276
0.416656,0.017505,0.202376,0.251625,0.000672,0.001952,0.000832,0.000416,0.898851
0.419920,0.017921,0.202216,0.246250,0.000768,0.001984,0.000928,0.000448,0.896803
0.415824,0.017664,0.202056,0.241514,0.000576,0.001760,0.000960,0.000384,0.886851
0.421201,0.017697,0.201831,0.261931,0.000832,0.002016,0.000864,0.000416,0.915140
0.420784,0.017953,0.214057,0.259754,0.000640,0.001888,0.000864,0.000320,0.923364
0.420849,0.017761,0.202216,0.248969,0.000736,0.001920,0.000928,0.000384,0.900580
0.420497,0.017536,0.202408,0.268171,0.000704,0.002272,0.000896,0.000416,0.919556
0.415120,0.017729,0.202120,0.266250,0.000640,0.002113,0.000928,0.000448,0.911812
0.416337,0.017729,0.202376,0.276074,0.000992,0.005025,0.000960,0.000416,0.927845
0.420688,0.017472,0.201928,0.264267,0.000800,0.002816,0.001344,0.000384,0.918820
0.415824,0.017569,0.202056,0.245257,0.001057,0.003136,0.000864,0.000352,0.893731
0.415984,0.017569,0.216873,0.253578,0.000704,0.002048,0.001184,0.000384,0.915940
0.416049,0.021184,0.202280,0.263339,0.000768,0.001856,0.000896,0.000416,0.913412
0.415857,0.017408,0.201768,0.244394,0.000704,0.002016,0.000864,0.000416,0.890595
0.416177,0.017473,0.202247,0.259915,0.000800,0.001792,0.000896,0.000352,0.906372
0.429745,0.017601,0.202472,0.254218,0.000736,0.001888,0.001120,0.000352,0.915236
0.417009,0.017440,0.202216,0.264971,0.000800,0.002016,0.000960,0.000384,0.912580
0.415600,0.017729,0.201864,0.272650,0.000736,0.002624,0.000992,0.000384,0.920068
0.416528,0.017441,0.218952,0.267883,0.000864,0.001984,0.000960,0.000384,0.932420
0.421584,0.017728,0.203272,0.264779,0.000800,0.002016,0.001184,0.000608,0.921092
0.416048,0.017729,0.202568,0.263818,0.000928,0.002272,0.001120,0.000384,0.912867
0.417457,0.017536,0.202184,0.248810,0.000896,0.002112,0.000992,0.000416,0.897187
0.416081,0.017857,0.201991,0.250218,0.000864,0.002112,0.000864,0.000320,0.897412
0.416496,0.017761,0.202152,0.242122,0.001024,0.002656,0.001056,0.000416,0.890659
0.416337,0.017952,0.201928,0.250474,0.000800,0.002048,0.001056,0.000417,0.897700
0.415376,0.017921,0.216937,0.243305,0.000896,0.002048,0.001088,0.000384,0.904867
0.420816,0.017473,0.202120,0.258474,0.000672,0.002016,0.001120,0.000416,0.910211
0.416785,0.017792,0.201992,0.272171,0.000736,0.002208,0.001120,0.000384,0.919524
0.414929,0.017696,0.202567,0.240586,0.000704,0.002016,0.001088,0.000384,0.887363
0.433713,0.017889,0.201992,0.272203,0.000736,0.002016,0.001280,0.000352,0.939461
0.416241,0.017696,0.202216,0.257066,0.000800,0.001984,0.000896,0.000352,0.904100
0.421201,0.017825,0.202152,0.266858,0.000672,0.002080,0.001088,0.000416,0.919716
0.422417,0.017536,0.215593,0.276203,0.000768,0.001888,0.000928,0.000352,0.943845
0.414672,0.017729,0.202152,0.261098,0.000704,0.001920,0.001120,0.000416,0.906371
0.416048,0.017953,0.202024,0.247017,0.000672,0.001984,0.001025,0.000384,0.893539
0.421648,0.017633,0.203112,0.268747,0.000672,0.002048,0.001024,0.000416,0.923876
0.416368,0.017665,0.202312,0.266634,0.000736,0.002144,0.001120,0.000384,0.914787
0.421489,0.017633,0.202408,0.254570,0.000672,0.002112,0.001088,0.000384,0.908228
0.416368,0.017632,0.201800,0.259114,0.000800,0.002145,0.001152,0.000352,0.908132
0.416016,0.017569,0.219401,0.258506,0.001056,0.002528,0.001088,0.000352,0.925700
0.415696,0.017760,0.201672,0.266603,0.000672,0.002272,0.001056,0.000416,0.913284
0.416656,0.017601,0.202472,0.258026,0.000672,0.002080,0.001088,0.000320,0.906147
0.420593,0.017729,0.202120,0.259882,0.000608,0.002400,0.000992,0.000384,0.912612
0.415696,0.017665,0.201992,0.265898,0.000672,0.001952,0.001088,0.000384,0.913060
0.415792,0.017857,0.201736,0.251658,0.000672,0.002080,0.001184,0.000448,0.898851
0.415952,0.017696,0.201800,0.252234,0.000736,0.001952,0.001088,0.000608,0.899235
0.440242,0.018016,0.202280,0.271275,0.000640,0.002016,0.001120,0.000352,0.943397
0.416496,0.017665,0.202536,0.253546,0.001120,0.002624,0.001152,0.000384,0.903715
0.418129,0.017953,0.203848,0.263178,0.000704,0.002560,0.001216,0.000384,0.916804
0.421265,0.017601,0.202888,0.299371,0.000672,0.002304,0.001152,0.000384,0.953542
0.415632,0.017793,0.202760,0.264682,0.000640,0.002016,0.001024,0.000384,0.912579
0.420848,0.017761,0.202664,0.261418,0.000896,0.003296,0.001089,0.000352,0.916676
0.416080,0.017697,0.202248,0.252106,0.000736,0.001952,0.001056,0.000384,0.898979
0.431441,0.017537,0.202504,0.283307,0.000800,0.002560,0.001024,0.000384,0.948005
0.415024,0.017217,0.202280,0.267082,0.000672,0.001888,0.001025,0.000416,0.911780
0.781631,0.017537,0.374606,0.383407,0.001056,0.002753,0.001248,0.000384,1.570782
0.420113,0.017697,0.202120,0.255082,0.000736,0.001952,0.001088,0.000352,0.906756
0.415824,0.017409,0.202216,0.255338,0.000672,0.001920,0.001120,0.000352,0.901891
0.416721,0.017728,0.204072,0.261162,0.001120,0.002272,0.001120,0.000384,0.912996
0.421136,0.017729,0.241961,0.276395,0.000768,0.002048,0.001088,0.000417,0.969862
0.418993,0.017632,0.202536,0.260971,0.001088,0.003200,0.001056,0.000384,0.913508
0.420433,0.017473,0.202375,0.260106,0.000736,0.001952,0.000992,0.000384,0.911524
0.415440,0.017665,0.202472,0.235977,0.000672,0.002112,0.000992,0.000384,0.882146
0.415888,0.017313,0.202568,0.246122,0.000704,0.001952,0.001056,0.000384,0.892867
0.415441,0.017857,0.202279,0.256362,0.000736,0.001952,0.001024,0.000384,0.903076
0.415025,0.017792,0.202280,0.270923,0.000640,0.001824,0.001024,0.000384,0.916772
0.438417,0.017953,0.202632,0.241641,0.001216,0.003040,0.000992,0.000352,0.914628
0.420113,0.017696,0.202664,0.255178,0.000737,0.002048,0.001056,0.000384,0.907620
0.417520,0.017505,0.202824,0.265354,0.000896,0.002336,0.001184,0.000416,0.916516
0.420816,0.017921,0.202952,0.244522,0.000672,0.003040,0.001152,0.000416,0.898947
0.419600,0.017473,0.202568,0.252042,0.000672,0.001952,0.001184,0.000608,0.903523
0.415889,0.017249,0.202663,0.259115,0.000640,0.002016,0.001024,0.000576,0.905764
0.418192,0.017697,0.204680,0.269515,0.000864,0.002176,0.001120,0.000416,0.924708
0.435601,0.017760,0.204008,0.262667,0.001056,0.003328,0.001088,0.000384,0.935493
0.421169,0.017761,0.204936,0.251914,0.000768,0.002176,0.001120,0.000416,0.907748
0.415953,0.017664,0.202792,0.264459,0.000704,0.002048,0.001024,0.000352,0.912868
0.415888,0.017728,0.204936,0.276939,0.000800,0.003136,0.001152,0.000416,0.928900
