Layer[0],Layer[1],Layer[2],TEE[3-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415952,0.017504,0.202024,0.288492,0.000704,0.001856,0.001088,0.000416,0.934597
0.420561,0.017857,0.202919,0.246666,0.000800,0.003072,0.001088,0.000352,0.900388
0.416912,0.017505,0.202024,0.282763,0.000832,0.002016,0.001024,0.000384,0.930884
0.420016,0.017729,0.202184,0.245514,0.000800,0.002144,0.000992,0.000384,0.897187
0.419889,0.017536,0.202696,0.280427,0.000705,0.002016,0.000992,0.000384,0.931269
0.421041,0.017664,0.202087,0.262155,0.000768,0.002176,0.001088,0.000384,0.914052
0.433265,0.017569,0.202216,0.258794,0.000640,0.001984,0.001088,0.000576,0.923429
0.415344,0.017409,0.201800,0.246761,0.000800,0.002081,0.000960,0.000608,0.891875
0.415760,0.017633,0.202280,0.263146,0.000928,0.002337,0.001184,0.000608,0.912580
0.416305,0.017633,0.203015,0.290859,0.000736,0.002336,0.001120,0.000608,0.940581
0.416496,0.018049,0.202216,0.273226,0.000864,0.002080,0.000992,0.000384,0.921476
0.415441,0.017760,0.202344,0.248266,0.000704,0.002048,0.000992,0.000384,0.895395
0.415312,0.017441,0.202472,0.272234,0.000736,0.002081,0.001056,0.000384,0.918852
0.438833,0.017441,0.202952,0.271851,0.000736,0.002112,0.001152,0.000608,0.943269
0.415152,0.017505,0.202056,0.261322,0.000832,0.003297,0.000992,0.000384,0.908804
0.415600,0.017281,0.201800,0.250057,0.000736,0.002144,0.000928,0.000352,0.896259
0.415952,0.017217,0.202376,0.275531,0.000672,0.001952,0.001120,0.000384,0.922308
0.420400,0.017697,0.202248,0.254282,0.000704,0.002176,0.001088,0.000384,0.906147
0.421392,0.018017,0.202856,0.258186,0.000736,0.002144,0.001121,0.000384,0.912548
0.416048,0.017633,0.202856,0.245417,0.000832,0.003008,0.001121,0.000384,0.894819
0.436017,0.017761,0.202344,0.270218,0.000672,0.002176,0.000960,0.000385,0.936677
0.415920,0.017345,0.202408,0.260970,0.000672,0.002017,0.001088,0.000416,0.908324
