Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-10],classifier
0.422928,0.018049,0.207112,0.005216,0.271979,1.010472
0.417264,0.017857,0.203848,0.005088,0.208360,0.924356
0.417680,0.017728,0.204200,0.004800,0.204008,0.917956
0.420720,0.017953,0.203208,0.005056,0.204904,0.928196
0.417297,0.018113,0.203144,0.005056,0.195175,0.913348
0.437649,0.017633,0.202952,0.005120,0.206760,0.955173
0.421361,0.017729,0.203016,0.005312,0.181383,0.905316
0.421169,0.017728,0.202120,0.005249,0.184359,0.902211
0.421168,0.017569,0.203144,0.005280,0.193992,0.933700
0.416976,0.017473,0.203624,0.005312,0.196744,0.915108
0.421392,0.017761,0.202408,0.005248,0.208841,0.928580
0.421009,0.017824,0.202600,0.005121,0.186983,0.905539
0.439121,0.017857,0.203400,0.005024,0.197480,0.940741
0.420273,0.017728,0.202664,0.005025,0.189735,0.907332
0.419953,0.017536,0.202824,0.005249,0.204584,0.922852
0.417584,0.017729,0.228137,0.005184,0.207784,0.948645
0.424209,0.017729,0.203560,0.005088,0.207240,0.934565
0.420912,0.017537,0.202792,0.005216,0.203080,0.920324
0.421233,0.017697,0.201959,0.005281,0.210632,0.956710
0.416944,0.017537,0.203368,0.005248,0.203176,0.915396
0.416688,0.017761,0.202856,0.005312,0.211593,0.926628
0.420464,0.017761,0.202600,0.005088,0.196296,0.915620
0.435441,0.017696,0.203304,0.005249,0.210344,0.939268
0.420625,0.017536,0.202311,0.005313,0.192295,0.913796
0.420433,0.017953,0.203080,0.005312,0.204712,0.920132
0.423025,0.017760,0.224361,0.005216,0.214953,0.976006
0.417040,0.017697,0.202440,0.004832,0.207848,0.916259
0.416208,0.017568,0.202632,0.005248,0.208297,0.918020
0.417328,0.017760,0.202600,0.005312,0.198024,0.913092
0.417328,0.017569,0.203240,0.005280,0.195400,0.909987
0.419889,0.017760,0.203208,0.005281,0.196455,0.910436
0.419985,0.017600,0.202920,0.005409,0.190951,0.903971
0.439409,0.017537,0.202248,0.005280,0.198152,0.932676
0.417009,0.017696,0.202376,0.004801,0.204200,0.916836
0.420240,0.017537,0.202152,0.005248,0.180615,0.899395
0.419889,0.017792,0.203368,0.005313,0.203528,0.926564
0.417489,0.017729,0.202728,0.005280,0.202952,0.915492
0.417936,0.017665,0.204904,0.005024,0.209224,0.925572
0.420881,0.017664,0.204008,0.004897,0.197831,0.916004
0.431505,0.017793,0.202920,0.005280,0.197448,0.929285
