Layer[0],Layer[1],Layer[2],Layer[3],TEE[4-10],classifier
0.420017,0.017888,0.203304,0.005281,0.188647,0.902467
0.434257,0.017760,0.202472,0.005248,0.197064,0.936485
0.420848,0.017537,0.202984,0.004832,0.195272,0.912099
0.415696,0.017440,0.204488,0.004736,0.198408,0.906692
0.420305,0.017472,0.202728,0.004993,0.213512,0.936165
0.420177,0.017601,0.202632,0.004800,0.192039,0.905092
0.419825,0.017729,0.202312,0.004992,0.192999,0.902244
0.419633,0.017729,0.202440,0.004768,0.195976,0.914564
0.433393,0.017600,0.202247,0.005089,0.199879,0.930308
0.415760,0.017537,0.202536,0.005184,0.185351,0.898371
0.416368,0.017761,0.202792,0.005024,0.194664,0.907236
0.420176,0.017825,0.203240,0.005056,0.210537,0.938021
0.420209,0.017505,0.202280,0.005248,0.186407,0.897188
0.415985,0.017536,0.202248,0.004865,0.182183,0.888163
0.420080,0.017537,0.202152,0.004960,0.182119,0.901443
0.445970,0.017761,0.202152,0.005248,0.202760,0.950182
0.420497,0.017473,0.202919,0.004768,0.244649,0.984711
0.419984,0.017473,0.202248,0.005312,0.195464,0.911459
0.420144,0.017696,0.202408,0.004832,0.245162,0.959110
0.416017,0.017728,0.203752,0.005089,0.196071,0.912196
0.420304,0.017633,0.202024,0.005120,0.202152,0.920228
0.419792,0.017569,0.202600,0.005024,0.195944,0.912675
0.420081,0.017537,0.202600,0.005088,0.186311,0.897443
0.420368,0.017601,0.202856,0.004800,0.180231,0.896515
0.420304,0.017697,0.205096,0.005248,0.192296,0.905251
0.415985,0.017345,0.232905,0.005152,0.177959,0.917796
0.420913,0.017504,0.202632,0.004801,0.188167,0.902339
0.419920,0.017377,0.202248,0.005056,0.188264,0.899555
0.420464,0.017665,0.202120,0.005440,0.195816,0.916772
0.435057,0.017569,0.202536,0.004960,0.197384,0.925829
0.420688,0.018177,0.203976,0.005248,0.196584,0.916484
0.416976,0.017601,0.203176,0.005280,0.190184,0.907684
0.420784,0.017697,0.219721,0.005248,0.188295,0.924516
0.420465,0.017728,0.202568,0.005056,0.194727,0.910180
0.416176,0.017569,0.202536,0.005152,0.202792,0.918628
0.421040,0.017633,0.202440,0.005024,0.192584,0.912099
0.416688,0.017569,0.202408,0.005280,0.174183,0.883714
0.417201,0.017568,0.202280,0.005313,0.199015,0.909444
0.417744,0.017696,0.203208,0.005184,0.200904,0.919876
0.437041,0.017793,0.203272,0.005280,0.192359,0.923236
0.416208,0.017505,0.202280,0.005056,0.182407,0.898915
0.415632,0.017632,0.203176,0.005312,0.202792,0.913924
0.416656,0.017601,0.202248,0.005184,0.211752,0.943204
0.416816,0.017761,0.202568,0.005248,0.187975,0.902915
0.420400,0.017473,0.202536,0.004992,0.200264,0.933732
0.422033,0.017345,0.203592,0.005312,0.203400,0.920228
0.440945,0.017760,0.202760,0.005056,0.200264,0.936677
0.416720,0.017856,0.203176,0.004800,0.181192,0.888515
0.420081,0.017601,0.202664,0.005184,0.183623,0.900612
0.421104,0.017633,0.203336,0.005216,0.215209,0.936516
0.416688,0.017504,0.203336,0.004800,0.218505,0.928228
0.420017,0.017504,0.203592,0.005281,0.199687,0.919204
0.426641,0.017729,0.202536,0.005056,0.203784,0.930661
0.436593,0.017601,0.202280,0.005088,0.199048,0.931173
0.415825,0.017728,0.202792,0.005281,0.176807,0.890979
0.416304,0.017697,0.203112,0.004832,0.192647,0.901987
0.419888,0.018241,0.224297,0.005216,0.197096,0.935780
0.415120,0.017633,0.202728,0.005216,0.184359,0.892611
0.419441,0.017473,0.202632,0.005280,0.186503,0.896323
0.420593,0.017537,0.203592,0.005216,0.186279,0.898340
0.435953,0.017729,0.202376,0.005248,0.183784,0.909444
0.421329,0.017537,0.203144,0.005248,0.196552,0.917060
0.421393,0.017664,0.202504,0.005088,0.188872,0.901475
0.415408,0.017537,0.202952,0.005056,0.217225,0.932292
0.420112,0.017793,0.203272,0.004800,0.183879,0.897123
0.420433,0.017761,0.202983,0.005249,0.187815,0.898243
0.420784,0.017632,0.202504,0.005056,0.194920,0.907395
0.438001,0.017793,0.202952,0.005120,0.196072,0.942085
0.421425,0.017696,0.202504,0.005217,0.177223,0.897507
0.420112,0.017729,0.202472,0.005280,0.188488,0.902435
0.415665,0.017760,0.220297,0.005184,0.200712,0.932325
0.419889,0.017473,0.202312,0.005216,0.211144,0.925733
0.419857,0.017505,0.202407,0.005217,0.203848,0.916868
0.421200,0.017569,0.202536,0.005248,0.183239,0.895747
0.422161,0.017505,0.203240,0.005248,0.205320,0.920644
0.420049,0.017537,0.202600,0.005248,0.192135,0.913828
0.420400,0.017537,0.202408,0.005248,0.190408,0.902947
0.437745,0.018016,0.203624,0.005185,0.192487,0.926469
0.420848,0.017793,0.202344,0.005088,0.183079,0.903171
0.415792,0.017473,0.202248,0.005024,0.194824,0.908931
0.421232,0.017665,0.203016,0.005376,0.186376,0.926948
0.421681,0.017696,0.202568,0.005121,0.194727,0.914244
0.420144,0.017633,0.203080,0.005280,0.198216,0.913796
0.420080,0.017889,0.202696,0.005248,0.183719,0.899683
0.438482,0.017728,0.202312,0.005249,0.203592,0.940357
0.419985,0.017633,0.203880,0.004800,0.204264,0.924677
0.420272,0.017569,0.202440,0.005248,0.201672,0.917668
0.419696,0.017537,0.202632,0.005248,0.243434,0.955845
0.419856,0.017633,0.202056,0.005280,0.172199,0.883650
0.420721,0.017505,0.202248,0.004992,0.193512,0.913540
0.420433,0.017537,0.202408,0.005248,0.203528,0.924165
0.421040,0.017537,0.202696,0.005088,0.203624,0.917795
0.418608,0.017793,0.203176,0.005280,0.191624,0.909059
0.416528,0.017729,0.202952,0.005248,0.203496,0.917860
0.417328,0.017536,0.220745,0.005152,0.203688,0.955782
0.419761,0.017505,0.202600,0.004992,0.202568,0.918724
0.420017,0.017472,0.202760,0.005249,0.187719,0.903044
0.420049,0.017344,0.202728,0.005249,0.187623,0.903844
0.415824,0.017537,0.202888,0.004864,0.198760,0.914563
0.415568,0.017537,0.202024,0.004832,0.201704,0.915588
0.422032,0.017761,0.202024,0.005280,0.196936,0.911043
0.440913,0.017665,0.202088,0.005088,0.221641,0.981542
0.421201,0.017537,0.202312,0.004832,0.196872,0.911972
0.421296,0.017537,0.202056,0.004800,0.207656,0.917860
0.419632,0.017537,0.202056,0.005312,0.229417,0.961349
0.420784,0.017504,0.203080,0.004992,0.202760,0.914180
0.415633,0.017760,0.202600,0.005249,0.195143,0.908868
0.416465,0.017473,0.202535,0.005281,0.196743,0.905060
0.440466,0.017568,0.203400,0.005281,0.198439,0.947429
0.416400,0.017761,0.203688,0.005280,0.209352,0.925092
0.422225,0.017632,0.202248,0.005377,0.198343,0.913060
0.420752,0.017569,0.202600,0.005088,0.220265,0.940069
0.420848,0.017601,0.202120,0.005216,0.203880,0.920036
0.420881,0.017824,0.202248,0.004992,0.194888,0.915044
0.416848,0.017472,0.202856,0.004768,0.176455,0.889955
0.436657,0.017441,0.202248,0.004832,0.212681,0.947685
0.415056,0.017473,0.202120,0.004800,0.197160,0.909795
0.420785,0.017505,0.202856,0.005088,0.185159,0.904132
0.421873,0.017537,0.202632,0.005280,0.214248,0.933765
0.416209,0.017728,0.202343,0.005281,0.198247,0.907332
0.416272,0.017697,0.202056,0.005312,0.200392,0.908707
0.420112,0.017761,0.202152,0.005248,0.190792,0.900963
0.442834,0.017729,0.202087,0.005281,0.205256,0.940741
0.415569,0.017568,0.202088,0.005121,0.191207,0.900068
0.420817,0.017504,0.201959,0.005249,0.194663,0.911748
0.419824,0.017761,0.203976,0.005024,0.202728,0.918500
0.416208,0.017761,0.202760,0.005056,0.175111,0.881667
0.420176,0.017536,0.202792,0.004832,0.194280,0.916196
0.420465,0.017761,0.202855,0.004801,0.182247,0.896931
0.440465,0.017633,0.201928,0.005088,0.189959,0.928836
0.421713,0.017505,0.202408,0.004832,0.198952,0.911044
0.420496,0.017601,0.201832,0.005216,0.192936,0.902947
0.417105,0.017504,0.201992,0.004993,0.202568,0.919012
0.416432,0.017409,0.202440,0.004832,0.196456,0.910755
0.420592,0.017537,0.202312,0.004800,0.186279,0.900291
0.420145,0.017505,0.202184,0.005152,0.177479,0.886403
0.437553,0.017537,0.202152,0.005024,0.201096,0.934437
0.420368,0.017633,0.202664,0.004832,0.186920,0.901379
0.420081,0.017537,0.202088,0.005056,0.200584,0.911556
0.420720,0.017505,0.202824,0.005216,0.213192,0.936004
0.429937,0.017601,0.203176,0.005024,0.213032,0.989351
0.420176,0.017537,0.202216,0.005280,0.187271,0.905827
0.416880,0.017696,0.204360,0.005121,0.204840,0.916676
0.437393,0.017568,0.203816,0.005280,0.199816,0.930053
0.420592,0.017793,0.202792,0.005024,0.204552,0.918916
0.420433,0.017601,0.203432,0.005088,0.201992,0.924292
0.421296,0.034690,0.203368,0.005120,0.198120,0.933188
0.417169,0.017600,0.202952,0.005089,0.192615,0.902051
0.417457,0.017761,0.203720,0.005024,0.193927,0.905700
0.420912,0.017857,0.202568,0.005056,0.192104,0.907779
0.416784,0.017633,0.203080,0.005056,0.195016,0.910148
0.416912,0.017473,0.202664,0.005184,0.190087,0.896707
0.416177,0.017536,0.203912,0.005057,0.194919,0.906692
0.442225,0.017953,0.203080,0.005088,0.212744,0.954277
0.420529,0.017856,0.203272,0.005249,0.191719,0.909476
0.427728,0.017856,0.210793,0.005344,0.247178,0.991046
0.421680,0.017728,0.204200,0.005088,0.223337,0.946437
0.416976,0.017761,0.203016,0.005088,0.172039,0.880930
0.416912,0.017569,0.203848,0.005088,0.207080,0.920068
0.416656,0.017505,0.203016,0.005120,0.188328,0.904515
0.439410,0.017888,0.202696,0.005121,0.209288,0.944389
0.417840,0.017537,0.203304,0.005248,0.190600,0.903011
0.420368,0.017697,0.203432,0.005216,0.186280,0.902179
0.416144,0.017824,0.222857,0.005184,0.188872,0.921732
0.419088,0.017537,0.202344,0.005280,0.184647,0.895587
0.416112,0.017760,0.203560,0.005216,0.193832,0.908452
0.420112,0.017633,0.202888,0.005120,0.195048,0.913667
0.417136,0.017665,0.202696,0.005088,0.181479,0.890211
0.419984,0.017505,0.202632,0.005152,0.191368,0.909251
0.421009,0.017600,0.203240,0.004769,0.188071,0.904772
0.416209,0.017568,0.222665,0.005440,0.207176,0.940997
0.420913,0.018145,0.203272,0.005216,0.184103,0.899172
0.415440,0.017537,0.203240,0.005248,0.196552,0.902275
0.417585,0.017568,0.203207,0.005217,0.192455,0.903172
0.416976,0.017697,0.203080,0.005024,0.204328,0.920516
0.422128,0.017665,0.203720,0.004992,0.182791,0.899171
0.422224,0.017792,0.203816,0.005024,0.200328,0.923524
0.443729,0.017728,0.202984,0.005216,0.200744,0.935013
0.422225,0.017696,0.203656,0.005217,0.190919,0.908292
0.421873,0.017665,0.203080,0.005248,0.204488,0.928357
0.417968,0.017697,0.203176,0.005312,0.204296,0.938149
0.420177,0.017664,0.202535,0.005025,0.190695,0.903908
0.422961,0.017665,0.202472,0.005280,0.197192,0.916804
0.418128,0.017473,0.204104,0.005280,0.188648,0.907235
0.436273,0.017568,0.202984,0.005248,0.188872,0.922532
0.418608,0.017537,0.203240,0.004832,0.190440,0.905123
0.421584,0.017601,0.203304,0.005152,0.191432,0.910755
0.416017,0.017632,0.202280,0.005248,0.183464,0.916260
0.422449,0.017824,0.203112,0.005313,0.200199,0.924004
0.423056,0.017984,0.203528,0.005248,0.203304,0.922916
0.421168,0.017729,0.203688,0.005120,0.183495,0.897507
0.437649,0.017761,0.202728,0.005280,0.231913,0.967654
0.422769,0.017729,0.203496,0.005088,0.203560,0.931877
0.421584,0.017697,0.203656,0.004992,0.189415,0.908643
0.419024,0.017600,0.202984,0.004960,0.218761,0.933669
0.418512,0.017728,0.203176,0.005280,0.204712,0.919620
0.417648,0.017665,0.202504,0.005408,0.201544,0.915588
0.416528,0.017633,0.203720,0.005280,0.183719,0.898499
0.437617,0.017633,0.202600,0.005120,0.193000,0.924292
0.418704,0.017537,0.203432,0.005248,0.204296,0.923172
0.424369,0.017793,0.202664,0.005088,0.199624,0.918500
0.418897,0.017729,0.218472,0.005184,0.195848,0.930117
0.416656,0.017728,0.203848,0.005056,0.205385,0.916036
0.417104,0.017761,0.203848,0.005280,0.194183,0.911203
0.421520,0.017569,0.203272,0.005056,0.194824,0.910467
0.417104,0.018048,0.203560,0.005088,0.205064,0.921220
0.422993,0.017536,0.203047,0.004993,0.179591,0.893667
0.420305,0.017696,0.203688,0.005249,0.188711,0.905668
0.416785,0.036929,0.203368,0.005280,0.207753,0.943237
0.417745,0.017504,0.202888,0.005249,0.204328,0.921188
0.421521,0.017633,0.203399,0.005216,0.188871,0.909284
0.421296,0.017729,0.203848,0.005088,0.199144,0.913315
0.416976,0.017601,0.203240,0.005248,0.205544,0.919780
0.420945,0.017537,0.203272,0.005024,0.192903,0.916484
0.416817,0.017568,0.203592,0.005249,0.188743,0.900388
0.437457,0.017537,0.203624,0.004800,0.199912,0.927652
0.418384,0.017761,0.204008,0.005408,0.199112,0.920452
0.422353,0.017505,0.203784,0.005344,0.195016,0.913156
0.417296,0.017761,0.202888,0.005056,0.193096,0.931972
0.422256,0.017536,0.202824,0.005312,0.196360,0.915204
0.422257,0.017537,0.202728,0.005312,0.200936,0.923012
0.417520,0.017505,0.202568,0.005280,0.201256,0.916708
0.435025,0.017696,0.202696,0.005313,0.192103,0.924804
0.422449,0.017665,0.202664,0.005312,0.195463,0.915908
0.418864,0.017664,0.203016,0.005120,0.188039,0.900419
0.422384,0.017568,0.202920,0.005280,0.209161,0.926564
0.418288,0.017537,0.202632,0.004864,0.197352,0.907843
0.422160,0.017505,0.203048,0.005280,0.178375,0.892322
0.421297,0.017632,0.203079,0.005057,0.203400,0.920132
0.442706,0.017472,0.203080,0.005089,0.194855,0.938501
0.421456,0.017505,0.203720,0.005056,0.186792,0.902435
0.419728,0.017696,0.202920,0.005216,0.188552,0.901667
0.420944,0.017536,0.203752,0.005024,0.195016,0.916612
0.420720,0.017537,0.203112,0.005248,0.199496,0.912995
0.421361,0.017473,0.202631,0.005057,0.188871,0.904612
0.415408,0.017729,0.202440,0.005248,0.192935,0.904611
0.435473,0.017601,0.202408,0.005248,0.203464,0.940901
0.420785,0.017697,0.202728,0.004864,0.189255,0.907044
0.421072,0.017473,0.203112,0.005376,0.202376,0.929796
0.421136,0.017569,0.224393,0.005120,0.197576,0.936100
0.416368,0.017569,0.202568,0.005248,0.185959,0.894915
0.419888,0.017729,0.203048,0.005024,0.189064,0.903683
0.415472,0.017504,0.202760,0.005248,0.200072,0.912516
0.423665,0.017537,0.202695,0.005280,0.190759,0.919140
0.421489,0.017921,0.202920,0.005024,0.184967,0.900804
0.420144,0.017505,0.202472,0.005152,0.186791,0.898595
0.417713,0.017761,0.218568,0.005152,0.201416,0.934725
0.416048,0.017601,0.202376,0.005216,0.196904,0.903491
0.415952,0.017793,0.202664,0.005120,0.199112,0.913156
0.415984,0.017601,0.202856,0.005024,0.183623,0.894083
0.416464,0.017761,0.202696,0.005152,0.193544,0.903139
0.420560,0.017697,0.203112,0.005312,0.199368,0.924452
0.416177,0.017920,0.202568,0.005249,0.180231,0.890531
0.414384,0.017729,0.233641,0.005184,0.189000,0.930820
0.416016,0.017792,0.203176,0.005024,0.200808,0.910084
0.417392,0.017505,0.202664,0.005088,0.187752,0.898563
0.420753,0.017536,0.202216,0.005025,0.189863,0.902243
0.417360,0.017633,0.203016,0.005280,0.192456,0.910691
0.417680,0.017632,0.203016,0.005024,0.202983,0.920068
0.421297,0.017569,0.202504,0.005056,0.187367,0.899332
0.442481,0.017633,0.202632,0.005248,0.186952,0.922468
0.421648,0.017729,0.202248,0.005248,0.196552,0.909219
0.417072,0.017665,0.202568,0.005280,0.201320,0.910500
0.416592,0.017696,0.203208,0.005216,0.189416,0.900355
0.421105,0.017569,0.203496,0.005216,0.196616,0.913892
0.417072,0.017729,0.203176,0.005088,0.193768,0.907363
0.416400,0.017537,0.202920,0.005024,0.195784,0.904867
0.431121,0.017537,0.202631,0.005153,0.198087,0.921284
0.415952,0.017729,0.203048,0.005312,0.197800,0.914532
0.417297,0.017441,0.202759,0.005217,0.192935,0.901828
0.415953,0.017760,0.202504,0.004768,0.190792,0.895523
0.416528,0.017409,0.202952,0.005184,0.169223,0.883363
0.416112,0.017697,0.202824,0.005184,0.175559,0.887682
0.415857,0.017601,0.202215,0.005089,0.177639,0.885571
0.415632,0.017569,0.220553,0.005376,0.190055,0.923428
0.415440,0.017505,0.202664,0.004832,0.215113,0.932773
0.414960,0.017697,0.202696,0.005024,0.199816,0.908515
0.416081,0.017697,0.203111,0.005217,0.193831,0.900260
0.415888,0.017473,0.202184,0.005280,0.169895,0.877858
0.416464,0.017728,0.202600,0.005280,0.186952,0.893955
0.417585,0.017728,0.202408,0.005249,0.176199,0.889795
0.419088,0.017824,0.215561,0.005152,0.190407,0.913124
0.421264,0.017728,0.202792,0.005088,0.189480,0.904899
0.416785,0.017504,0.202088,0.005217,0.185959,0.892387
0.420977,0.017760,0.203432,0.005057,0.198343,0.913604
0.427441,0.017729,0.202760,0.005024,0.189447,0.920836
0.416913,0.017504,0.203624,0.005217,0.190631,0.906628
0.416880,0.017537,0.203464,0.005248,0.197736,0.910948
0.416272,0.017568,0.202632,0.005120,0.208105,0.922692
0.417905,0.017761,0.203080,0.005248,0.203912,0.921925
0.420625,0.017696,0.202536,0.005249,0.203464,0.919364
0.420240,0.017537,0.214568,0.005376,0.198088,0.923333
0.452466,0.017600,0.202856,0.005281,0.208104,0.969830
0.420913,0.017601,0.202663,0.005281,0.194407,0.907140
0.422097,0.017825,0.207304,0.005312,0.210632,0.938277
0.435729,0.017857,0.204136,0.005056,0.190663,0.920388
0.421008,0.017856,0.204584,0.005152,0.192167,0.911108
0.421456,0.017632,0.203592,0.005281,0.189927,0.912772
0.421553,0.017857,0.204232,0.005312,0.191879,0.952006
0.417328,0.017729,0.203272,0.005344,0.194632,0.913220
0.420977,0.017601,0.202856,0.005216,0.187431,0.907748
0.420305,0.017825,0.203848,0.005312,0.202408,0.919972
0.435441,0.017728,0.203240,0.005248,0.178407,0.906148
0.415792,0.017889,0.201832,0.004800,0.183335,0.890306
0.420433,0.017536,0.202920,0.005281,0.199687,0.913412
0.421265,0.017761,0.202631,0.005089,0.206952,0.922116
0.416241,0.017825,0.201991,0.005025,0.181127,0.889571
0.420785,0.017761,0.202728,0.005248,0.186407,0.906596
0.420721,0.018049,0.202504,0.005248,0.196391,0.909892
0.436690,0.017568,0.203208,0.005089,0.186311,0.913956
0.421841,0.017536,0.202791,0.005281,0.186599,0.904452
0.420401,0.017729,0.201991,0.004833,0.195591,0.910180
0.420560,0.017793,0.236489,0.005248,0.215145,0.961957
0.415312,0.017601,0.202440,0.005024,0.177991,0.885507
0.420592,0.017569,0.202568,0.004800,0.186759,0.905315
0.421233,0.017537,0.202759,0.005185,0.186119,0.902948
0.420785,0.017761,0.202792,0.005088,0.173703,0.892483
0.417265,0.017665,0.202600,0.005248,0.190631,0.904132
0.420240,0.018336,0.202632,0.005248,0.187912,0.914788
0.421713,0.017792,0.222536,0.005184,0.185832,0.924324
0.421809,0.017601,0.202984,0.004896,0.182567,0.896196
0.420432,0.017569,0.202728,0.005280,0.176167,0.893859
0.421232,0.017537,0.202120,0.004800,0.220137,0.933380
0.420753,0.017760,0.202376,0.004801,0.181287,0.891299
0.420592,0.017857,0.202248,0.005056,0.187239,0.904675
0.420304,0.017792,0.202600,0.005248,0.185992,0.900355
0.420176,0.017696,0.220361,0.005184,0.190056,0.919620
0.416496,0.017952,0.203016,0.005281,0.192199,0.905156
0.420848,0.017760,0.201832,0.005248,0.187912,0.902019
0.420880,0.017665,0.202504,0.005120,0.190568,0.911651
0.423345,0.017761,0.205256,0.005184,0.193159,0.913988
0.417521,0.017536,0.204264,0.005153,0.193383,0.906052
0.421584,0.017729,0.202792,0.004960,0.185448,0.905443
0.434737,0.017889,0.203336,0.005280,0.190952,0.921444
0.421456,0.017537,0.203272,0.005120,0.187080,0.907203
0.416272,0.017793,0.203784,0.005024,0.178951,0.887555
0.422065,0.017664,0.203880,0.005185,0.182151,0.916068
0.416976,0.017601,0.202152,0.005312,0.196328,0.906755
0.416913,0.017696,0.202760,0.005057,0.193159,0.908868
0.421233,0.017504,0.202632,0.005057,0.187559,0.908996
0.435825,0.017729,0.203464,0.005216,0.193160,0.923940
0.421873,0.017536,0.202696,0.005248,0.198919,0.913188
0.418289,0.017505,0.203016,0.004928,0.185063,0.895363
0.422097,0.017601,0.202632,0.005248,0.220841,0.981159
0.421136,0.017633,0.202248,0.005056,0.191016,0.913123
0.421265,0.017696,0.203144,0.005249,0.184487,0.901795
0.417457,0.017473,0.202536,0.005152,0.194151,0.904420
0.441713,0.017697,0.203624,0.005216,0.200840,0.938821
0.417105,0.017568,0.202568,0.005345,0.207080,0.926724
0.417808,0.017505,0.202696,0.005056,0.186664,0.905251
0.418065,0.017505,0.202888,0.005056,0.221128,0.936837
0.422192,0.017601,0.202984,0.005024,0.200040,0.921348
0.420849,0.017569,0.203208,0.005248,0.189639,0.902180
0.421968,0.017537,0.202632,0.005056,0.192456,0.911139
0.439185,0.017728,0.202344,0.004832,0.185544,0.918820
0.416272,0.017729,0.202312,0.005152,0.192648,0.910084
0.416432,0.017697,0.202536,0.005248,0.204456,0.914500
0.419088,0.017633,0.222153,0.005184,0.191656,0.936260
0.417136,0.017889,0.204456,0.005216,0.196776,0.919364
0.416432,0.017633,0.203240,0.005248,0.184488,0.896611
0.417936,0.017600,0.203784,0.005056,0.193352,0.914244
0.416016,0.017505,0.203784,0.005280,0.193896,0.904259
0.421521,0.017793,0.202888,0.005600,0.192103,0.907780
0.422384,0.017537,0.203816,0.004800,0.201000,0.916388
0.420625,0.033825,0.203752,0.004992,0.188424,0.926693
0.420945,0.017760,0.203368,0.005057,0.201480,0.923908
0.417489,0.017697,0.202984,0.005056,0.200712,0.915428
0.421457,0.017504,0.202632,0.005281,0.200295,0.921700
0.417200,0.017665,0.203240,0.005248,0.193224,0.913955
0.420369,0.017632,0.202184,0.005248,0.199815,0.911524
0.422129,0.017569,0.204488,0.005216,0.200904,0.922853
0.438353,0.017664,0.202664,0.005280,0.190600,0.922276
0.415856,0.018241,0.202760,0.005216,0.188007,0.899523
0.419057,0.017728,0.203208,0.005025,0.191335,0.906212
0.420849,0.017697,0.203208,0.005216,0.188487,0.935461
0.416624,0.017729,0.202888,0.005024,0.192808,0.904931
0.420016,0.017760,0.203304,0.004993,0.191911,0.910148
0.415696,0.017505,0.203464,0.004832,0.204200,0.913443
0.430417,0.017601,0.203144,0.005248,0.196040,0.932101
0.419184,0.017537,0.202664,0.005280,0.191975,0.903683
0.420816,0.018305,0.203784,0.004960,0.199784,0.922916
0.420464,0.018177,0.202376,0.005248,0.222953,0.951173
0.431441,0.017633,0.203944,0.005312,0.202344,0.933445
0.421457,0.017761,0.202535,0.005217,0.194887,0.908580
0.417776,0.017536,0.204424,0.005281,0.194535,0.914980
0.441810,0.017569,0.203495,0.005344,0.208008,0.966822
0.423729,0.017856,0.203207,0.005345,0.200872,0.920612
0.416241,0.017537,0.203176,0.005248,0.197608,0.914404
0.416528,0.017729,0.221193,0.005248,0.190439,0.931972
0.416049,0.018016,0.203624,0.005089,0.205608,0.924324
0.421392,0.017537,0.202280,0.004864,0.183143,0.895747
0.421041,0.017665,0.202664,0.004800,0.199176,0.913764
0.420497,0.017536,0.203336,0.005089,0.192999,0.914148
0.414640,0.017537,0.203304,0.004800,0.189256,0.902883
0.419856,0.017280,0.203080,0.005280,0.204648,0.917380
0.416976,0.017632,0.223369,0.005312,0.191336,0.921988
0.415824,0.017729,0.202344,0.005056,0.197928,0.904419
0.415152,0.017761,0.203240,0.005248,0.198280,0.906051
0.421713,0.017537,0.202536,0.005280,0.183719,0.902500
0.416209,0.017696,0.203528,0.005057,0.199143,0.910788
0.416208,0.017729,0.202728,0.005440,0.225929,0.935493
0.416112,0.017569,0.203368,0.005216,0.199656,0.913060
0.416272,0.039873,0.203367,0.005056,0.198343,0.931812
0.421969,0.017473,0.203336,0.004832,0.199432,0.921156
0.420881,0.017536,0.202248,0.005249,0.186791,0.904100
0.420625,0.017536,0.202055,0.005217,0.183175,0.896035
0.418992,0.017473,0.203720,0.005088,0.191464,0.908259
0.420465,0.017601,0.203240,0.005248,0.189095,0.903908
0.416656,0.017761,0.202312,0.004960,0.179047,0.892194
0.440018,0.017856,0.203495,0.005121,0.201768,0.942085
0.416849,0.017792,0.202568,0.005280,0.195080,0.907652
0.419568,0.017633,0.202792,0.005248,0.198888,0.915780
0.420720,0.017633,0.204456,0.005152,0.189640,0.924644
0.416560,0.017505,0.202216,0.005248,0.208296,0.917827
0.420753,0.017409,0.202152,0.005248,0.199560,0.915620
0.415601,0.017536,0.203240,0.004833,0.203016,0.914436
0.435089,0.017856,0.202888,0.005313,0.192455,0.921860
0.420816,0.017729,0.202536,0.005280,0.202504,0.924100
0.421616,0.018208,0.202312,0.005120,0.190280,0.910500
0.420913,0.017729,0.203144,0.005216,0.207336,0.922244
0.419504,0.017569,0.202696,0.005248,0.193256,0.913028
0.416401,0.017536,0.202920,0.005056,0.181511,0.890019
0.420688,0.017505,0.202664,0.005248,0.198760,0.919012
0.437137,0.017697,0.202535,0.005217,0.191719,0.928580
0.417585,0.017729,0.203272,0.005248,0.196935,0.913988
0.422256,0.017729,0.202056,0.005280,0.186855,0.912675
0.416624,0.017537,0.202408,0.004960,0.209736,0.925380
0.415952,0.017601,0.202408,0.005216,0.191048,0.901347
0.420625,0.017472,0.202536,0.005025,0.203624,0.923204
0.420529,0.017536,0.203527,0.005185,0.201320,0.914660
0.439345,0.017473,0.202920,0.005088,0.190184,0.923844
0.421776,0.017632,0.203688,0.005056,0.190952,0.909412
0.420784,0.017632,0.202536,0.005056,0.202664,0.915172
0.421072,0.017633,0.221609,0.005152,0.207720,0.946501
0.421361,0.017665,0.202663,0.004992,0.185095,0.902148
0.417041,0.017728,0.202376,0.005249,0.186407,0.902308
0.417329,0.017600,0.203336,0.005057,0.178535,0.889059
0.432433,0.017760,0.202216,0.005217,0.205896,0.938084
0.421745,0.017665,0.202568,0.005088,0.200264,0.921861
0.423377,0.017665,0.202376,0.004864,0.190920,0.913028
0.419761,0.017505,0.219368,0.005408,0.204424,0.939589
0.419536,0.017505,0.202632,0.005312,0.199624,0.914948
0.420497,0.017761,0.202504,0.005312,0.196808,0.908132
0.420464,0.017665,0.202280,0.005056,0.213672,0.931524
0.416273,0.017504,0.202152,0.004801,0.193927,0.909892
0.416688,0.017537,0.202888,0.004832,0.192328,0.909091
0.416145,0.017728,0.202568,0.005025,0.188263,0.898787
0.416401,0.017729,0.219208,0.005472,0.179079,0.916228
0.420529,0.017760,0.202248,0.005089,0.198631,0.910564
0.420497,0.017729,0.202728,0.005088,0.187239,0.904772
0.419984,0.017505,0.202344,0.005248,0.191304,0.912772
0.420336,0.017505,0.202536,0.004992,0.200936,0.913732
0.421936,0.017697,0.202408,0.005216,0.183719,0.897699
0.420048,0.017505,0.202600,0.005248,0.186760,0.907011
0.437105,0.017857,0.202440,0.005088,0.202792,0.943717
0.416208,0.017728,0.202152,0.005248,0.194728,0.907012
0.420112,0.017473,0.202536,0.005024,0.186791,0.904995
0.416048,0.017537,0.202248,0.005280,0.196904,0.930052
0.420208,0.017728,0.202888,0.005056,0.199624,0.919172
0.420272,0.017729,0.202856,0.005024,0.200872,0.913828
0.417072,0.017537,0.203400,0.005312,0.204808,0.919652
0.434705,0.017569,0.202344,0.005024,0.194695,0.922500
0.415057,0.017568,0.202632,0.004801,0.194823,0.903300
0.415920,0.017600,0.202792,0.005216,0.203432,0.914724
0.416368,0.017505,0.203048,0.004800,0.177767,0.912451
