Layer[0],Layer[1],IN[2],INFER[2-8],OUT[8],TEE[2-8],Layer[9],Layer[10],classifier
0.395467,0.017761,0.138180,0.585169,0.065698,0.792791,0.001344,0.000416,1.212803
0.396140,0.017696,0.142373,0.601329,0.071235,0.818841,0.001504,0.000416,1.239813
0.395468,0.017568,0.135748,0.590226,0.067650,0.797240,0.001344,0.000384,1.216420
0.395308,0.017728,0.137028,0.587442,0.066914,0.794744,0.001376,0.000352,1.214628
0.411213,0.017376,0.128580,0.597074,0.078178,0.807064,0.001376,0.000416,1.242693
0.395819,0.017729,0.127716,0.588433,0.065058,0.784567,0.001344,0.000384,1.204771
0.395468,0.017408,0.124708,0.585105,0.065122,0.778423,0.001504,0.000416,1.198339
0.395724,0.017568,0.127684,0.585873,0.063874,0.780855,0.001472,0.000384,1.201283
0.395435,0.017600,0.135140,0.584753,0.063490,0.786519,0.001504,0.000384,1.206403
0.395147,0.017505,0.122980,0.598609,0.074818,0.799704,0.001408,0.000448,1.218916
0.395083,0.017408,0.139076,0.584081,0.065249,0.791703,0.001505,0.000416,1.211492
0.395244,0.017376,0.137412,0.584434,0.064610,0.789656,0.001312,0.000416,1.208836
0.395436,0.017440,0.123556,0.613714,0.071714,0.812088,0.001312,0.000416,1.231140
0.395468,0.017441,0.135588,0.582865,0.063234,0.786455,0.001248,0.000384,1.205412
0.395660,0.017408,0.154501,0.582673,0.061858,0.802584,0.001248,0.000416,1.222020
0.415212,0.017761,0.148900,0.593106,0.076866,0.822456,0.001472,0.000512,1.262821
0.395243,0.017441,0.139524,0.597042,0.068162,0.807864,0.001344,0.000384,1.227364
0.395403,0.017473,0.124868,0.586705,0.063138,0.777879,0.001472,0.000416,1.197443
0.395211,0.017697,0.142020,0.600274,0.068130,0.814008,0.001408,0.000416,1.233828
0.395820,0.017857,0.133668,0.588785,0.066018,0.791895,0.001472,0.000416,1.213156
0.395339,0.017345,0.128708,0.601810,0.081506,0.816280,0.001376,0.000480,1.236644
0.395467,0.017313,0.132484,0.589809,0.065954,0.791543,0.001440,0.000384,1.211011
0.395499,0.017313,0.122532,0.585809,0.065218,0.776919,0.001536,0.000384,1.195907
0.395372,0.017408,0.152484,0.614770,0.063522,0.834169,0.001280,0.000416,1.253541
0.395628,0.017569,0.132868,0.583601,0.067266,0.786967,0.001440,0.000384,1.206820
0.396780,0.017601,0.131236,0.601201,0.070242,0.807864,0.001344,0.000384,1.229349
0.414604,0.017857,0.123844,0.595537,0.065474,0.788215,0.001312,0.000576,1.227460
0.395468,0.017472,0.128324,0.586033,0.065346,0.783191,0.001376,0.000416,1.202659
0.395180,0.017504,0.123460,0.583985,0.080482,0.791416,0.001504,0.000448,1.211300
0.395403,0.017377,0.135300,0.601426,0.063970,0.803864,0.001376,0.000384,1.223204
0.395404,0.017601,0.131620,0.582577,0.068610,0.786295,0.001280,0.000352,1.207012
0.395308,0.017345,0.132708,0.603249,0.108068,0.847577,0.001568,0.000416,1.266982
0.395212,0.017728,0.122372,0.584241,0.063650,0.773399,0.001312,0.000448,1.192803
0.395371,0.017505,0.130756,0.587473,0.064450,0.786327,0.001440,0.000384,1.206019
0.395275,0.035233,0.128804,0.604338,0.065634,0.802072,0.001216,0.000352,1.239108
0.395596,0.017281,0.126051,0.585490,0.063874,0.778455,0.001344,0.000416,1.197892
0.396012,0.017536,0.123204,0.598450,0.068162,0.793112,0.001504,0.000416,1.214212
