Layer[0],Layer[1],IN[2],INFER[2-8],OUT[8],TEE[2-8],Layer[9],Layer[10],classifier
0.396779,0.017345,0.139236,0.583857,0.066882,0.793335,0.001536,0.000384,1.214275
0.415756,0.017601,0.141636,0.595249,0.065922,0.805911,0.001504,0.000448,1.246661
0.397099,0.018049,0.135268,0.588305,0.066786,0.794103,0.001441,0.000448,1.216836
0.396140,0.017472,0.126852,0.583313,0.067490,0.781111,0.001472,0.000416,1.202147
0.395660,0.017441,0.119747,0.585265,0.062530,0.770902,0.001440,0.000640,1.191107
0.395916,0.017537,0.132036,0.598609,0.065730,0.799799,0.001440,0.000385,1.219685
0.395468,0.017472,0.124900,0.601746,0.067810,0.798648,0.001440,0.000384,1.218500
0.395852,0.017440,0.130308,0.582385,0.062370,0.778775,0.001376,0.000416,1.199203
0.395596,0.017408,0.132740,0.585362,0.063522,0.784984,0.001472,0.000384,1.205508
0.395788,0.017632,0.128132,0.624243,0.085378,0.841401,0.001280,0.000416,1.260901
0.398731,0.018144,0.193318,0.604338,0.071650,0.873242,0.003264,0.000896,1.302758
0.398571,0.018048,0.137892,0.589938,0.066050,0.797368,0.002048,0.000448,1.222404
0.398284,0.017505,0.136548,0.594577,0.069347,0.806968,0.001664,0.000416,1.231077
0.396204,0.017441,0.130788,0.588177,0.067746,0.790487,0.001536,0.000352,1.212356
0.396203,0.017504,0.126020,0.621778,0.092099,0.843609,0.001504,0.000416,1.265285
0.396459,0.017313,0.145124,0.587570,0.064866,0.801304,0.001600,0.000448,1.222692
0.395852,0.017537,0.139844,0.586481,0.066722,0.796887,0.001472,0.000352,1.217316
0.395371,0.017569,0.160037,0.601585,0.063682,0.828792,0.001376,0.000448,1.248421
0.396492,0.017569,0.140868,0.585393,0.067042,0.796599,0.001536,0.000384,1.217988
0.396075,0.017664,0.122404,0.586353,0.068418,0.780503,0.001472,0.000384,1.201571
0.412685,0.017664,0.128420,0.601170,0.065442,0.798328,0.001472,0.000640,1.236485
0.396524,0.017761,0.140676,0.586609,0.064098,0.794551,0.001536,0.000384,1.216196
0.396811,0.017632,0.133988,0.589457,0.087714,0.814808,0.001472,0.000640,1.237252
0.395627,0.017473,0.128612,0.585681,0.067106,0.784759,0.001376,0.000448,1.204995
0.396684,0.017409,0.129508,0.587729,0.067554,0.787991,0.001216,0.000416,1.208452
0.395564,0.017793,0.129699,0.605394,0.076803,0.815448,0.001440,0.000384,1.236389
0.395467,0.017760,0.125348,0.584241,0.068290,0.780919,0.001344,0.000448,1.200867
0.396075,0.017697,0.136292,0.588113,0.061473,0.789047,0.001472,0.000416,1.210243
0.395339,0.017313,0.148004,0.598610,0.067170,0.817400,0.001408,0.000384,1.237124
0.395148,0.017472,0.139717,0.584145,0.061634,0.788792,0.001344,0.000384,1.208068
0.395883,0.017536,0.133796,0.584529,0.070178,0.791895,0.001377,0.000416,1.212324
0.412172,0.017504,0.138437,0.586161,0.073698,0.801912,0.001376,0.000448,1.238852
0.398859,0.017568,0.139620,0.587474,0.066274,0.797048,0.001440,0.000384,1.221348
0.395916,0.017697,0.142052,0.613842,0.071938,0.831128,0.001344,0.000416,1.251557
0.395819,0.017761,0.126308,0.584209,0.062050,0.775831,0.001376,0.000416,1.196835
0.396236,0.017568,0.135588,0.581522,0.061985,0.782263,0.001440,0.000480,1.203076
0.396684,0.017440,0.136644,0.602162,0.085763,0.828185,0.001408,0.000416,1.249733
0.395883,0.017345,0.120323,0.583953,0.062946,0.770455,0.001440,0.000416,1.190691
0.396140,0.017537,0.110755,0.581137,0.060354,0.755734,0.001472,0.000672,1.176739
0.416332,0.017473,0.140292,0.584881,0.066434,0.794615,0.001504,0.000448,1.235076
0.396620,0.017665,0.138468,0.599858,0.070626,0.812408,0.001440,0.000544,1.234501
0.395820,0.018241,0.138724,0.586257,0.064322,0.792471,0.001408,0.000384,1.213412
0.396844,0.017600,0.136612,0.582865,0.064801,0.787575,0.001569,0.000416,1.210180
0.395564,0.017601,0.124163,0.585746,0.065378,0.778519,0.001344,0.000352,1.198276
0.395851,0.017312,0.135940,0.606482,0.073698,0.819320,0.001440,0.000448,1.239876
0.398027,0.017473,0.137412,0.583793,0.062690,0.786967,0.001344,0.000416,1.209635
0.395723,0.017345,0.139012,0.584529,0.061826,0.788439,0.001440,0.000384,1.208739
0.396043,0.017505,0.126468,0.613650,0.072706,0.816248,0.001344,0.000352,1.236772
0.395243,0.017377,0.137764,0.583601,0.069730,0.794039,0.001536,0.000416,1.213667
0.395884,0.017472,0.128356,0.583313,0.062562,0.777399,0.001504,0.000416,1.197379
0.412972,0.017377,0.141604,0.581841,0.068482,0.795351,0.001472,0.000448,1.232356
0.396076,0.017344,0.117124,0.585649,0.071202,0.777111,0.001504,0.000448,1.197283
0.398859,0.017728,0.136644,0.589746,0.067362,0.797528,0.001440,0.000448,1.222788
0.395915,0.017760,0.128900,0.584497,0.063010,0.779575,0.001344,0.000512,1.200259
0.396875,0.017472,0.122020,0.585201,0.066786,0.777655,0.001312,0.000352,1.198915
0.396332,0.017761,0.129699,0.615859,0.083426,0.832376,0.001312,0.000416,1.253733
0.395756,0.017536,0.135780,0.599218,0.066018,0.804152,0.001312,0.000448,1.223716
0.396396,0.017505,0.099811,0.583889,0.065762,0.753014,0.001344,0.000384,1.173283
0.395724,0.017409,0.161028,0.616947,0.064706,0.847513,0.001408,0.000352,1.267270
0.396268,0.017504,0.138628,0.584626,0.063970,0.790328,0.001472,0.000416,1.210948
0.395819,0.017600,0.123300,0.583761,0.061314,0.771639,0.001248,0.000416,1.191747
0.410060,0.017377,0.136100,0.596369,0.065730,0.801879,0.001280,0.000384,1.236293
0.397131,0.017761,0.133060,0.586385,0.066018,0.788887,0.001504,0.000416,1.211715
0.402411,0.017920,0.152869,0.622194,0.077250,0.855929,0.001920,0.000480,1.285446
0.397932,0.017793,0.139492,0.588689,0.064738,0.796311,0.001472,0.000353,1.219557
0.397196,0.017569,0.139172,0.587729,0.066914,0.797335,0.001440,0.000480,1.220165
0.399468,0.018113,0.213190,0.623187,0.071842,0.914267,0.003168,0.000960,1.344200
0.396907,0.017664,0.138980,0.591314,0.069122,0.803192,0.001568,0.000416,1.225028
0.396620,0.017761,0.141156,0.588017,0.070210,0.802775,0.001440,0.000448,1.224549
0.413676,0.017473,0.142564,0.598770,0.068226,0.812696,0.001280,0.000448,1.250021
0.396012,0.017537,0.137508,0.589201,0.072002,0.801975,0.001537,0.000640,1.223589
0.397484,0.017440,0.132196,0.598578,0.082370,0.818552,0.001568,0.000704,1.243077
0.396012,0.017600,0.140325,0.587153,0.072130,0.803032,0.001376,0.000448,1.223332
0.395691,0.017633,0.131844,0.585905,0.070818,0.791511,0.001472,0.000512,1.211875
0.395564,0.017344,0.123524,0.604914,0.074178,0.806168,0.001248,0.000512,1.226404
0.395436,0.017441,0.134340,0.597233,0.064290,0.799543,0.001408,0.000448,1.218980
0.395723,0.017441,0.132132,0.585777,0.063970,0.785271,0.001184,0.000416,1.205027
0.413613,0.017696,0.133988,0.598098,0.081474,0.816760,0.001345,0.000416,1.255366
0.396043,0.017280,0.131396,0.582801,0.064258,0.781655,0.001376,0.000416,1.201571
0.395243,0.017505,0.134340,0.582801,0.070530,0.791095,0.001408,0.000544,1.211139
0.396939,0.017825,0.138564,0.587409,0.067618,0.797591,0.001568,0.000608,1.220452
0.398348,0.017696,0.129668,0.585554,0.066274,0.785048,0.001568,0.000640,1.209284
0.395916,0.017568,0.146341,0.609394,0.070562,0.829849,0.001376,0.000448,1.249925
0.395852,0.017344,0.127268,0.593137,0.061602,0.786743,0.001376,0.000416,1.206179
0.395884,0.017280,0.103043,0.583506,0.060098,0.750647,0.001376,0.000416,1.170275
0.395851,0.017345,0.116259,0.601618,0.068834,0.789943,0.001248,0.000416,1.209827
0.395788,0.017280,0.102595,0.597554,0.060034,0.763511,0.001248,0.000480,1.182499
0.395916,0.017312,0.152709,0.584753,0.063074,0.803768,0.001376,0.000352,1.223684
0.426316,0.017409,0.118467,0.581810,0.060769,0.765846,0.001217,0.000384,1.216228
0.395532,0.017377,0.119747,0.597074,0.060738,0.781271,0.001216,0.000352,1.200068
0.395436,0.017505,0.119907,0.593874,0.068770,0.785687,0.001472,0.000448,1.204548
0.396108,0.017505,0.139908,0.588241,0.066370,0.797847,0.001536,0.000384,1.220196
0.396972,0.017472,0.161061,0.589170,0.063074,0.816761,0.001472,0.000480,1.238309
0.395692,0.017408,0.123108,0.599346,0.069858,0.796024,0.001536,0.000448,1.216868
0.395820,0.017600,0.129860,0.582449,0.062466,0.778295,0.001600,0.000416,1.198179
0.395499,0.017281,0.132324,0.586897,0.067298,0.789911,0.001536,0.000448,1.209251
0.395468,0.017376,0.160773,0.606834,0.098115,0.869114,0.001504,0.000448,1.289126
0.395468,0.017409,0.136676,0.584593,0.065058,0.789559,0.001568,0.000448,1.209444
0.401452,0.017920,0.137316,0.596402,0.070370,0.808088,0.001920,0.000480,1.237156
0.414188,0.017793,0.140644,0.599570,0.071074,0.817112,0.001568,0.000448,1.256805
0.396459,0.017504,0.138564,0.591250,0.070242,0.804280,0.001568,0.000480,1.225668
0.396780,0.017473,0.127716,0.607954,0.069762,0.809432,0.001792,0.000768,1.232613
0.396556,0.017633,0.143236,0.589553,0.065890,0.802263,0.001504,0.000512,1.223716
0.396300,0.017376,0.134468,0.589170,0.065122,0.792216,0.001472,0.000384,1.213092
0.396235,0.017536,0.136164,0.600882,0.094243,0.834617,0.001344,0.000416,1.255109
0.396108,0.017504,0.138756,0.585842,0.064866,0.793272,0.001440,0.000384,1.214084
0.396204,0.017248,0.119972,0.583537,0.063842,0.770871,0.001408,0.000416,1.191427
0.418157,0.017696,0.136132,0.614931,0.069090,0.823321,0.001568,0.000448,1.265926
0.395916,0.017504,0.123684,0.583761,0.070242,0.780951,0.001344,0.000352,1.201283
0.395692,0.017568,0.121988,0.585489,0.069186,0.780151,0.001472,0.000448,1.200643
0.396172,0.017408,0.130788,0.588178,0.068994,0.791352,0.001376,0.000416,1.211876
0.395948,0.017824,0.135236,0.588786,0.067650,0.795672,0.001600,0.000416,1.217124
0.396172,0.017601,0.132868,0.604977,0.074659,0.815992,0.001344,0.000416,1.236517
0.396108,0.017472,0.131396,0.587570,0.063329,0.785591,0.001345,0.000352,1.205956
0.397420,0.017408,0.133284,0.585201,0.065186,0.787447,0.001441,0.000384,1.209924
0.395564,0.017824,0.137316,0.602866,0.077922,0.822360,0.001280,0.000384,1.242949
0.395436,0.017568,0.136676,0.586674,0.064194,0.790808,0.001408,0.000384,1.210212
0.395948,0.017504,0.134532,0.585170,0.065922,0.788696,0.001472,0.000416,1.209156
0.414316,0.017505,0.136100,0.599794,0.065890,0.805144,0.001504,0.000448,1.244709
0.396300,0.017344,0.136036,0.585618,0.066658,0.791640,0.001472,0.000416,1.212196
0.396044,0.017600,0.124292,0.597458,0.064418,0.789816,0.001440,0.000416,1.210692
0.396588,0.017793,0.128292,0.584337,0.063842,0.780087,0.001600,0.000480,1.202756
0.395596,0.017729,0.150596,0.592978,0.064386,0.810840,0.001472,0.000416,1.231141
0.396972,0.017376,0.130756,0.603826,0.104067,0.844249,0.001536,0.000384,1.266629
0.395851,0.017633,0.133060,0.586737,0.065762,0.788951,0.001280,0.000416,1.209219
0.395820,0.017504,0.131396,0.595602,0.064418,0.794872,0.001344,0.000448,1.214948
0.396332,0.017536,0.135492,0.612659,0.064321,0.815705,0.001440,0.000384,1.236581
0.396012,0.017344,0.134020,0.582545,0.062114,0.781879,0.001376,0.000448,1.202403
0.396268,0.017409,0.131172,0.585937,0.064866,0.784983,0.001408,0.000416,1.205284
0.412748,0.017409,0.131844,0.600114,0.063490,0.798488,0.001408,0.000416,1.235717
0.396236,0.017792,0.125252,0.585425,0.065282,0.779927,0.001312,0.000416,1.201571
0.398188,0.017824,0.129540,0.585713,0.083075,0.802072,0.001536,0.000480,1.226532
0.396428,0.017633,0.141060,0.586065,0.064898,0.795063,0.001376,0.000384,1.215460
0.396012,0.017633,0.135748,0.585073,0.067746,0.791415,0.001312,0.000352,1.211876
0.396396,0.017792,0.131524,0.611826,0.087683,0.834361,0.001408,0.000384,1.255493
0.395116,0.017440,0.129668,0.582289,0.066274,0.781783,0.001313,0.000416,1.200388
0.396267,0.017569,0.132868,0.584657,0.064034,0.784663,0.001408,0.000448,1.205379
0.395724,0.017569,0.195781,0.597042,0.071234,0.867577,0.001568,0.000384,1.288006
0.395563,0.017569,0.127428,0.592113,0.061410,0.784023,0.001440,0.000384,1.204387
0.396811,0.017729,0.120004,0.612050,0.063330,0.798488,0.001472,0.000448,1.220452
0.396300,0.017601,0.138500,0.593457,0.063778,0.798871,0.001312,0.000480,1.219717
0.398348,0.017569,0.130147,0.583922,0.070178,0.787447,0.001504,0.000640,1.211332
0.397643,0.017473,0.143396,0.604338,0.099491,0.850265,0.001568,0.000608,1.272869
0.396460,0.017312,0.125604,0.592626,0.063650,0.785400,0.001440,0.000384,1.206404
0.395052,0.017536,0.137316,0.587250,0.063490,0.791384,0.001408,0.000352,1.210980
0.395884,0.017376,0.122980,0.601042,0.076034,0.805304,0.001376,0.000352,1.226116
0.396107,0.017313,0.125892,0.583633,0.066690,0.779415,0.001472,0.000352,1.200067
0.395788,0.017472,0.130915,0.583634,0.063810,0.783575,0.001376,0.000352,1.203684
0.412588,0.017537,0.135940,0.598322,0.077794,0.815192,0.001472,0.000320,1.252389
0.396747,0.017569,0.120707,0.582545,0.061442,0.767607,0.001376,0.000352,1.188771
0.397900,0.017440,0.130052,0.585490,0.074178,0.793208,0.001472,0.000416,1.216068
0.396908,0.017344,0.139332,0.600466,0.064802,0.807544,0.001440,0.000448,1.228804
0.396075,0.017409,0.130436,0.586321,0.063266,0.783095,0.001504,0.000416,1.204131
0.396300,0.017377,0.135460,0.600337,0.114820,0.855481,0.001440,0.000416,1.276134
0.395788,0.017441,0.141348,0.586513,0.063330,0.794647,0.001472,0.000448,1.215172
0.396139,0.017409,0.124068,0.585489,0.066690,0.779447,0.001440,0.000448,1.199555
0.396748,0.017473,0.144196,0.596561,0.062658,0.806551,0.001408,0.000416,1.227748
0.396427,0.017601,0.135556,0.583345,0.069058,0.791031,0.001376,0.000416,1.211939
0.396267,0.017537,0.146244,0.583698,0.069698,0.802744,0.001312,0.000640,1.223460
0.413164,0.017632,0.133316,0.599698,0.064130,0.800248,0.001280,0.000320,1.238341
0.398732,0.017633,0.136452,0.584305,0.064578,0.788599,0.001440,0.000384,1.212740
0.396523,0.017569,0.130052,0.607474,0.116643,0.857273,0.001344,0.000416,1.279109
0.396267,0.017472,0.122852,0.584369,0.064386,0.774871,0.001344,0.000352,1.195139
0.396299,0.017857,0.141700,0.585105,0.071363,0.801176,0.001376,0.000448,1.222628
0.396139,0.017441,0.141476,0.602994,0.083810,0.832024,0.001376,0.000417,1.253029
0.396364,0.017568,0.142533,0.586833,0.065890,0.798616,0.001568,0.000384,1.220612
0.396459,0.017665,0.134500,0.585617,0.063810,0.787351,0.001504,0.000416,1.209251
0.414060,0.017761,0.132132,0.600850,0.066434,0.803160,0.001504,0.000448,1.243301
0.397324,0.017601,0.138468,0.585105,0.067938,0.794679,0.001504,0.000640,1.217476
0.397356,0.017729,0.136356,0.583825,0.088739,0.812664,0.001568,0.000672,1.235525
0.397516,0.017472,0.125956,0.588946,0.066434,0.785528,0.001664,0.000480,1.209316
0.397099,0.017824,0.146916,0.587729,0.068194,0.806488,0.001472,0.000640,1.229412
0.396364,0.017569,0.137412,0.602994,0.086210,0.829976,0.001504,0.000480,1.251173
0.399404,0.017376,0.134052,0.585874,0.071714,0.795256,0.001632,0.000448,1.219204
0.397003,0.017440,0.143940,0.586450,0.067490,0.801080,0.001568,0.000480,1.223108
0.412333,0.017632,0.138884,0.593330,0.083618,0.820729,0.001504,0.000416,1.257734
0.396652,0.017664,0.144069,0.585873,0.065922,0.799128,0.001472,0.000416,1.220580
0.398091,0.017825,0.147396,0.585874,0.067362,0.803896,0.001536,0.000416,1.226916
0.396235,0.017408,0.146980,0.585650,0.077954,0.813976,0.001504,0.000448,1.234788
0.397196,0.017633,0.145220,0.599922,0.068450,0.817048,0.001536,0.000448,1.239109
0.397388,0.017633,0.132644,0.607506,0.076770,0.821400,0.001536,0.000416,1.244485
0.398475,0.017632,0.140932,0.587346,0.068866,0.802200,0.001504,0.000480,1.225380
0.397003,0.017696,0.144708,0.588658,0.067266,0.804120,0.001632,0.000352,1.226628
0.419244,0.017665,0.126948,0.585361,0.064674,0.780791,0.001568,0.000480,1.225060
0.396108,0.017569,0.142116,0.588273,0.067906,0.801463,0.001536,0.000416,1.222372
0.396460,0.017376,0.122500,0.585009,0.067714,0.779192,0.001600,0.000416,1.200932
0.397132,0.017824,0.145285,0.596305,0.069027,0.814169,0.001568,0.000480,1.236645
0.397004,0.017409,0.143492,0.586577,0.068610,0.802103,0.001568,0.000512,1.223972
0.396332,0.017600,0.139812,0.604274,0.082723,0.830297,0.001504,0.000448,1.251621
0.396908,0.017601,0.145252,0.586705,0.070403,0.805912,0.001632,0.000416,1.227973
0.408268,0.017761,0.138948,0.604562,0.071202,0.818360,0.001600,0.000544,1.252997
0.396171,0.017633,0.165925,0.597138,0.065378,0.832025,0.001952,0.000608,1.253733
0.397068,0.017568,0.136068,0.587569,0.067490,0.794232,0.001440,0.000416,1.216132
0.396876,0.017697,0.131268,0.587089,0.066594,0.789047,0.001440,0.000416,1.211236
0.419756,0.017601,0.143748,0.595730,0.068226,0.811128,0.001376,0.000416,1.255845
0.396300,0.017536,0.107907,0.586417,0.066018,0.763542,0.001472,0.000480,1.184259
