Layer[0],IN[1],INFER[1-5],OUT[5],TEE[1-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.421635,0.169281,0.588548,0.069856,0.831494,0.014528,0.000576,0.001504,0.001152,0.000384,1.277001
0.434883,0.162177,0.597124,0.068417,0.831430,0.014624,0.000512,0.001376,0.001120,0.000352,1.289513
0.421123,0.169474,0.589316,0.071968,0.834790,0.014401,0.000480,0.001440,0.001120,0.000352,1.279562
0.421635,0.166721,0.589380,0.069217,0.829318,0.014400,0.000544,0.001344,0.001088,0.000352,1.274569
0.418371,0.175138,0.590340,0.067168,0.836934,0.014560,0.000736,0.001440,0.001121,0.000384,1.280266
0.421763,0.177953,0.589924,0.069345,0.841862,0.014528,0.000544,0.001440,0.001088,0.000384,1.287593
0.421347,0.169634,0.602180,0.068352,0.843942,0.014689,0.000544,0.001568,0.001088,0.000384,1.288906
0.417411,0.169665,0.590660,0.067969,0.832294,0.014592,0.000480,0.001472,0.001088,0.000384,1.273321
0.421027,0.172738,0.588324,0.066272,0.831078,0.014752,0.000448,0.001344,0.001056,0.000384,1.275337
0.434435,0.171681,0.588516,0.065505,0.829414,0.014784,0.000544,0.001504,0.001024,0.000352,1.287849
0.422371,0.184034,0.593252,0.069824,0.851366,0.016097,0.000704,0.001728,0.002144,0.000640,1.302570
0.422083,0.180641,0.607684,0.070401,0.863014,0.015616,0.000768,0.001728,0.002304,0.000736,1.312521
0.423683,0.169858,0.589284,0.067008,0.830758,0.019905,0.000896,0.001440,0.001504,0.000480,1.284490
0.416803,0.177985,0.590276,0.068289,0.840902,0.015488,0.000768,0.001504,0.001248,0.000384,1.283081
0.440899,0.172193,0.590500,0.068769,0.836134,0.015488,0.000704,0.001440,0.001248,0.000352,1.302377
0.418339,0.174785,0.588869,0.068192,0.836390,0.019840,0.000704,0.001440,0.001248,0.000384,1.284489
0.421891,0.175809,0.589508,0.068065,0.837926,0.015008,0.000736,0.001504,0.001152,0.000384,1.284809
0.420963,0.216577,0.599204,0.071297,0.892070,0.016288,0.000928,0.001536,0.002336,0.000672,1.343337
0.419715,0.177473,0.593668,0.068161,0.843622,0.016416,0.000896,0.001664,0.001216,0.000416,1.290153
0.421731,0.221633,0.595365,0.071104,0.892742,0.015520,0.000928,0.001536,0.001536,0.000576,1.342569
0.417635,0.173857,0.591300,0.066689,0.836294,0.015552,0.000480,0.001760,0.001152,0.000320,1.279465
0.417155,0.151361,0.587301,0.062656,0.805094,0.015392,0.000736,0.001600,0.001120,0.000352,1.247113
0.421763,0.176737,0.588484,0.064449,0.833286,0.014880,0.000480,0.001504,0.001152,0.000384,1.279273
0.416707,0.161409,0.589124,0.063872,0.818086,0.015104,0.000704,0.001472,0.001184,0.000384,1.259337
0.420867,0.159618,0.605444,0.072352,0.841478,0.015105,0.000704,0.001536,0.001152,0.000384,1.287466
0.415971,0.197633,0.589764,0.064865,0.856070,0.015008,0.000704,0.001568,0.001120,0.000416,1.296361
0.420835,0.171105,0.589828,0.069889,0.835110,0.015040,0.000448,0.001472,0.001184,0.000704,1.280553
0.438947,0.214626,0.601060,0.069377,0.890087,0.014784,0.000704,0.001472,0.001120,0.000384,1.353738
0.420835,0.158530,0.590948,0.068416,0.822886,0.015040,0.000704,0.001472,0.001248,0.000384,1.269673
0.420131,0.172705,0.610628,0.073953,0.862534,0.015424,0.000736,0.001472,0.001216,0.000416,1.307849
0.415715,0.172002,0.590852,0.068320,0.836134,0.015649,0.000768,0.001696,0.001152,0.000384,1.277418
0.420067,0.138625,0.589316,0.066561,0.799238,0.019776,0.000736,0.001696,0.001216,0.000416,1.248937
0.419939,0.190658,0.590852,0.067872,0.853638,0.015392,0.000640,0.001504,0.001120,0.000320,1.298217
0.420835,0.162977,0.588644,0.065761,0.821766,0.014560,0.000480,0.001472,0.001056,0.000448,1.266665
0.420227,0.164705,0.589221,0.066912,0.825766,0.014848,0.000512,0.001696,0.001088,0.000352,1.270729
0.416514,0.172257,0.589828,0.068672,0.835205,0.014625,0.000736,0.001472,0.001184,0.000448,1.276105
0.423043,0.188802,0.596292,0.071584,0.861926,0.019264,0.000769,0.001824,0.002080,0.000384,1.317034
0.417827,0.176353,0.612517,0.070592,0.864518,0.015776,0.000544,0.001792,0.001985,0.000320,1.309674
0.420579,0.175521,0.591492,0.067521,0.838598,0.015744,0.000704,0.001600,0.001056,0.000384,1.285225
0.416323,0.181954,0.598020,0.070560,0.854918,0.015169,0.000672,0.001632,0.001152,0.000384,1.296042
0.437123,0.176481,0.592997,0.067552,0.841286,0.015040,0.000512,0.001664,0.001152,0.000384,1.303177
0.416803,0.174146,0.591204,0.067104,0.836358,0.014689,0.000480,0.001632,0.001152,0.000384,1.277226
0.416483,0.189089,0.617413,0.070240,0.882438,0.014720,0.000512,0.001504,0.001088,0.000416,1.322409
0.415779,0.163234,0.590404,0.066432,0.824390,0.015200,0.000545,0.001568,0.001056,0.000608,1.264234
