IN[0],INFER[0-8],OUT[8],TEE[0-8],Layer[9],Layer[10],classifier
0.147588,1.565966,0.062241,1.781652,0.001344,0.000417,1.785493
0.152581,1.581103,0.081186,1.822966,0.001376,0.000480,1.828278
0.142629,1.563790,0.062882,1.775701,0.001248,0.000384,1.780405
0.136164,1.603184,0.079522,1.825974,0.001696,0.000512,1.830294
0.144196,1.567919,0.063618,1.781589,0.001312,0.000384,1.785141
0.146693,1.585327,0.077186,1.816790,0.001248,0.000416,1.821526
0.146564,1.564623,0.062306,1.778549,0.001184,0.000384,1.782069
0.139076,1.580495,0.081666,1.806517,0.001312,0.000672,1.810709
0.156740,1.562735,0.068450,1.793333,0.001344,0.000384,1.797205
0.145477,1.578126,0.067330,1.797526,0.001472,0.000384,1.801398
0.165796,1.565326,0.061314,1.797429,0.001280,0.000480,1.801110
0.150405,1.581263,0.087586,1.825526,0.001376,0.000416,1.829495
0.120164,1.573711,0.063586,1.763797,0.001312,0.000416,1.767605
0.153157,1.599024,0.078114,1.836471,0.001472,0.000576,1.841111
0.129604,1.567566,0.065154,1.768372,0.001504,0.000736,1.772692
0.144452,1.585711,0.074530,1.810134,0.001536,0.000480,1.814390
0.143909,1.566350,0.072035,1.787510,0.001536,0.000576,1.791734
0.168613,1.578191,0.070178,1.823734,0.001472,0.000576,1.828822
0.144452,1.563151,0.064226,1.777941,0.001344,0.000384,1.781845
0.149957,1.577391,0.067970,1.800758,0.001504,0.000416,1.804598
0.143844,1.564014,0.067042,1.780916,0.001408,0.000385,1.784725
0.148261,1.582799,0.072802,1.809718,0.001440,0.000384,1.813622
0.149828,1.566223,0.062658,1.785557,0.001440,0.000480,1.789461
0.144932,1.599408,0.074882,1.824470,0.001440,0.000448,1.828758
0.143589,1.564174,0.064418,1.777077,0.001312,0.000512,1.781013
0.174917,1.569487,0.063650,1.813622,0.001344,0.000448,1.817558
0.129731,1.564879,0.060962,1.761524,0.001312,0.000416,1.765205
0.161093,1.572943,0.065282,1.804886,0.001408,0.000416,1.808758
0.167397,1.562158,0.060802,1.795733,0.001344,0.000384,1.799317
0.140164,1.575215,0.063458,1.785141,0.001312,0.000384,1.789237
0.147236,1.565934,0.063297,1.782132,0.001408,0.000416,1.785909
0.146949,1.563758,0.062402,1.778997,0.001280,0.000384,1.782485
0.132612,1.563983,0.060546,1.762741,0.001440,0.000384,1.766453
0.166149,1.568463,0.061634,1.800950,0.001344,0.000480,1.804406
0.145605,1.562190,0.061314,1.773813,0.001248,0.000448,1.777653
0.141828,1.564015,0.061698,1.772277,0.001408,0.000416,1.775893
0.149252,1.566959,0.061698,1.784405,0.001280,0.000384,1.788117
0.143492,1.564430,0.063426,1.777076,0.001376,0.000320,1.780948
0.168709,1.565198,0.084483,1.823446,0.001344,0.000352,1.827222
0.143460,1.565135,0.066306,1.780949,0.001376,0.000320,1.784789
0.153316,1.595759,0.089955,1.847895,0.002944,0.000448,1.853943
0.151621,1.572271,0.066786,1.797558,0.001984,0.000480,1.802262
0.150052,1.603184,0.086850,1.846742,0.001536,0.000577,1.851575
0.138212,1.569870,0.062786,1.776917,0.001536,0.000512,1.781109
0.149156,1.600463,0.091075,1.849239,0.001376,0.000448,1.854167
0.135748,1.569967,0.065826,1.777717,0.001376,0.000480,1.781845
0.143332,1.583983,0.086083,1.819798,0.001440,0.000512,1.823702
0.145828,1.567983,0.065218,1.784821,0.001600,0.000512,1.789557
0.144068,1.584239,0.081762,1.815830,0.001408,0.000480,1.819734
0.149796,1.566991,0.063777,1.785301,0.001440,0.000416,1.789205
0.147844,1.582479,0.078179,1.815062,0.001472,0.000448,1.819574
0.149413,1.565390,0.066881,1.786998,0.001472,0.000416,1.790934
0.149605,1.600207,0.085955,1.842871,0.001568,0.000960,1.848471
0.145989,1.566030,0.063874,1.781461,0.001472,0.000384,1.785397
0.147012,1.586800,0.082370,1.822582,0.001568,0.000416,1.826550
0.144260,1.567759,0.066274,1.784053,0.001536,0.000416,1.788053
0.172453,1.587983,0.074370,1.840534,0.001536,0.000384,1.844598
0.143652,1.566735,0.064194,1.781301,0.001568,0.000448,1.785397
0.147525,1.596559,0.087875,1.838967,0.001600,0.000672,1.843319
0.147909,1.578287,0.064066,1.796822,0.001408,0.000448,1.800470
0.151749,1.585807,0.090883,1.836823,0.001504,0.000416,1.841719
0.151333,1.574607,0.068770,1.800246,0.001440,0.000416,1.804150
0.135204,1.588047,0.074851,1.804790,0.001600,0.000576,1.808918
0.146500,1.569070,0.065986,1.787989,0.001632,0.000512,1.792341
0.150949,1.587983,0.075426,1.822007,0.001472,0.000480,1.827223
0.147333,1.570094,0.065666,1.788789,0.001536,0.000384,1.792597
0.148676,1.586127,0.069507,1.809878,0.001536,0.000448,1.814166
0.128900,1.567566,0.063234,1.765460,0.001472,0.000480,1.769556
0.163749,1.568399,0.067970,1.806806,0.001632,0.000448,1.811318
0.148804,1.567439,0.066690,1.789365,0.001632,0.000512,1.793461
0.166629,1.567982,0.073986,1.814934,0.001504,0.000448,1.818902
0.144644,1.568975,0.063746,1.783189,0.001536,0.000384,1.786997
0.147685,1.566862,0.069603,1.791286,0.001504,0.000512,1.795478
0.150148,1.568463,0.069314,1.795381,0.001568,0.000512,1.799413
0.156645,1.574254,0.068898,1.807478,0.002592,0.000512,1.812758
0.151333,1.594799,0.086307,1.840599,0.001952,0.000544,1.845975
0.146628,1.569519,0.066850,1.789493,0.001600,0.000512,1.793813
0.149348,1.586287,0.077026,1.818966,0.001536,0.000480,1.823062
0.145157,1.568558,0.065986,1.785845,0.001665,0.000512,1.790134
0.151365,1.586927,0.084130,1.830678,0.001568,0.000545,1.835863
0.150277,1.569582,0.064482,1.790453,0.001408,0.000512,1.794517
0.148196,1.589487,0.073923,1.818070,0.001472,0.000448,1.822134
0.147909,1.572655,0.072034,1.799350,0.001472,0.000544,1.804310
0.151748,1.586991,0.076226,1.821110,0.001440,0.000512,1.825334
0.152900,1.570191,0.069378,1.798677,0.001536,0.000512,1.802549
0.131620,1.585679,0.080578,1.805269,0.001600,0.000512,1.809654
0.145892,1.571087,0.066658,1.790581,0.001536,0.000448,1.794549
0.148004,1.585263,0.085667,1.826678,0.001472,0.000416,1.830838
0.141412,1.570031,0.067490,1.785589,0.001600,0.000480,1.789589
0.152484,1.585711,0.076674,1.823350,0.001632,0.000576,1.828662
0.148452,1.568239,0.065730,1.789013,0.001536,0.000544,1.793013
0.133060,1.598736,0.078018,1.816022,0.001632,0.000576,1.820470
0.148836,1.568718,0.065634,1.789749,0.001664,0.000576,1.794293
0.134276,1.595823,0.073346,1.809686,0.001664,0.000448,1.813974
0.147364,1.569167,0.064930,1.788181,0.001568,0.000768,1.792629
0.134468,1.587087,0.088835,1.818070,0.001600,0.000576,1.822646
0.131652,1.569391,0.065026,1.772405,0.001472,0.000512,1.776693
0.153380,1.584143,0.074370,1.819190,0.001600,0.000544,1.823414
0.143972,1.568079,0.067426,1.785653,0.001536,0.000576,1.789749
0.134596,1.583663,0.075010,1.801077,0.001632,0.000576,1.805589
0.133380,1.571215,0.064002,1.775445,0.001504,0.000480,1.779317
0.151780,1.599152,0.093411,1.851959,0.001728,0.000480,1.857079
0.146853,1.569358,0.071619,1.794102,0.001696,0.000448,1.798358
0.166085,1.570958,0.065122,1.808469,0.001632,0.000704,1.812693
0.152612,1.569231,0.065346,1.793621,0.001728,0.000480,1.798325
0.173061,1.570415,0.067330,1.816758,0.001536,0.000576,1.820854
0.150468,1.569967,0.065986,1.792661,0.001696,0.000576,1.796917
0.146500,1.567663,0.064770,1.784437,0.001504,0.000576,1.788533
0.147556,1.585391,0.076866,1.816342,0.001568,0.000544,1.820342
0.151973,1.571183,0.068386,1.798550,0.001472,0.000576,1.803062
0.148260,1.584303,0.074787,1.814486,0.001600,0.000608,1.818710
0.148389,1.568142,0.065954,1.789301,0.001536,0.000576,1.793397
0.131940,1.583951,0.074691,1.796630,0.001632,0.000512,1.800694
0.146085,1.566862,0.065762,1.784917,0.001504,0.000512,1.788725
0.145860,1.586895,0.083138,1.822166,0.001632,0.000544,1.826198
0.145732,1.568206,0.073986,1.794486,0.001632,0.000512,1.798518
0.145285,1.585039,0.072514,1.808822,0.001632,0.000576,1.813014
0.147845,1.579439,0.081282,1.815702,0.001536,0.000544,1.820086
0.146565,1.595567,0.102787,1.850967,0.001408,0.000416,1.855351
0.148517,1.576111,0.066850,1.798230,0.001408,0.000384,1.801782
0.129636,1.594319,0.072643,1.802966,0.001408,0.000416,1.806870
0.149508,1.567759,0.065442,1.789749,0.001376,0.000512,1.793493
0.182374,1.585999,0.083395,1.859960,0.001504,0.000576,1.864056
0.146212,1.569998,0.064546,1.787029,0.001568,0.000512,1.791285
0.146596,1.585935,0.071490,1.811734,0.001504,0.000544,1.816822
0.149445,1.569198,0.064642,1.788629,0.001376,0.000576,1.792373
0.146564,1.592336,0.077602,1.824342,0.001440,0.000608,1.829430
0.148228,1.569071,0.066594,1.789941,0.001472,0.000544,1.793909
0.145476,1.583567,0.075971,1.810870,0.001536,0.000576,1.815158
0.186277,1.572111,0.074626,1.839894,0.001440,0.000512,1.843894
0.148228,1.589520,0.074306,1.819190,0.001472,0.000416,1.824374
0.150500,1.571119,0.064738,1.792533,0.001376,0.000416,1.796373
0.136389,1.590575,0.085378,1.819222,0.001313,0.000384,1.822903
0.172709,1.569711,0.069762,1.817910,0.001504,0.000448,1.821974
0.162821,1.594480,0.065090,1.828663,0.001312,0.000352,1.832375
0.147237,1.569294,0.065442,1.788053,0.001408,0.000416,1.791989
0.149220,1.569103,0.064802,1.789141,0.001504,0.000416,1.793077
0.146500,1.570927,0.068386,1.792565,0.001408,0.000448,1.796853
0.150500,1.572623,0.065890,1.796405,0.001344,0.000384,1.800117
0.148036,1.571023,0.065954,1.791253,0.001376,0.000416,1.795221
0.146533,1.570382,0.065730,1.789685,0.001472,0.000384,1.793718
0.147460,1.569679,0.097475,1.821718,0.001472,0.000448,1.826998
0.145860,1.568910,0.065186,1.786325,0.001632,0.000480,1.790773
0.133060,1.588527,0.081538,1.810645,0.001376,0.000448,1.815606
0.147172,1.566895,0.073698,1.793013,0.001312,0.000320,1.796501
0.141732,1.593615,0.072803,1.815030,0.001376,0.000352,1.820022
0.145220,1.566735,0.064770,1.781909,0.001408,0.000480,1.786069
0.143909,1.588431,0.094723,1.833687,0.001472,0.000416,1.838839
0.148613,1.568526,0.071651,1.795702,0.001408,0.000384,1.799670
0.145796,1.587728,0.075330,1.816150,0.001568,0.000544,1.821430
0.133508,1.569967,0.065026,1.774869,0.001632,0.000448,1.779029
0.146021,1.586383,0.076450,1.816566,0.001504,0.000480,1.821590
0.131140,1.568270,0.073538,1.778548,0.001409,0.000480,1.782357
0.149668,1.586608,0.083714,1.827350,0.001600,0.000480,1.832438
0.149349,1.568783,0.064641,1.789558,0.001504,0.000384,1.793526
0.147044,1.585264,0.101411,1.840759,0.001472,0.000416,1.846263
0.145476,1.566895,0.065218,1.783861,0.001504,0.000384,1.787797
0.145924,1.585551,0.085122,1.822678,0.001632,0.000416,1.826806
0.139172,1.573742,0.071618,1.790613,0.001504,0.000512,1.794517
0.148068,1.588111,0.076450,1.818294,0.001536,0.000416,1.822582
0.148005,1.569903,0.066946,1.791798,0.001600,0.000416,1.796246
0.150053,1.590287,0.069794,1.816470,0.001440,0.000416,1.820886
0.154500,1.583568,0.075842,1.822070,0.001600,0.000768,1.827414
0.150309,1.593423,0.077443,1.828343,0.001504,0.000448,1.833495
0.144132,1.569583,0.069378,1.788949,0.001568,0.000416,1.793013
0.143013,1.587439,0.065826,1.802294,0.001472,0.000416,1.806518
0.144676,1.566511,0.068930,1.785909,0.001792,0.000384,1.790037
