IN[0],INFER[0-8],OUT[8],TEE[0-8],Layer[9],Layer[10],classifier
0.180934,1.584431,0.078210,1.849719,0.001280,0.000416,1.853591
0.147557,1.569038,0.065826,1.789077,0.001312,0.000416,1.792821
0.141733,1.605551,0.091971,1.845495,0.001440,0.000480,1.850007
0.131812,1.564654,0.065250,1.767156,0.001472,0.000480,1.771412
0.148580,1.588335,0.101315,1.845430,0.001760,0.000576,1.851031
0.139012,1.567471,0.067522,1.780277,0.001408,0.000512,1.784341
0.148933,1.587151,0.081219,1.824919,0.001376,0.000416,1.829911
0.145093,1.568718,0.066562,1.786645,0.001409,0.000416,1.790230
0.170661,1.580175,0.066754,1.823510,0.001344,0.000384,1.827414
0.141701,1.568718,0.067106,1.783989,0.001376,0.000448,1.787829
0.153220,1.579823,0.067554,1.807541,0.001408,0.000448,1.811349
0.146949,1.583151,0.066434,1.802774,0.001440,0.000416,1.806678
0.146020,1.569103,0.064962,1.787349,0.001568,0.000512,1.791797
0.147940,1.567375,0.065314,1.785685,0.001504,0.000416,1.789653
0.152420,1.569615,0.063394,1.790229,0.001344,0.000352,1.793781
0.116899,1.571983,0.064354,1.758548,0.001312,0.000416,1.762420
0.125411,1.565647,0.064514,1.760628,0.001312,0.000352,1.764372
0.141284,1.566735,0.065346,1.778101,0.001408,0.000352,1.781973
0.131684,1.563951,0.063586,1.764085,0.001344,0.000352,1.767733
0.164901,1.565966,0.084738,1.820598,0.001248,0.000352,1.824246
0.125444,1.573679,0.067362,1.774645,0.001280,0.000480,1.778293
0.123620,1.567982,0.098083,1.795381,0.001280,0.000352,1.799093
0.153573,1.567630,0.066594,1.794549,0.001632,0.000480,1.798933
0.145604,1.588239,0.074114,1.813750,0.001472,0.000480,1.818326
0.162373,1.573966,0.064610,1.805621,0.001344,0.000416,1.809077
0.160420,1.585615,0.071619,1.823031,0.001312,0.000416,1.826711
0.118403,1.590768,0.064866,1.779125,0.001312,0.000288,1.782997
0.146276,1.582383,0.071682,1.805397,0.001280,0.000608,1.809205
0.115076,1.573710,0.063713,1.757204,0.001345,0.000384,1.761141
0.142820,1.578895,0.072706,1.800917,0.001312,0.000416,1.804886
0.126500,1.571471,0.069506,1.773493,0.001376,0.000448,1.777205
0.148549,1.584943,0.079746,1.820855,0.001696,0.000512,1.826359
0.142404,1.574799,0.068610,1.791573,0.001440,0.000544,1.795349
0.159813,1.588079,0.083747,1.840919,0.001824,0.000576,1.845655
0.149157,1.569966,0.066850,1.792725,0.001664,0.000545,1.797078
0.146437,1.584399,0.080130,1.818294,0.001472,0.000544,1.822230
0.145508,1.567055,0.066466,1.785813,0.001632,0.000448,1.789717
0.199366,1.615120,0.088931,1.913625,0.003392,0.000960,1.921689
0.156805,1.573231,0.096291,1.833143,0.002048,0.000736,1.838935
0.162405,1.586383,0.107876,1.864408,0.001664,0.000480,1.868920
0.145860,1.572623,0.066594,1.792341,0.001504,0.000512,1.796629
0.151557,1.592943,0.089763,1.841207,0.001664,0.000512,1.845783
0.136260,1.571887,0.067522,1.782677,0.001664,0.000384,1.787093
0.152709,1.592111,0.081091,1.832791,0.001568,0.000448,1.836983
0.151876,1.573262,0.071810,1.803125,0.001729,0.000544,1.807254
0.150148,1.591056,0.073730,1.823670,0.001952,0.000576,1.829462
0.151717,1.572751,0.066882,1.797814,0.001536,0.000480,1.802166
0.171621,1.595631,0.067650,1.841751,0.001472,0.000544,1.846167
0.149476,1.572591,0.068930,1.797717,0.001600,0.000416,1.802005
0.158052,1.573615,0.067906,1.807253,0.001472,0.000416,1.811509
0.152228,1.571119,0.068994,1.799285,0.001600,0.000544,1.804085
0.149157,1.571855,0.069794,1.798614,0.001568,0.000576,1.803382
0.151684,1.588207,0.093763,1.840630,0.001568,0.000608,1.845334
0.134148,1.573871,0.069378,1.784341,0.001504,0.000544,1.788661
0.151301,1.587279,0.072930,1.819798,0.001472,0.000544,1.825047
0.151844,1.572367,0.067298,1.798261,0.001344,0.000512,1.802133
0.151396,1.588815,0.084995,1.831958,0.001536,0.000448,1.836054
0.149380,1.572559,0.070882,1.800597,0.001472,0.000544,1.804821
0.141188,1.590352,0.074882,1.814966,0.001408,0.000512,1.819030
0.155333,1.576430,0.067586,1.806998,0.001440,0.000480,1.810902
0.155620,1.592784,0.077250,1.832086,0.001536,0.000448,1.836502
0.154885,1.572270,0.077795,1.812182,0.001536,0.000512,1.816470
0.165412,1.601711,0.090467,1.870488,0.003168,0.000736,1.876920
0.163941,1.576175,0.075042,1.824918,0.002400,0.000672,1.830390
0.150244,1.593199,0.078690,1.830230,0.001760,0.000768,1.836086
0.150757,1.572206,0.067298,1.796822,0.001472,0.000704,1.801430
0.154084,1.589968,0.080258,1.832758,0.001568,0.000480,1.838102
0.152517,1.572462,0.075202,1.806966,0.001568,0.000544,1.811254
0.152484,1.591024,0.077346,1.829846,0.001504,0.000416,1.834390
0.154629,1.584687,0.069602,1.816918,0.001632,0.000512,1.821590
0.169701,1.581583,0.069250,1.827286,0.001472,0.000480,1.831094
0.152965,1.574415,0.070434,1.805238,0.001600,0.000448,1.809206
0.182181,1.579279,0.069666,1.838102,0.001440,0.000480,1.841846
0.180101,1.573903,0.078274,1.839830,0.001536,0.000512,1.843798
0.150084,1.575887,0.067970,1.801173,0.001504,0.000672,1.805365
0.152389,1.588047,0.079074,1.827478,0.001440,0.000545,1.832407
0.151589,1.571823,0.071842,1.802422,0.001568,0.000512,1.806710
0.170981,1.600335,0.082595,1.863319,0.002400,0.000576,1.869271
0.155909,1.574158,0.069826,1.807382,0.001696,0.000544,1.812470
0.157413,1.592399,0.079906,1.836951,0.001504,0.000512,1.841527
0.156389,1.572943,0.068866,1.804278,0.001600,0.000448,1.808470
0.152517,1.613456,0.090243,1.864536,0.001568,0.000448,1.869656
0.153540,1.573807,0.070754,1.805430,0.001440,0.000416,1.809526
0.152101,1.589871,0.080899,1.829463,0.001440,0.000480,1.833463
0.154181,1.574447,0.070402,1.806070,0.001536,0.000512,1.810294
0.151877,1.593263,0.080931,1.834423,0.001472,0.000512,1.839511
0.154020,1.571791,0.067330,1.800341,0.001536,0.000576,1.804565
0.153061,1.591407,0.080674,1.833110,0.001472,0.000513,1.837335
0.151365,1.591823,0.080067,1.832375,0.001536,0.000608,1.837847
0.157637,1.596112,0.079298,1.841047,0.001632,0.000704,1.846679
0.139076,1.575183,0.069026,1.789909,0.001600,0.000480,1.794101
0.153317,1.590927,0.081826,1.834614,0.001504,0.000512,1.839895
0.137765,1.571694,0.068162,1.785141,0.001632,0.000512,1.789686
0.165253,1.575982,0.067266,1.815958,0.001600,0.000512,1.820310
0.152516,1.572303,0.067714,1.799381,0.001568,0.000544,1.804085
0.151845,1.580879,0.068290,1.808726,0.001568,0.000544,1.813270
0.145188,1.569551,0.066722,1.787989,0.001472,0.000480,1.792085
0.156837,1.572495,0.066754,1.803574,0.001536,0.000512,1.808310
0.157220,1.571503,0.100643,1.837142,0.001600,0.000576,1.841398
0.151972,1.574862,0.067522,1.801973,0.001568,0.000736,1.806198
0.153093,1.613616,0.107139,1.881528,0.001664,0.000512,1.885816
0.150564,1.572015,0.068162,1.797749,0.001568,0.000512,1.802485
0.147364,1.585839,0.082370,1.821910,0.001472,0.000448,1.826038
0.144004,1.569103,0.067106,1.787221,0.001472,0.000480,1.791381
0.144580,1.585647,0.078050,1.814742,0.001536,0.000544,1.818742
