IN[0],INFER[0-3],OUT[3],TEE[0-3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.149284,1.504941,0.074403,1.735540,0.049057,0.000864,0.014465,0.000352,0.001760,0.001152,0.000416,1.807766
0.147876,1.535214,0.074914,1.765524,0.048962,0.000864,0.014016,0.000384,0.001568,0.001152,0.000384,1.837270
0.151076,1.508781,0.070658,1.738131,0.049410,0.000832,0.013952,0.000384,0.001536,0.001281,0.000384,1.810230
0.150789,1.522861,0.082690,1.763925,0.049506,0.000832,0.014432,0.000352,0.001760,0.001216,0.000384,1.836823
0.146981,1.502381,0.083042,1.739476,0.049186,0.000864,0.013952,0.000384,0.001440,0.001088,0.000416,1.810934
0.150629,1.520781,0.079779,1.757653,0.048929,0.000832,0.014209,0.000352,0.001760,0.000992,0.000352,1.829143
0.157701,1.506189,0.070018,1.741524,0.049666,0.000832,0.013728,0.000384,0.001760,0.001088,0.000384,1.813622
0.149604,1.522190,0.079426,1.758452,0.049858,0.000864,0.014400,0.000416,0.001760,0.001152,0.000416,1.831542
0.150244,1.504141,0.078114,1.739571,0.048642,0.000832,0.013952,0.000352,0.001760,0.001153,0.000416,1.810678
0.143204,1.520685,0.083810,1.755284,0.049730,0.000832,0.013856,0.000352,0.001697,0.001024,0.000416,1.827127
0.147781,1.502956,0.068674,1.726484,0.048961,0.000832,0.014721,0.000320,0.001792,0.001600,0.000352,1.799158
0.147140,1.518573,0.077571,1.749012,0.048801,0.000832,0.014529,0.000384,0.001792,0.001152,0.000384,1.820918
0.136260,1.505133,0.073186,1.722451,0.048994,0.000832,0.014496,0.000384,0.001760,0.001280,0.000384,1.794741
0.149476,1.521678,0.086146,1.765653,0.050753,0.000832,0.014017,0.000448,0.001504,0.001056,0.000352,1.839447
0.148420,1.505004,0.076642,1.736884,0.050849,0.000864,0.013825,0.000352,0.001536,0.001184,0.000384,1.809942
0.148613,1.521389,0.107619,1.785077,0.049666,0.000864,0.013728,0.000352,0.001504,0.001120,0.000384,1.857271
0.143172,1.504813,0.074466,1.729267,0.049186,0.000832,0.014400,0.000320,0.001728,0.001408,0.000448,1.801685
0.169381,1.505773,0.070850,1.753940,0.049410,0.000864,0.013920,0.000352,0.001600,0.001216,0.000352,1.825718
0.148165,1.503821,0.072642,1.730548,0.052354,0.000864,0.014624,0.000384,0.001760,0.001152,0.000352,1.806102
0.148580,1.504300,0.074787,1.734516,0.049921,0.000864,0.014337,0.000352,0.001600,0.001152,0.000384,1.807126
0.147973,1.517453,0.071234,1.742804,0.049506,0.000864,0.014176,0.000384,0.001760,0.001056,0.000352,1.815126
0.135653,1.501292,0.070979,1.714868,0.051745,0.000832,0.014209,0.000352,0.001440,0.001248,0.000352,1.789238
0.136388,1.502445,0.070242,1.716275,0.068002,0.000928,0.014112,0.000352,0.001568,0.001280,0.000385,1.807702
0.147045,1.503309,0.067810,1.725140,0.049985,0.000832,0.013761,0.000320,0.001536,0.001152,0.000384,1.797270
0.149637,1.522861,0.108196,1.788790,0.052385,0.000928,0.013825,0.000352,0.001536,0.001088,0.000352,1.863864
0.150277,1.504781,0.082914,1.745844,0.050882,0.000832,0.013888,0.000384,0.001792,0.001216,0.000384,1.819574
0.153700,1.538574,0.086403,1.786037,0.049025,0.000896,0.014657,0.000352,0.001824,0.001344,0.000416,1.859319
0.133860,1.502605,0.067938,1.711059,0.051586,0.000928,0.014272,0.000352,0.001536,0.001216,0.000416,1.785397
0.150629,1.520749,0.107268,1.786774,0.050881,0.000832,0.014145,0.000416,0.001600,0.001472,0.000352,1.860888
0.146789,1.503757,0.070754,1.728244,0.049121,0.000864,0.014593,0.000352,0.001824,0.001376,0.000416,1.800886
0.134948,1.520781,0.090947,1.754420,0.051106,0.000832,0.013952,0.000320,0.001536,0.001056,0.000384,1.828182
0.153508,1.501741,0.068258,1.729971,0.049858,0.000800,0.013824,0.000448,0.001600,0.001216,0.000384,1.802069
0.145188,1.520365,0.071971,1.744980,0.050401,0.000640,0.013793,0.000352,0.001792,0.001344,0.000384,1.818038
0.147652,1.514158,0.069506,1.738708,0.049985,0.000832,0.014433,0.000384,0.001472,0.001248,0.000384,1.812086
0.141444,1.523054,0.077602,1.749108,0.050210,0.000896,0.013952,0.000320,0.001760,0.001152,0.000384,1.821846
0.148261,1.503885,0.072930,1.732692,0.050178,0.000832,0.013856,0.000352,0.001760,0.001120,0.000384,1.805366
0.145157,1.523277,0.089955,1.765653,0.050337,0.000833,0.014592,0.000352,0.001792,0.001216,0.000384,1.839799
0.173541,1.504940,0.070019,1.755797,0.051169,0.000832,0.013889,0.000384,0.001696,0.001120,0.000384,1.829431
0.147269,1.519437,0.081122,1.754869,0.049633,0.000832,0.014848,0.000416,0.001824,0.001344,0.000416,1.828183
0.154788,1.503341,0.068258,1.733459,0.049282,0.000832,0.014368,0.000384,0.001568,0.001152,0.000384,1.805494
0.149668,1.519054,0.072450,1.748340,0.049761,0.000864,0.014369,0.000320,0.001760,0.001248,0.000384,1.821270
0.142213,1.504109,0.066562,1.718964,0.049185,0.000832,0.014977,0.000416,0.001792,0.001184,0.000384,1.791926
0.171205,1.509581,0.069090,1.758164,0.049410,0.000832,0.014656,0.000352,0.001472,0.001184,0.000384,1.831350
0.142404,1.504365,0.067010,1.720435,0.049313,0.000832,0.014689,0.000384,0.001728,0.001120,0.000384,1.792981
0.147364,1.503597,0.067426,1.725363,0.050050,0.000896,0.014368,0.000352,0.001729,0.001120,0.000384,1.798838
0.143492,1.503949,0.068418,1.722995,0.049474,0.000832,0.013792,0.000384,0.001536,0.001184,0.000352,1.794645
0.144549,1.502893,0.066338,1.719636,0.049121,0.000864,0.013633,0.000384,0.001568,0.001120,0.000384,1.790774
0.149764,1.502861,0.069186,1.728819,0.061602,0.000800,0.013600,0.000384,0.001441,0.001088,0.000352,1.812534
0.138628,1.502412,0.067874,1.716211,0.048866,0.000896,0.013600,0.000352,0.001536,0.001185,0.000416,1.787030
0.131876,1.501196,0.065122,1.704530,0.065794,0.000864,0.013921,0.000352,0.001536,0.001120,0.000416,1.792821
0.138564,1.503885,0.076002,1.725459,0.048962,0.000672,0.013664,0.000384,0.001536,0.001248,0.000384,1.796437
0.151044,1.536526,0.107779,1.801909,0.050114,0.000896,0.013664,0.000352,0.001536,0.001248,0.000352,1.874967
0.134788,1.502445,0.071010,1.714515,0.048865,0.000832,0.014465,0.000384,0.001888,0.001152,0.000352,1.786325
0.184453,1.531278,0.085347,1.812630,0.051329,0.001056,0.014305,0.000352,0.001760,0.002688,0.000832,1.890328
0.133124,1.506829,0.071330,1.718707,0.051330,0.000832,0.015264,0.000352,0.001632,0.001728,0.000640,1.794837
0.150084,1.525358,0.089187,1.772725,0.051041,0.000864,0.014561,0.000384,0.001536,0.001184,0.000416,1.847255
0.180773,1.510541,0.068834,1.767381,0.050721,0.000960,0.014529,0.000352,0.001536,0.001120,0.000576,1.841175
0.167813,1.525166,0.082754,1.785877,0.051906,0.001024,0.014016,0.000576,0.001728,0.002368,0.000768,1.863767
0.130692,1.504173,0.068674,1.710131,0.052226,0.000864,0.014304,0.000352,0.001920,0.001632,0.000416,1.786550
0.140900,1.525709,0.075490,1.748308,0.050050,0.000896,0.013792,0.000416,0.001888,0.001152,0.000384,1.820695
0.170405,1.501965,0.067490,1.745876,0.050210,0.000896,0.014240,0.000352,0.001600,0.001088,0.000352,1.818582
0.126500,1.519437,0.090435,1.742644,0.049889,0.000864,0.014369,0.000352,0.001536,0.001536,0.000384,1.815638
0.157541,1.504909,0.075810,1.744532,0.049410,0.000832,0.013952,0.000320,0.001632,0.001120,0.000384,1.815990
0.141829,1.517997,0.083138,1.748756,0.051009,0.000896,0.013952,0.000384,0.001504,0.001024,0.000416,1.821783
