REE[313],TEE[313]
5.990700,8.874221
5.174608,8.870062
4.492601,8.872302
4.484120,8.848941
4.480888,8.843405
4.486968,8.848653
4.485849,8.833100
4.487800,8.868302
4.485113,8.836940
4.487160,8.845613
4.493721,8.867341
4.488633,8.829965
4.495481,8.853293
4.493785,8.840972
4.484185,8.844524
4.487801,8.846284
4.485401,8.830124
4.491321,8.827148
4.488952,8.838828
4.497497,8.850669
4.489464,8.849484
4.487161,8.822412
4.492088,8.868749
4.482137,8.839404
4.480760,8.822060
4.484760,8.818124
4.482425,8.844525
4.488281,8.846477
4.494137,8.839788
4.482680,8.834380
4.489272,8.844045
4.501689,8.837612
4.484664,8.867501
4.490040,8.878605
4.482232,8.841580
4.485625,8.856845
4.481560,8.832204
4.486681,8.865197
4.488441,8.845484
4.485945,8.848140
4.483608,8.830060
4.484600,8.841037
4.484057,8.851213
4.491960,8.866925
4.487000,8.864493
4.482904,8.849901
4.489816,8.841005
4.484857,8.860941
4.493305,8.849453
4.485177,8.847725
4.498840,8.845260
4.497561,8.838476
4.495513,8.862797
4.476600,8.827244
4.486680,8.845517
4.485177,8.843437
4.490648,8.819563
4.507865,8.847276
4.491384,8.844204
4.485592,8.856141
4.491577,8.828012
4.486713,8.841933
4.482489,8.832044
4.492441,8.838316
4.487160,8.840525
4.485720,8.834668
4.484184,8.835820
4.493657,8.832140
4.482072,8.860141
4.507322,8.849485
4.483128,8.855149
4.484569,8.826572
4.490329,8.836332
4.481977,8.858061
4.486872,8.842573
4.482936,8.873966
4.491449,8.855565
4.484792,8.898510
4.487449,8.833612
4.481689,8.837484
4.478360,8.843565
4.492760,8.858189
4.489785,8.827596
4.493496,8.846477
4.492537,8.839309
4.492985,8.885966
4.482904,8.849453
4.485720,8.832877
4.479672,8.833612
4.494105,8.878766
4.487897,8.846477
4.491481,8.834444
4.487289,8.845005
4.482361,8.851596
4.485401,8.850253
4.488440,8.833804
4.488473,8.825132
4.482105,8.826668
4.494265,8.825196
4.490169,8.864365
4.485304,8.845005
4.490265,8.888910
4.497017,8.891278
4.490232,8.839084
4.491353,8.833324
4.490904,8.836588
4.497305,8.830508
4.483800,8.823052
4.490105,8.860429
4.484696,8.891982
4.485048,8.884046
4.492761,8.839373
4.486840,8.847469
4.490265,8.838252
4.481144,8.832364
4.496569,8.840589
4.495257,8.841068
4.487769,8.845708
4.479256,8.842476
4.484953,8.837292
4.485337,8.836428
4.482392,8.829900
4.484505,8.838060
4.487513,8.827468
4.499353,8.843821
4.491033,8.851501
4.491832,8.841388
4.486041,8.848589
4.504249,8.876558
4.486393,8.834636
4.489401,8.860685
4.486553,8.892463
4.493785,8.839724
4.486457,8.838540
4.483928,8.831724
4.486936,8.838604
4.481272,8.849837
4.478201,8.830188
4.485848,8.828012
4.485561,8.832492
4.486297,8.834380
4.489881,8.837932
4.481368,8.827884
4.478296,8.842797
4.481529,8.828012
4.483064,8.830540
4.483768,8.830476
4.483352,8.831821
4.485560,8.837420
4.486936,8.853549
4.496152,8.851180
4.487769,8.827820
4.487353,8.826892
4.486040,8.846765
4.476568,8.907087
4.492601,8.883918
4.488761,8.825356
4.494424,8.845516
4.490585,8.832716
4.498425,8.855053
4.489241,8.847821
4.483192,8.839308
4.485048,8.821324
4.493496,8.853741
4.488025,8.842892
4.484408,8.856685
4.485720,8.895342
4.487737,8.821548
4.497657,8.855500
4.483288,8.871694
4.487992,8.849580
4.489113,8.875470
4.495064,8.872813
4.485112,8.863181
4.483704,8.832077
4.486457,8.846349
4.491865,8.846669
4.512089,8.849324
4.486328,8.843340
4.485976,8.830860
4.480216,8.827308
4.500793,8.839917
4.483320,8.859501
4.488185,8.843437
4.486169,8.848332
4.483512,8.876813
4.480728,8.841740
4.490488,8.836332
4.492761,8.832908
4.484280,8.832908
4.491865,8.844877
4.487640,8.847917
4.487928,8.850925
4.485944,8.833676
4.480792,8.842733
4.485720,8.853293
4.489400,8.843756
4.483000,8.847596
4.484953,8.844876
4.488568,8.863853
4.493240,8.857229
4.496377,8.856621
4.487224,8.848589
4.502201,8.835404
4.486360,8.826060
4.490105,8.841612
4.487736,8.832557
4.480664,8.854733
4.495321,8.832396
4.490745,8.851085
4.480472,8.821323
4.483096,8.867309
4.492216,8.843917
4.484696,8.825356
4.484121,8.827948
4.482328,8.837228
4.485528,8.838540
4.479320,8.849069
4.488377,8.831148
4.485593,8.828268
4.496281,8.860781
4.495257,8.870413
4.485880,8.866126
4.482425,8.832108
4.483961,8.826028
4.481817,8.850509
4.493208,8.859725
4.487897,8.837837
4.486488,8.833740
4.485944,8.830796
4.495001,8.867597
4.488249,8.878798
4.487512,8.843212
4.485848,8.861453
4.492121,8.854797
4.492025,8.844332
4.489913,8.871246
4.489241,8.857453
4.499769,8.849868
4.492761,8.821132
4.488728,8.852909
4.490201,8.843692
4.489913,8.830380
4.491032,8.883790
4.490361,8.840525
4.483929,8.863053
4.484984,8.836748
4.488760,8.848749
4.490329,8.843213
4.499321,8.839436
4.484280,8.870253
4.485113,8.825324
4.497081,8.831404
4.483416,8.844236
4.486905,8.846285
4.484152,8.875277
4.482489,8.831468
4.477080,8.857805
4.480184,8.834220
4.484121,8.871886
4.472440,8.827532
4.480248,8.825580
4.482392,8.820556
4.489080,8.873102
4.481080,8.832717
4.504153,8.865229
4.489689,8.858349
4.486553,8.822764
4.487928,8.829133
4.487704,8.849004
4.500089,8.857901
4.494104,8.835436
4.494841,8.837996
4.482904,8.849549
4.492153,8.838188
4.490553,8.847244
4.481465,8.837996
4.486456,8.840173
4.487193,8.849357
4.490745,8.847277
4.483544,8.829324
4.481784,8.841069
4.480312,8.830924
4.489176,8.839724
4.491384,8.820588
4.490680,8.841581
4.485496,8.835308
4.479992,8.841612
4.484984,8.822604
4.488697,8.836461
4.483608,8.827436
4.485880,8.825643
4.487000,8.853037
4.490968,8.845228
4.486265,8.857965
4.488825,8.827340
4.486936,8.831180
4.487193,8.833612
4.489368,8.836236
4.503545,8.835949
4.492760,8.857741
4.489881,8.844044
4.484760,8.824908
4.492089,8.837484
4.485336,8.828428
4.486296,8.853741
4.485401,8.823916
4.484185,8.823947
4.488856,8.826028
4.489273,8.830125
4.492537,8.839885
4.482489,8.830412
4.499737,8.835116
4.502937,8.822156
4.497465,8.831116
4.488792,8.824555
4.492664,8.839788
4.494232,8.831692
4.494776,8.840557
4.489144,8.850157
4.494137,8.857037
4.490169,8.850029
4.483289,8.856877
4.486264,8.844845
4.487032,8.836364
4.492441,8.838700
4.482904,8.836076
4.478936,8.829708
4.480536,8.826924
4.471256,8.873101
4.493209,8.841389
4.485273,8.843021
4.479193,8.832556
4.474392,8.845004
4.482776,8.884974
4.489625,8.820460
4.483417,8.848269
4.486584,8.843404
4.488057,8.852748
4.492537,8.853389
4.485881,8.842156
4.487704,8.839628
4.494617,8.835980
4.485080,8.825355
4.484248,8.820620
4.489240,8.829132
4.487129,8.829388
4.484825,8.839692
4.489592,8.822220
4.489561,8.815020
4.481496,8.832108
4.482680,8.829036
4.490489,8.867533
4.487416,8.851469
4.487865,8.826924
4.485688,8.843405
4.490873,8.829740
4.486297,8.825996
4.480728,8.840749
4.481848,8.839661
4.485336,8.828716
4.486553,8.835564
4.486041,8.834764
4.487161,8.847244
4.486553,8.833773
4.497016,8.853773
4.493561,8.853677
4.488088,8.836621
4.485593,8.866093
4.498296,8.837228
4.485912,8.834092
4.487833,8.821772
4.489881,8.841453
4.482393,8.841101
4.487065,8.827308
4.482808,8.824012
4.499513,8.881102
4.495064,8.847469
4.491033,8.842637
4.488793,8.852173
4.488185,8.851501
4.481080,8.888622
4.487641,8.841196
4.482648,8.908015
4.487224,8.827948
4.482904,8.831692
4.487673,8.828076
4.499353,8.833356
4.490137,8.840300
4.481720,8.855757
4.487896,8.844460
4.499353,8.851181
4.486585,8.837548
4.487545,8.848397
4.483544,8.856205
4.482680,8.870029
4.478328,8.847085
4.486745,8.845100
4.487961,8.845132
4.489816,8.840364
4.496664,8.877165
4.495449,8.845293
4.493017,8.852717
4.493977,8.849549
4.495577,8.883086
4.492600,8.837868
4.490488,8.836397
4.490073,8.824044
4.485305,8.847725
4.491032,8.847309
4.487801,8.839020
4.487193,8.877134
4.482168,8.824844
4.492089,8.835661
4.493721,8.855373
4.489016,8.831276
4.487032,8.839916
4.490648,8.833580
4.486425,8.835468
4.496952,8.819756
4.477944,8.850093
4.482872,8.847596
4.491928,8.846125
4.492889,8.846701
