Layer[0],Layer[1],IN[2],INFER[2-5],OUT[5],TEE[2-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.526756,0.018048,0.100289,8.033689,0.065376,8.203514,0.015680,0.000672,0.001536,0.010912,0.000672,8.785247
0.420483,0.017761,0.128000,0.569285,0.066784,0.768005,0.015424,0.000480,0.001568,0.001600,0.000608,1.232553
0.422019,0.017824,0.174017,0.573828,0.068673,0.821350,0.016192,0.000704,0.001472,0.002528,0.000800,1.293258
0.422499,0.017696,0.137537,0.569700,0.068673,0.779910,0.015040,0.000480,0.001504,0.001952,0.000576,1.246249
0.420771,0.017696,0.142817,0.566500,0.069601,0.782534,0.017056,0.000512,0.001664,0.001600,0.000384,1.247625
0.421540,0.017344,0.138689,0.583076,0.067968,0.793317,0.014848,0.000448,0.001536,0.001216,0.000384,1.256105
0.420515,0.017280,0.139425,0.569796,0.065153,0.777958,0.014592,0.000448,0.002336,0.001376,0.000608,1.240905
0.419939,0.017440,0.137697,0.570372,0.066145,0.777894,0.014976,0.000480,0.001568,0.001504,0.000416,1.239689
0.420067,0.017600,0.148769,0.565796,0.063968,0.782085,0.014528,0.000480,0.001505,0.001216,0.000384,1.243497
0.420419,0.017569,0.138433,0.570372,0.065728,0.777925,0.014400,0.000480,0.001408,0.001216,0.000320,1.239209
0.420131,0.017408,0.136833,0.568452,0.065185,0.773766,0.018976,0.000448,0.001536,0.001088,0.000352,1.239209
0.434019,0.017472,0.160001,0.580452,0.065953,0.811270,0.014400,0.000480,0.001440,0.001248,0.000384,1.286441
0.420291,0.017408,0.139137,0.569572,0.068737,0.780838,0.014272,0.000448,0.001536,0.001152,0.000576,1.242345
0.416515,0.017505,0.124032,0.601092,0.076768,0.805125,0.014432,0.000416,0.001472,0.001249,0.000608,1.263434
0.420323,0.017216,0.133217,0.567332,0.064417,0.768390,0.014272,0.000480,0.001408,0.001440,0.000352,1.229513
0.420195,0.017216,0.134113,0.565860,0.063521,0.767270,0.014176,0.000480,0.001408,0.000992,0.000640,1.229705
0.420227,0.017344,0.151105,0.568740,0.063936,0.787397,0.014336,0.000448,0.001664,0.001248,0.000352,1.248744
0.420451,0.017568,0.131041,0.567588,0.064385,0.766342,0.014464,0.000640,0.001792,0.001056,0.000384,1.228393
0.416163,0.017248,0.129409,0.566820,0.063264,0.763269,0.014400,0.000480,0.001536,0.001184,0.000640,1.220360
0.436803,0.017472,0.139585,0.571077,0.066208,0.780422,0.014304,0.000480,0.001376,0.001184,0.000384,1.258761
0.420547,0.018016,0.128289,0.569380,0.071265,0.772326,0.016224,0.000448,0.001536,0.001088,0.000576,1.236937
0.420675,0.017760,0.138081,0.567332,0.083329,0.792358,0.014336,0.000480,0.001536,0.001344,0.000576,1.254729
0.420963,0.017696,0.140545,0.566756,0.071744,0.782821,0.014688,0.000448,0.001408,0.001248,0.000352,1.245512
0.419811,0.017408,0.128192,0.568100,0.066496,0.766725,0.014464,0.000512,0.001504,0.001344,0.000352,1.229033
0.419427,0.017632,0.136577,0.588452,0.086913,0.816070,0.014496,0.000704,0.001504,0.001376,0.000352,1.277385
0.416003,0.017504,0.129601,0.567364,0.066368,0.766918,0.014528,0.000640,0.001440,0.001056,0.000384,1.224361
0.419683,0.017345,0.140513,0.567556,0.075104,0.786821,0.015904,0.000512,0.001440,0.001504,0.000352,1.249577
