IN[0],INFER[0-2],OUT[2],TEE[0-2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.093219,9.016973,0.086147,9.202835,0.005952,0.049281,0.000640,0.013601,0.000416,0.001504,0.002752,0.000608,9.283189
0.144228,1.525262,0.084098,1.760596,0.006272,0.049634,0.000640,0.014112,0.000448,0.001440,0.001280,0.000417,1.840023
0.156804,1.499309,0.071906,1.735315,0.006433,0.050241,0.000672,0.014305,0.000416,0.001504,0.001472,0.000352,1.815830
0.153861,1.513901,0.085634,1.760693,0.005632,0.051873,0.000672,0.014337,0.000384,0.001504,0.001536,0.000512,1.842423
0.132612,1.494476,0.069571,1.703123,0.007584,0.049985,0.000576,0.013697,0.000448,0.001536,0.001120,0.000352,1.783701
0.144100,1.513453,0.082851,1.747924,0.006496,0.049441,0.000833,0.013568,0.000384,0.001504,0.001408,0.000352,1.827190
0.149956,1.498477,0.069730,1.724531,0.013120,0.050722,0.000608,0.013600,0.000384,0.001473,0.001248,0.000352,1.810806
0.143524,1.512109,0.146341,1.809302,0.006496,0.049089,0.000640,0.013921,0.000384,0.001472,0.001216,0.000320,1.888248
0.145764,1.497068,0.069026,1.717203,0.013537,0.048609,0.000608,0.013889,0.000384,0.001472,0.001184,0.000352,1.801814
0.134244,1.514797,0.076226,1.731956,0.009728,0.048450,0.000832,0.013728,0.000416,0.001440,0.001216,0.000352,1.813047
0.145860,1.494093,0.073378,1.718771,0.010208,0.050402,0.000608,0.013696,0.000352,0.001472,0.001120,0.000384,1.801941
0.147492,1.526414,0.079938,1.759284,0.011744,0.048962,0.000640,0.013632,0.000384,0.001408,0.001121,0.000384,1.841975
0.133252,1.491308,0.069538,1.700018,0.006785,0.048609,0.000768,0.013537,0.000384,0.001472,0.001152,0.000384,1.777525
0.167205,1.521005,0.069410,1.764757,0.012704,0.048545,0.000608,0.013952,0.000352,0.001504,0.001184,0.000384,1.848567
0.129028,1.493965,0.068098,1.697203,0.010176,0.048706,0.000608,0.013696,0.000384,0.001472,0.001024,0.000384,1.778357
0.143396,1.504269,0.069474,1.722995,0.012577,0.048353,0.000704,0.014177,0.000384,0.001504,0.001184,0.000416,1.806838
0.150661,1.498668,0.071234,1.725972,0.013280,0.049090,0.000832,0.013632,0.000384,0.001408,0.001056,0.000352,1.810902
0.143748,1.496172,0.069346,1.714739,0.012353,0.049281,0.000640,0.013537,0.000384,0.001408,0.001120,0.000416,1.798358
0.144228,1.494797,0.070338,1.715603,0.012896,0.049762,0.000608,0.013568,0.000416,0.001472,0.001088,0.000352,1.800277
0.153380,1.503757,0.076546,1.744340,0.010112,0.050338,0.000832,0.014848,0.000384,0.001728,0.002464,0.000640,1.832278
0.150660,1.532782,0.083714,1.773525,0.011040,0.049281,0.000800,0.014657,0.000384,0.001440,0.001952,0.000480,1.859191
0.166309,1.500621,0.075522,1.749684,0.006144,0.049090,0.000992,0.013888,0.000352,0.001504,0.002048,0.000416,1.829942
0.150565,1.514893,0.086307,1.757813,0.009792,0.048642,0.000864,0.014080,0.000352,0.001504,0.001600,0.000544,1.840087
0.149188,1.493549,0.068802,1.716915,0.012416,0.048706,0.000608,0.013632,0.000384,0.001504,0.001697,0.000448,1.801462
0.129188,1.509293,0.083235,1.727476,0.008352,0.048417,0.000608,0.013633,0.000352,0.001536,0.001664,0.000512,1.807318
0.141924,1.495565,0.067970,1.710579,0.005472,0.048962,0.000608,0.013952,0.000352,0.001536,0.001632,0.000480,1.788277
0.141348,1.511437,0.071202,1.730356,0.013697,0.050721,0.000800,0.013665,0.000416,0.001504,0.001184,0.000448,1.817559
0.141412,1.493485,0.069314,1.710643,0.007808,0.048289,0.000608,0.013569,0.000352,0.001440,0.001120,0.000384,1.788661
0.146437,1.513165,0.083043,1.749461,0.012512,0.050434,0.000672,0.013632,0.000416,0.001440,0.001248,0.000384,1.834839
0.150597,1.496877,0.072130,1.725876,0.005696,0.048737,0.000832,0.014080,0.000416,0.001440,0.001536,0.000384,1.803830
0.144836,1.527918,0.100867,1.780501,0.008960,0.048673,0.000832,0.013600,0.000352,0.001440,0.001248,0.000416,1.861047
0.151173,1.496589,0.072002,1.726388,0.012960,0.048738,0.000576,0.013536,0.000416,0.001472,0.001248,0.000384,1.810198
0.147940,1.520974,0.089090,1.763348,0.008001,0.049185,0.000672,0.013953,0.000352,0.001504,0.001216,0.000416,1.843063
0.146564,1.494349,0.070018,1.717107,0.006368,0.048162,0.000608,0.013568,0.000384,0.001440,0.001248,0.000352,1.793813
0.146852,1.515053,0.088163,1.756084,0.009024,0.048898,0.000608,0.013568,0.000384,0.001472,0.001344,0.000416,1.836662
0.152420,1.494765,0.074818,1.728627,0.008352,0.048418,0.000608,0.013568,0.000416,0.001440,0.001152,0.000384,1.807509
0.151044,1.514766,0.086658,1.760756,0.009889,0.048449,0.000576,0.014433,0.000352,0.001536,0.001536,0.000416,1.843447
0.152676,1.497357,0.076962,1.733235,0.005632,0.048769,0.000576,0.014080,0.000352,0.001569,0.001824,0.000384,1.810934
0.151813,1.512845,0.083491,1.754933,0.010752,0.048673,0.000800,0.013729,0.000384,0.001408,0.001248,0.000352,1.836759
0.152260,1.499693,0.076418,1.736019,0.011009,0.048897,0.000832,0.013793,0.000384,0.001472,0.001248,0.000416,1.819190
0.171910,1.518509,0.072546,1.769653,0.006817,0.050977,0.000640,0.013825,0.000416,0.001504,0.001216,0.000384,1.850264
0.159909,1.494957,0.071586,1.733204,0.005792,0.048770,0.000832,0.014112,0.000384,0.001568,0.001056,0.000352,1.810678
0.147973,1.494701,0.071298,1.719892,0.005472,0.048449,0.000608,0.013953,0.000384,0.001536,0.001568,0.000416,1.796790
0.146693,1.491916,0.069250,1.713428,0.013312,0.049793,0.000608,0.013697,0.000352,0.001504,0.001120,0.000384,1.798550
0.145956,1.492205,0.067490,1.711091,0.012736,0.048962,0.000864,0.013696,0.000352,0.001472,0.001280,0.000384,1.795381
0.147941,1.494220,0.072003,1.720404,0.014176,0.069154,0.000928,0.013793,0.000416,0.001472,0.001216,0.000448,1.826679
0.148612,1.494829,0.066466,1.715251,0.012704,0.049506,0.000640,0.013632,0.000416,0.001376,0.001184,0.000352,1.799606
0.145476,1.513741,0.078499,1.743412,0.007584,0.047905,0.000832,0.014113,0.000416,0.001472,0.001152,0.000416,1.821686
0.150373,1.492876,0.069667,1.719124,0.005472,0.048545,0.000832,0.013697,0.000352,0.001504,0.001280,0.000384,1.795862
0.148740,1.511437,0.080674,1.748436,0.011169,0.048449,0.000672,0.013952,0.000352,0.001440,0.001248,0.000384,1.831575
0.131300,1.495180,0.068674,1.700818,0.010081,0.049025,0.000832,0.013601,0.000384,0.001472,0.001280,0.000352,1.782485
0.148645,1.512109,0.079138,1.745620,0.008128,0.048577,0.000608,0.013600,0.000384,0.001408,0.001121,0.000384,1.824279
0.148965,1.493357,0.070466,1.719028,0.005472,0.049089,0.000608,0.013633,0.000384,0.001440,0.001184,0.000384,1.795478
0.134884,1.512078,0.082946,1.736660,0.009568,0.048578,0.000608,0.013632,0.000384,0.001376,0.001280,0.000352,1.817462
0.149189,1.497261,0.071074,1.723764,0.008480,0.048162,0.000832,0.013792,0.000352,0.001472,0.001120,0.000384,1.802678
0.131972,1.511021,0.082819,1.733396,0.010624,0.047938,0.000800,0.013536,0.000352,0.001472,0.001152,0.000384,1.814614
0.136292,1.494285,0.069986,1.705779,0.007712,0.049282,0.000896,0.013696,0.000384,0.001376,0.001248,0.000288,1.785269
0.144836,1.513517,0.081571,1.747028,0.006144,0.048257,0.000640,0.013537,0.000352,0.001472,0.001248,0.000480,1.824471
0.149509,1.496268,0.071522,1.724276,0.007584,0.049089,0.000832,0.013761,0.000384,0.001536,0.001440,0.000352,1.804150
0.143717,1.509741,0.071458,1.730772,0.006976,0.048482,0.000768,0.013920,0.000416,0.001504,0.001184,0.000416,1.808822
0.143109,1.497740,0.072963,1.719732,0.005408,0.048321,0.000832,0.013761,0.000384,0.001504,0.001184,0.000384,1.795574
0.130916,1.510189,0.082371,1.730868,0.005536,0.048865,0.000608,0.013601,0.000416,0.001472,0.001248,0.000384,1.807734
0.138500,1.494381,0.071618,1.710387,0.010176,0.048386,0.000608,0.014272,0.000384,0.001440,0.001120,0.000384,1.791509
0.146629,1.510061,0.084738,1.748468,0.005441,0.048417,0.000832,0.013632,0.000417,0.001440,0.001184,0.000384,1.824695
0.141476,1.490733,0.068482,1.707155,0.008288,0.048898,0.000672,0.013632,0.000384,0.001504,0.001184,0.000352,1.786357
0.142981,1.510093,0.115363,1.776117,0.007168,0.048642,0.000640,0.013664,0.000384,0.001408,0.001281,0.000384,1.854840
0.147076,1.492781,0.071714,1.717523,0.005408,0.048354,0.000832,0.013568,0.000416,0.001472,0.001120,0.000352,1.793397
0.139876,1.508717,0.077379,1.731860,0.006880,0.047681,0.000640,0.013825,0.000416,0.001472,0.001120,0.000384,1.808694
0.148260,1.494893,0.070882,1.720755,0.010048,0.047746,0.000800,0.013728,0.000416,0.001472,0.001312,0.000352,1.801461
0.138756,1.512461,0.090435,1.748564,0.015200,0.049186,0.000832,0.013920,0.000416,0.001472,0.001152,0.000384,1.835446
0.144293,1.497484,0.071939,1.720180,0.005696,0.049601,0.000672,0.013569,0.000448,0.001568,0.001184,0.000448,1.798038
0.151397,1.509805,0.076994,1.745364,0.005632,0.049762,0.000832,0.013600,0.000416,0.001537,0.001184,0.000320,1.822935
0.142949,1.495084,0.070498,1.715059,0.005473,0.048705,0.000576,0.013569,0.000416,0.001536,0.001216,0.000448,1.791478
0.129540,1.508461,0.070882,1.715187,0.007392,0.048706,0.000608,0.013632,0.000320,0.001536,0.001184,0.000512,1.793525
0.145604,1.495500,0.071682,1.719571,0.006881,0.048225,0.000704,0.013505,0.000384,0.001472,0.001248,0.000416,1.796982
0.142116,1.520334,0.086722,1.756916,0.009249,0.049953,0.000832,0.013792,0.000385,0.001504,0.001184,0.000416,1.839095
0.150437,1.496717,0.071010,1.724820,0.005632,0.048481,0.000640,0.013600,0.000352,0.001440,0.001248,0.000416,1.801046
0.137508,1.497164,0.069699,1.711123,0.010016,0.052097,0.000832,0.013569,0.000384,0.001536,0.001248,0.000384,1.795445
0.151333,1.496172,0.071491,1.725812,0.007552,0.052033,0.000608,0.013569,0.000352,0.001504,0.001152,0.000384,1.807382
0.133124,1.496908,0.074627,1.712115,0.005760,0.048673,0.000608,0.013569,0.000352,0.001504,0.001088,0.000352,1.788693
0.144964,1.493485,0.070402,1.714451,0.010048,0.064994,0.000864,0.013825,0.000384,0.001472,0.001152,0.000352,1.812086
0.151365,1.496524,0.072802,1.726484,0.007776,0.053090,0.000672,0.013664,0.000448,0.001440,0.001248,0.000480,1.809622
0.141220,1.494061,0.093731,1.735316,0.011776,0.049090,0.000896,0.013536,0.000384,0.001504,0.001120,0.000384,1.818230
0.139204,1.492429,0.070818,1.707891,0.005472,0.049474,0.000864,0.013568,0.000416,0.001472,0.001344,0.000384,1.785205
0.127076,1.506637,0.081635,1.722516,0.005536,0.048321,0.000608,0.013601,0.000352,0.001472,0.001184,0.000320,1.798934
0.141733,1.492588,0.069058,1.709651,0.005505,0.048609,0.000832,0.013568,0.000416,0.001472,0.001376,0.000320,1.785974
0.138084,1.509037,0.087971,1.742356,0.005600,0.048449,0.000608,0.013537,0.000384,0.001472,0.001024,0.000352,1.818134
0.149157,1.492333,0.075810,1.723924,0.015136,0.049506,0.000672,0.013600,0.000352,0.001568,0.001248,0.000352,1.810647
0.145445,1.507661,0.085794,1.746484,0.008641,0.048449,0.000576,0.013505,0.000384,0.001440,0.001152,0.000416,1.826103
0.147108,1.492813,0.071746,1.717971,0.005568,0.048194,0.000672,0.013632,0.000384,0.001408,0.001152,0.000384,1.793941
0.144420,1.507245,0.076322,1.735156,0.011520,0.049602,0.000576,0.013632,0.000416,0.001472,0.001184,0.000384,1.818902
0.141509,1.496012,0.071395,1.715892,0.008416,0.048353,0.000576,0.013953,0.000416,0.001440,0.001088,0.000384,1.794934
0.141124,1.511693,0.087299,1.746676,0.006272,0.048001,0.000608,0.013601,0.000416,0.001440,0.001440,0.000384,1.823479
0.122436,1.491501,0.067810,1.687251,0.013856,0.048066,0.000640,0.014048,0.000384,0.001696,0.001056,0.000416,1.771669
0.141188,1.509037,0.081507,1.738804,0.006368,0.047777,0.000640,0.013537,0.000384,0.001440,0.001472,0.000448,1.815862
0.143589,1.496460,0.070370,1.717172,0.012704,0.048033,0.000929,0.013536,0.000384,0.001408,0.001120,0.000352,1.799798
0.140420,1.507053,0.085283,1.740084,0.006528,0.048705,0.000864,0.013505,0.000384,0.001440,0.001120,0.000448,1.817846
0.160900,1.492717,0.078210,1.737587,0.005505,0.048065,0.000608,0.013537,0.000384,0.001568,0.001120,0.000288,1.813078
0.147396,1.510509,0.078755,1.742900,0.010272,0.048066,0.000864,0.013664,0.000416,0.001536,0.001152,0.000384,1.823926
0.144068,1.494925,0.069282,1.715027,0.005440,0.051297,0.000832,0.013569,0.000352,0.001504,0.001088,0.000352,1.793717
0.104771,1.507181,0.080610,1.698514,0.013569,0.048481,0.000672,0.013473,0.000352,0.001472,0.001184,0.000384,1.782421
0.149189,1.492396,0.070050,1.718067,0.005505,0.049761,0.000544,0.013601,0.000416,0.001536,0.001184,0.000416,1.795446
0.144036,1.512078,0.073794,1.736436,0.011328,0.048034,0.000608,0.013504,0.000384,0.001472,0.001088,0.000352,1.817398
0.148580,1.494733,0.070178,1.720115,0.005632,0.048546,0.000800,0.013632,0.000384,0.001440,0.001152,0.000384,1.796277
0.148676,1.507501,0.078050,1.741204,0.011840,0.048322,0.000576,0.013600,0.000416,0.001472,0.001216,0.000448,1.824086
0.147524,1.491885,0.066370,1.710931,0.010016,0.048482,0.000640,0.014016,0.000416,0.001440,0.001184,0.000352,1.791605
0.143460,1.515085,0.118436,1.784213,0.007296,0.048642,0.000832,0.013632,0.000352,0.001472,0.001216,0.000384,1.863063
0.152548,1.493036,0.071906,1.723603,0.014273,0.048865,0.000864,0.013505,0.000352,0.001440,0.001056,0.000352,1.808566
0.131620,1.514829,0.096995,1.749620,0.005216,0.048801,0.000832,0.013537,0.000416,0.001504,0.001312,0.000352,1.825782
0.151557,1.493293,0.068930,1.719188,0.007008,0.049793,0.000768,0.013537,0.000384,0.001504,0.000960,0.000256,1.797718
0.129572,1.508301,0.086371,1.729204,0.006432,0.048962,0.000672,0.013600,0.000384,0.001504,0.001056,0.000320,1.806358
0.137060,1.492748,0.072899,1.709043,0.009856,0.048449,0.000832,0.013569,0.000384,0.001440,0.001120,0.000352,1.789205
0.148005,1.509613,0.081667,1.746037,0.012736,0.047937,0.000608,0.013601,0.000384,0.001440,0.001120,0.000352,1.829111
0.151620,1.492557,0.071042,1.722675,0.007168,0.047874,0.000800,0.013632,0.000384,0.001440,0.001056,0.000352,1.800053
0.169829,1.512429,0.071491,1.760821,0.010176,0.048001,0.000672,0.013633,0.000384,0.001472,0.001184,0.000352,1.841175
0.144997,1.493356,0.068642,1.713780,0.013024,0.047681,0.000608,0.013793,0.000384,0.001440,0.001216,0.000352,1.796758
0.134628,1.490796,0.067298,1.698290,0.006689,0.047745,0.000832,0.013569,0.000352,0.001472,0.001376,0.000352,1.775349
0.145605,1.495244,0.070530,1.718772,0.012960,0.048258,0.000800,0.013536,0.000384,0.001472,0.001024,0.000352,1.802230
0.140773,1.491532,0.070946,1.709619,0.006753,0.048865,0.000832,0.013537,0.000384,0.001408,0.001184,0.000384,1.787638
0.139908,1.491629,0.066914,1.703955,0.005408,0.051426,0.000832,0.013504,0.000384,0.001472,0.001216,0.000384,1.782837
0.154181,1.499117,0.071170,1.731380,0.010720,0.049698,0.000640,0.013568,0.000416,0.001536,0.001376,0.000448,1.814743
0.143141,1.494284,0.093411,1.737364,0.014017,0.049313,0.000832,0.013601,0.000384,0.001504,0.001376,0.000416,1.823607
0.133764,1.493452,0.068611,1.701939,0.005408,0.048225,0.000608,0.013537,0.000416,0.001472,0.000960,0.000384,1.777365
0.129252,1.506573,0.089506,1.730195,0.009153,0.048289,0.000672,0.013537,0.000384,0.001440,0.001120,0.000320,1.809366
0.124899,1.502829,0.068354,1.702290,0.010017,0.047681,0.000832,0.013473,0.000384,0.001440,0.000864,0.000352,1.781557
0.146884,1.518382,0.078882,1.749524,0.006752,0.049186,0.000832,0.013504,0.000384,0.001376,0.001120,0.000320,1.827350
0.114404,1.503885,0.068802,1.692211,0.005408,0.048609,0.000672,0.013505,0.000416,0.001472,0.000960,0.000352,1.767765
0.111203,1.515566,0.082018,1.714387,0.011072,0.048290,0.000800,0.013472,0.000384,0.001472,0.000960,0.000384,1.795798
0.134276,1.494828,0.067202,1.701715,0.007552,0.051842,0.000640,0.013536,0.000384,0.001473,0.001184,0.000288,1.783158
0.139205,1.519597,0.070274,1.734420,0.014177,0.048321,0.000608,0.013536,0.000384,0.001377,0.001152,0.000352,1.818583
0.148356,1.492141,0.067682,1.712947,0.012960,0.048354,0.000864,0.013536,0.000384,0.001472,0.001248,0.000352,1.796341
0.153316,1.512078,0.094146,1.767604,0.011424,0.048353,0.000640,0.013633,0.000384,0.001376,0.001184,0.000480,1.850199
0.146148,1.493709,0.070210,1.716883,0.013760,0.048482,0.000608,0.013824,0.000416,0.001376,0.001249,0.000352,1.801238
0.149028,1.513165,0.080387,1.750196,0.006368,0.047842,0.000896,0.013632,0.000384,0.001440,0.001248,0.000416,1.827414
0.139812,1.495692,0.068515,1.710195,0.005408,0.048833,0.000832,0.013665,0.000384,0.001472,0.001312,0.000352,1.786613
0.138020,1.506317,0.076610,1.728019,0.006304,0.048578,0.000640,0.013568,0.000384,0.001440,0.001024,0.000320,1.805397
0.135396,1.493133,0.068866,1.702611,0.007264,0.049217,0.000672,0.013793,0.000416,0.001472,0.001216,0.000320,1.781109
0.152325,1.510861,0.086627,1.757429,0.010016,0.048962,0.000864,0.013600,0.000448,0.001440,0.001184,0.000480,1.838967
0.148772,1.491693,0.078690,1.724659,0.006304,0.047618,0.000704,0.013472,0.000384,0.001408,0.001056,0.000320,1.800213
0.118180,1.506253,0.067586,1.696467,0.014144,0.048706,0.000608,0.013728,0.000384,0.001440,0.001089,0.000320,1.781046
0.143877,1.492940,0.069570,1.711219,0.012769,0.048513,0.000608,0.013697,0.000352,0.001536,0.001120,0.000320,1.794518
0.131844,1.503661,0.071298,1.711763,0.005536,0.047649,0.000672,0.013409,0.000352,0.001376,0.000992,0.000224,1.786485
0.169797,1.490509,0.067586,1.732500,0.007424,0.047457,0.000608,0.013505,0.000384,0.001472,0.000960,0.000288,1.808758
0.165061,1.504780,0.073154,1.747636,0.011520,0.047682,0.000608,0.013376,0.000352,0.001408,0.000928,0.000288,1.828374
0.135652,1.502541,0.067362,1.710963,0.005536,0.048097,0.000832,0.013505,0.000384,0.001408,0.000896,0.000256,1.786005
0.112035,1.508877,0.078083,1.703891,0.012128,0.047841,0.000608,0.013441,0.000384,0.001472,0.000960,0.000288,1.785365
0.142724,1.496653,0.070082,1.717331,0.012960,0.048514,0.000672,0.013632,0.000416,0.001504,0.001248,0.000416,1.800981
0.156932,1.513293,0.087106,1.765236,0.009344,0.048545,0.000864,0.013600,0.000416,0.001440,0.001312,0.000416,1.846295
0.152357,1.493132,0.068898,1.720563,0.005728,0.048705,0.000832,0.013537,0.000352,0.001504,0.001248,0.000480,1.797206
0.152164,1.509709,0.079491,1.747444,0.009664,0.049154,0.000992,0.013920,0.000384,0.001440,0.001248,0.000384,1.829014
0.117827,1.497484,0.078243,1.700787,0.006496,0.048545,0.000800,0.014177,0.000352,0.001504,0.001408,0.000416,1.778933
0.153221,1.513005,0.081411,1.754837,0.011936,0.049153,0.000800,0.013984,0.000416,0.001472,0.001504,0.000384,1.838903
0.149828,1.494381,0.072290,1.723251,0.008384,0.048834,0.000864,0.013600,0.000384,0.001472,0.001216,0.000384,1.802869
0.151204,1.508590,0.096034,1.763444,0.005857,0.048641,0.001024,0.013633,0.000352,0.001440,0.001248,0.000448,1.841335
0.148996,1.493485,0.068930,1.717555,0.013760,0.048802,0.000640,0.013600,0.000384,0.001408,0.001248,0.000384,1.802229
0.150788,1.512237,0.071682,1.740980,0.012128,0.048802,0.000800,0.013888,0.000352,0.001600,0.001184,0.000384,1.824470
0.147653,1.503181,0.072450,1.729332,0.007008,0.049634,0.000608,0.013984,0.000384,0.001440,0.000960,0.000384,1.808022
0.154533,1.514253,0.069762,1.744948,0.006272,0.048450,0.000640,0.013728,0.000352,0.001408,0.001024,0.000288,1.821526
0.142820,1.490284,0.067202,1.706258,0.009121,0.049601,0.000576,0.013537,0.000352,0.001376,0.001184,0.000288,1.786741
0.141861,1.495372,0.068898,1.710996,0.005504,0.048161,0.000608,0.013505,0.000352,0.001472,0.001088,0.000320,1.786326
0.171141,1.491244,0.070114,1.737844,0.015232,0.047938,0.000832,0.013696,0.000320,0.001408,0.001088,0.000384,1.823030
0.131044,1.501421,0.073090,1.710707,0.005440,0.047618,0.000576,0.013440,0.000384,0.001440,0.000896,0.000256,1.785013
0.142372,1.499885,0.069922,1.717267,0.010080,0.047586,0.000672,0.013536,0.000352,0.001408,0.000896,0.000288,1.796213
0.163525,1.557678,0.126020,1.852727,0.006592,0.047490,0.000832,0.013568,0.000352,0.001440,0.000992,0.000257,1.928634
0.154341,1.492076,0.088899,1.742836,0.009056,0.048258,0.000608,0.013568,0.000416,0.001472,0.001152,0.000352,1.822006
0.152325,1.491212,0.069026,1.718739,0.005280,0.047938,0.000832,0.013568,0.000448,0.001504,0.001152,0.000384,1.794134
0.151077,1.511917,0.078754,1.749428,0.005473,0.048705,0.000608,0.013697,0.000448,0.001408,0.001536,0.000480,1.826487
0.139077,1.493708,0.068866,1.707667,0.005409,0.048961,0.000800,0.013537,0.000384,0.001408,0.001312,0.000416,1.784310
0.148676,1.508653,0.089250,1.754036,0.005440,0.049122,0.000800,0.013568,0.000384,0.001440,0.001280,0.000384,1.830710
0.149636,1.492716,0.068834,1.717363,0.007200,0.048482,0.000832,0.013536,0.000352,0.001408,0.001280,0.000384,1.795286
0.151492,1.509709,0.092995,1.762036,0.008641,0.048577,0.000608,0.013856,0.000352,0.001376,0.001184,0.000384,1.842071
0.152005,1.492780,0.070146,1.720852,0.013280,0.049729,0.000800,0.013537,0.000416,0.001408,0.001184,0.000320,1.805910
0.152804,1.510381,0.080707,1.751252,0.009056,0.048450,0.000672,0.013632,0.000384,0.001536,0.001184,0.000384,1.831446
0.154340,1.491885,0.071842,1.724531,0.005376,0.048802,0.000640,0.014368,0.000448,0.001504,0.001216,0.000448,1.801973
0.151749,1.509389,0.080706,1.747924,0.008961,0.048609,0.000832,0.013537,0.000352,0.001536,0.001504,0.000416,1.828055
0.150053,1.494412,0.069570,1.721171,0.005409,0.048833,0.000832,0.013505,0.000384,0.001472,0.001152,0.000352,1.797526
0.153637,1.508429,0.076450,1.745108,0.011521,0.049217,0.000832,0.013569,0.000384,0.001408,0.001248,0.000384,1.828119
0.136740,1.492076,0.068034,1.702995,0.005632,0.048674,0.000640,0.013536,0.000384,0.001440,0.001184,0.000352,1.779349
0.140772,1.510606,0.075938,1.733204,0.011808,0.048706,0.000608,0.013568,0.000352,0.001408,0.001376,0.000288,1.815734
0.153348,1.495756,0.067234,1.721715,0.012353,0.048769,0.000608,0.013505,0.000384,0.001600,0.001472,0.000384,1.805686
0.147237,1.515341,0.078978,1.748148,0.010497,0.049409,0.000864,0.013569,0.000352,0.001440,0.001312,0.000384,1.830551
0.138436,1.506605,0.071746,1.722355,0.012448,0.049410,0.000832,0.013472,0.000384,0.001408,0.001056,0.000352,1.806006
0.125571,1.516750,0.077058,1.725332,0.011104,0.049442,0.000864,0.013472,0.000352,0.001376,0.000960,0.000416,1.808118
0.140452,1.501613,0.071266,1.719827,0.009985,0.049921,0.000800,0.013633,0.000384,0.001440,0.001024,0.000352,1.801686
0.130980,1.515949,0.097475,1.751764,0.011392,0.049058,0.000608,0.013472,0.000352,0.001440,0.001120,0.000384,1.834646
0.159333,1.504941,0.066690,1.736884,0.010017,0.048097,0.000672,0.013408,0.000384,0.001408,0.001025,0.000448,1.816631
0.149284,1.512621,0.081058,1.750964,0.010080,0.050594,0.000576,0.013664,0.000416,0.001440,0.001088,0.000352,1.834262
0.127811,1.494253,0.067650,1.694354,0.005728,0.048482,0.000832,0.013536,0.000384,0.001440,0.000960,0.000384,1.770356
0.133188,1.506541,0.079907,1.727476,0.009824,0.048801,0.000800,0.013697,0.000352,0.001472,0.001088,0.000352,1.808822
0.149956,1.493996,0.067362,1.717427,0.005440,0.048610,0.000864,0.013568,0.000416,0.001472,0.001024,0.000320,1.793365
0.130148,1.514317,0.082658,1.732724,0.010304,0.048386,0.000608,0.013696,0.000416,0.001440,0.001024,0.000320,1.813622
0.141060,1.516109,0.071586,1.734164,0.008352,0.048833,0.000640,0.013601,0.000416,0.001440,0.001344,0.000256,1.813238
0.119139,1.505997,0.071330,1.716435,0.009984,0.048034,0.000608,0.013472,0.000384,0.001472,0.000992,0.000320,1.796341
0.123684,1.505261,0.071042,1.705619,0.007776,0.047809,0.000640,0.013633,0.000384,0.001440,0.000896,0.000288,1.782773
0.170085,1.494380,0.070914,1.741396,0.005600,0.049858,0.000864,0.013536,0.000352,0.001473,0.001184,0.000352,1.818807
