Layer[0],Layer[1],Layer[2],IN[3],INFER[3-5],OUT[5],TEE[3-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.394124,0.017440,0.191558,0.118468,0.094947,0.056737,0.274600,0.014177,0.000448,0.001408,0.000864,0.000288,0.900571
0.393707,0.017249,0.191942,0.136804,0.103299,0.059265,0.302344,0.014272,0.000448,0.001408,0.001024,0.000352,0.928475
0.394155,0.017313,0.191845,0.106340,0.097571,0.065537,0.272424,0.014016,0.000480,0.001440,0.000832,0.000320,0.898650
0.409772,0.017537,0.191653,0.135012,0.096067,0.065122,0.299145,0.014209,0.000480,0.001440,0.000960,0.000320,0.942396
0.393932,0.017536,0.191622,0.115523,0.098435,0.060962,0.277896,0.014881,0.000544,0.001440,0.000960,0.000352,0.905275
0.394027,0.017793,0.191461,0.105859,0.096451,0.059233,0.264840,0.014817,0.000544,0.001472,0.001024,0.000352,0.892634
0.394668,0.017313,0.192229,0.137444,0.096579,0.060802,0.297993,0.015041,0.000768,0.001408,0.000928,0.000416,0.926460
0.394635,0.017633,0.191718,0.107907,0.083906,0.059138,0.254439,0.014113,0.000576,0.001408,0.000928,0.000320,0.881114
0.395499,0.017505,0.191814,0.117987,0.085731,0.058593,0.265447,0.015617,0.000480,0.001504,0.000832,0.000416,0.895770
0.394188,0.017536,0.191718,0.134340,0.095683,0.060162,0.293257,0.015456,0.000512,0.001472,0.000768,0.000352,0.921211
0.411948,0.017568,0.191494,0.131812,0.086755,0.060193,0.282056,0.015649,0.000544,0.001792,0.000832,0.000608,0.928603
0.394955,0.017440,0.191750,0.133956,0.087490,0.061090,0.285896,0.014785,0.000512,0.001536,0.001024,0.000352,0.914235
0.394636,0.017697,0.192069,0.141765,0.087234,0.058498,0.290761,0.014368,0.000576,0.001441,0.000800,0.000256,0.917916
0.394604,0.017280,0.192134,0.134340,0.104675,0.058274,0.300585,0.014528,0.000480,0.001409,0.000800,0.000352,0.927324
0.394092,0.017344,0.191526,0.102819,0.098691,0.064322,0.268712,0.014880,0.000512,0.001536,0.000897,0.000352,0.895419
0.394764,0.017600,0.192198,0.119812,0.098499,0.060321,0.281928,0.015553,0.000704,0.001440,0.000928,0.000320,0.912251
0.394956,0.017536,0.192102,0.129860,0.097539,0.058977,0.289896,0.015232,0.000480,0.001504,0.001088,0.000384,0.919227
0.409836,0.017664,0.192262,0.115940,0.086306,0.058306,0.263720,0.014784,0.000512,0.001440,0.000801,0.000352,0.907163
0.394508,0.017537,0.191877,0.112420,0.085186,0.057282,0.257800,0.014720,0.000480,0.001440,0.000832,0.000288,0.884922
0.394476,0.017664,0.191366,0.120867,0.096515,0.064066,0.284712,0.015425,0.000512,0.001408,0.000992,0.000288,0.912507
0.394795,0.017792,0.192198,0.133316,0.106051,0.085250,0.328618,0.014592,0.000512,0.001440,0.001632,0.000320,0.959740
0.395819,0.017761,0.192774,0.140804,0.087938,0.065986,0.298184,0.015201,0.000544,0.001504,0.001216,0.000352,0.930779
0.394924,0.017729,0.191845,0.140549,0.087266,0.060418,0.291785,0.014848,0.000800,0.001760,0.001024,0.000352,0.921724
0.394380,0.017632,0.191910,0.136484,0.096899,0.062338,0.298889,0.014304,0.000928,0.001472,0.000928,0.000352,0.926779
0.407148,0.017441,0.191718,0.119459,0.086851,0.059522,0.269032,0.016000,0.000512,0.001504,0.000864,0.000320,0.911067
0.395500,0.017600,0.191334,0.133796,0.087330,0.059298,0.283752,0.015681,0.000768,0.001376,0.000864,0.000416,0.913499
0.395276,0.017600,0.191366,0.133028,0.086146,0.067106,0.289960,0.016033,0.000576,0.001536,0.000992,0.000416,0.921467
