Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-8],OUT[8],TEE[4-8],Layer[9],Layer[10],classifier
0.519748,0.018048,0.204514,0.005120,0.095328,0.098273,0.062369,0.259714,0.002816,0.000608,1.017544
0.417795,0.017792,0.203618,0.005088,0.114369,0.108001,0.068032,0.294210,0.002016,0.000352,0.947207
0.416899,0.017536,0.203873,0.005345,0.106688,0.105217,0.063969,0.279554,0.001312,0.000416,0.930695
0.417059,0.017505,0.222657,0.005504,0.115265,0.099969,0.063808,0.282722,0.001344,0.000384,0.952903
0.415715,0.017280,0.203074,0.005280,0.107776,0.106081,0.063841,0.281186,0.001248,0.000320,0.929287
0.415907,0.017281,0.202817,0.005344,0.141025,0.097665,0.062336,0.304578,0.001472,0.000416,0.952999
0.415203,0.017344,0.202882,0.005184,0.114112,0.103969,0.065281,0.286722,0.001248,0.000416,0.934151
0.415459,0.017665,0.203169,0.005248,0.113153,0.113153,0.070784,0.300386,0.001440,0.000416,0.948839
0.415299,0.017600,0.202626,0.005088,0.112256,0.105825,0.064097,0.285250,0.001216,0.000384,0.932679
0.415043,0.017345,0.203233,0.005088,0.106241,0.095041,0.063680,0.268386,0.001472,0.000384,0.916263
0.428387,0.017312,0.202337,0.005344,0.112449,0.102049,0.064097,0.281827,0.001152,0.000352,0.942407
0.415683,0.017408,0.203426,0.005056,0.116161,0.099648,0.063168,0.282690,0.001312,0.000416,0.931591
0.416323,0.017216,0.203233,0.005152,0.110337,0.110145,0.065025,0.288995,0.001312,0.000384,0.937959
0.416675,0.017313,0.202401,0.005024,0.129665,0.106497,0.064256,0.304002,0.001376,0.000352,0.952743
0.415651,0.017632,0.202946,0.005088,0.114688,0.097793,0.064865,0.280866,0.001120,0.000352,0.929159
0.415459,0.017249,0.202753,0.005312,0.106465,0.112737,0.065344,0.287906,0.001248,0.000352,0.935559
0.415427,0.017536,0.202721,0.005248,0.108929,0.104257,0.064000,0.280514,0.001312,0.000384,0.928326
0.430339,0.017280,0.202882,0.005248,0.107809,0.096320,0.064001,0.271330,0.001408,0.000352,0.934247
0.415331,0.017440,0.202913,0.005312,0.110209,0.097537,0.063200,0.274146,0.001216,0.000384,0.921990
0.415747,0.017376,0.203137,0.005345,0.109280,0.105729,0.065281,0.283586,0.001216,0.000352,0.932583
0.415811,0.017472,0.234658,0.005184,0.130817,0.114017,0.064768,0.313314,0.001280,0.000384,0.994215
0.415715,0.017696,0.202594,0.005024,0.118177,0.105856,0.066849,0.295042,0.001312,0.000416,0.943783
0.415651,0.017344,0.202817,0.005280,0.113665,0.099425,0.065440,0.282082,0.001280,0.000384,0.930502
0.416195,0.017600,0.203682,0.005120,0.109665,0.099808,0.066977,0.279842,0.001280,0.000384,0.929703
0.415907,0.017440,0.204193,0.005280,0.133985,0.099745,0.064065,0.301315,0.001248,0.000352,0.951207
0.415427,0.017344,0.202818,0.005312,0.107137,0.099712,0.065313,0.275778,0.001280,0.000384,0.923943
0.415267,0.017440,0.202369,0.005120,0.107297,0.113025,0.063200,0.287170,0.001344,0.000416,0.934406
0.433859,0.017376,0.203618,0.005312,0.109537,0.097760,0.063649,0.274242,0.001184,0.000384,0.941639
0.416739,0.017697,0.208225,0.005088,0.113665,0.106753,0.066816,0.290914,0.001344,0.000384,0.946439
0.415843,0.017568,0.203554,0.005248,0.111872,0.106625,0.067201,0.289250,0.001376,0.000416,0.938887
0.416323,0.017440,0.203361,0.005056,0.125185,0.098049,0.070624,0.297698,0.001312,0.000384,0.947238
0.416067,0.017536,0.203938,0.005312,0.115649,0.107392,0.067105,0.293922,0.001440,0.000320,0.944775
0.415523,0.017632,0.203073,0.005024,0.110337,0.109825,0.069216,0.292611,0.001312,0.000352,0.941127
0.415459,0.017504,0.202914,0.005216,0.113153,0.104224,0.066145,0.286882,0.001280,0.000384,0.935367
0.414979,0.017504,0.203073,0.005057,0.104736,0.098433,0.064000,0.270753,0.001280,0.000352,0.918502
0.415651,0.017504,0.202882,0.005408,0.116641,0.106592,0.065665,0.292386,0.001408,0.000416,0.941063
0.415555,0.017664,0.202817,0.005280,0.106945,0.097889,0.064416,0.272930,0.001408,0.000416,0.921542
0.415363,0.017537,0.202657,0.005088,0.115713,0.100737,0.066272,0.286210,0.001408,0.000384,0.950727
0.415971,0.017472,0.202913,0.005313,0.112896,0.107041,0.069537,0.292994,0.001376,0.000384,0.942119
0.415778,0.017473,0.202657,0.005248,0.112513,0.099169,0.064704,0.279682,0.001376,0.000416,0.928934
0.416611,0.017440,0.202466,0.005280,0.114176,0.115009,0.074721,0.307522,0.001472,0.000512,0.957255
