Layer[0],Layer[1],IN[2],INFER[2-6],OUT[6],TEE[2-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.509923,0.017920,0.085985,8.049594,0.062432,8.202267,0.000992,0.003040,0.002752,0.000576,8.744574
0.422179,0.017408,0.126945,0.582532,0.064801,0.777638,0.000800,0.002784,0.002560,0.000544,1.229545
0.417251,0.017216,0.129793,0.582340,0.062529,0.777894,0.000672,0.002272,0.001408,0.000544,1.222665
0.421283,0.017216,0.134849,0.595076,0.065633,0.799462,0.000832,0.002080,0.001440,0.000544,1.248457
0.417635,0.017473,0.136129,0.598500,0.066400,0.805125,0.000736,0.002240,0.001504,0.000576,1.250921
0.417571,0.017280,0.138049,0.592133,0.065888,0.799718,0.000832,0.002656,0.001280,0.000544,1.245417
0.416099,0.017280,0.140929,0.579332,0.063521,0.787206,0.000736,0.002176,0.001408,0.000352,1.230569
0.416995,0.017248,0.158081,0.580868,0.067073,0.809830,0.000736,0.002592,0.001504,0.000416,1.255273
0.416355,0.017248,0.139617,0.582820,0.068513,0.794630,0.000768,0.002336,0.001408,0.000384,1.238537
0.416259,0.017184,0.132609,0.586852,0.067329,0.791014,0.000768,0.002528,0.001472,0.000320,1.235305
0.416578,0.017248,0.137825,0.597348,0.066240,0.805061,0.001024,0.002496,0.001376,0.000352,1.249512
0.416323,0.017440,0.138881,0.578885,0.067840,0.789318,0.000736,0.002432,0.001472,0.000352,1.233705
0.431043,0.017760,0.142721,0.609189,0.068608,0.824166,0.000768,0.002432,0.001440,0.000352,1.283945
0.422019,0.017824,0.135745,0.586948,0.068161,0.794758,0.000768,0.002720,0.001152,0.000448,1.245961
0.420963,0.017664,0.123265,0.583492,0.067200,0.777477,0.000768,0.002880,0.001088,0.000416,1.226440
0.414563,0.017376,0.159905,0.601957,0.065920,0.832070,0.000736,0.002336,0.001152,0.000384,1.273705
0.415075,0.017408,0.132161,0.580964,0.064481,0.781286,0.000768,0.002240,0.001024,0.000384,1.222921
0.416067,0.017537,0.140993,0.579748,0.063232,0.787269,0.000800,0.002144,0.001120,0.000224,1.229833
0.433027,0.017536,0.125025,0.582852,0.066497,0.777606,0.000992,0.002880,0.001120,0.000448,1.238729
0.415875,0.017728,0.116256,0.589477,0.065632,0.776421,0.000832,0.002368,0.000928,0.000256,1.218824
