Layer[0],Layer[1],Layer[2],IN[3],INFER[3-7],OUT[7],TEE[3-7],Layer[8],Layer[9],Layer[10],classifier
0.397131,0.017697,0.191814,0.108803,0.109411,0.061090,0.282568,0.002656,0.001088,0.000384,0.898682
0.400364,0.017408,0.191750,0.132068,0.103747,0.062146,0.301577,0.002688,0.001280,0.000448,0.920923
0.396268,0.017856,0.191846,0.134180,0.115843,0.066850,0.320073,0.002912,0.001248,0.000384,0.935644
0.396460,0.017728,0.191718,0.119395,0.104516,0.062529,0.289928,0.002752,0.001152,0.000416,0.905755
0.396812,0.017697,0.191909,0.128132,0.109859,0.061666,0.304553,0.002528,0.001120,0.000352,0.919803
0.400780,0.017601,0.192101,0.133508,0.107428,0.071906,0.316586,0.003392,0.001120,0.000480,0.939580
0.408204,0.017632,0.191942,0.126564,0.109763,0.061634,0.301193,0.002976,0.000992,0.000320,0.928763
0.400428,0.017729,0.192422,0.133251,0.106884,0.064450,0.307881,0.002368,0.001184,0.000448,0.928700
0.400395,0.017600,0.191238,0.137380,0.110019,0.062946,0.313737,0.002624,0.001024,0.000416,0.932411
0.395596,0.017793,0.191429,0.142724,0.111204,0.064578,0.321962,0.002496,0.001088,0.000416,0.935516
0.397932,0.017728,0.191622,0.136836,0.101123,0.063266,0.305097,0.003328,0.001088,0.000416,0.924155
0.395468,0.017504,0.191910,0.135076,0.102019,0.064130,0.304777,0.003264,0.001216,0.000352,0.920987
0.395787,0.017664,0.191462,0.136068,0.102115,0.068578,0.309961,0.002496,0.001088,0.000384,0.924859
0.395851,0.017760,0.191558,0.131812,0.103587,0.067682,0.306377,0.002624,0.001152,0.000352,0.922203
0.396076,0.017633,0.192069,0.136676,0.103204,0.073346,0.316362,0.003072,0.001120,0.000384,0.932316
0.395692,0.017793,0.191621,0.137156,0.105508,0.065538,0.312298,0.002784,0.001120,0.000384,0.928156
0.434221,0.017761,0.192069,0.138276,0.108868,0.065890,0.316682,0.002464,0.001152,0.000384,0.970845
0.395820,0.017633,0.191589,0.135620,0.103683,0.068002,0.310985,0.002848,0.001088,0.000352,0.926300
0.396108,0.017664,0.191558,0.131364,0.101731,0.064322,0.300809,0.003232,0.001184,0.000384,0.916987
0.395915,0.017824,0.191558,0.140900,0.119107,0.081283,0.345066,0.003200,0.001248,0.000352,0.961692
0.395467,0.017793,0.191974,0.136132,0.105955,0.065890,0.311209,0.002464,0.001120,0.000384,0.927259
0.396044,0.017761,0.191621,0.136324,0.101635,0.064194,0.305769,0.002432,0.001088,0.000417,0.921116
0.396268,0.017568,0.191494,0.139556,0.104227,0.067426,0.314569,0.002464,0.001120,0.000352,0.930363
0.413964,0.017825,0.191237,0.140005,0.103363,0.065026,0.311914,0.002624,0.001088,0.000352,0.945852
