IN[0],INFER[0-5],OUT[5],TEE[0-5],Layer[6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.109827,9.070158,0.071682,9.258515,0.017825,0.000736,0.001632,0.012256,0.000576,9.296372
0.152805,1.570191,0.072546,1.801846,0.016641,0.000736,0.001504,0.001632,0.000352,1.826679
0.145028,1.554414,0.068930,1.774229,0.016768,0.000672,0.001472,0.001120,0.000320,1.798422
0.172101,1.587663,0.083139,1.849463,0.016256,0.000576,0.001536,0.001088,0.000384,1.873687
0.144708,1.552110,0.064418,1.767508,0.015137,0.000480,0.001536,0.001152,0.000320,1.789717
0.154949,1.569551,0.082594,1.815414,0.016609,0.000576,0.001760,0.001184,0.000608,1.840343
0.146405,1.550510,0.064578,1.767637,0.015296,0.000832,0.001408,0.000992,0.000576,1.790613
0.168645,1.566894,0.071106,1.811829,0.015873,0.000544,0.001472,0.000960,0.000608,1.834998
0.148197,1.552430,0.067970,1.775765,0.016032,0.000576,0.001409,0.000960,0.000576,1.798486
0.178566,1.569742,0.075747,1.831031,0.016672,0.000736,0.001568,0.001792,0.000608,1.855447
0.150052,1.553551,0.067170,1.777397,0.016288,0.000480,0.001536,0.001120,0.000640,1.801077
0.155972,1.569455,0.080355,1.813526,0.015872,0.000512,0.001536,0.001120,0.000608,1.837142
0.176421,1.553678,0.065218,1.800949,0.015425,0.000544,0.001568,0.001056,0.000576,1.823510
0.149253,1.566542,0.067746,1.789685,0.015713,0.000544,0.001536,0.001152,0.000384,1.812214
0.142565,1.561966,0.065794,1.776885,0.015745,0.000704,0.001536,0.001248,0.000608,1.799862
0.156005,1.582159,0.065986,1.811254,0.015809,0.000480,0.001440,0.001184,0.000352,1.833623
0.150533,1.566382,0.066914,1.790069,0.014689,0.000512,0.001472,0.001152,0.000416,1.811510
0.150308,1.552110,0.065314,1.774004,0.014849,0.000640,0.001472,0.001280,0.000416,1.795797
0.155204,1.554639,0.067170,1.783957,0.016192,0.000544,0.001568,0.001216,0.000384,1.807381
0.153829,1.557006,0.067554,1.785045,0.015809,0.000576,0.001504,0.001152,0.000384,1.808214
0.149444,1.555790,0.092483,1.803381,0.016065,0.000576,0.001472,0.001216,0.000352,1.826423
0.125892,1.565294,0.068707,1.766293,0.014816,0.000544,0.001440,0.001216,0.000416,1.787957
0.152740,1.571983,0.112995,1.845110,0.015777,0.000608,0.001472,0.001152,0.000384,1.868343
0.147620,1.558766,0.065986,1.778805,0.014720,0.000512,0.001505,0.001152,0.000384,1.800246
0.158436,1.564271,0.080450,1.810582,0.015008,0.000544,0.001472,0.001216,0.000448,1.833270
0.148740,1.549998,0.065538,1.769268,0.014881,0.000544,0.001408,0.001216,0.000416,1.791285
0.150437,1.570062,0.078882,1.806582,0.015712,0.000481,0.001504,0.001088,0.000384,1.829719
0.150276,1.550671,0.064578,1.771733,0.015808,0.000512,0.001440,0.001216,0.000448,1.794581
0.151716,1.568975,0.083843,1.812822,0.015808,0.000576,0.001504,0.001312,0.000416,1.836758
0.110243,1.549838,0.068898,1.735443,0.015809,0.000512,0.001504,0.001248,0.000480,1.758996
0.136196,1.574670,0.076515,1.795478,0.015872,0.000544,0.001504,0.001248,0.000576,1.819414
0.150180,1.551662,0.065762,1.773236,0.015809,0.000512,0.001440,0.001280,0.000832,1.796629
0.144357,1.572366,0.074979,1.798966,0.016192,0.000544,0.001504,0.001184,0.000416,1.823222
0.147621,1.552750,0.065442,1.772437,0.014849,0.000512,0.001408,0.001184,0.000384,1.794006
0.152549,1.572047,0.084418,1.815350,0.015841,0.000480,0.001408,0.001280,0.000384,1.838135
0.134564,1.551022,0.065410,1.757300,0.015648,0.000576,0.001537,0.001216,0.000416,1.780341
0.149285,1.569839,0.075298,1.801174,0.015873,0.000608,0.001376,0.001216,0.000352,1.824503
0.151076,1.560111,0.066082,1.783733,0.014880,0.000576,0.001472,0.001024,0.000352,1.805333
0.155268,1.573487,0.084803,1.822198,0.015456,0.000608,0.001504,0.001377,0.000416,1.845751
0.152452,1.553647,0.069154,1.782421,0.016192,0.000544,0.001600,0.001216,0.000385,1.806070
0.151236,1.573711,0.105859,1.838902,0.015777,0.000512,0.001568,0.001216,0.000384,1.862103
0.135940,1.562927,0.066306,1.772757,0.015968,0.000576,0.001472,0.001184,0.000385,1.795606
0.150852,1.572783,0.079715,1.811094,0.015936,0.000576,0.001440,0.001024,0.000384,1.834198
0.155300,1.552750,0.071683,1.786357,0.015712,0.000480,0.001408,0.001056,0.000384,1.808469
0.142212,1.576015,0.120708,1.847671,0.015968,0.000608,0.001536,0.000992,0.000384,1.870839
0.151941,1.552942,0.068130,1.780309,0.014753,0.000544,0.001472,0.001184,0.000416,1.801782
0.182086,1.553454,0.080354,1.822422,0.015009,0.000544,0.001536,0.001184,0.000416,1.844791
0.135108,1.560111,0.071490,1.773365,0.016065,0.000512,0.001440,0.001184,0.000384,1.796246
0.154885,1.552110,0.068002,1.782357,0.015936,0.000544,0.001473,0.001280,0.000384,1.805494
0.149572,1.560559,0.087394,1.804437,0.016257,0.000544,0.001472,0.001280,0.000352,1.827606
0.173445,1.553199,0.066946,1.799766,0.014784,0.000480,0.001472,0.001024,0.000416,1.821334
0.149797,1.567502,0.079427,1.803926,0.015776,0.000640,0.001504,0.001153,0.000352,1.827415
0.134820,1.560879,0.064514,1.766325,0.015936,0.000544,0.001536,0.001088,0.000416,1.789174
0.152356,1.570447,0.076674,1.806613,0.015937,0.000544,0.001472,0.001088,0.000384,1.829718
0.177733,1.551502,0.067618,1.803798,0.016032,0.000544,0.001536,0.001120,0.000384,1.827190
0.151492,1.566767,0.076770,1.801589,0.015745,0.000512,0.001536,0.001024,0.000384,1.824150
0.135588,1.559182,0.067298,1.768757,0.015648,0.000544,0.001504,0.001088,0.000384,1.791157
0.154628,1.577615,0.080642,1.821718,0.014976,0.000544,0.001537,0.001280,0.000416,1.844183
0.149893,1.552238,0.070626,1.779925,0.015168,0.000545,0.001536,0.001120,0.000384,1.802198
0.153732,1.571854,0.074499,1.806998,0.015744,0.000544,0.001504,0.001216,0.000352,1.830038
0.154821,1.554190,0.066946,1.782133,0.015937,0.000576,0.001504,0.001152,0.000416,1.804918
0.152261,1.572271,0.079170,1.811798,0.015713,0.000544,0.001440,0.001088,0.000416,1.835191
0.150757,1.554030,0.072578,1.784085,0.015169,0.000512,0.001536,0.001088,0.000416,1.806102
0.146020,1.576431,0.076995,1.806422,0.015520,0.000544,0.001440,0.001088,0.000352,1.828854
0.157093,1.554446,0.071394,1.790005,0.014625,0.000512,0.001408,0.001312,0.000384,1.811606
0.145861,1.572719,0.076482,1.801942,0.015776,0.000576,0.001537,0.001760,0.000384,1.825655
0.144228,1.555118,0.067138,1.773588,0.014657,0.000608,0.001504,0.001056,0.000384,1.795221
0.157157,1.580495,0.103619,1.850263,0.015585,0.000608,0.001504,0.001248,0.000384,1.873144
0.146949,1.554318,0.067298,1.775541,0.015072,0.000480,0.001504,0.001184,0.000384,1.797462
0.152580,1.572335,0.090307,1.824118,0.015520,0.000544,0.001536,0.001185,0.000416,1.847511
0.143972,1.553486,0.068546,1.772500,0.014785,0.000512,0.001408,0.001152,0.000384,1.794037
0.169541,1.553327,0.066562,1.796758,0.015616,0.000576,0.001504,0.001216,0.000384,1.819574
0.144613,1.554062,0.067618,1.772533,0.014881,0.000512,0.001440,0.001088,0.000384,1.794198
0.146820,1.557230,0.068962,1.779925,0.015040,0.000641,0.001536,0.001120,0.000384,1.802134
0.137541,1.553358,0.067170,1.764533,0.015744,0.000576,0.001473,0.001056,0.000352,1.787606
0.152868,1.555215,0.069474,1.784757,0.014688,0.000544,0.001440,0.001088,0.000352,1.806389
0.152132,1.553390,0.068002,1.780565,0.014721,0.000608,0.001472,0.001088,0.000384,1.802326
0.155364,1.555183,0.068738,1.786133,0.016000,0.000576,0.001568,0.001184,0.000416,1.809461
0.156868,1.571791,0.071298,1.807637,0.015328,0.000576,0.001536,0.001184,0.000416,1.830070
0.177350,1.557454,0.067938,1.809366,0.014721,0.000544,0.001440,0.001056,0.000352,1.830583
0.144517,1.565422,0.069794,1.786389,0.015809,0.000544,0.001504,0.001216,0.000384,1.809078
0.152645,1.555406,0.068706,1.783957,0.014913,0.000544,0.001504,0.001152,0.000352,1.805686
0.153124,1.568047,0.119268,1.848119,0.015456,0.000576,0.001952,0.000992,0.000352,1.871351
0.156677,1.557614,0.066914,1.788341,0.015233,0.000544,0.001504,0.001088,0.000352,1.810198
0.153924,1.569519,0.074466,1.803765,0.015137,0.000640,0.001504,0.001056,0.000384,1.825622
0.138052,1.551790,0.067458,1.764724,0.014720,0.000768,0.001920,0.001152,0.000384,1.786645
0.146084,1.576271,0.080803,1.810166,0.015584,0.000608,0.001728,0.001120,0.000385,1.832599
0.157988,1.568847,0.072610,1.806869,0.015073,0.000576,0.001600,0.001504,0.000416,1.829879
0.157093,1.588111,0.092835,1.845239,0.016545,0.000544,0.001760,0.001344,0.000608,1.870136
0.157733,1.554990,0.071138,1.790838,0.016768,0.000512,0.001568,0.001600,0.000608,1.815414
0.139621,1.577455,0.103395,1.828567,0.016576,0.000480,0.001472,0.001120,0.000352,1.852567
0.151493,1.554574,0.068162,1.781237,0.015521,0.000544,0.001504,0.001216,0.000608,1.804278
0.144932,1.571759,0.076514,1.799861,0.015617,0.000544,0.001536,0.000992,0.000576,1.822838
0.153252,1.554638,0.068802,1.782997,0.015584,0.000576,0.001568,0.001056,0.000416,1.805813
0.151973,1.573199,0.081634,1.813622,0.016641,0.000544,0.001568,0.001056,0.000576,1.837431
0.150532,1.555918,0.066210,1.779188,0.015937,0.000544,0.001536,0.000992,0.000576,1.802165
0.137988,1.569007,0.072866,1.787285,0.016609,0.000576,0.001536,0.001216,0.000608,1.811574
0.183397,1.554094,0.068546,1.812982,0.015456,0.000576,0.001504,0.001152,0.000384,1.835670
0.198278,1.577647,0.068386,1.851223,0.015969,0.000544,0.001472,0.001088,0.000384,1.874168
0.153189,1.554542,0.067490,1.781877,0.014881,0.000512,0.001472,0.001152,0.000384,1.803478
0.148709,1.552526,0.066658,1.774165,0.015009,0.000544,0.001472,0.001248,0.000384,1.796342
0.152132,1.552175,0.067522,1.778613,0.015840,0.000640,0.001504,0.001120,0.000384,1.801653
0.149700,1.561743,0.068770,1.786805,0.014944,0.000993,0.001440,0.001088,0.000352,1.808790
0.153093,1.552206,0.091171,1.803798,0.015776,0.000480,0.001440,0.000992,0.000416,1.826103
0.150949,1.552846,0.070498,1.780917,0.016801,0.000576,0.001696,0.001088,0.000576,1.804982
0.151748,1.574671,0.093795,1.828086,0.015937,0.000544,0.001568,0.001024,0.000352,1.851415
0.154020,1.555246,0.067554,1.783765,0.015680,0.000512,0.001504,0.001184,0.000416,1.806294
0.139300,1.583952,0.089346,1.820214,0.015745,0.000544,0.001536,0.001152,0.000448,1.843223
0.137476,1.554958,0.066754,1.766420,0.016385,0.000576,0.001632,0.001120,0.000640,1.790357
0.153604,1.571375,0.092195,1.825174,0.015681,0.000576,0.001536,0.001024,0.000416,1.848023
0.145732,1.550062,0.068418,1.771156,0.014977,0.000576,0.001504,0.001120,0.000384,1.792981
0.175973,1.568687,0.074498,1.825622,0.016097,0.000544,0.001536,0.001184,0.000416,1.848663
0.179717,1.552495,0.066466,1.805078,0.015072,0.000544,0.001440,0.001120,0.000384,1.827030
