Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],IN[7],INFER[7-7],OUT[7],TEE[7-7],Layer[8],Layer[9],Layer[10],classifier
0.395211,0.017473,0.192134,0.004896,0.047009,0.000608,0.013505,0.106531,0.032321,0.058882,0.200710,0.002176,0.001248,0.000416,0.882874
0.394347,0.017377,0.191590,0.004864,0.047041,0.000608,0.013505,0.115747,0.032065,0.058306,0.209126,0.002624,0.001152,0.000352,0.889754
0.411212,0.017409,0.192037,0.004864,0.047042,0.000576,0.013504,0.100387,0.032257,0.056002,0.191558,0.002080,0.001344,0.000416,0.889146
0.393995,0.017569,0.191973,0.004897,0.047009,0.000640,0.013472,0.105476,0.032545,0.061889,0.203366,0.002048,0.001120,0.000352,0.883738
0.394668,0.017313,0.191877,0.004897,0.047169,0.000608,0.013440,0.103395,0.038529,0.060129,0.205190,0.001984,0.001088,0.000352,0.886299
0.409037,0.017472,0.191878,0.004832,0.046945,0.000608,0.013473,0.132580,0.040929,0.058658,0.235399,0.002112,0.001536,0.000384,0.930940
0.393900,0.017408,0.192614,0.004864,0.047042,0.000576,0.013440,0.109443,0.032545,0.059778,0.204774,0.001920,0.001184,0.000320,0.885850
0.393868,0.017600,0.192006,0.004928,0.047010,0.000576,0.013472,0.134372,0.035745,0.058306,0.231175,0.001984,0.001248,0.000384,0.910875
0.393900,0.017312,0.192134,0.004928,0.047073,0.000608,0.013473,0.099171,0.033089,0.058177,0.193349,0.001984,0.001120,0.000416,0.873018
0.414828,0.017696,0.192870,0.004928,0.047681,0.000608,0.013473,0.108867,0.037345,0.058210,0.207654,0.002112,0.001536,0.000384,0.912571
0.395308,0.017377,0.191973,0.004896,0.047586,0.000992,0.013472,0.102147,0.031425,0.057282,0.193702,0.001952,0.001120,0.000384,0.875770
0.394188,0.017376,0.191590,0.004928,0.047394,0.000608,0.013536,0.105891,0.029761,0.056034,0.194598,0.002144,0.001120,0.000384,0.875482
0.394412,0.017376,0.192198,0.004864,0.046849,0.000608,0.013441,0.117923,0.035841,0.064930,0.221670,0.002144,0.001120,0.000352,0.901947
0.394412,0.017568,0.193094,0.004864,0.047041,0.000480,0.013441,0.101091,0.033889,0.063042,0.200742,0.002336,0.001024,0.000352,0.882170
0.394316,0.017409,0.191653,0.004832,0.047042,0.000608,0.013440,0.104931,0.034817,0.057601,0.200006,0.001952,0.001152,0.000384,0.879386
0.394988,0.017504,0.191526,0.004864,0.047105,0.000576,0.013409,0.103747,0.033569,0.059426,0.199398,0.002240,0.001120,0.000384,0.879834
0.414636,0.017537,0.191685,0.004896,0.046914,0.000544,0.013600,0.101635,0.032065,0.056674,0.193094,0.002304,0.001248,0.000384,0.894714
0.393996,0.017408,0.191334,0.005024,0.047138,0.000576,0.013504,0.101379,0.032417,0.062082,0.198694,0.001920,0.001088,0.000384,0.877786
0.395212,0.017184,0.191686,0.004928,0.047521,0.000576,0.013441,0.103875,0.032161,0.058946,0.198022,0.002016,0.001056,0.000416,0.878938
0.394156,0.017537,0.191685,0.004928,0.047042,0.000640,0.013408,0.105987,0.031233,0.060002,0.200390,0.002112,0.001088,0.000384,0.880858
0.394764,0.017408,0.192742,0.004896,0.047330,0.000576,0.013440,0.113027,0.031041,0.057794,0.205254,0.002208,0.001152,0.000352,0.888122
0.394412,0.017409,0.191877,0.004929,0.047649,0.000608,0.013504,0.110436,0.031809,0.059617,0.205062,0.002337,0.001536,0.000416,0.886907
0.394987,0.017345,0.192230,0.004928,0.047137,0.000576,0.013473,0.104163,0.030881,0.058113,0.196037,0.002144,0.001280,0.000384,0.878170
0.413868,0.017536,0.192198,0.004864,0.047106,0.000608,0.013440,0.106211,0.038913,0.062146,0.209830,0.002048,0.000992,0.000544,0.909882
0.394476,0.017344,0.191622,0.004864,0.047009,0.000512,0.013473,0.104899,0.033089,0.058914,0.199782,0.001920,0.001088,0.000416,0.879962
0.394891,0.017217,0.191974,0.004928,0.046849,0.000576,0.013441,0.103555,0.032513,0.059105,0.197893,0.002368,0.001088,0.000832,0.879098
0.395947,0.017441,0.193510,0.004896,0.047681,0.000608,0.013505,0.108547,0.033377,0.059202,0.204070,0.002112,0.001248,0.000448,0.888986
0.394635,0.017473,0.192421,0.004928,0.047425,0.000576,0.013472,0.103523,0.035297,0.058177,0.199973,0.003105,0.001120,0.000384,0.882618
0.394475,0.017249,0.192102,0.004832,0.047105,0.000608,0.013441,0.100547,0.033249,0.056577,0.193221,0.002048,0.001216,0.000416,0.873977
0.395403,0.017761,0.192550,0.004896,0.047233,0.000608,0.013441,0.109763,0.034785,0.057922,0.205478,0.002112,0.001280,0.000384,0.888730
0.395820,0.017536,0.212391,0.004992,0.047489,0.000576,0.013505,0.109411,0.032705,0.061346,0.206310,0.002304,0.001312,0.000416,0.909819
0.395404,0.017568,0.192294,0.004960,0.047521,0.000608,0.013536,0.109315,0.031265,0.059682,0.203334,0.002112,0.001184,0.000576,0.886138
0.394412,0.017440,0.191398,0.004928,0.048738,0.000608,0.013472,0.107971,0.033121,0.059394,0.203430,0.002208,0.001152,0.000384,0.885018
0.394572,0.017472,0.191558,0.004896,0.048065,0.000576,0.013473,0.105667,0.030913,0.059522,0.198918,0.002496,0.001088,0.000384,0.880442
0.394572,0.017601,0.191717,0.004896,0.048258,0.000672,0.013984,0.118052,0.033217,0.059874,0.214279,0.002560,0.001344,0.000384,0.899483
0.394987,0.017313,0.191942,0.004928,0.049217,0.000640,0.013697,0.106787,0.029761,0.058273,0.197541,0.002944,0.001056,0.000384,0.881530
0.395084,0.017473,0.191621,0.004896,0.049506,0.000608,0.013760,0.107299,0.031425,0.058210,0.199846,0.002560,0.001504,0.000384,0.884058
0.394636,0.017504,0.213415,0.005024,0.049217,0.000608,0.013601,0.105923,0.038465,0.061122,0.208038,0.002176,0.001248,0.000352,0.913371
0.394444,0.017440,0.191366,0.004896,0.048609,0.000672,0.013537,0.104899,0.032929,0.058178,0.198630,0.001888,0.001184,0.000384,0.880218
0.394571,0.017473,0.191878,0.004864,0.048097,0.000608,0.013505,0.110627,0.033729,0.059202,0.206566,0.002080,0.001216,0.000384,0.889018
0.394380,0.017441,0.191493,0.004832,0.047394,0.000576,0.013504,0.107907,0.030081,0.059234,0.199974,0.002112,0.001216,0.000384,0.880762
0.412685,0.017600,0.191494,0.004928,0.047169,0.000576,0.013537,0.109987,0.038785,0.060674,0.212454,0.002112,0.001152,0.000384,0.911739
0.394412,0.017409,0.191813,0.004832,0.047234,0.000576,0.013504,0.104611,0.033889,0.060738,0.201958,0.002016,0.001248,0.000384,0.882362
0.394604,0.017344,0.191270,0.004864,0.046977,0.000576,0.013473,0.127460,0.038529,0.057506,0.226375,0.001824,0.001152,0.000384,0.905595
0.393867,0.017537,0.192005,0.004801,0.064610,0.000608,0.013568,0.107331,0.035809,0.063458,0.209318,0.001920,0.001088,0.000352,0.907066
0.394764,0.017697,0.191909,0.004928,0.048322,0.000544,0.013568,0.111716,0.032833,0.062657,0.210566,0.001953,0.001248,0.000448,0.894139
0.394860,0.017377,0.191941,0.004897,0.047457,0.000576,0.013536,0.105700,0.034529,0.060353,0.203430,0.002433,0.001120,0.000384,0.884923
0.394091,0.017537,0.191429,0.004865,0.047009,0.000576,0.013440,0.107524,0.034465,0.058401,0.202982,0.001984,0.001121,0.000384,0.882298
0.408204,0.017569,0.191845,0.004865,0.047041,0.000640,0.013504,0.106084,0.033377,0.062753,0.204870,0.001857,0.001088,0.000352,0.898811
0.394636,0.017249,0.191973,0.004864,0.046882,0.000576,0.013504,0.109219,0.032032,0.059330,0.203974,0.002112,0.001280,0.000448,0.884858
0.395180,0.017600,0.192070,0.004896,0.047586,0.000576,0.013408,0.109315,0.031937,0.059042,0.203206,0.002112,0.001152,0.000416,0.885146
0.394348,0.017536,0.192198,0.004832,0.047266,0.000576,0.013376,0.122756,0.032449,0.061281,0.219751,0.002112,0.001120,0.000352,0.900411
0.394412,0.017377,0.192197,0.004864,0.046978,0.000608,0.013408,0.102019,0.034305,0.058594,0.197574,0.002144,0.001216,0.000384,0.877850
0.394316,0.017504,0.192166,0.004864,0.046914,0.000640,0.013440,0.104035,0.033281,0.058626,0.198726,0.002112,0.001152,0.000352,0.878874
0.398636,0.017536,0.191238,0.004864,0.047393,0.000640,0.013441,0.093091,0.031200,0.057793,0.184901,0.002048,0.001088,0.000416,0.868921
0.412652,0.017537,0.192102,0.004832,0.047585,0.000544,0.013473,0.106819,0.033537,0.058465,0.201510,0.001984,0.001312,0.000480,0.901211
0.394252,0.017345,0.192037,0.004865,0.046977,0.000608,0.013504,0.102947,0.033409,0.059074,0.198150,0.001984,0.001248,0.000352,0.878042
0.393996,0.017440,0.191878,0.004832,0.047009,0.000576,0.013473,0.099075,0.032129,0.057697,0.191685,0.001952,0.001184,0.000384,0.871194
0.393804,0.017312,0.191814,0.004864,0.047010,0.000544,0.013408,0.129668,0.038753,0.056770,0.228135,0.005184,0.001248,0.000352,0.911003
0.394860,0.017281,0.192965,0.004832,0.047138,0.000608,0.013472,0.110820,0.038401,0.060802,0.213159,0.001952,0.001152,0.000384,0.895451
0.394539,0.017537,0.191910,0.004832,0.047041,0.000672,0.013473,0.109379,0.033953,0.060578,0.206822,0.002048,0.001280,0.000416,0.887770
0.394700,0.018048,0.192102,0.004928,0.046977,0.000608,0.013441,0.108835,0.034305,0.058498,0.204422,0.002080,0.001088,0.000352,0.885786
0.411788,0.017472,0.191494,0.004832,0.047042,0.000576,0.013440,0.106211,0.038081,0.059234,0.206310,0.001984,0.001152,0.000320,0.903578
0.394316,0.017344,0.191878,0.004864,0.047041,0.000576,0.013409,0.107203,0.032513,0.064066,0.206630,0.001888,0.001248,0.000320,0.886426
0.394379,0.017312,0.191494,0.004832,0.047361,0.000576,0.013441,0.102243,0.029889,0.055297,0.190373,0.001952,0.001056,0.000320,0.869561
0.394988,0.017536,0.191782,0.004896,0.047458,0.000800,0.013472,0.107683,0.033473,0.062050,0.206118,0.001856,0.001504,0.000352,0.887834
0.394412,0.017408,0.191974,0.004864,0.047042,0.000576,0.013440,0.097411,0.030785,0.055682,0.186598,0.001952,0.001216,0.000352,0.866426
0.399212,0.017537,0.191270,0.004832,0.047041,0.000576,0.013376,0.105955,0.029601,0.055809,0.194213,0.001952,0.001088,0.000320,0.878458
0.395628,0.017632,0.193158,0.004896,0.046978,0.000576,0.013472,0.107427,0.031425,0.058242,0.200038,0.002144,0.001920,0.000416,0.884538
0.395596,0.017600,0.210919,0.005024,0.047425,0.000800,0.013473,0.113283,0.038945,0.059842,0.214886,0.001952,0.001152,0.000416,0.917691
0.394412,0.017536,0.192326,0.004896,0.047202,0.000608,0.013600,0.110979,0.033665,0.060097,0.207718,0.002080,0.001120,0.000384,0.888858
0.394444,0.017601,0.191845,0.004928,0.047106,0.000576,0.013504,0.115236,0.032673,0.062082,0.212935,0.002048,0.001280,0.000384,0.894075
0.399339,0.017377,0.192678,0.004864,0.047041,0.000576,0.013409,0.104867,0.030913,0.058274,0.197030,0.002176,0.001216,0.000384,0.883194
0.432173,0.017568,0.191398,0.004864,0.047234,0.000608,0.013440,0.105923,0.038273,0.060834,0.207974,0.003360,0.001280,0.000384,0.927259
0.394668,0.017344,0.191878,0.004864,0.046977,0.000576,0.013505,0.104739,0.033249,0.058018,0.198726,0.002080,0.000992,0.000352,0.878682
0.395115,0.017409,0.191781,0.004929,0.047553,0.000576,0.013472,0.110020,0.032353,0.058241,0.203622,0.002145,0.001344,0.000416,0.885659
0.394220,0.017249,0.191813,0.004832,0.047266,0.000608,0.013504,0.123844,0.038529,0.060386,0.226055,0.002048,0.001088,0.000384,0.905979
0.393995,0.017281,0.192166,0.004928,0.047073,0.000608,0.013473,0.104963,0.032961,0.059009,0.199813,0.002017,0.001088,0.000384,0.879450
0.397260,0.017569,0.193509,0.004897,0.047297,0.000608,0.013472,0.102499,0.028449,0.056930,0.190982,0.002272,0.001280,0.000416,0.876602
0.394540,0.017536,0.192454,0.004896,0.047170,0.000544,0.013504,0.108483,0.030497,0.056290,0.198470,0.002112,0.001216,0.000384,0.879706
0.411884,0.017568,0.191814,0.004864,0.047777,0.000576,0.013537,0.102019,0.034017,0.058658,0.197638,0.001984,0.001248,0.000384,0.896571
0.394539,0.017537,0.191462,0.004896,0.047489,0.000576,0.013505,0.134276,0.032865,0.058593,0.228710,0.002368,0.001216,0.000416,0.909723
0.393996,0.017408,0.191462,0.004896,0.047265,0.000576,0.013441,0.102723,0.032449,0.059394,0.197350,0.001920,0.001184,0.000384,0.876538
0.393964,0.017281,0.192037,0.004929,0.047553,0.000576,0.013376,0.109828,0.065378,0.076066,0.254888,0.005248,0.001184,0.000384,0.938524
0.393643,0.017441,0.191621,0.004833,0.047233,0.000608,0.013376,0.105892,0.033313,0.058049,0.200198,0.001888,0.001089,0.000384,0.879162
0.394732,0.017376,0.192038,0.004832,0.047298,0.000608,0.013408,0.106691,0.033473,0.057218,0.200454,0.001984,0.001280,0.000416,0.882330
0.394668,0.017408,0.192038,0.004832,0.047138,0.000608,0.013728,0.103395,0.033569,0.059490,0.199462,0.001952,0.001088,0.000384,0.880090
0.412396,0.017441,0.192102,0.004896,0.046881,0.000640,0.013377,0.107171,0.039137,0.061186,0.210470,0.001984,0.001088,0.000352,0.908283
0.394572,0.017345,0.191781,0.004832,0.046977,0.000608,0.013408,0.104131,0.029697,0.056418,0.193254,0.001888,0.001216,0.000384,0.873690
0.394668,0.017408,0.192710,0.004864,0.047298,0.000576,0.013472,0.093571,0.030945,0.055649,0.183205,0.001985,0.001152,0.000384,0.864410
0.394539,0.017505,0.191685,0.004929,0.047041,0.000608,0.013472,0.106756,0.033345,0.058497,0.201542,0.002048,0.001089,0.000384,0.882042
0.394412,0.017440,0.192262,0.004896,0.047041,0.000576,0.013441,0.102947,0.031553,0.058786,0.196102,0.002048,0.001120,0.000352,0.876602
0.394828,0.017312,0.191942,0.004832,0.047010,0.000544,0.013472,0.096483,0.033345,0.057346,0.190022,0.002112,0.001120,0.000320,0.870586
0.394732,0.017280,0.191622,0.004864,0.047393,0.000608,0.013409,0.104547,0.032417,0.058466,0.198054,0.002016,0.001120,0.000416,0.878714
0.394891,0.017505,0.210374,0.004928,0.047746,0.000640,0.013568,0.109347,0.038689,0.061665,0.212743,0.002400,0.001248,0.000384,0.914171
0.394603,0.017569,0.191333,0.004929,0.047521,0.000576,0.013472,0.105859,0.036385,0.061090,0.206247,0.002048,0.001216,0.000448,0.886746
0.393835,0.017537,0.191494,0.004864,0.047041,0.000576,0.013441,0.106019,0.039489,0.060130,0.208486,0.001984,0.001248,0.000416,0.888122
