Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-9],OUT[9],TEE[6-9],Layer[10],classifier
0.488975,0.017824,0.194918,0.004864,0.047298,0.000608,0.084098,0.054242,0.065762,0.207174,0.000832,0.969117
0.398092,0.017472,0.193702,0.004832,0.047458,0.000576,0.115651,0.051778,0.062402,0.233255,0.000960,0.902907
0.412396,0.017441,0.193894,0.004832,0.047681,0.000576,0.108548,0.054593,0.067714,0.234279,0.000736,0.918619
0.397547,0.017409,0.192678,0.004896,0.050081,0.000608,0.111268,0.053441,0.067426,0.235271,0.000736,0.906746
0.400940,0.017601,0.192709,0.004865,0.048929,0.000608,0.106947,0.054434,0.070594,0.234887,0.000608,0.906939
0.400332,0.017504,0.192454,0.004768,0.048417,0.000576,0.115812,0.062434,0.068002,0.249160,0.000640,0.918971
0.396011,0.017377,0.192678,0.004800,0.048449,0.000576,0.112452,0.067138,0.070274,0.253064,0.000576,0.921083
0.396811,0.017537,0.192166,0.004864,0.048129,0.000608,0.101507,0.054626,0.064642,0.223911,0.000896,0.890554
0.396011,0.017409,0.192934,0.004800,0.047489,0.000608,0.128932,0.054946,0.063362,0.250248,0.000544,0.915451
0.414989,0.017600,0.192326,0.004896,0.047746,0.000576,0.108675,0.069154,0.067490,0.248135,0.000640,0.932828
0.395148,0.017408,0.191974,0.004800,0.047106,0.000576,0.107139,0.052769,0.061378,0.224294,0.000896,0.889242
0.396908,0.017633,0.192325,0.004832,0.047458,0.000576,0.099619,0.053569,0.062434,0.218374,0.000608,0.884346
0.396267,0.017537,0.192165,0.004800,0.047265,0.000576,0.115748,0.059073,0.064258,0.242983,0.000672,0.908602
0.400172,0.017408,0.192518,0.004800,0.047586,0.000576,0.108963,0.052610,0.060545,0.225062,0.000608,0.894874
0.396588,0.017569,0.192549,0.004832,0.047425,0.000608,0.104099,0.052578,0.060834,0.220775,0.000608,0.887387
0.395596,0.017569,0.192517,0.004801,0.047361,0.000608,0.104547,0.052226,0.059361,0.219110,0.000544,0.883930
0.408972,0.017633,0.192358,0.004896,0.048449,0.000576,0.109316,0.049121,0.062434,0.224263,0.000640,0.905691
0.395819,0.017440,0.192006,0.004864,0.048257,0.000576,0.104035,0.052482,0.065442,0.224871,0.000576,0.890074
0.400236,0.017376,0.192326,0.004800,0.047649,0.000576,0.103939,0.051425,0.059682,0.219206,0.000704,0.888730
0.395723,0.017537,0.192262,0.004896,0.046945,0.000576,0.104451,0.070626,0.079170,0.257352,0.000576,0.921499
0.395883,0.017345,0.192038,0.004800,0.046913,0.000576,0.104995,0.051906,0.059490,0.219111,0.000640,0.883546
0.401451,0.017345,0.192358,0.004832,0.047201,0.000576,0.107971,0.064929,0.067810,0.243335,0.000576,0.913051
0.395212,0.017601,0.191941,0.004800,0.046914,0.000576,0.106211,0.049250,0.069858,0.228039,0.000576,0.891739
0.413517,0.017408,0.192134,0.005120,0.047521,0.000608,0.111363,0.063522,0.067746,0.247015,0.000608,0.930108
0.395563,0.017569,0.191782,0.004832,0.046913,0.000576,0.104227,0.052770,0.062690,0.223239,0.000576,0.887098
0.396171,0.017601,0.191590,0.004800,0.047425,0.000608,0.101603,0.065826,0.064066,0.235015,0.000640,0.899610
