Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],IN[6],INFER[6-7],OUT[7],TEE[6-7],Layer[8],Layer[9],Layer[10],classifier
0.401260,0.017633,0.192229,0.005313,0.048513,0.001024,0.108611,0.049154,0.060738,0.221383,0.002336,0.001216,0.000384,0.898043
0.394988,0.017696,0.192742,0.004992,0.049026,0.000832,0.118147,0.059042,0.062530,0.243239,0.002496,0.001152,0.000416,0.915899
0.394700,0.017760,0.211046,0.005312,0.048321,0.000800,0.107203,0.063842,0.058690,0.232647,0.002368,0.001184,0.000416,0.922235
0.395115,0.017953,0.192678,0.005152,0.048161,0.001024,0.109315,0.049730,0.060002,0.222119,0.002656,0.001824,0.000608,0.894970
0.399660,0.017505,0.192165,0.005313,0.048481,0.000832,0.109379,0.052674,0.060034,0.225191,0.002304,0.001344,0.000640,0.900603
0.399372,0.017825,0.191685,0.005217,0.048353,0.000800,0.109219,0.049634,0.063618,0.225735,0.003328,0.001248,0.000416,0.901755
0.395436,0.017568,0.191718,0.005120,0.048418,0.000832,0.109859,0.050689,0.059490,0.223398,0.002688,0.001824,0.000384,0.894618
0.399468,0.017569,0.191621,0.005313,0.048225,0.000832,0.112227,0.048674,0.060066,0.224071,0.002400,0.001120,0.000384,0.898363
0.399948,0.017857,0.191653,0.004896,0.048354,0.000832,0.108835,0.049314,0.060001,0.221350,0.002400,0.001504,0.000416,0.896731
0.412844,0.017728,0.191942,0.005344,0.048130,0.000832,0.123715,0.048386,0.072450,0.247847,0.002592,0.001344,0.000384,0.936315
0.399884,0.017633,0.191781,0.004832,0.049282,0.000800,0.108419,0.048194,0.062689,0.222374,0.002305,0.001408,0.000416,0.897467
0.395627,0.017729,0.191846,0.004832,0.049057,0.000800,0.110211,0.048833,0.061186,0.223431,0.002528,0.001376,0.000640,0.895994
0.399596,0.017632,0.192101,0.004864,0.048674,0.000832,0.132740,0.051521,0.060738,0.248583,0.002304,0.001120,0.000384,0.923163
0.399340,0.017728,0.191654,0.004960,0.048642,0.000800,0.112451,0.047425,0.060610,0.225286,0.002464,0.001248,0.000384,0.900250
0.395692,0.017793,0.191877,0.004897,0.048385,0.000800,0.110851,0.048194,0.064418,0.226503,0.002400,0.001664,0.000416,0.897083
