Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],IN[5],INFER[5-7],OUT[7],TEE[5-7],Layer[8],Layer[9],Layer[10],classifier
0.493551,0.017920,0.193990,0.004832,0.047618,0.081218,0.048610,0.062114,0.195046,0.002208,0.018304,0.000672,0.981469
0.397164,0.017376,0.192582,0.004928,0.047266,0.122179,0.065378,0.060162,0.251527,0.002112,0.001024,0.000320,0.920475
0.398252,0.017184,0.192134,0.004960,0.047970,0.092098,0.045986,0.057282,0.198886,0.002208,0.000896,0.000320,0.868346
0.397356,0.017409,0.191941,0.004832,0.048354,0.103107,0.052034,0.060769,0.219078,0.002336,0.000993,0.000384,0.888763
0.397292,0.017441,0.192325,0.004832,0.048386,0.109955,0.055522,0.060002,0.229095,0.002368,0.001536,0.000416,0.900923
0.413485,0.017536,0.192358,0.004832,0.049313,0.107140,0.048321,0.059138,0.218055,0.002240,0.001152,0.000384,0.905659
0.395211,0.017601,0.192357,0.004832,0.048033,0.113507,0.055458,0.064482,0.236743,0.002304,0.001184,0.000448,0.905402
0.396684,0.017536,0.192134,0.005120,0.048673,0.115716,0.060002,0.064322,0.243528,0.002464,0.001184,0.000384,0.914331
0.399659,0.017569,0.192358,0.004832,0.065730,0.116835,0.059458,0.061378,0.240999,0.002176,0.001056,0.000384,0.932315
0.396172,0.017409,0.192293,0.004833,0.048449,0.109667,0.048866,0.060290,0.222183,0.002368,0.001216,0.000480,0.891899
0.396396,0.017409,0.192453,0.004833,0.047937,0.119203,0.048417,0.061218,0.232167,0.002208,0.001216,0.000384,0.902043
0.396300,0.017857,0.192005,0.004832,0.047618,0.113187,0.058370,0.063458,0.238279,0.001952,0.001248,0.000448,0.907131
0.414252,0.017504,0.192262,0.004864,0.047202,0.112931,0.047905,0.064322,0.228518,0.002016,0.001248,0.000352,0.915036
0.396076,0.017440,0.192198,0.005248,0.047586,0.109987,0.049633,0.060322,0.223174,0.002016,0.001216,0.000384,0.891546
0.397196,0.017568,0.192198,0.005024,0.048098,0.112451,0.053857,0.060929,0.230662,0.002272,0.001632,0.000385,0.902811
0.398188,0.017697,0.209766,0.005120,0.048801,0.113412,0.049441,0.061122,0.227143,0.002016,0.001120,0.000448,0.917083
0.395884,0.017472,0.193062,0.005120,0.048866,0.106595,0.046081,0.058498,0.214566,0.002400,0.001568,0.000416,0.886490
0.395276,0.017536,0.192486,0.004896,0.048033,0.108740,0.058465,0.061474,0.231783,0.002176,0.001312,0.000448,0.900186
0.394700,0.017440,0.192582,0.004928,0.048194,0.115491,0.055970,0.061410,0.236135,0.001952,0.001088,0.000448,0.903867
0.394700,0.017729,0.192453,0.004896,0.047682,0.112611,0.048418,0.060225,0.224615,0.002432,0.001216,0.000512,0.892539
0.395468,0.017568,0.192294,0.004768,0.047906,0.115747,0.048866,0.061889,0.229895,0.002144,0.001184,0.000448,0.898907
0.394476,0.017505,0.191749,0.004864,0.047522,0.111619,0.048962,0.061025,0.224486,0.002113,0.001312,0.000416,0.890683
0.394828,0.017600,0.210566,0.004993,0.047425,0.113123,0.048194,0.061186,0.225479,0.002112,0.001248,0.000448,0.911451
0.395692,0.017696,0.192422,0.005024,0.047394,0.111619,0.060034,0.060834,0.236103,0.002144,0.001312,0.000416,0.904763
0.399948,0.018880,0.193125,0.005024,0.048514,0.160261,0.053217,0.064866,0.282504,0.002752,0.002720,0.000640,0.965532
0.397195,0.017921,0.192454,0.005024,0.048065,0.114372,0.050497,0.081859,0.250408,0.002528,0.001952,0.000672,0.923195
0.395788,0.017888,0.192486,0.005120,0.047266,0.106243,0.050497,0.061410,0.221478,0.002048,0.001184,0.000416,0.890170
0.396140,0.017632,0.191654,0.004832,0.049026,0.112003,0.049313,0.061218,0.226022,0.002016,0.001312,0.000416,0.895258
0.396940,0.018048,0.192134,0.004832,0.048450,0.107427,0.059010,0.061313,0.231590,0.002240,0.001344,0.000448,0.902683
0.414220,0.017856,0.192422,0.004864,0.048385,0.111908,0.049025,0.062338,0.226567,0.002112,0.001152,0.000416,0.914395
