Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],Layer[5],Layer[6],Layer[7],IN[8],INFER[8-8],OUT[8],TEE[8-8],Layer[9],Layer[10],classifier
0.395467,0.017537,0.191462,0.004896,0.048193,0.000608,0.013473,0.000448,0.103203,0.034913,0.059842,0.200678,0.001248,0.000576,0.881498
0.394764,0.017409,0.191365,0.004865,0.049569,0.000736,0.013472,0.000416,0.105540,0.034689,0.057025,0.200102,0.001568,0.000640,0.882810
0.395468,0.017472,0.191526,0.004864,0.048418,0.000608,0.013472,0.000416,0.104643,0.031649,0.056802,0.196838,0.001248,0.000672,0.877626
0.396268,0.017504,0.191814,0.004832,0.048001,0.000576,0.013473,0.000416,0.103747,0.042401,0.067010,0.216134,0.001376,0.000384,0.898554
0.395788,0.017504,0.191942,0.004992,0.048130,0.000576,0.013536,0.000416,0.111139,0.044354,0.059009,0.217574,0.001633,0.000416,0.899707
0.396171,0.017600,0.192134,0.005056,0.047649,0.000672,0.013537,0.000416,0.106531,0.032225,0.057762,0.199750,0.001632,0.000608,0.884954
0.396427,0.017504,0.208742,0.005536,0.047970,0.000800,0.013536,0.000416,0.105827,0.035169,0.057089,0.201158,0.001952,0.000640,0.903194
0.395276,0.017473,0.191141,0.005280,0.048161,0.000800,0.013920,0.000416,0.104003,0.035361,0.056033,0.198438,0.001664,0.000608,0.880922
0.396268,0.017441,0.191365,0.004864,0.050402,0.000960,0.013536,0.000448,0.108836,0.043905,0.059298,0.215047,0.001376,0.000448,0.899355
0.395979,0.017505,0.191558,0.004832,0.048833,0.000608,0.013537,0.000416,0.108643,0.034433,0.057954,0.204262,0.001440,0.000608,0.887130
0.395532,0.017408,0.191526,0.004864,0.048834,0.000768,0.013568,0.000416,0.109251,0.034305,0.058786,0.205606,0.001600,0.000384,0.888026
0.395852,0.017377,0.191621,0.004896,0.049794,0.000832,0.013568,0.000416,0.115396,0.042177,0.069666,0.230311,0.001536,0.000416,0.913979
0.395916,0.017344,0.191494,0.004864,0.049026,0.000736,0.013600,0.000416,0.109859,0.035873,0.056706,0.205350,0.001760,0.000384,0.888026
0.396236,0.017281,0.210342,0.005120,0.048993,0.000768,0.013665,0.000416,0.109443,0.034209,0.060002,0.206566,0.001568,0.000384,0.908955
0.395563,0.017505,0.191397,0.004865,0.049345,0.000608,0.013601,0.000416,0.109283,0.034081,0.059490,0.206054,0.001600,0.000384,0.888794
0.395595,0.017632,0.191366,0.004800,0.047809,0.000736,0.013537,0.000384,0.111523,0.033153,0.064546,0.212582,0.001696,0.000416,0.894586
0.397420,0.017344,0.191462,0.004864,0.048002,0.000832,0.013536,0.000448,0.111267,0.034402,0.057953,0.206918,0.001728,0.000608,0.890650
0.397100,0.017345,0.191493,0.005569,0.048545,0.000832,0.013825,0.000448,0.115363,0.042785,0.059170,0.220646,0.001760,0.000640,0.907259
