Layer[0],Layer[1],IN[2],INFER[2-7],OUT[7],TEE[2-7],Layer[8],Layer[9],Layer[10],classifier
0.507940,0.018208,0.128193,8.044314,0.075392,8.252411,0.002272,0.003008,0.000640,8.791647
0.416771,0.017888,0.140289,0.585060,0.066913,0.796454,0.003008,0.001280,0.000384,1.243337
0.417059,0.017216,0.129953,0.584292,0.062977,0.780166,0.002400,0.001152,0.000352,1.223369
0.432676,0.017472,0.129281,0.583204,0.065728,0.781381,0.002272,0.000864,0.000288,1.240297
0.420131,0.017344,0.123649,0.596004,0.065793,0.789126,0.002656,0.000960,0.000384,1.235593
0.416099,0.017440,0.136961,0.583908,0.067905,0.792070,0.002432,0.000960,0.000384,1.235817
0.420387,0.017632,0.130177,0.584068,0.065216,0.783173,0.002464,0.000992,0.000416,1.230440
0.416227,0.017600,0.126881,0.580997,0.066176,0.778342,0.002624,0.001440,0.000384,1.223177
0.420483,0.017504,0.124001,0.599652,0.069729,0.797542,0.003040,0.001024,0.000384,1.244969
0.416771,0.017440,0.134145,0.583172,0.066496,0.787429,0.002688,0.001153,0.000416,1.230889
0.419491,0.017504,0.136353,0.584453,0.069312,0.793862,0.002432,0.000960,0.000384,1.239849
0.419427,0.017472,0.150145,0.585124,0.066465,0.806310,0.006176,0.001120,0.000448,1.257417
0.415715,0.017472,0.129153,0.581668,0.068225,0.782246,0.005952,0.000992,0.000384,1.227593
0.419363,0.017472,0.125793,0.579172,0.063616,0.771909,0.003328,0.001152,0.000512,1.218985
0.438019,0.017184,0.131233,0.584836,0.067585,0.787014,0.002848,0.000864,0.000384,1.251433
0.420803,0.017504,0.136193,0.582244,0.064833,0.786854,0.002688,0.000960,0.000384,1.234473
0.421091,0.017504,0.133441,0.602500,0.088801,0.828390,0.002752,0.000832,0.000320,1.276009
0.415522,0.017568,0.135649,0.584612,0.069952,0.793925,0.003168,0.001184,0.000384,1.238408
0.419907,0.017760,0.125441,0.581412,0.067297,0.778054,0.002912,0.000896,0.000384,1.225385
0.419875,0.017344,0.126241,0.596548,0.070241,0.796742,0.002496,0.000928,0.000416,1.242857
0.419715,0.017537,0.129921,0.581284,0.064288,0.779173,0.002784,0.000992,0.000448,1.225993
0.415299,0.017408,0.118881,0.583396,0.066401,0.772742,0.002592,0.000992,0.000352,1.214665
0.432227,0.017536,0.137057,0.582116,0.066368,0.788805,0.002464,0.001024,0.000384,1.247880
0.415523,0.017792,0.138209,0.582052,0.066913,0.790758,0.002496,0.000992,0.000448,1.233545
0.420355,0.017696,0.131105,0.581124,0.064225,0.779942,0.002656,0.001056,0.000384,1.227081
0.416899,0.017504,0.136865,0.581316,0.067552,0.791461,0.002688,0.000992,0.000384,1.235465
0.415875,0.017440,0.128257,0.595748,0.065025,0.794054,0.002688,0.001024,0.000384,1.235849
0.416355,0.018272,0.132449,0.597220,0.071329,0.805542,0.002784,0.001248,0.000352,1.251049
0.417187,0.017312,0.143009,0.582884,0.067553,0.797254,0.002528,0.001248,0.000384,1.241481
0.414787,0.017568,0.127297,0.580292,0.066176,0.777349,0.002816,0.001120,0.000416,1.219400
0.434307,0.017792,0.131553,0.582981,0.066880,0.784774,0.002656,0.000992,0.000480,1.247529
0.415715,0.017504,0.135361,0.582756,0.064865,0.786694,0.002496,0.000960,0.000384,1.229129
0.415299,0.017568,0.130209,0.584836,0.065984,0.784453,0.002720,0.001024,0.000352,1.227240
0.414787,0.017440,0.128609,0.580452,0.064993,0.777958,0.002432,0.001056,0.000352,1.220137
0.416451,0.017376,0.127009,0.580868,0.064192,0.775589,0.002464,0.000992,0.000384,1.218312
0.416771,0.017216,0.131777,0.600677,0.068224,0.804198,0.002528,0.000960,0.000352,1.247817
0.415747,0.017408,0.126657,0.580548,0.065185,0.775814,0.002592,0.001120,0.000416,1.220809
0.420355,0.017568,0.132001,0.583588,0.068128,0.786853,0.002592,0.001024,0.000448,1.234024
0.415843,0.017216,0.180994,0.585700,0.066272,0.836678,0.003072,0.000896,0.000416,1.279817
0.418979,0.018080,0.143457,0.590181,0.070464,0.808038,0.002656,0.001440,0.000384,1.256105
0.421731,0.017472,0.135393,0.587332,0.068801,0.795590,0.002848,0.001088,0.000416,1.246729
0.420803,0.017376,0.127617,0.581476,0.064641,0.778726,0.002560,0.000992,0.000416,1.226889
0.415651,0.017281,0.131649,0.583108,0.065440,0.783973,0.002560,0.001056,0.000448,1.225929
0.416515,0.017504,0.130113,0.600484,0.069057,0.803558,0.002496,0.001024,0.000384,1.246601
0.416323,0.017280,0.128161,0.581988,0.063712,0.777157,0.002592,0.001024,0.000384,1.220808
0.419875,0.017472,0.127681,0.581124,0.069056,0.781957,0.003872,0.000992,0.000416,1.230632
0.417667,0.017760,0.151298,0.583044,0.067584,0.806342,0.002816,0.001056,0.000384,1.252713
0.420035,0.017440,0.123809,0.582852,0.066273,0.776486,0.002624,0.001088,0.000416,1.223081
0.420451,0.017472,0.132961,0.580772,0.063584,0.780805,0.002592,0.001120,0.000320,1.227976
0.438051,0.017504,0.135105,0.584517,0.067680,0.792358,0.002688,0.000960,0.000352,1.257833
0.416611,0.017536,0.134273,0.588132,0.069985,0.796198,0.002528,0.001088,0.000384,1.240681
0.420131,0.017664,0.131873,0.601444,0.071553,0.809094,0.002816,0.001120,0.000384,1.256489
0.419811,0.017473,0.139009,0.583780,0.066176,0.792357,0.002560,0.001120,0.000352,1.239817
0.420451,0.017216,0.126305,0.580996,0.066305,0.777158,0.002528,0.000992,0.000352,1.224617
0.420323,0.017472,0.137057,0.604356,0.078561,0.824134,0.002752,0.001088,0.000352,1.272969
0.416515,0.017504,0.131169,0.582756,0.067936,0.785893,0.002592,0.001024,0.000416,1.229128
0.416483,0.017665,0.123168,0.583141,0.067264,0.778053,0.002720,0.001152,0.000384,1.222569
0.434979,0.017440,0.128865,0.580292,0.069729,0.782982,0.002848,0.000992,0.000416,1.245641
0.420931,0.017312,0.130849,0.585156,0.066593,0.786246,0.002720,0.000928,0.000384,1.233641
0.415939,0.017472,0.130849,0.583205,0.066624,0.784518,0.002784,0.001120,0.000416,1.227753
0.417091,0.017312,0.131105,0.583076,0.064577,0.782214,0.002656,0.001056,0.000352,1.225833
0.419939,0.017441,0.124384,0.578308,0.063584,0.769765,0.002624,0.001120,0.000384,1.216265
0.420323,0.017632,0.132609,0.608388,0.081441,0.826022,0.002688,0.000928,0.000352,1.273097
0.416995,0.017472,0.133153,0.580900,0.066849,0.784390,0.002624,0.000992,0.000320,1.227785
0.420515,0.017376,0.124513,0.578725,0.066112,0.772806,0.002752,0.000896,0.000416,1.219785
0.419587,0.033216,0.129057,0.593604,0.066881,0.794406,0.002720,0.000960,0.000352,1.256521
0.416547,0.018336,0.129729,0.593444,0.067872,0.796773,0.002880,0.001185,0.000352,1.241929
0.415171,0.017472,0.130177,0.594853,0.069952,0.799814,0.002784,0.001120,0.000384,1.241481
0.416835,0.017280,0.122401,0.583716,0.064801,0.775910,0.002880,0.001024,0.000320,1.219049
0.415907,0.017665,0.134753,0.584452,0.066592,0.789253,0.005984,0.001024,0.000384,1.235241
0.415523,0.017696,0.117089,0.605444,0.068129,0.794854,0.002784,0.000864,0.000384,1.236809
0.416579,0.017280,0.131041,0.587204,0.071328,0.793029,0.002912,0.001088,0.000416,1.236360
0.416003,0.017216,0.127841,0.594756,0.065473,0.792582,0.002720,0.000864,0.000320,1.234473
