Layer[0],Layer[1],Layer[2],Layer[3],IN[4],INFER[4-7],OUT[7],TEE[4-7],Layer[8],Layer[9],Layer[10],classifier
0.490990,0.018049,0.196358,0.005312,0.110403,0.098787,0.062914,0.277448,0.003488,0.012256,0.000672,1.011454
0.397932,0.017633,0.193253,0.004896,0.119875,0.104355,0.071298,0.299944,0.003361,0.001888,0.000672,0.927868
0.412556,0.017856,0.193030,0.005056,0.112675,0.106563,0.064097,0.287176,0.003521,0.001536,0.000416,0.928060
0.396300,0.017600,0.192614,0.004928,0.114212,0.101795,0.064482,0.284201,0.005152,0.001408,0.000448,0.908731
0.400684,0.017856,0.192102,0.005248,0.111459,0.107267,0.067554,0.289929,0.005312,0.001184,0.000416,0.918523
0.396172,0.017824,0.191878,0.022561,0.114467,0.105667,0.067810,0.291688,0.002592,0.001248,0.000512,0.930748
0.401324,0.017665,0.192005,0.005056,0.111940,0.098787,0.063906,0.278249,0.002816,0.001248,0.000448,0.905851
0.397004,0.017537,0.191781,0.005280,0.103939,0.094722,0.061922,0.263624,0.002336,0.001120,0.000384,0.884538
0.396331,0.017537,0.192390,0.004960,0.114819,0.099491,0.063842,0.281416,0.003008,0.001248,0.000416,0.903706
0.417516,0.017697,0.192037,0.005313,0.115331,0.107395,0.068610,0.294568,0.002816,0.001216,0.000448,0.937915
0.400364,0.017761,0.192037,0.004896,0.110116,0.106435,0.067842,0.288617,0.002432,0.001088,0.000512,0.914555
0.395820,0.017537,0.191557,0.005313,0.110755,0.098915,0.068354,0.281544,0.002624,0.001184,0.000384,0.902139
0.400139,0.017761,0.208966,0.005088,0.112452,0.110435,0.068034,0.294345,0.002560,0.001120,0.000384,0.937019
0.399724,0.017729,0.192358,0.004864,0.110371,0.104387,0.067170,0.285320,0.002560,0.001120,0.000416,0.910171
0.400747,0.017824,0.191878,0.005088,0.108035,0.098563,0.063874,0.273384,0.003072,0.001088,0.000416,0.898778
0.401036,0.017921,0.192070,0.004928,0.111299,0.098819,0.069602,0.282856,0.002560,0.001056,0.000384,0.908763
0.401132,0.017761,0.191814,0.004960,0.112931,0.098851,0.062914,0.277800,0.002720,0.001184,0.000384,0.904027
0.395948,0.017921,0.191973,0.004928,0.112803,0.100579,0.069762,0.286665,0.002848,0.001152,0.000416,0.907579
0.399852,0.017824,0.191814,0.004896,0.111811,0.099683,0.064098,0.278696,0.002784,0.001184,0.000384,0.903963
0.395244,0.017664,0.206951,0.005504,0.112643,0.113091,0.072418,0.301545,0.002720,0.001248,0.000384,0.937404
0.405868,0.018721,0.195014,0.005344,0.186725,0.110500,0.076770,0.380139,0.004320,0.002848,0.000576,1.025214
0.397676,0.018209,0.193349,0.005280,0.121283,0.107011,0.070722,0.302696,0.002913,0.001984,0.000352,0.929212
0.397292,0.017825,0.192741,0.005152,0.127556,0.101123,0.066722,0.299017,0.002880,0.001216,0.000384,0.922715
0.397899,0.021025,0.191974,0.005440,0.106147,0.096643,0.064002,0.271464,0.003104,0.001248,0.000448,0.899322
0.395852,0.017825,0.192421,0.005312,0.113572,0.098307,0.063650,0.279625,0.003008,0.001248,0.000416,0.901851
0.396171,0.017889,0.192038,0.005376,0.113219,0.098819,0.065826,0.280968,0.003008,0.001216,0.000384,0.902842
0.401324,0.018016,0.192166,0.005184,0.113892,0.102723,0.065986,0.286185,0.002944,0.001248,0.000384,0.914267
0.396748,0.018176,0.192262,0.005056,0.120260,0.100003,0.063586,0.287977,0.002944,0.001280,0.000416,0.911803
0.397580,0.018049,0.191430,0.005216,0.120227,0.099747,0.065602,0.289672,0.002816,0.001344,0.000480,0.914587
