Layer[0],Layer[1],Layer[2],Layer[3],Layer[4],TEE[5-6],Layer[7],Layer[8],Layer[9],Layer[10],classifier
0.415728,0.017665,0.203048,0.005280,0.047490,0.189383,0.000768,0.001728,0.001152,0.000352,0.889858
0.420048,0.017728,0.202696,0.005280,0.048162,0.204456,0.000704,0.001761,0.001088,0.000320,0.909732
0.432497,0.017441,0.202056,0.005376,0.047746,0.203944,0.000704,0.001792,0.001120,0.000352,0.920004
0.416145,0.017697,0.203080,0.005408,0.049218,0.197031,0.000897,0.001728,0.001216,0.000384,0.900932
0.415952,0.017153,0.202567,0.005313,0.048322,0.188679,0.000608,0.001792,0.001056,0.000384,0.888450
0.415536,0.017569,0.202792,0.005056,0.067843,0.201128,0.000672,0.001728,0.001088,0.000352,0.921572
0.420529,0.017313,0.202504,0.005312,0.047874,0.206024,0.000704,0.001824,0.001216,0.000384,0.910884
0.415344,0.017473,0.202535,0.005280,0.048450,0.198183,0.000736,0.001761,0.001056,0.000352,0.898659
0.420209,0.017825,0.202375,0.005345,0.048098,0.204616,0.000672,0.001696,0.001056,0.000352,0.908708
0.430737,0.017761,0.202087,0.005313,0.047778,0.194631,0.000640,0.001664,0.001152,0.000320,0.910115
0.415793,0.017696,0.202696,0.005344,0.047714,0.193768,0.000736,0.001792,0.001120,0.000352,0.894307
0.417040,0.017537,0.202312,0.005312,0.048322,0.196680,0.000704,0.001728,0.001248,0.000352,0.898627
0.416209,0.017760,0.202792,0.005313,0.065346,0.196360,0.000704,0.001760,0.001312,0.000352,0.915844
0.416400,0.017409,0.203304,0.005280,0.048802,0.200840,0.000704,0.001792,0.001248,0.000288,0.904291
0.415184,0.017761,0.202120,0.005280,0.047842,0.204104,0.000672,0.001792,0.001152,0.000352,0.903108
0.415600,0.017569,0.202152,0.005312,0.047906,0.197960,0.000704,0.001856,0.001216,0.000352,0.897923
0.436817,0.017505,0.202056,0.005312,0.048834,0.209416,0.000704,0.001792,0.001184,0.000256,0.930756
0.415824,0.017504,0.202408,0.005248,0.047938,0.203208,0.000704,0.001696,0.001120,0.000353,0.903204
0.415920,0.017281,0.202472,0.005280,0.047362,0.193639,0.000672,0.001696,0.001088,0.000352,0.892515
0.419953,0.017344,0.202408,0.005313,0.063970,0.196328,0.000672,0.001760,0.001120,0.000416,0.916676
0.421040,0.017505,0.202664,0.005312,0.048066,0.200296,0.000672,0.001760,0.001152,0.000352,0.906051
0.415248,0.017537,0.202696,0.005312,0.048194,0.202824,0.000608,0.001696,0.001088,0.000352,0.902723
0.415440,0.017473,0.202696,0.005024,0.048290,0.210760,0.001120,0.003104,0.001280,0.000384,0.913988
0.433009,0.017505,0.201928,0.005280,0.048322,0.215112,0.000704,0.001760,0.001184,0.000352,0.932164
0.419984,0.017569,0.202184,0.005344,0.048002,0.194888,0.000768,0.001696,0.001152,0.000320,0.898787
0.415569,0.017344,0.201928,0.005312,0.048770,0.189096,0.000736,0.001792,0.001120,0.000320,0.889347
0.419601,0.017441,0.201992,0.005312,0.068226,0.198440,0.000768,0.001760,0.001120,0.000352,0.922885
0.415664,0.017504,0.202440,0.005344,0.047266,0.208808,0.000608,0.001793,0.001216,0.000352,0.908164
0.420305,0.017473,0.202504,0.005344,0.047170,0.201992,0.000672,0.001792,0.001184,0.000320,0.906372
0.420816,0.017345,0.201960,0.005248,0.047266,0.188039,0.000640,0.001696,0.001152,0.000320,0.891683
0.434129,0.017824,0.202760,0.005313,0.047265,0.199144,0.000640,0.001856,0.001184,0.000289,0.918948
0.415473,0.017632,0.202376,0.005248,0.048994,0.202408,0.000672,0.001696,0.001216,0.000352,0.903204
0.415376,0.017473,0.202632,0.005312,0.048642,0.206344,0.000704,0.001856,0.001120,0.000384,0.907779
0.415408,0.017569,0.202600,0.005312,0.078659,0.201384,0.000640,0.001760,0.001120,0.000320,0.932516
0.420080,0.018049,0.202568,0.005248,0.048578,0.197256,0.000704,0.001856,0.001152,0.000352,0.904291
0.415761,0.017440,0.202952,0.005281,0.047617,0.205096,0.000704,0.001920,0.001056,0.000384,0.906116
0.415376,0.017569,0.202216,0.005344,0.048578,0.180711,0.000768,0.001824,0.001056,0.000352,0.881315
0.427601,0.017505,0.202664,0.005280,0.048258,0.187463,0.000704,0.001696,0.000993,0.000352,0.900260
0.415664,0.017665,0.202023,0.004832,0.048290,0.222312,0.000768,0.001920,0.000864,0.000320,0.921924
0.421169,0.017697,0.201960,0.005312,0.047554,0.190855,0.000832,0.001888,0.000864,0.000320,0.895139
0.415249,0.017504,0.202568,0.005281,0.048866,0.202023,0.000832,0.001952,0.000960,0.000352,0.903908
0.420752,0.017984,0.206856,0.005409,0.048225,0.206888,0.000768,0.002400,0.001408,0.000352,0.919428
0.417233,0.017536,0.203624,0.005312,0.048289,0.183816,0.000832,0.001856,0.001280,0.000352,0.888739
0.416944,0.017377,0.203272,0.005312,0.048226,0.202568,0.000704,0.001760,0.001088,0.000320,0.905731
0.430129,0.017569,0.202760,0.005280,0.047586,0.199272,0.000704,0.001824,0.000928,0.000352,0.914724
0.416561,0.017696,0.202568,0.005249,0.047361,0.190984,0.001024,0.002016,0.001056,0.000384,0.893859
0.415376,0.017569,0.202920,0.005280,0.047970,0.161734,0.000736,0.002016,0.000896,0.000352,0.862017
0.415280,0.017440,0.202792,0.004864,0.048418,0.189256,0.000736,0.001920,0.001152,0.000352,0.889347
0.416368,0.017761,0.203560,0.005312,0.048994,0.188199,0.000769,0.001792,0.000896,0.000320,0.891107
0.416208,0.017665,0.202856,0.004928,0.047970,0.158470,0.000736,0.001920,0.000896,0.000320,0.859009
0.418449,0.017408,0.202952,0.005312,0.047362,0.185704,0.000704,0.001664,0.000960,0.000352,0.888643
0.427345,0.017440,0.202536,0.005280,0.048002,0.190344,0.000704,0.001696,0.001088,0.000384,0.902435
0.415568,0.017185,0.203016,0.005248,0.047586,0.183239,0.000704,0.002976,0.001184,0.000384,0.885634
0.415120,0.017633,0.202376,0.005056,0.047874,0.157574,0.000640,0.001792,0.000896,0.000352,0.856545
0.415088,0.017537,0.202952,0.005280,0.048354,0.172295,0.000768,0.001792,0.000768,0.000384,0.872354
0.425616,0.017632,0.202472,0.005216,0.048610,0.193352,0.000736,0.001728,0.001024,0.000384,0.903811
0.415312,0.017601,0.205576,0.005024,0.047970,0.196360,0.000736,0.002176,0.001024,0.000256,0.899107
0.415440,0.017473,0.204456,0.005248,0.047778,0.181831,0.000704,0.001696,0.000960,0.000384,0.882882
0.416816,0.017729,0.203752,0.005280,0.063043,0.206728,0.000704,0.002016,0.000960,0.000320,0.928388
0.415057,0.017600,0.202440,0.005249,0.047810,0.189703,0.000864,0.001696,0.001120,0.000352,0.889027
0.416112,0.017761,0.203304,0.005376,0.048482,0.190503,0.000768,0.001921,0.001024,0.000256,0.893283
0.415441,0.017824,0.202440,0.005312,0.048385,0.188584,0.000832,0.001696,0.001120,0.000384,0.888899
0.427472,0.017472,0.203016,0.005440,0.048546,0.189416,0.000864,0.001888,0.000800,0.000320,0.903139
0.415248,0.017601,0.202183,0.005313,0.047138,0.184231,0.000736,0.001824,0.000992,0.000352,0.882882
0.415312,0.017537,0.202536,0.005312,0.048290,0.179303,0.000704,0.001856,0.001088,0.000352,0.879746
0.415313,0.017376,0.202184,0.005281,0.048705,0.154182,0.000704,0.002144,0.001088,0.000256,0.854594
0.415376,0.017505,0.202248,0.004992,0.048450,0.188647,0.000864,0.003200,0.001152,0.000352,0.891747
0.415056,0.017409,0.202792,0.005280,0.048354,0.155526,0.000704,0.002081,0.001088,0.000352,0.855554
0.415248,0.017601,0.203272,0.005280,0.048034,0.198664,0.000704,0.001792,0.000992,0.000256,0.898755
0.415344,0.017377,0.217608,0.005377,0.047618,0.192839,0.000704,0.001632,0.000800,0.000352,0.906595
0.415344,0.017537,0.202440,0.005024,0.047554,0.181799,0.000832,0.003232,0.001120,0.000448,0.885891
0.415472,0.017697,0.202280,0.004896,0.047138,0.176359,0.000768,0.001888,0.000928,0.000352,0.874274
0.415440,0.017441,0.202312,0.005280,0.047138,0.175911,0.000672,0.002432,0.001088,0.000352,0.876258
0.439793,0.017537,0.202632,0.005280,0.047586,0.184871,0.000800,0.002784,0.001056,0.000384,0.909923
0.415280,0.017569,0.202792,0.004832,0.047682,0.173287,0.000704,0.001824,0.001056,0.000320,0.871874
0.415280,0.017505,0.202568,0.005056,0.048194,0.188359,0.000704,0.002816,0.001120,0.000320,0.888962
0.415312,0.017569,0.202280,0.005376,0.048226,0.168327,0.000768,0.002464,0.001056,0.000352,0.869218
0.415825,0.017472,0.203144,0.005249,0.047073,0.170663,0.000640,0.002240,0.001088,0.000384,0.870722
0.415120,0.017473,0.202600,0.005312,0.046722,0.174791,0.000640,0.002880,0.000992,0.000384,0.873474
0.414992,0.017633,0.202760,0.005312,0.047170,0.182151,0.000672,0.002304,0.001056,0.000384,0.881474
0.415569,0.017664,0.218217,0.005120,0.047266,0.185095,0.000800,0.002176,0.001024,0.000416,0.902244
0.415472,0.017281,0.202312,0.005248,0.047618,0.170503,0.000832,0.003008,0.000832,0.000384,0.870594
0.415536,0.017697,0.202472,0.004864,0.049250,0.184071,0.000769,0.001920,0.001088,0.000352,0.886723
0.415504,0.017633,0.202600,0.005248,0.048450,0.189640,0.000736,0.001696,0.001280,0.000352,0.890275
0.429905,0.017473,0.202919,0.004833,0.047970,0.177319,0.000640,0.001984,0.000992,0.000352,0.892483
0.415824,0.017473,0.202408,0.005312,0.048290,0.192231,0.000672,0.001856,0.000928,0.000352,0.892162
0.415856,0.017472,0.202856,0.005312,0.047810,0.177831,0.000736,0.002048,0.000992,0.000321,0.878563
0.415472,0.017473,0.202440,0.005280,0.049794,0.208840,0.000800,0.002881,0.000864,0.000320,0.913604
0.415825,0.017536,0.202440,0.005313,0.048194,0.153158,0.001312,0.001888,0.000832,0.000352,0.854306
0.415793,0.017600,0.202312,0.005281,0.047297,0.177030,0.000704,0.001792,0.001120,0.000224,0.877571
0.415441,0.017601,0.202055,0.005313,0.048066,0.173382,0.001056,0.003264,0.000960,0.000352,0.876803
0.433073,0.017505,0.202152,0.005344,0.047554,0.173255,0.000640,0.001824,0.000992,0.000224,0.889827
0.415472,0.017377,0.202696,0.005088,0.048450,0.180551,0.000832,0.001984,0.000960,0.000352,0.882370
0.415216,0.017249,0.202888,0.005376,0.047682,0.178375,0.000736,0.002080,0.001184,0.000384,0.878146
0.415952,0.017344,0.202472,0.005312,0.048450,0.167751,0.000704,0.001856,0.000864,0.000352,0.868290
0.430000,0.017601,0.202152,0.004832,0.048098,0.190632,0.001120,0.003040,0.001088,0.000320,0.906083
0.415344,0.017345,0.202247,0.005281,0.047362,0.174662,0.000673,0.001792,0.000992,0.000352,0.873634
0.415248,0.017569,0.202504,0.005312,0.047778,0.176199,0.000768,0.002816,0.001088,0.000256,0.877858
0.417680,0.017536,0.203464,0.005345,0.047745,0.212713,0.000704,0.001920,0.001376,0.000320,0.918308
0.420848,0.017472,0.204936,0.005281,0.047617,0.197096,0.000704,0.001888,0.001056,0.000352,0.905795
0.420752,0.017473,0.202504,0.005312,0.046882,0.194120,0.000704,0.001664,0.001088,0.000352,0.899139
0.420336,0.017473,0.202184,0.005312,0.047778,0.192136,0.000672,0.001824,0.001184,0.000352,0.896963
0.438193,0.017505,0.202952,0.005280,0.047426,0.192519,0.000736,0.001921,0.001024,0.000320,0.917956
0.415632,0.017697,0.202184,0.005312,0.048130,0.185095,0.000704,0.001760,0.001280,0.000352,0.885858
0.420208,0.017633,0.202120,0.005280,0.048226,0.187943,0.000768,0.001728,0.001057,0.000384,0.893059
0.415857,0.017504,0.202472,0.005281,0.064962,0.187880,0.000640,0.001760,0.001056,0.000320,0.906404
0.415537,0.017536,0.202151,0.005281,0.048130,0.194535,0.000640,0.001792,0.001152,0.000352,0.894851
0.419825,0.017632,0.202600,0.005281,0.047873,0.189544,0.000704,0.001824,0.001056,0.000352,0.895043
0.419664,0.017441,0.202440,0.005280,0.048034,0.192552,0.000672,0.002752,0.001152,0.000320,0.898115
0.434737,0.017537,0.202760,0.005312,0.047842,0.187783,0.000672,0.001760,0.001088,0.000352,0.907876
0.415633,0.017760,0.203240,0.005249,0.048738,0.195911,0.000672,0.001792,0.001248,0.000385,0.898468
0.420273,0.017473,0.203176,0.005280,0.049186,0.191911,0.000672,0.001760,0.001088,0.000352,0.899299
0.416560,0.017537,0.202568,0.005280,0.067299,0.203336,0.000832,0.001952,0.001088,0.000352,0.926980
0.420656,0.017665,0.202952,0.005248,0.047490,0.185735,0.001056,0.003105,0.001088,0.000320,0.893283
0.420816,0.017761,0.202952,0.005312,0.048354,0.190792,0.000672,0.001792,0.001152,0.000384,0.897955
0.420145,0.017761,0.202728,0.005376,0.047554,0.188775,0.000736,0.001856,0.001120,0.000320,0.894307
0.436177,0.017664,0.202344,0.005344,0.047458,0.193672,0.000672,0.002112,0.001056,0.000320,0.914980
0.420241,0.017761,0.203144,0.005280,0.047234,0.192967,0.000704,0.001856,0.001152,0.000352,0.898627
0.420368,0.017601,0.202856,0.005312,0.047010,0.191943,0.000640,0.001953,0.001120,0.000352,0.897379
0.420944,0.017537,0.221801,0.005184,0.048162,0.197127,0.000640,0.001825,0.001184,0.000320,0.922852
0.415921,0.017504,0.202632,0.005312,0.048034,0.183048,0.000640,0.002368,0.001088,0.000352,0.884323
0.416272,0.017505,0.202408,0.005280,0.048322,0.185511,0.000736,0.001824,0.001152,0.000352,0.887171
0.416688,0.017697,0.202056,0.005280,0.048130,0.193127,0.000736,0.001793,0.001248,0.000352,0.895491
0.436113,0.017473,0.202280,0.005344,0.048162,0.189768,0.000768,0.002016,0.001248,0.000320,0.911300
0.416144,0.017472,0.202184,0.005280,0.048962,0.192296,0.000736,0.001760,0.001184,0.000352,0.893923
0.419920,0.017505,0.202472,0.005344,0.048226,0.183815,0.000736,0.001856,0.001120,0.000352,0.888290
0.416400,0.017601,0.202120,0.005312,0.065795,0.204968,0.000736,0.001856,0.001024,0.000320,0.923812
0.420240,0.017600,0.203400,0.005696,0.048034,0.185736,0.000736,0.001728,0.001120,0.000352,0.892419
0.415985,0.017536,0.202952,0.005409,0.048225,0.192775,0.000704,0.001856,0.001120,0.000288,0.894755
0.416401,0.017473,0.202695,0.005345,0.047810,0.189191,0.000768,0.001792,0.001184,0.000320,0.891683
0.437489,0.017505,0.202536,0.005312,0.048226,0.184679,0.000672,0.001792,0.001216,0.000352,0.907907
0.416016,0.017409,0.202632,0.005344,0.047650,0.182535,0.000640,0.001664,0.001121,0.000448,0.883843
0.420432,0.017441,0.202632,0.005376,0.048130,0.186791,0.000832,0.001696,0.001024,0.000352,0.891939
0.420177,0.017505,0.202952,0.005216,0.049698,0.207592,0.000864,0.001856,0.001152,0.000384,0.914916
0.415729,0.017312,0.202632,0.005313,0.048898,0.193223,0.000768,0.001824,0.001056,0.000384,0.894371
0.420144,0.017281,0.202696,0.005280,0.048450,0.198344,0.000672,0.001728,0.001152,0.000352,0.903331
0.415760,0.017377,0.201991,0.005313,0.048290,0.192263,0.000704,0.001760,0.000960,0.000352,0.891394
0.432881,0.017312,0.203528,0.005281,0.047490,0.188647,0.000736,0.001728,0.001088,0.000384,0.905859
0.414833,0.017280,0.203080,0.005377,0.047778,0.190023,0.000832,0.001760,0.001152,0.000320,0.889475
0.420081,0.017729,0.202696,0.005312,0.048098,0.187783,0.000704,0.001856,0.001184,0.000320,0.893827
0.415984,0.017473,0.202120,0.005248,0.047650,0.206568,0.000704,0.001728,0.001184,0.000320,0.906787
0.415184,0.017441,0.202632,0.005312,0.047554,0.191943,0.000768,0.001728,0.001248,0.000384,0.892642
0.420144,0.017952,0.205416,0.005313,0.048578,0.232905,0.001312,0.002336,0.001920,0.000512,0.949669
0.421712,0.017665,0.203336,0.005312,0.048034,0.191144,0.000864,0.002048,0.001824,0.000288,0.900003
0.440657,0.017857,0.203752,0.005472,0.048962,0.235145,0.001184,0.002368,0.001952,0.000544,0.971750
0.416785,0.017761,0.202535,0.005344,0.048322,0.192807,0.000864,0.002176,0.001152,0.000384,0.895427
0.419729,0.017601,0.202631,0.005281,0.048514,0.184967,0.000864,0.002080,0.001088,0.000320,0.890659
0.416784,0.017601,0.219560,0.005152,0.048034,0.189800,0.000672,0.002112,0.001056,0.000320,0.908483
0.415505,0.017664,0.202535,0.005441,0.049954,0.193703,0.000768,0.002112,0.001152,0.000320,0.896164
0.420241,0.017664,0.202824,0.005281,0.048033,0.203464,0.000768,0.001761,0.001120,0.000352,0.908996
0.416113,0.017856,0.203080,0.005377,0.048129,0.184904,0.000704,0.001824,0.001120,0.000352,0.886819
0.416433,0.017504,0.202664,0.005313,0.048801,0.195111,0.000832,0.002048,0.001216,0.000384,0.897827
0.415312,0.017505,0.203144,0.005312,0.048322,0.192295,0.000897,0.001952,0.001312,0.000352,0.893443
0.420688,0.017697,0.201992,0.005472,0.048802,0.196488,0.001088,0.002176,0.001088,0.000320,0.903555
0.420144,0.017537,0.217160,0.005217,0.048033,0.184776,0.000704,0.002080,0.001184,0.000320,0.904547
0.415568,0.017377,0.202312,0.005280,0.048514,0.183143,0.000768,0.001888,0.001152,0.000320,0.883714
0.421168,0.017537,0.201960,0.005280,0.048514,0.183783,0.000896,0.002080,0.001184,0.000320,0.889698
0.415312,0.017537,0.202824,0.005344,0.047874,0.178855,0.000672,0.001760,0.001056,0.000320,0.878818
0.428657,0.017633,0.202376,0.005280,0.048546,0.187271,0.000704,0.001761,0.001216,0.000352,0.900868
0.415824,0.017569,0.203240,0.005280,0.050370,0.199688,0.000672,0.001856,0.001120,0.000320,0.903363
0.420336,0.017633,0.202664,0.005344,0.048098,0.190504,0.000640,0.001824,0.001056,0.000256,0.895267
0.420785,0.017505,0.203208,0.005280,0.066050,0.186888,0.000672,0.001888,0.001152,0.000352,0.911812
0.416080,0.017537,0.202312,0.005280,0.048930,0.183399,0.000704,0.001984,0.001184,0.000384,0.884738
0.415728,0.017665,0.202600,0.005280,0.048706,0.193415,0.000672,0.001761,0.001152,0.000352,0.894851
0.416112,0.017697,0.202536,0.005312,0.048514,0.191464,0.000704,0.001920,0.001216,0.000576,0.892675
0.438449,0.017601,0.202280,0.005344,0.048674,0.224233,0.000704,0.001824,0.001088,0.000320,0.948197
0.420465,0.017728,0.201992,0.005313,0.048865,0.191784,0.000672,0.001792,0.001088,0.000320,0.897059
0.420016,0.017473,0.202344,0.005280,0.048034,0.191463,0.000704,0.002080,0.001184,0.000320,0.895651
0.422641,0.017600,0.202472,0.005280,0.065987,0.193832,0.000640,0.001760,0.001248,0.000352,0.919268
0.416945,0.017600,0.202760,0.005281,0.048354,0.196455,0.000800,0.001952,0.001120,0.000352,0.899332
0.419984,0.017921,0.203016,0.005184,0.047810,0.197576,0.000832,0.001824,0.001216,0.000352,0.902371
0.419633,0.017601,0.202760,0.005312,0.048258,0.188263,0.000704,0.001760,0.001216,0.000384,0.893795
0.443345,0.017505,0.202664,0.005312,0.047778,0.199496,0.000992,0.001792,0.001152,0.000352,0.927716
0.415249,0.017728,0.202599,0.005249,0.048354,0.193095,0.000800,0.001888,0.001184,0.000384,0.894115
0.415184,0.017697,0.202088,0.005248,0.049314,0.204712,0.000736,0.001728,0.001184,0.000320,0.905219
0.416720,0.017761,0.203912,0.005312,0.048162,0.201032,0.000672,0.001952,0.001184,0.000352,0.904291
0.415344,0.017729,0.202088,0.005344,0.049474,0.187719,0.000704,0.001856,0.001184,0.000353,0.888643
0.415536,0.017985,0.202184,0.005280,0.048450,0.197415,0.000832,0.001824,0.001120,0.000352,0.897859
0.415216,0.017601,0.202312,0.005248,0.050722,0.189480,0.000736,0.001760,0.001152,0.000352,0.891491
0.431536,0.017505,0.202376,0.005312,0.049314,0.191048,0.000640,0.001824,0.001152,0.000320,0.908740
0.420272,0.017633,0.202856,0.005280,0.048706,0.212328,0.000704,0.001824,0.001152,0.000320,0.918179
0.416209,0.017856,0.203655,0.005313,0.048642,0.195847,0.000800,0.001824,0.001249,0.000416,0.900676
0.416272,0.017697,0.202376,0.005280,0.048578,0.230473,0.000800,0.002016,0.001152,0.000352,0.932548
0.416336,0.017665,0.202184,0.005280,0.048354,0.195624,0.000800,0.001792,0.001152,0.000576,0.897123
0.416208,0.017760,0.202504,0.005248,0.048354,0.187176,0.000704,0.001824,0.001248,0.000352,0.887907
0.415632,0.017473,0.205928,0.005280,0.048098,0.193511,0.000672,0.001760,0.001088,0.000352,0.896931
0.431825,0.017569,0.202312,0.005344,0.048514,0.193447,0.000800,0.001824,0.001056,0.000320,0.910276
0.416240,0.017633,0.202440,0.005376,0.048578,0.202344,0.000800,0.001728,0.001184,0.000352,0.903683
0.420785,0.017505,0.202567,0.005281,0.047810,0.194119,0.000864,0.001760,0.001152,0.000320,0.898883
0.415696,0.017505,0.203208,0.005312,0.047938,0.216488,0.000672,0.002016,0.001120,0.000320,0.918436
0.415793,0.017600,0.202632,0.005345,0.047617,0.194568,0.000832,0.001824,0.001216,0.000352,0.894979
0.415920,0.017697,0.203144,0.005184,0.047906,0.192455,0.000704,0.001856,0.001248,0.000352,0.894660
0.415824,0.017505,0.202120,0.005216,0.048546,0.187880,0.000832,0.002016,0.001120,0.000352,0.888579
0.433873,0.018017,0.202664,0.005440,0.048546,0.188391,0.000800,0.001792,0.001120,0.000353,0.907908
0.418064,0.017505,0.202248,0.005248,0.047938,0.191399,0.000736,0.001760,0.001120,0.000320,0.893699
0.420273,0.017697,0.202120,0.005344,0.048514,0.194695,0.000640,0.001825,0.001152,0.000352,0.900324
0.420880,0.017729,0.202600,0.005312,0.048482,0.183399,0.000832,0.001664,0.001088,0.000353,0.889187
0.415792,0.017729,0.202248,0.005312,0.048258,0.190151,0.000704,0.002240,0.001216,0.000352,0.891138
0.415793,0.017632,0.203272,0.005345,0.047841,0.197032,0.000768,0.001888,0.001152,0.000320,0.898211
0.421040,0.017728,0.202536,0.005312,0.048162,0.192296,0.000704,0.001920,0.001120,0.000352,0.897987
0.432497,0.017504,0.202408,0.005089,0.048545,0.188904,0.000960,0.001728,0.001184,0.000384,0.905731
0.416144,0.017697,0.202728,0.005344,0.048930,0.190887,0.000928,0.001793,0.001568,0.000320,0.894211
0.415761,0.017472,0.202920,0.005505,0.048289,0.185063,0.000704,0.001824,0.001216,0.000352,0.886211
0.416304,0.017696,0.203400,0.005216,0.048002,0.188136,0.000800,0.001696,0.001152,0.000384,0.889987
0.419696,0.017696,0.202408,0.005312,0.048226,0.181735,0.000705,0.001696,0.001120,0.000384,0.886083
0.414993,0.017472,0.202728,0.005536,0.047617,0.183688,0.000608,0.002016,0.001088,0.000320,0.882979
0.415696,0.017473,0.202824,0.005376,0.047778,0.205128,0.000800,0.001632,0.001152,0.000320,0.905188
0.416272,0.017633,0.221737,0.005440,0.047874,0.184199,0.000800,0.001888,0.001248,0.000320,0.904995
0.415633,0.017632,0.202792,0.005249,0.047906,0.190951,0.000800,0.001696,0.001056,0.000320,0.891299
0.415664,0.017889,0.203656,0.005280,0.047906,0.194920,0.000704,0.001952,0.001184,0.000352,0.896547
0.415472,0.017857,0.203560,0.005248,0.048162,0.189383,0.000736,0.001920,0.001152,0.000384,0.890595
0.415601,0.017600,0.203336,0.005377,0.048321,0.187687,0.000672,0.001696,0.001152,0.000288,0.889635
0.415793,0.017472,0.202632,0.005249,0.048321,0.186536,0.000672,0.001888,0.001056,0.000352,0.887299
0.415824,0.017697,0.202280,0.005344,0.048738,0.194759,0.000800,0.001664,0.001248,0.000352,0.895779
0.420529,0.017600,0.220521,0.005376,0.048226,0.187816,0.000704,0.001728,0.001152,0.000352,0.910980
0.419792,0.017569,0.202280,0.005088,0.048962,0.181671,0.000672,0.001792,0.001056,0.000320,0.886083
0.417072,0.017889,0.202600,0.005312,0.048706,0.197864,0.000672,0.001920,0.001152,0.000320,0.900771
0.419504,0.017441,0.202440,0.005344,0.048098,0.194823,0.000704,0.001632,0.001216,0.000384,0.898691
0.438257,0.017760,0.202664,0.005280,0.048450,0.187560,0.000704,0.001856,0.001184,0.000352,0.911556
0.415792,0.017569,0.202376,0.005408,0.048130,0.191016,0.000832,0.001696,0.001120,0.000352,0.891555
0.415953,0.017632,0.202120,0.005313,0.049090,0.192967,0.000672,0.001824,0.001152,0.000352,0.893603
0.420944,0.018145,0.239722,0.005216,0.049634,0.185415,0.000640,0.001792,0.001152,0.000352,0.930948
0.420144,0.017601,0.203560,0.005376,0.048194,0.187655,0.000640,0.001760,0.001089,0.000320,0.893091
0.416240,0.017409,0.202312,0.005440,0.048514,0.201608,0.000736,0.001824,0.001088,0.000384,0.902275
0.415889,0.017568,0.202344,0.005249,0.047938,0.202887,0.000832,0.001856,0.001088,0.000352,0.902980
0.432337,0.017505,0.202088,0.005248,0.049090,0.183655,0.000704,0.001952,0.001152,0.000352,0.901123
0.415793,0.017504,0.203112,0.005280,0.047970,0.203400,0.000672,0.001665,0.001120,0.000352,0.903460
0.415984,0.017505,0.203144,0.005280,0.048098,0.195464,0.000704,0.001696,0.001184,0.000352,0.896707
0.416081,0.017536,0.202600,0.005345,0.048066,0.215080,0.000672,0.002080,0.001408,0.000320,0.917284
0.420496,0.017729,0.202376,0.005312,0.047362,0.188487,0.000704,0.001792,0.001120,0.000320,0.893027
0.415408,0.017633,0.203112,0.005344,0.048226,0.191847,0.000800,0.001824,0.001152,0.000352,0.893475
0.419537,0.021217,0.202824,0.005312,0.047810,0.204776,0.000640,0.001728,0.001088,0.000288,0.913028
0.432977,0.017600,0.203272,0.005280,0.048546,0.185960,0.000832,0.001728,0.001216,0.000352,0.905348
0.415345,0.017664,0.203592,0.005281,0.048514,0.194183,0.000768,0.001952,0.001152,0.000352,0.896003
0.416592,0.017569,0.202504,0.005280,0.048642,0.193800,0.000736,0.001728,0.001152,0.000320,0.895427
0.416016,0.017729,0.202248,0.005312,0.048514,0.218985,0.000800,0.001888,0.001600,0.000384,0.921348
0.415632,0.017569,0.203144,0.005344,0.048482,0.196936,0.000768,0.001792,0.001088,0.000416,0.897891
0.415985,0.017504,0.202440,0.005281,0.048865,0.190760,0.000704,0.001696,0.001152,0.000320,0.891491
0.415793,0.017504,0.202855,0.005313,0.048386,0.195047,0.000672,0.001952,0.001088,0.000352,0.897316
0.435633,0.017729,0.202088,0.005248,0.048450,0.194023,0.000897,0.001760,0.001216,0.000288,0.914948
0.415760,0.017569,0.202152,0.005280,0.048386,0.194088,0.000768,0.001856,0.001120,0.000352,0.895619
0.420784,0.017504,0.202120,0.005312,0.048386,0.190088,0.000800,0.001920,0.001120,0.000352,0.896163
0.416080,0.017505,0.202376,0.005376,0.048450,0.210408,0.000704,0.001952,0.001088,0.000352,0.911779
0.415344,0.017729,0.202216,0.005408,0.048002,0.184103,0.000832,0.001696,0.001120,0.000320,0.883778
0.420208,0.017633,0.202312,0.005344,0.048962,0.190760,0.000672,0.001984,0.001088,0.000352,0.896771
0.415537,0.017504,0.202216,0.005281,0.048417,0.190600,0.000672,0.001824,0.001152,0.000352,0.890595
0.433169,0.017697,0.202248,0.005216,0.049570,0.219816,0.001088,0.002785,0.001184,0.000320,0.940965
0.416272,0.017697,0.201832,0.005408,0.047970,0.188167,0.000896,0.001856,0.001152,0.000352,0.888451
0.415984,0.017889,0.203144,0.005248,0.049378,0.190152,0.000672,0.001984,0.001152,0.000320,0.893827
0.416240,0.017505,0.201992,0.005280,0.048098,0.206728,0.001088,0.002880,0.001120,0.000320,0.909187
0.420849,0.017441,0.202536,0.005248,0.047394,0.182983,0.000704,0.001792,0.001472,0.000352,0.888931
0.420240,0.017473,0.202376,0.005280,0.047938,0.185351,0.000864,0.001824,0.001440,0.000352,0.891042
0.415344,0.017441,0.201992,0.005248,0.048194,0.191655,0.000672,0.001760,0.001088,0.000320,0.891235
