Layer[0],TEE[1-8],Layer[9],Layer[10],classifier
0.415505,0.763103,0.001216,0.000352,1.186256
0.428369,0.826946,0.001344,0.000416,1.264179
0.417649,0.772447,0.001024,0.000384,1.197264
0.415665,0.743550,0.001248,0.000544,1.167824
0.416176,0.752990,0.001344,0.000384,1.175599
0.415921,0.729373,0.001120,0.000288,1.151438
0.415569,0.755359,0.001248,0.000320,1.177104
0.415633,0.745182,0.001280,0.000288,1.167471
0.415760,0.739165,0.001216,0.000288,1.160654
0.416529,0.769279,0.000992,0.000320,1.191280
0.434930,0.766143,0.001344,0.000384,1.208881
0.416561,0.725086,0.001344,0.000384,1.149071
0.415761,0.762463,0.001312,0.000384,1.186704
0.434737,0.773183,0.001408,0.000384,1.217393
0.416944,0.770015,0.001216,0.000384,1.193520
0.416273,0.776511,0.001248,0.000352,1.198928
0.415793,0.761567,0.001248,0.000384,1.184208
0.415377,0.783968,0.001152,0.000352,1.206001
0.415665,0.817281,0.001184,0.000384,1.240466
0.415505,0.752286,0.001088,0.000384,1.173423
0.415665,0.784607,0.001505,0.000384,1.207313
0.415280,0.838209,0.001248,0.000416,1.262162
0.415985,0.764351,0.001664,0.000384,1.189136
0.416753,0.779168,0.001344,0.000416,1.204977
0.434482,0.789152,0.001248,0.000352,1.230930
0.415345,0.746142,0.001248,0.000608,1.168239
0.415377,0.748766,0.001120,0.000320,1.169775
0.415472,0.757535,0.000992,0.000288,1.178159
0.415761,0.761726,0.001056,0.000545,1.183056
0.415089,0.787776,0.001280,0.000320,1.210161
0.415184,0.752543,0.001216,0.000544,1.174863
0.416048,0.763294,0.001313,0.000384,1.188144
0.415824,0.828354,0.001184,0.000416,1.251826
0.415505,0.767679,0.001184,0.000384,1.190160
0.414800,0.744254,0.001248,0.000608,1.166191
0.415537,0.795424,0.001248,0.000448,1.217713
0.416433,0.754398,0.001280,0.000608,1.177391
0.415537,0.760575,0.001216,0.000416,1.182576
0.432081,0.760094,0.001216,0.000352,1.199760
0.415121,0.774207,0.001152,0.000384,1.195825
0.415345,0.756350,0.001344,0.000416,1.180079
0.415761,0.763167,0.001216,0.000384,1.185872
0.414769,0.758494,0.001185,0.000384,1.181040
0.416593,0.772639,0.001248,0.000384,1.196272
0.415184,0.759455,0.001152,0.000576,1.181167
0.415696,0.756607,0.001280,0.000352,1.178639
0.416433,0.800544,0.001217,0.000608,1.223666
0.415121,0.768287,0.001120,0.000544,1.189328
0.416305,0.746462,0.001184,0.000288,1.168111
0.415665,0.786240,0.001408,0.000288,1.209233
0.415152,0.745183,0.001408,0.000320,1.168495
0.416753,0.756063,0.001152,0.000544,1.180016
0.431473,0.757855,0.001184,0.000384,1.197104
0.415025,0.753151,0.001216,0.000576,1.175024
0.416561,0.752190,0.001248,0.000320,1.175439
0.433649,0.760447,0.001184,0.000320,1.200752
0.415537,0.775615,0.001088,0.000288,1.197424
0.416209,0.755870,0.001217,0.000288,1.179024
0.415889,0.759518,0.001280,0.000288,1.182160
0.415249,0.760095,0.001152,0.000384,1.181840
0.416208,0.806849,0.001312,0.000384,1.230673
0.416305,0.759871,0.001152,0.000416,1.183216
0.416497,0.775583,0.001280,0.000608,1.200464
0.416656,0.789088,0.001312,0.000352,1.212368
0.415601,0.792032,0.001216,0.000352,1.213329
0.415281,0.754846,0.001248,0.000352,1.176815
0.435570,0.764543,0.001216,0.000352,1.206929
0.416273,0.776736,0.001152,0.000640,1.199633
