Layer[0],TEE[1-8],Layer[9],Layer[10],classifier
0.453810,0.789920,0.001344,0.000416,1.252306
0.417937,0.767551,0.001376,0.000384,1.193840
0.417553,0.778303,0.001537,0.000352,1.204849
0.416048,0.767966,0.001408,0.000576,1.192624
0.417073,0.760447,0.001280,0.000384,1.185104
0.416209,0.784608,0.001440,0.000384,1.208945
0.416752,0.773503,0.001184,0.000352,1.197968
0.415505,0.766655,0.001216,0.000384,1.190192
0.416529,0.779327,0.001248,0.000416,1.203697
0.416689,0.765534,0.001281,0.000384,1.189872
0.416177,0.762719,0.001472,0.000384,1.187280
0.415344,0.790144,0.001280,0.000384,1.213904
0.416849,0.795392,0.001248,0.000384,1.220817
0.416273,0.771231,0.001312,0.000640,1.196400
0.435057,0.771999,0.001248,0.000384,1.214577
0.415601,0.801248,0.001216,0.000416,1.224626
0.416209,0.772127,0.001248,0.000384,1.196560
0.415185,0.763263,0.001184,0.000384,1.185680
0.417489,0.764127,0.001216,0.000416,1.189744
0.415408,0.787455,0.001280,0.000352,1.210448
0.415441,0.757567,0.001248,0.000384,1.181104
0.415921,0.766751,0.001280,0.000352,1.189488
0.416881,0.789792,0.001536,0.000320,1.215697
0.416849,0.796064,0.001216,0.000608,1.221201
0.416848,0.761246,0.001504,0.000416,1.185967
0.432081,0.761663,0.001216,0.000416,1.202000
0.416593,0.770367,0.001248,0.000352,1.194736
0.416016,0.756351,0.001344,0.000320,1.180079
0.415825,0.772991,0.001248,0.000352,1.197104
0.416561,0.749310,0.001376,0.000352,1.174031
0.416561,0.805601,0.001344,0.000416,1.231218
0.417681,0.763263,0.001280,0.000384,1.189392
0.416209,0.776320,0.001344,0.000384,1.201137
0.416177,0.762143,0.001504,0.000416,1.186800
0.416433,0.773471,0.001184,0.000320,1.197392
0.415601,0.762847,0.001280,0.000352,1.186960
0.415505,0.789536,0.001184,0.000384,1.212945
0.415633,0.757663,0.001248,0.000384,1.181104
0.415537,0.764095,0.001216,0.000384,1.187024
0.434706,0.782527,0.001248,0.000352,1.225297
0.415793,0.793344,0.001344,0.000608,1.218801
0.415984,0.765726,0.001377,0.000352,1.190096
0.416113,0.770847,0.001408,0.000352,1.195888
0.415792,0.755775,0.001184,0.000416,1.178991
0.415664,0.782399,0.001568,0.000384,1.206000
0.415057,0.768863,0.001408,0.000640,1.192016
0.415537,0.762654,0.001280,0.000416,1.185871
0.418289,0.808768,0.001377,0.000416,1.235186
0.416017,0.766303,0.001344,0.000448,1.191120
0.416752,0.782176,0.001312,0.000352,1.208113
0.436146,0.812897,0.001376,0.000384,1.259667
0.417425,0.768127,0.001440,0.000416,1.193552
0.416177,0.773279,0.001440,0.000416,1.199184
0.416273,0.769311,0.001472,0.000384,1.193840
0.416113,0.768383,0.001280,0.000416,1.192560
0.415377,0.784735,0.001632,0.000609,1.208977
0.415697,0.772671,0.001216,0.000384,1.196400
0.416017,0.772991,0.001312,0.000576,1.196944
0.416305,0.782591,0.001185,0.000416,1.206545
0.416401,0.766367,0.001376,0.000352,1.191504
0.416816,0.774592,0.001408,0.000384,1.199920
0.435121,0.774111,0.001344,0.000416,1.217521
0.416433,0.767711,0.001376,0.000608,1.192944
0.416240,0.756607,0.001280,0.000384,1.180911
0.416369,0.768287,0.001696,0.000416,1.193488
0.424241,0.819777,0.001216,0.000384,1.251666
0.415280,0.784895,0.001376,0.000416,1.208784
0.415632,0.793823,0.001280,0.000448,1.217649
0.415569,0.759358,0.001248,0.000352,1.182192
0.416368,0.805568,0.001472,0.000416,1.230737
0.415761,0.769919,0.001248,0.000416,1.194064
0.416177,0.759743,0.001280,0.000384,1.184176
0.431090,0.764223,0.001280,0.000384,1.203825
0.416145,0.760479,0.001184,0.000288,1.184016
0.416432,0.754718,0.001248,0.000352,1.178287
0.434386,0.765247,0.001184,0.000640,1.207185
0.416656,0.773919,0.001376,0.000384,1.199216
0.417201,0.753918,0.001216,0.000384,1.178640
0.416305,0.760575,0.001248,0.000352,1.184368
0.415632,0.774848,0.001216,0.000352,1.198096
0.415569,0.819745,0.001248,0.000320,1.243186
0.415984,0.766430,0.001344,0.000384,1.190896
0.415568,0.766527,0.001184,0.000416,1.189519
0.415952,0.809985,0.001344,0.000384,1.233809
0.417329,0.757215,0.001248,0.000416,1.182320
0.416113,0.778623,0.001248,0.000352,1.202097
0.434001,0.778016,0.001504,0.000352,1.220241
0.416144,0.764671,0.001248,0.000352,1.188175
0.416273,0.771455,0.001312,0.000384,1.196528
0.415793,0.759614,0.001280,0.000416,1.183951
0.416561,0.757854,0.001248,0.000448,1.182416
0.416241,0.790208,0.001344,0.000352,1.215345
0.415793,0.750110,0.001120,0.000416,1.172943
0.416081,0.768255,0.001216,0.000416,1.190544
0.415793,0.798208,0.001152,0.000352,1.220209
0.415888,0.752287,0.001184,0.000288,1.173999
0.415697,0.758622,0.001088,0.000320,1.181808
0.433265,0.771103,0.001153,0.000320,1.211153
0.415697,0.773119,0.001217,0.000416,1.197809
0.416112,0.775168,0.001248,0.000352,1.199729
0.435282,0.788096,0.001120,0.000416,1.230962
0.416689,0.753407,0.001344,0.000576,1.178832
0.416465,0.761119,0.001280,0.000608,1.184816
0.415408,0.763294,0.001184,0.000416,1.185615
0.415761,0.759166,0.001152,0.000352,1.181871
0.415344,0.766014,0.001216,0.000352,1.187568
0.415057,0.761630,0.001216,0.000352,1.182447
0.416144,0.748478,0.001152,0.000384,1.171375
0.415856,0.787839,0.001312,0.000384,1.209744
0.415569,0.763679,0.001248,0.000416,1.187632
0.416465,0.750078,0.001249,0.000352,1.173616
0.415408,0.765087,0.001280,0.000384,1.208592
0.416465,0.759294,0.001184,0.000384,1.183023
0.415280,0.745214,0.001248,0.000416,1.166959
0.431826,0.781375,0.001248,0.000384,1.220721
0.415920,0.760031,0.001184,0.000320,1.182544
0.416561,0.746782,0.001120,0.000352,1.168719
0.415345,0.770271,0.001216,0.000384,1.192080
0.416593,0.762367,0.001248,0.000384,1.186352
0.415697,0.820417,0.001472,0.000608,1.244658
0.414929,0.765407,0.001280,0.000448,1.187440
0.415760,0.771200,0.001440,0.000384,1.195280
0.416465,0.772767,0.001216,0.000352,1.196368
0.415088,0.762559,0.001152,0.000352,1.184303
0.415473,0.760735,0.001120,0.000320,1.183088
0.415440,0.801729,0.001184,0.000352,1.223729
0.416081,0.792736,0.001152,0.000320,1.215185
0.416273,0.779935,0.001216,0.000384,1.203216
0.446226,0.769087,0.001184,0.000384,1.221937
0.415409,0.797248,0.001216,0.000320,1.220977
0.416272,0.795264,0.001440,0.000352,1.220113
0.416273,0.776191,0.001376,0.000640,1.201776
0.417360,0.778560,0.001280,0.000384,1.203952
0.415121,0.800064,0.001248,0.000352,1.223857
0.415953,0.762047,0.001504,0.000384,1.186832
0.417489,0.766015,0.001280,0.000416,1.191696
0.416113,0.778815,0.001344,0.000416,1.203345
0.415537,0.770367,0.001280,0.000384,1.193680
0.416048,0.768511,0.001313,0.000352,1.191568
0.431793,0.773343,0.001536,0.000384,1.214224
0.416529,0.763839,0.001408,0.000416,1.188368
0.416337,0.771807,0.001280,0.000352,1.196688
0.416561,0.767103,0.001472,0.000416,1.191952
0.415921,0.755710,0.001280,0.000352,1.180079
0.415792,0.784160,0.001312,0.000416,1.208048
0.415760,0.768639,0.001281,0.000352,1.192656
0.415536,0.770623,0.001280,0.000416,1.194320
0.416817,0.793920,0.001440,0.000416,1.219346
0.420881,0.788288,0.003264,0.000576,1.224017
0.418897,0.776575,0.001760,0.000864,1.205201
0.440529,0.808032,0.003200,0.000608,1.263538
0.417905,0.806784,0.001664,0.000352,1.233074
0.418609,0.789568,0.001312,0.000384,1.216145
0.417009,0.774655,0.001376,0.000352,1.199921
0.416785,0.758175,0.001312,0.000352,1.182736
0.416849,0.784896,0.001216,0.000416,1.209361
0.416977,0.762047,0.001312,0.000416,1.186320
0.417072,0.765183,0.001312,0.000416,1.190095
0.418097,0.850947,0.001376,0.000352,1.277204
0.416625,0.786272,0.001472,0.000384,1.211217
0.415440,0.778239,0.001312,0.000416,1.201904
0.418737,0.760350,0.001280,0.000416,1.186767
0.415249,0.766911,0.001376,0.000352,1.190672
0.415824,0.796672,0.001472,0.000352,1.221329
0.416497,0.760446,0.001312,0.000352,1.184847
0.415665,0.771455,0.001280,0.000384,1.195216
0.416113,0.792864,0.001248,0.000416,1.216881
0.416048,0.803072,0.001184,0.000352,1.226353
0.415409,0.757438,0.001344,0.000416,1.181135
0.415793,0.809057,0.001632,0.000416,1.232562
0.416240,0.764894,0.001217,0.000384,1.189776
0.417009,0.752894,0.001728,0.000352,1.178095
0.434546,0.763295,0.001248,0.000384,1.205393
0.415697,0.767231,0.001280,0.000416,1.190928
0.415697,0.755358,0.001280,0.000320,1.178447
0.416881,0.767327,0.001312,0.000384,1.191888
0.416113,0.752190,0.001440,0.000352,1.176080
0.416625,0.808576,0.001504,0.000384,1.233746
0.416368,0.773631,0.001472,0.000384,1.198992
0.416561,0.755679,0.001312,0.000320,1.180464
0.416241,0.791488,0.001440,0.000384,1.216945
0.416880,0.765822,0.001376,0.000672,1.189967
0.415537,0.757951,0.001184,0.000384,1.180464
0.434321,0.771519,0.001216,0.000608,1.213072
0.415377,0.762719,0.001280,0.000352,1.185872
0.415665,0.797152,0.001472,0.000384,1.220209
0.430321,0.791392,0.001152,0.000352,1.228849
0.416209,0.769663,0.001216,0.000576,1.194032
0.416464,0.787360,0.001280,0.000416,1.212592
0.415953,0.769119,0.001440,0.000416,1.192976
0.416817,0.768031,0.001312,0.000416,1.193936
0.415856,0.797600,0.001440,0.000416,1.221649
0.415760,0.786944,0.001248,0.000384,1.210288
0.417617,0.758142,0.001312,0.000352,1.183472
0.415153,0.774047,0.001152,0.000416,1.196592
0.416560,0.769727,0.001280,0.000384,1.193519
0.416401,0.767263,0.001440,0.000384,1.191760
0.449682,0.777984,0.001152,0.000608,1.235474
0.416017,0.752734,0.001536,0.000352,1.177808
0.418161,0.756991,0.001152,0.000384,1.182480
0.416113,0.774815,0.001280,0.000384,1.199696
0.415153,0.772671,0.001248,0.000384,1.195824
0.415600,0.786496,0.001344,0.000672,1.210448
0.416944,0.764735,0.001152,0.000352,1.189072
0.415665,0.794464,0.001568,0.000384,1.218225
0.416529,0.823585,0.001312,0.000384,1.247602
0.415632,0.765567,0.001408,0.000416,1.187727
0.417617,0.774591,0.001344,0.000352,1.200432
0.434194,0.781823,0.001280,0.000384,1.224497
0.415569,0.773087,0.001504,0.000417,1.196433
0.415665,0.760382,0.001312,0.000448,1.184720
0.416944,0.758974,0.001376,0.000384,1.183855
0.415953,0.777279,0.001280,0.000416,1.200944
0.416304,0.797888,0.001312,0.000416,1.222706
0.415601,0.763487,0.001248,0.000384,1.186160
0.415793,0.768223,0.001280,0.000384,1.191152
0.415568,0.788000,0.001312,0.000416,1.211376
0.416977,0.760510,0.001280,0.000352,1.185455
0.416241,0.755807,0.001280,0.000384,1.180208
0.416529,0.780767,0.001152,0.000416,1.204433
0.415793,0.773695,0.001344,0.000384,1.197648
0.416593,0.767359,0.001344,0.000384,1.191184
0.433841,0.776223,0.001152,0.000384,1.216849
0.415281,0.763743,0.001312,0.000384,1.185808
0.417105,0.765599,0.001504,0.000640,1.189808
0.414993,0.769247,0.001280,0.000384,1.191664
0.415985,0.766559,0.001216,0.000416,1.190064
0.415312,0.790720,0.001600,0.000608,1.215152
0.415985,0.770111,0.001312,0.000384,1.193968
0.416049,0.798208,0.001280,0.000384,1.221745
0.416689,0.786847,0.001280,0.000384,1.212273
0.414033,0.762623,0.001504,0.000416,1.184112
0.415088,0.765471,0.001216,0.000384,1.187375
0.432498,0.764350,0.001313,0.000384,1.204017
0.416977,0.772767,0.001216,0.000384,1.197584
0.415825,0.764222,0.001153,0.000352,1.187056
0.433042,0.795200,0.001280,0.000384,1.236530
0.415921,0.761374,0.001536,0.000384,1.185999
0.416273,0.792192,0.001184,0.000416,1.214897
0.415665,0.775071,0.001536,0.000384,1.198640
0.415376,0.766526,0.001248,0.000417,1.188528
0.415921,0.791520,0.001344,0.000288,1.215377
0.415633,0.763294,0.001344,0.000384,1.186544
0.415537,0.764703,0.001312,0.000352,1.187920
0.415568,0.786495,0.001376,0.000416,1.210992
0.416496,0.769886,0.001248,0.000608,1.194416
0.415185,0.786751,0.001184,0.000384,1.209233
0.433073,0.776767,0.001313,0.000352,1.218129
0.415152,0.752767,0.001184,0.000352,1.175471
0.416017,0.767999,0.001472,0.000384,1.192816
0.415761,0.771583,0.001216,0.000416,1.195472
0.416753,0.759646,0.001344,0.000416,1.183888
0.415633,0.813089,0.001568,0.000416,1.236754
0.415953,0.759710,0.001216,0.000385,1.183152
0.416465,0.759742,0.001216,0.000352,1.183279
0.415025,0.789567,0.001664,0.000416,1.213713
0.414832,0.766527,0.001248,0.000352,1.188943
0.417393,0.772511,0.001313,0.000288,1.198385
0.437170,0.797888,0.001344,0.000672,1.243282
0.416528,0.773375,0.001280,0.000416,1.198128
0.416305,0.762431,0.001184,0.000416,1.186224
0.415664,0.761791,0.001376,0.000352,1.184911
0.416689,0.768703,0.001472,0.000416,1.193488
0.415409,0.795232,0.001248,0.000320,1.217809
0.415217,0.753310,0.001280,0.000352,1.174927
0.416017,0.752574,0.001152,0.000288,1.176335
0.415953,0.795360,0.001472,0.000320,1.219569
0.415569,0.770463,0.001312,0.000384,1.194096
0.415281,0.766335,0.001440,0.000416,1.189520
0.415121,0.789312,0.001408,0.000416,1.213361
0.416273,0.755806,0.001248,0.000384,1.180271
0.415504,0.752479,0.001600,0.000640,1.176687
0.433425,0.769119,0.001280,0.000672,1.211152
0.415344,0.798112,0.001280,0.000384,1.221265
0.415537,0.819617,0.001280,0.000416,1.242642
0.415409,0.768063,0.001312,0.000384,1.191248
0.416529,0.761631,0.001504,0.000576,1.186480
0.416176,0.789727,0.001344,0.000384,1.214864
0.416048,0.766431,0.001280,0.000384,1.190448
0.415089,0.771583,0.001568,0.000384,1.195600
0.415792,0.795680,0.001312,0.000352,1.218193
0.416497,0.737246,0.001312,0.000576,1.161423
0.415729,0.766591,0.001152,0.000352,1.188880
0.430834,0.764063,0.001280,0.000416,1.202993
0.416465,0.767775,0.001408,0.000608,1.191056
0.415921,0.759614,0.001248,0.000352,1.182927
0.447794,0.768159,0.001312,0.000416,1.225489
0.415121,0.770847,0.001248,0.000384,1.193808
0.414897,0.766527,0.001280,0.000384,1.188432
0.414673,0.775775,0.001376,0.000416,1.198960
0.418545,0.774591,0.001504,0.000352,1.201968
0.417297,0.789152,0.001472,0.000384,1.214801
0.416337,0.778239,0.001312,0.000416,1.202512
0.416657,0.766559,0.001632,0.000416,1.190320
0.415025,0.781439,0.001185,0.000416,1.204401
0.417297,0.776288,0.001280,0.000672,1.202353
0.416593,0.804481,0.001408,0.000352,1.230290
0.433681,0.774655,0.001408,0.000384,1.216848
0.416625,0.805216,0.001312,0.000416,1.229713
0.416881,0.775967,0.001568,0.000352,1.201840
0.416465,0.767935,0.001280,0.000384,1.191856
0.416017,0.772063,0.001248,0.000417,1.196081
0.415409,0.792096,0.001248,0.000352,1.215217
0.416849,0.769695,0.001152,0.000608,1.194224
0.415985,0.764382,0.001280,0.000320,1.188048
0.415921,0.789439,0.001216,0.000385,1.212433
0.416080,0.770686,0.001376,0.000320,1.195472
0.415793,0.753470,0.001312,0.000384,1.176527
0.434706,0.773695,0.001152,0.000352,1.216081
0.416049,0.758079,0.001312,0.000416,1.182384
0.415953,0.752895,0.001248,0.000384,1.176784
0.416785,0.761086,0.001248,0.000608,1.186447
0.416401,0.749726,0.001376,0.000384,1.173615
0.415249,0.788096,0.001376,0.000416,1.211089
0.416401,0.768159,0.001376,0.000320,1.192560
0.416113,0.807617,0.001568,0.000352,1.230770
0.415889,0.783904,0.001408,0.000352,1.208465
0.415248,0.766143,0.001216,0.000640,1.189327
0.415441,0.774303,0.001632,0.000640,1.198961
0.436337,0.796032,0.001600,0.000416,1.241393
0.415761,0.770847,0.001408,0.000416,1.194832
0.416464,0.771166,0.001312,0.000416,1.195280
0.432593,0.786048,0.001248,0.000416,1.226577
0.416496,0.762718,0.001504,0.000608,1.187055
0.415409,0.795264,0.001440,0.000512,1.219313
0.415729,0.767839,0.001376,0.000416,1.191600
0.415504,0.771711,0.001280,0.000384,1.196240
0.416241,0.780895,0.001280,0.000416,1.205232
0.415665,0.772511,0.001344,0.000384,1.197168
0.415633,0.745502,0.001216,0.000384,1.168687
0.415281,0.784512,0.001408,0.000352,1.207953
0.416336,0.776511,0.001376,0.000384,1.200944
0.416401,0.773311,0.001344,0.000384,1.197040
0.434129,0.755487,0.001216,0.000288,1.197040
0.415473,0.761310,0.001440,0.000352,1.184112
0.415089,0.769407,0.001216,0.000352,1.192144
0.416081,0.764863,0.001344,0.000416,1.189616
0.415953,0.763359,0.001248,0.000384,1.187344
0.416753,0.789696,0.001440,0.000416,1.215057
0.415889,0.766623,0.001248,0.000384,1.190384
0.416209,0.761438,0.001344,0.000384,1.185616
0.415249,0.797568,0.001344,0.000416,1.220177
0.415185,0.766399,0.001312,0.000384,1.189488
0.416497,0.764190,0.001344,0.000384,1.187792
0.416208,0.783552,0.001408,0.000384,1.207216
0.417265,0.769183,0.001376,0.000384,1.193936
0.416240,0.779263,0.001280,0.000448,1.204432
0.434321,0.761279,0.001312,0.000608,1.204016
0.418704,0.770334,0.001376,0.000416,1.198448
0.417392,0.775839,0.001248,0.000416,1.201168
0.415984,0.770975,0.001248,0.000384,1.194352
0.416849,0.780704,0.001376,0.000416,1.204881
0.416689,0.797760,0.001376,0.000448,1.222769
0.415600,0.753631,0.001504,0.000384,1.176463
0.415857,0.768191,0.001216,0.000384,1.191824
0.416912,0.801793,0.001280,0.000416,1.226513
0.416177,0.777567,0.001184,0.000352,1.202160
0.416016,0.765919,0.001376,0.000416,1.189679
0.431601,0.784000,0.001280,0.000416,1.224401
0.414800,0.773920,0.001344,0.000384,1.195536
0.416081,0.762239,0.001344,0.000416,1.186160
0.416785,0.771327,0.001312,0.000384,1.196240
0.416529,0.769183,0.001248,0.000352,1.193072
0.415569,0.781632,0.001408,0.000384,1.204657
0.415697,0.767614,0.001184,0.000320,1.190960
0.416273,0.765663,0.001344,0.000352,1.189712
0.415953,0.789920,0.001344,0.000384,1.214353
0.417040,0.759390,0.001376,0.000352,1.184975
0.418545,0.770687,0.001376,0.000416,1.198224
0.435729,0.764383,0.001216,0.000352,1.206928
0.416561,0.763647,0.001280,0.000352,1.187888
0.415793,0.772607,0.001312,0.000384,1.196304
0.434930,0.768095,0.001184,0.000384,1.210033
0.415664,0.753023,0.001248,0.000352,1.175887
0.415505,0.783007,0.001184,0.000416,1.206672
0.415249,0.761246,0.001216,0.000384,1.184303
0.415728,0.765119,0.001344,0.000576,1.189135
0.416049,0.776031,0.001344,0.000352,1.200048
0.417489,0.778495,0.001440,0.000640,1.205136
0.416048,0.769055,0.001344,0.000352,1.192495
0.417616,0.812897,0.001280,0.000352,1.238129
0.415985,0.759198,0.001345,0.000352,1.182736
0.416592,0.764415,0.001312,0.000352,1.188239
0.433490,0.767103,0.001152,0.000352,1.207921
0.416881,0.769599,0.001312,0.000384,1.193744
0.416337,0.793952,0.001376,0.000576,1.218865
0.415665,0.770687,0.001376,0.000320,1.194096
0.415632,0.759423,0.001312,0.000416,1.183247
0.417553,0.815297,0.001568,0.000448,1.241874
0.417136,0.771167,0.001281,0.000608,1.196048
0.416017,0.773151,0.001408,0.000352,1.197424
0.417233,0.787007,0.001376,0.000609,1.211569
0.416401,0.787647,0.001281,0.000384,1.211697
0.416945,0.766399,0.001216,0.000352,1.190000
0.446482,0.769343,0.001248,0.000608,1.223281
0.417201,0.768223,0.001280,0.000320,1.192944
0.417329,0.772543,0.001312,0.000608,1.197936
0.417873,0.768863,0.001440,0.000320,1.195664
0.416304,0.791456,0.001344,0.000384,1.215632
0.418161,0.782079,0.001249,0.000384,1.207825
0.416561,0.764191,0.001408,0.000352,1.188176
0.416529,0.764095,0.001280,0.000384,1.188176
0.416305,0.786880,0.001408,0.000448,1.211025
0.415697,0.771935,0.001184,0.000608,1.195056
0.416657,0.752478,0.001152,0.000416,1.176527
0.430162,0.771231,0.001120,0.000384,1.209745
0.416337,0.774751,0.001216,0.000352,1.198608
0.418321,0.802368,0.001312,0.000384,1.229393
0.432753,0.768127,0.001312,0.000416,1.209264
0.415729,0.755294,0.001184,0.000352,1.178576
0.416464,0.797056,0.001440,0.000416,1.223377
0.416945,0.765023,0.001344,0.000576,1.189968
0.415985,0.769951,0.001344,0.000384,1.193648
0.417489,0.831041,0.001280,0.000352,1.255314
0.417553,0.791456,0.001376,0.000384,1.217105
0.416401,0.774783,0.001345,0.000352,1.200241
0.416145,0.784735,0.001408,0.000416,1.209297
0.416785,0.770239,0.001600,0.000384,1.195664
0.416272,0.772063,0.001248,0.000352,1.196176
0.433681,0.765055,0.001568,0.000352,1.207024
0.415473,0.755454,0.001345,0.000416,1.178768
0.415152,0.765407,0.001216,0.000416,1.188047
0.415697,0.770047,0.001376,0.000384,1.193296
0.415760,0.767870,0.001217,0.000384,1.191088
0.415632,0.810817,0.001216,0.000256,1.233105
0.416145,0.776895,0.001216,0.000416,1.201552
0.416529,0.767519,0.001280,0.000416,1.192944
0.416656,0.772607,0.001696,0.000416,1.198896
0.416625,0.766975,0.001216,0.000352,1.191376
0.417233,0.757694,0.001504,0.000352,1.184144
0.432945,0.759807,0.001376,0.000416,1.200944
0.415536,0.763391,0.001184,0.000352,1.186447
0.415665,0.772511,0.001248,0.000352,1.195920
0.416016,0.762111,0.001472,0.000608,1.187023
0.416176,0.770815,0.001312,0.000352,1.195536
0.415824,0.790207,0.001312,0.000288,1.215856
0.421360,0.838945,0.001184,0.000352,1.266642
0.416145,0.768831,0.001504,0.000352,1.194320
0.416145,0.783871,0.001408,0.000384,1.208017
0.416081,0.757023,0.001344,0.000352,1.180752
0.415793,0.755295,0.001408,0.000352,1.179184
0.429970,0.781663,0.001280,0.000608,1.219761
0.416688,0.801857,0.001312,0.000352,1.226513
0.416081,0.757855,0.001280,0.000640,1.182608
0.415697,0.771711,0.001376,0.000352,1.195504
0.416433,0.766943,0.001248,0.000416,1.191760
0.415825,0.790336,0.001248,0.000352,1.214577
0.416977,0.779007,0.001504,0.000384,1.204688
0.416369,0.773823,0.001216,0.000608,1.198096
